,community,province,population,population_type (Census 2016),lat,long,violence_rate,year,nat_avg
69,Almaguin Highlands,ON,,,45.8,-79.6,1171.0,2013,1200.9
70,Almaguin Highlands,ON,,,45.8,-79.6,1127.0,2014,1088.4
71,Almaguin Highlands,ON,,,45.8,-79.6,890.0,2015,1113.9
72,Amherst,NS,9413.0,Census subdivision,45.8167,-64.2167,1654.0,2008,1357.159959
73,Amherst,NS,9413.0,Census subdivision,45.8167,-64.2167,1802.0,2009,1450.0
74,Amherst,NS,9413.0,Census subdivision,45.8167,-64.2167,2458.0,2010,1493.7
75,Amherst,NS,9413.0,Census subdivision,45.8167,-64.2167,1472.0,2011,1346.6
76,Amherst,NS,9413.0,Census subdivision,45.8167,-64.2167,1589.0,2012,1310.8
77,Amherst,NS,9413.0,Census subdivision,45.8167,-64.2167,1632.0,2013,1200.9
78,Amherst,NS,9413.0,Census subdivision,45.8167,-64.2167,1526.0,2014,1088.4
79,Amherst,NS,9413.0,Census subdivision,45.8167,-64.2167,1298.0,2015,1113.9
80,Amherstburg,ON,21936.0,Census subdivision,42.1014,-83.1087,456.0,2008,1357.159959
81,Amherstburg,ON,21936.0,Census subdivision,42.1014,-83.1087,689.0,2009,1450.0
82,Amherstburg,ON,21936.0,Census subdivision,42.1014,-83.1087,528.0,2010,1493.7
83,Amherstburg,ON,21936.0,Census subdivision,42.1014,-83.1087,449.0,2011,1346.6
84,Amherstburg,ON,21936.0,Census subdivision,42.1014,-83.1087,313.0,2012,1310.8
85,Amherstburg,ON,21936.0,Census subdivision,42.1014,-83.1087,196.0,2013,1200.9
86,Amherstburg,ON,21936.0,Census subdivision,42.1014,-83.1087,240.0,2014,1088.4
87,Amherstburg,ON,21936.0,Census subdivision,42.1014,-83.1087,302.0,2015,1113.9
88,Annapolis County,NS,20591.0,Census division,44.8529,-65.2649,1361.0,2008,1357.159959
89,Annapolis County,NS,20591.0,Census division,44.8529,-65.2649,1640.0,2009,1450.0
90,Annapolis County,NS,20591.0,Census division,44.8529,-65.2649,1388.0,2010,1493.7
91,Annapolis County,NS,20591.0,Census division,44.8529,-65.2649,1240.0,2011,1346.6
92,Annapolis County,NS,20591.0,Census division,44.8529,-65.2649,1555.0,2012,1310.8
93,Annapolis County,NS,20591.0,Census division,44.8529,-65.2649,1436.0,2013,1200.9
94,Annapolis County,NS,20591.0,Census division,44.8529,-65.2649,1181.0,2014,1088.4
95,Annapolis County,NS,20591.0,Census division,44.8529,-65.2649,1090.0,2015,1113.9
96,Antigonish County,NS,19301.0,Census division,45.6,-61.9,762.0,2008,1357.159959
97,Antigonish County,NS,19301.0,Census division,45.6,-61.9,758.0,2009,1450.0
98,Antigonish County,NS,19301.0,Census division,45.6,-61.9,868.0,2010,1493.7
99,Antigonish County,NS,19301.0,Census division,45.6,-61.9,441.0,2011,1346.6
100,Antigonish County,NS,19301.0,Census division,45.6,-61.9,962.0,2012,1310.8
101,Antigonish County,NS,19301.0,Census division,45.6,-61.9,983.0,2013,1200.9
102,Antigonish County,NS,19301.0,Census division,45.6,-61.9,761.0,2014,1088.4
103,Antigonish County,NS,19301.0,Census division,45.6,-61.9,760.0,2015,1113.9
104,Antoine-Labelle Region,QC,35243.0,Census division,46.9672,-75.264,1195.0,2008,1357.159959
105,Antoine-Labelle Region,QC,35243.0,Census division,46.9672,-75.264,1421.0,2009,1450.0
106,Antoine-Labelle Region,QC,35243.0,Census division,46.9672,-75.264,1712.0,2010,1493.7
107,Antoine-Labelle Region,QC,35243.0,Census division,46.9672,-75.264,1729.0,2011,1346.6
108,Antoine-Labelle Region,QC,35243.0,Census division,46.9672,-75.264,1591.0,2012,1310.8
109,Antoine-Labelle Region,QC,35243.0,Census division,46.9672,-75.264,1334.0,2013,1200.9
110,Antoine-Labelle Region,QC,35243.0,Census division,46.9672,-75.264,1453.0,2014,1088.4
111,Antoine-Labelle Region,QC,35243.0,Census division,46.9672,-75.264,1433.0,2015,1113.9
112,Appalaches Region,QC,42346.0,Census division,46.483333,-70.61667,394.0,2008,1357.159959
113,Appalaches Region,QC,42346.0,Census division,46.483333,-70.61667,501.0,2009,1450.0
114,Appalaches Region,QC,42346.0,Census division,46.483333,-70.61667,418.0,2010,1493.7
115,Appalaches Region,QC,42346.0,Census division,46.483333,-70.61667,624.0,2011,1346.6
116,Appalaches Region,QC,42346.0,Census division,46.483333,-70.61667,663.0,2012,1310.8
117,Appalaches Region,QC,42346.0,Census division,46.483333,-70.61667,555.0,2013,1200.9
118,Appalaches Region,QC,42346.0,Census division,46.483333,-70.61667,639.0,2014,1088.4
119,Appalaches Region,QC,42346.0,Census division,46.483333,-70.61667,416.0,2015,1113.9
120,Argenteuil Region,QC,32389.0,Census division,45.8,-74.46667,1214.0,2008,1357.159959
121,Argenteuil Region,QC,32389.0,Census division,45.8,-74.46667,1464.0,2009,1450.0
122,Argenteuil Region,QC,32389.0,Census division,45.8,-74.46667,1509.0,2010,1493.7
123,Argenteuil Region,QC,32389.0,Census division,45.8,-74.46667,1203.0,2011,1346.6
124,Argenteuil Region,QC,32389.0,Census division,45.8,-74.46667,1294.0,2012,1310.8
125,Argenteuil Region,QC,32389.0,Census division,45.8,-74.46667,1199.0,2013,1200.9
126,Argenteuil Region,QC,32389.0,Census division,45.8,-74.46667,939.0,2014,1088.4
127,Argenteuil Region,QC,32389.0,Census division,45.8,-74.46667,1212.0,2015,1113.9
128,Arnprior,ON,8795.0,Census subdivision,45.4347,-76.3518,0.0,2008,1357.159959
129,Arnprior,ON,8795.0,Census subdivision,45.4347,-76.3518,0.0,2009,1450.0
130,Arnprior,ON,8795.0,Census subdivision,45.4347,-76.3518,0.0,2010,1493.7
131,Arnprior,ON,8795.0,Census subdivision,45.4347,-76.3518,0.0,2011,1346.6
132,Arnprior,ON,8795.0,Census subdivision,45.4347,-76.3518,0.0,2012,1310.8
133,Arnprior,ON,8795.0,Census subdivision,45.4347,-76.3518,0.0,2013,1200.9
134,Arnprior,ON,8795.0,Census subdivision,45.4347,-76.3518,0.0,2014,1088.4
135,Arnprior,ON,8795.0,Census subdivision,45.4347,-76.3518,0.0,2015,1113.9
136,Athabasca,AB,2965.0,Census subdivision,54.7214,-113.2862,2151.0,2008,1357.159959
