,Characters,Dialogue,Test,Movie,Gender,length
90,YODA,...Out there they are. A certainty that is.,True,Attack of the Clones,Male,8
91,MACE WINDU ,Do you think Obi-Wan's apprentice will be able to bring balance to the Force?,True,Attack of the Clones,,14
92,YODA,Only if he chooses to follow his destiny.,True,Attack of the Clones,Male,8
93,OBI-WAN,Captain Typho has more than enough men downstairs. No assassin will try that way. Any activity up here?,True,Attack of the Clones,Male,18
94,ANAKIN,Quiet as a tomb. I don't like just waiting here for something to happen to her.,True,Attack of the Clones,Male,16
95,OBI-WAN,What's going on?,True,Attack of the Clones,Male,3
96,ANAKIN,She covered that camera. I don't think she liked me watching her.,True,Attack of the Clones,Male,12
97,OBI-WAN,What is she thinking?,True,Attack of the Clones,Male,4
98,ANAKIN,She programmed Artoo to warn us if there's an intruder.,True,Attack of the Clones,Male,10
99,OBI-WAN,It's not an intruder I'm worried about. There are many other ways to kill a Senator.,True,Attack of the Clones,Male,16
100,ANAKIN,I know but we also want to catch this assassin. Don't we Master?,True,Attack of the Clones,Male,13
101,OBI-WAN,You're using her as bait??,True,Attack of the Clones,Male,5
102,ANAKIN,It was her idea... No harm will come to her. I can sense everything going on in that room. Trust me.,True,Attack of the Clones,Male,21
103,OBI-WAN,It's too risky... and your senses aren't that attuned young apprentice.,True,Attack of the Clones,Male,11
104,ANAKIN,And yours are?,True,Attack of the Clones,Male,3
105,OBI-WAN,Possibly.,True,Attack of the Clones,Male,1
106,OBI-WAN,You look tired.,True,Attack of the Clones,Male,3
107,ANAKIN,I don't sleep well anymore.,True,Attack of the Clones,Male,5
108,OBI-WAN,Because of your mother?,True,Attack of the Clones,Male,4
109,ANAKIN,I don't know why I keep dreaming About her now. I haven't seen her since I was little.,True,Attack of the Clones,Male,18
110,OBI-WAN,Dreams pass in time.,True,Attack of the Clones,Male,4
111,ANAKIN,I'd rather dream of Padmé. Just Being around her again is... intoxicating.,True,Attack of the Clones,Male,12
112,OBI-WAN,Mind your thoughts Anakin they betray you. You've made a commitment to the Jedi order... a commitment not easily broken... and don't forget she's a politician. They're not to be trusted.,True,Attack of the Clones,Male,31
113,ANAKIN,She's not like the others in the Senate Master.,True,Attack of the Clones,Male,9
114,OBI-WAN,It's been my experience that Senators are only focused on pleasing those who fund their campaigns... and they are more than willing to forget the niceties of democracy to get those funds.,True,Attack of the Clones,Male,32
115,ANAKIN,Not another lecture Master. Not on the economics of politics.... It's too early in the morning... and besides you're generalising. The Chancellor doesn't appear to be corrupt.,True,Attack of the Clones,Male,27
116,OBI-WAN,Palpatine's a politician I've observed that he is very clever at following the passions and prejudices of the Senators.,True,Attack of the Clones,Male,19
117,ANAKIN,I think he is a good man. My instincts are very positive about...,True,Attack of the Clones,Male,13
118,OBI-WAN,I sense it too.,True,Attack of the Clones,Male,4
119,ANAKIN,Stay here!,True,Attack of the Clones,Male,2
120,OBI-WAN,I have a bad feeling about this.,True,Attack of the Clones,Male,7
121,ANAKIN,That was wacky! I almost lost you in the traffic.,True,Attack of the Clones,Male,10
122,OBI-WAN,What took you so long?,True,Attack of the Clones,Male,5
123,ANAKIN,Oh you know Master I couldn't find a speeder I really liked with an open cockpit... and with the right speed capabilities... and then you know I had to get a really gonzo color...,True,Attack of the Clones,Male,34
124,OBI-WAN,If you'd spend as much time working on your saber skills as you do on your wit young Padawan you would rival Master Yoda as a swordsman.,True,Attack of the Clones,Male,27
125,ANAKIN,I thought I already did.,True,Attack of the Clones,Male,5
126,OBI-WAN,Only in your mind my very young apprentice. Careful!! Hey easy!!,True,Attack of the Clones,Male,11
127,ANAKIN,Sorry I forgot you don't like flying Master.,True,Attack of the Clones,Male,8
128,OBI-WAN,I don't mind flying... but what you're doing is suicide!,True,Attack of the Clones,Male,10
129,ANAKIN,Master you know I've been flying since before I could walk. I'm very good at this.,True,Attack of the Clones,Male,16
130,OBI-WAN,Just slow down!,True,Attack of the Clones,Male,3
131,OBI-WAN, Wait! Don't go in there!,True,Attack of the Clones,Male,5
132,OBI-WAN, You know I don't like it when you do that!,True,Attack of the Clones,Male,10
133,ANAKIN,Sorry Master. Don't worry this guy's gonna kill himself any minute now!,True,Attack of the Clones,Male,12
134,OBI-WAN,What are you doing? He's gonna blast me!,True,Attack of the Clones,Male,8
135,ANAKIN,Right - this isn't working.,True,Attack of the Clones,Male,5
136,OBI-WAN,That was too close!,True,Attack of the Clones,Male,4
137,ANAKIN,Clear that!,True,Attack of the Clones,Male,2
138,OBI-WAN,What??,True,Attack of the Clones,Male,1
139,ANAKIN,Clear the flag! We're losing power! Hurry!,True,Attack of the Clones,Male,7
140,OBI-WAN,Whooooaaa! Don't do that! I don't  like it when you do that!,True,Attack of the Clones,Male,12
141,ANAKIN,So sorry Master.,True,Attack of the Clones,Male,3
142,OBI-WAN,It's dangerous near those power couplings! Slow down! Don't go through there!,True,Attack of the Clones,Male,12
143,OBI-WAN, Yiiii what are you doing?,True,Attack of the Clones,Male,5
144,ANAKIN,Sorry Master!,True,Attack of the Clones,Male,2
145,OBI-WAN, Oh that was good...,True,Attack of the Clones,Male,4
146,ANAKIN,That was crazy!!!,True,Attack of the Clones,Male,3
147,ANAKIN, Ahh damn.,True,Attack of the Clones,Male,2
148,OBI-WAN,Stop!!,True,Attack of the Clones,Male,1
149,ANAKIN,No we can make it.,True,Attack of the Clones,Male,5
150,OBI-WAN,I'm crazy... I'm crazy... I'm crazy.,True,Attack of the Clones,Male,6
151,ANAKIN,But it worked... we made it.,True,Attack of the Clones,Male,6
152,OBI-WAN, It didn't work... we've stalled! And you almost got us killed!,True,Attack of the Clones,Male,11
153,ANAKIN,I think we're still alive.,True,Attack of the Clones,Male,5
154,OBI-WAN, It was stupid!,True,Attack of the Clones,Male,3
155,ANAKIN, I could have made it...,True,Attack of the Clones,Male,5
156,OBI-WAN, But you didn't!!! And now we've lost him.,True,Attack of the Clones,Male,8
157,ANAKIN,No we didnt...,True,Attack of the Clones,Male,3
158,OBI-WAN,Where are you going?! He went down there the other way.,True,Attack of the Clones,Male,11
159,ANAKIN,This is a shortcut... I think.,True,Attack of the Clones,Male,6
160,OBI-WAN,What do you mean You think? What kind of shortcut?! He went completely the other way! Youve lost him!,True,Attack of the Clones,Male,19
161,ANAKIN,Master if we keep this chase going that creeps gonna end up deep fried. Personally Id very much like to find out who in the hell he is and who hes working for...,True,Attack of the Clones,Male,33
162,OBI-WAN, Oh so thats why were going in the wrong direction.,True,Attack of the Clones,Male,10
163,OBI-WAN, Well you lost him.,True,Attack of the Clones,Male,4
164,ANAKIN,Im deeply sorry Master.,True,Attack of the Clones,Male,4
165,ANAKIN, Excuse me for a moment.,True,Attack of the Clones,Male,5
166,OBI-WAN,Anakin!,True,Attack of the Clones,Male,1
167,ANAKIN,She went into that club Master.,True,Attack of the Clones,Male,6
168,OBI-WAN,Patience.,True,Attack of the Clones,Male,1
169,OBI-WAN,  Here. Next time try not to lose it.,True,Attack of the Clones,Male,8
170,ANAKIN,Sorry Master.,True,Attack of the Clones,Male,2
171,OBI-WAN,A Jedi's saber is his most precious possession.,True,Attack of the Clones,Male,8
172,ANAKIN,Yes Master.,True,Attack of the Clones,Male,2
173,OBI-WAN,He must keep it with him at all times.,True,Attack of the Clones,Male,9
174,ANAKIN,I know Master.,True,Attack of the Clones,Male,3
175,OBI-WAN,This weapon is your life!,True,Attack of the Clones,Male,5
176,ANAKIN,I've heard this lesson before...,True,Attack of the Clones,Male,5
177,OBI-WAN,But you haven't learned anything Anakin.,True,Attack of the Clones,Male,6
178,ANAKIN,I try Master.,True,Attack of the Clones,Male,3
179,OBI-WAN,Why do I think you are going to be the death of me?!,True,Attack of the Clones,Male,13
180,ANAKIN,Don't say that Master... You're the closest thing I have to a father... I love you. I don't want to cause you pain.,True,Attack of the Clones,Male,23
181,OBI-WAN,Then why don't you listen to me?!,True,Attack of the Clones,Male,7
182,ANAKIN,I will. I'll do better I promise.,True,Attack of the Clones,Male,7
183,OBI-WAN,Do you see him him?,True,Attack of the Clones,Male,5
184,ANAKIN,I think he's a she...,True,Attack of the Clones,Male,5
185,OBI-WAN,Then be extra careful...  Check it out.,True,Attack of the Clones,Male,7
186,ANAKIN,Where are you going Master?,True,Attack of the Clones,Male,5
187,OBI-WAN,To get a drink.,True,Attack of the Clones,Male,4
188,ELAN SLEAZEBAGGANO,Wanna buy some death sticks?,True,Attack of the Clones,,5
189,OBI-WAN,You don't want to sell me death- sticks.,True,Attack of the Clones,Male,8
190,ELAN,I don't want to sell you death- sticks.,True,Attack of the Clones,Male,8
191,OBI-WAN,You want to go home and rethink  your life.,True,Attack of the Clones,Male,9
192,ELAN,I want to go home and rethink my life.,True,Attack of the Clones,Male,9
193,ANAKIN,Easy... Official business. Go back to your drinks.,True,Attack of the Clones,Male,8
194,OBI-WAN,Do you know who it was you were trying to kill?,True,Attack of the Clones,Male,11
195,ZAM WESSEL,The Senator from Naboo.,True,Attack of the Clones,Female,4
196,OBI-WAN,Who hired you?,True,Attack of the Clones,Male,3
197,ZAM WESSEL,It was just a job.,True,Attack of the Clones,Female,5
198,ANAKIN,Tell us!,True,Attack of the Clones,Male,2
199,ZAM WESSEL,That Senator's gonna die soon anyway and the next one won't make the same mistake I did...,True,Attack of the Clones,Female,17
200,OBI-WAN,This wound's going to need treatment.,True,Attack of the Clones,Male,6
201,ANAKIN,Who hired you? Tell us... tell us now!,True,Attack of the Clones,Male,8
202,ZAM,It was a Bounty Hunter called...,True,Attack of the Clones,,6
203,OBI-WAN,Toxic Dart...,True,Attack of the Clones,Male,2
204,PADME,Representative Binks. I know I can count on you.,True,Attack of the Clones,Female,9
205,JAR JAR,Yousa betchen mesa bottums.,True,Attack of the Clones,Male,4
206,PADME,What?!,True,Attack of the Clones,Female,1
207,JAR JAR, It is not every day that I am called upon to...,True,Attack of the Clones,Male,11
208,PADME,You're a good friend Jar Jar. I don't wish to hold you up. I'm sure you have a great deal to do.,True,Attack of the Clones,Female,22
209,JAR JAR,Of course M'lady.,True,Attack of the Clones,Male,3
210,PADME,I do not like this idea of hiding.,True,Attack of the Clones,Female,8
211,ANAKIN,Don't worry. Now that the Council has ordered an investigation it won't take Master Obi-Wan long to find that bounty hunter.,True,Attack of the Clones,Male,21
212,PADME," I haven't worked for a year to defeat the ""Military Creation Act"" not to be here when its fate is decided.",True,Attack of the Clones,Female,21
213,ANAKIN,Sometimes we have to let go of our pride and do what is requested of us.,True,Attack of the Clones,Male,16
214,PADME,Pride?!? Annie you're young and you don't have a very firm grip on politics. I suggest you reserve your opinions for some other time.,True,Attack of the Clones,Female,24
215,ANAKIN,Sorry M'lady. I was only trying to...,True,Attack of the Clones,Male,7
216,PADME,Annie! No!,True,Attack of the Clones,Female,2
217,ANAKIN,Please don't call me that.,True,Attack of the Clones,Male,5
218,PADME,What?,True,Attack of the Clones,Female,1
219,ANAKIN,Annie...,True,Attack of the Clones,Male,1
220,PADME,I've always called you that... it is your name isn't it?,True,Attack of the Clones,Female,11
221,ANAKIN,It's Anakin. When you say Annie it's like I'm still a little boy... and I'm not.,True,Attack of the Clones,Male,16
222,PADME,I'm sorry Anakin. It's impossible to deny you've...  ...that you've grown up.,True,Attack of the Clones,Female,12
223,ANAKIN,Master Obi-Wan manages not to see it...,True,Attack of the Clones,Male,7
224,PADME,Mentors have a way of seeing more of our faults than we would like. It's the only way we grow.,True,Attack of the Clones,Female,20
225,ANAKIN,Don't get me wrong... Obi-Wan is a great mentor. As wise as Master Yoda and as powerful as Master Windu. I am truly thankful to be his apprentice. Only... although I'm a Padawan learner in some ways... a lot of ways... I'm ahead of him. I'm ready for the trials. I know I am! He knows it too. He believes I'm too unpredictable... Other Jedi my age have gone through the trials and made it... I know I started my training late... but he won't let me move on.,True,Attack of the Clones,Male,89
226,PADME,That must be frustrating.,True,Attack of the Clones,Female,4
227,ANAKIN,It's worse... he's overly critical. He never listens! He just doesn't understand! It's not fair!,True,Attack of the Clones,Male,15
228,PADME,I'm sorry... You sounded exactly like that little boy I once knew when he didn't get his way.,True,Attack of the Clones,Female,18
229,ANAKIN,I'm not whining! I'm not.,True,Attack of the Clones,Male,5
230,PADME,I didn't say it to hurt you.,True,Attack of the Clones,Female,7
231,ANAKIN,I know...,True,Attack of the Clones,Male,2
232,PADME,Anakin...,True,Attack of the Clones,Female,1
233,PADME, Don't try to grow up too fast.,True,Attack of the Clones,Female,7
234,ANAKIN,I am grown up. You said it yourself.,True,Attack of the Clones,Male,8
235,PADME,Please don't look at me like that.,True,Attack of the Clones,Female,7
236,ANAKIN,Why not?,True,Attack of the Clones,Male,2
237,PADME,Because I can see what you're thinking.,True,Attack of the Clones,Female,7
238,ANAKIN, Ahh... so you have Jedi powers too?,True,Attack of the Clones,Male,7
239,PADME,It makes me feel uncomfortable.,True,Attack of the Clones,Female,5
240,ANAKIN,Sorry M'lady.,True,Attack of the Clones,Male,2
241,CAPTAIN TYPHO,Be safe m'lady.,True,Attack of the Clones,Male,3
242,PADME,Thank you Captain. Take good care of Dorme... the threat's on you two now.,True,Attack of the Clones,Female,14
243,DORME,He'll be safe with me.,True,Attack of the Clones,Female,5
244,PADME,You'll be fine.,True,Attack of the Clones,Female,3
245,DORME,It's not me M'Lady. I worry about you. What if they realise I'm not you?,True,Attack of the Clones,Female,15
246,PADME, Then my Jedi protector will have to prove how grown up he is.,True,Attack of the Clones,Female,13
247,OBI-WAN,Anakin you stay put on Naboo. Do not attract any attention. Do absolutely nothing without checking in with me or the Council.,True,Attack of the Clones,Male,22
248,ANAKIN,Yes Master.,True,Attack of the Clones,Male,2
249,OBI-WAN, I will get to the bottom of this plot quickly M'Lady. You'll be back here in no time.,True,Attack of the Clones,Male,18
250,PADME,I will be most grateful for your speed Master Jedi.,True,Attack of the Clones,Female,10
251,ANAKIN,Time to go.,True,Attack of the Clones,Male,3
252,PADME,I know. ,True,Attack of the Clones,Female,2
253,OBI-WAN,May the Force be with you.,True,Attack of the Clones,Male,6
254,ANAKIN,May the Force be with you Master.,True,Attack of the Clones,Male,7
255,PADME,Suddenly I'm afraid...,True,Attack of the Clones,Female,3
256,ANAKIN,I'm kinda scared too. This is my first assignment on my own.,True,Attack of the Clones,Male,12
257,PADME,There's nothing to worry about... we have Artoo with us.,True,Attack of the Clones,Female,10
258,OBI-WAN,I hope he doesn't try anything foolish.,True,Attack of the Clones,Male,7
259,CAPTAIN TYPHO,I'd be more concerned about her doing something than him.,True,Attack of the Clones,Male,10
260,PK-4,Place the subject for analysis on the sensot tray please.,True,Attack of the Clones,Droid,10
261,OBI-WAN,It's a toxic dart. I need to know where it came from and who made it.,True,Attack of the Clones,Male,16
262,PK-4,One moment please.,True,Attack of the Clones,Droid,3
263,PK-4, As you can see on your screen subject weapon does not exist in any known culture. Markings cannot be identified. Probablt self-made by a warrior not associated with any known society.,True,Attack of the Clones,Droid,31
264,OBI-WAN,Excuse me? Could you try again please?,True,Attack of the Clones,Male,7
265,PK-4,Master Jedi our records are very thorough. they cover eight percent of the galaxy. If I can't tell you where it came from nobody can.,True,Attack of the Clones,Droid,25
266,OBI-WAN,Thanks for your assistance! You may not be able to figure this out but I think I know someone who might.,True,Attack of the Clones,Male,21
267,SERVER,Keep moving! Keep moving!,True,Attack of the Clones,,4
268,FOOD SERVER, Hey! No Droids!,True,Attack of the Clones,,3
269,ANAKIN,No no Mom no...,True,Attack of the Clones,Male,4
270,ANAKIN, What?,True,Attack of the Clones,Male,1
271,PADME,You seemed to be having a nightmare.,True,Attack of the Clones,Female,7
272,PADME, Are you hungry?,True,Attack of the Clones,Female,3
273,ANAKIN,Thank you.,True,Attack of the Clones,Male,2
274,PADME,We went into lightspeed a while ago.,True,Attack of the Clones,Female,7
275,ANAKIN,I look forward to seeing Naboo again. I've thought about it every day since I left. It's by far the most beautiful place I've ever seen...,True,Attack of the Clones,Male,26
276,PADME,You were just a little boy then. It may not be as you remember it; time changes your perception.,True,Attack of the Clones,Female,19
277,ANAKIN,I think time has given me much more mature feelings to enhance my perception.,True,Attack of the Clones,Male,14
278,PADME,It must be difficult having sworn your life to the Jedi... not being able to visit the places you like... or do the things you like...,True,Attack of the Clones,Female,26
279,ANAKIN,Or be with the people I love.,True,Attack of the Clones,Male,7
280,PADME,Are you allowed to love? I thought that was forbidden for a Jedi.,True,Attack of the Clones,Female,13
281,ANAKIN,Attachment is forbidden. Possession is forbidden. Compassion which I would define as unconditional love is central to a Jedi's life so you might say we're encouraged to love.,True,Attack of the Clones,Male,28
282,PADME,You have changed so much,True,Attack of the Clones,Female,5
283,ANAKIN,You haven't changed a bit. You're exactly the way I remember you in my dreams. I doubt if Naboo has changed much either.,True,Attack of the Clones,Male,23
284,PADME,It hasn't...,True,Attack of the Clones,Female,2
285,ANAKIN,I can't wait to breathe the sweet breeze that comes off the rolling hills. Whenever I try to visualise the Force those hills are what I see.,True,Attack of the Clones,Male,27
286,ANAKIN, I love Naboo.,True,Attack of the Clones,Male,3
287,PADME, Were you dreaming about you mother earlier weren't you?,True,Attack of the Clones,Female,9
288,ANAKIN,Yes... I left Tatooine so long ago my memory of her is fading. I don't want to lose it. Recently I've been seeing her in my dreams... vivid dreams... scary dreams. I worry about her.,True,Attack of the Clones,Male,35
289,HERMIONE BAGWA,Can I help ya?,True,Attack of the Clones,Female,4
290,OBI-WAN,I'm looking for Dexter.,True,Attack of the Clones,Male,4
291,HERMIONE BAGWA,Waddya want him for?,True,Attack of the Clones,Female,4
292,OBI-WAN,He's not in trouble. It's personal.,True,Attack of the Clones,Male,6
293,HERMIONE BAGWA,Someone to see ya honey  A Jedi by the looks of him.,True,Attack of the Clones,Female,12
294,DEXTER JETTSTER,Obi-Wan!,True,Attack of the Clones,Male,1
295,OBI-WAN,Hey Dex.,True,Attack of the Clones,Male,2
