,Characters,Dialogue,Movie
187,OBI-WAN, Anakin hold your fire . . . hold your fire. You're not helping here.,Revenge of the Sith
188,ANAKIN, I agree bad idea. Swing right . . . ease over . . . steady . . .,Revenge of the Sith
189,OBI-WAN, Wait . . . wait . . . I can't see a thing! My cockpit's fogging. They're all over me Anakin.,Revenge of the Sith
190,ANAKIN, Move to the right.,Revenge of the Sith
191,OBI-WAN, Hold on Anakin. You're going to get us both killed! Get out of here. There's nothing more you can do.,Revenge of the Sith
192,ANAKIN, I'm not leaving without you Master.,Revenge of the Sith
195,OBI-WAN, Blast it ... I can't see . . . my controls are gone.,Revenge of the Sith
196,ANAKIN, Get 'em Artoo. Watch out!,Revenge of the Sith
197,OBI-WAN, Artoo hit the buzz droid's center eye.,Revenge of the Sith
199,ANAKIN, Yeah you got him!,Revenge of the Sith
200,OBI-WAN, Great Artoo.,Revenge of the Sith
201,ANAKIN, Stay on my wing . . . the General's Command Ship is dead ahead. Easy . . . pull up ... Head for the hangar.,Revenge of the Sith
202,OBI-WAN, Have you noticed the shields are still up?,Revenge of the Sith
203,ANAKIN, Oh?!? Sorry Master.,Revenge of the Sith
205,OBI-WAN, Oh I have a bad feeling about this.,Revenge of the Sith
210,OBI-WAN, Artoo locate the Chancellor.,Revenge of the Sith
211,ANAKIN, Tap into the ship's computers.,Revenge of the Sith
213,OBI-WAN, The Chancellor's signal is coming from right there. The observation platform at the top of that spire.,Revenge of the Sith
214,ANAKIN, I sense Count Dooku . . .,Revenge of the Sith
215,OBI-WAN, I sense a trap.,Revenge of the Sith
216,ANAKIN, Next move?,Revenge of the Sith
217,OBI-WAN, Spring the trap.,Revenge of the Sith
219,ANAKIN, Artoo go back. I need you to stay with the ship.,Revenge of the Sith
220,OBI-WAN, Here take this and wait for orders.,Revenge of the Sith
224,GENERAL GRIEVOUS, What's the situation Captain?,Revenge of the Sith
225,CAPTAIN, TWO Jedi have landed in the main hangar bay.,Revenge of the Sith
226,GENERAL GRIEVOUS, Just as Count Dooku predicted.,Revenge of the Sith
229,BODYGUARD I, General Kenobi Anakin Skywalker. We've been waiting for you.,Revenge of the Sith
230,OBI-WAN, We are here to relieve you of Chancellor Palpatine not join him.,Revenge of the Sith
232,OBI-WAN, Anakin. . .,Revenge of the Sith
233,ANAKIN, Ready.,Revenge of the Sith
237,OBI-WAN, . . . fuel. The slightest charge from our sabers will send this ship into oblivion. That's why they've stopped shooting.,Revenge of the Sith
238,ANAKIN, Well then we're safe for the time being.,Revenge of the Sith
239,OBI-WAN, Your idea of safe is not the same as mine.,Revenge of the Sith
241,ANAKIN, They're sealing this section off.,Revenge of the Sith
242,OBI-WAN, Six droids coming our way!,Revenge of the Sith
244,ANAKIN, Keep moving. There must be vents . . . This way.,Revenge of the Sith
246,OBI-WAN, We'll never get through that. It's too small!,Revenge of the Sith
249,ANAKIN, I found our escape vent.,Revenge of the Sith
250,OBI-WAN, Anakin this is no time for jokes. We're in serious trouble here.,Revenge of the Sith
251,ANAKIN, Only in your mind. My Master. Look no structure. . . .,Revenge of the Sith
255,ANAKIN, Here's a way out.,Revenge of the Sith
261,OBI-WAN, That won't hold when the fuel hits those power dischargers.,Revenge of the Sith
262,ANAKIN, The blast will break the hull. This side's pressurized.,Revenge of the Sith
263,OBI-WAN, You still have much to learn Anakin.,Revenge of the Sith
266,SUPER BATTLE DROID R77, I have a bad feeling about this.,Revenge of the Sith
273,OBI-WAN, All right you win. I have much to learn. Let's go!,Revenge of the Sith
277,ANAKIN, Destroyers!!,Revenge of the Sith
279,BATTLE DROID, Drop your weapons! I said drop 'em.,Revenge of the Sith
285,OBI-WAN, Did you press the stop button?,Revenge of the Sith
286,ANAKIN, No did you?,Revenge of the Sith
287,OBI-WAN, No!,Revenge of the Sith
288,ANAKIN, Well there's more than one way out of here.,Revenge of the Sith
290,OBI-WAN, We don't want to get out we want to get moving. Artoo . . . Artoo. Do you copy? Activate elevator . . .  . . . 31174 . . .,Revenge of the Sith
294,SUPER BATTLE DROID 1, What's that?,Revenge of the Sith
295,SUPER BATTLE DROID 2, Get back to work. It's nothing.,Revenge of the Sith
297,OBI-WAN, Artoo?,Revenge of the Sith
299,OBI-WAN,  Always on the move.,Revenge of the Sith
303,OBI-WAN,  Artoo switch on the comlink. Artoo do you hear me? Artoo we gave you a job to do! Artoo.,Revenge of the Sith
308,OBI-WAN, Stop stop! Artoo we need to be going up.,Revenge of the Sith
311,DROID 1, Hands up Jedi! Don't move.,Revenge of the Sith
312,DROID 2, Roger roger.,Revenge of the Sith
315,SUPER BATTLE DROID 1, There it is again.,Revenge of the Sith
