,index,Script,Characters,Dialogue,Movie,Gender
68,77,OBI-WAN: (continuing) I'm hit! Anakin?,OBI-WAN,  I'm hit! Anakin?,Revenge of the Sith,Male
69,78,ANAKIN: I see them . . . Buzz Droids.,ANAKIN, I see them . . . Buzz Droids.,Revenge of the Sith,Male
70,79,OBI-WAN: Arfour be careful. You have one . . .,OBI-WAN, Arfour be careful. You have one . . .,Revenge of the Sith,Male
71,80,OBI-WAN: Oh dear. They're shutting down all the controls.,OBI-WAN, Oh dear. They're shutting down all the controls.,Revenge of the Sith,Male
72,81,ANAKIN: Move to the right so I can get a clear shot at them.,ANAKIN, Move to the right so I can get a clear shot at them.,Revenge of the Sith,Male
73,82,OBI-WAN: The mission. Get to the Command Ship. Get the Chancellor! I'm running out of tricks here.,OBI-WAN, The mission. Get to the Command Ship. Get the Chancellor! I'm running out of tricks here.,Revenge of the Sith,Male
74,83,OBI-WAN: (continuing) In the name of ...,OBI-WAN,  In the name of ...,Revenge of the Sith,Male
75,84,ANAKIN: Steady . . . steady . . .,ANAKIN, Steady . . . steady . . .,Revenge of the Sith,Male
76,85,OBI-WAN: Anakin hold your fire . . . hold your fire. You're not helping here.,OBI-WAN, Anakin hold your fire . . . hold your fire. You're not helping here.,Revenge of the Sith,Male
77,86,ANAKIN: I agree bad idea. Swing right . . . ease over . . . steady . . .,ANAKIN, I agree bad idea. Swing right . . . ease over . . . steady . . .,Revenge of the Sith,Male
78,87,OBI-WAN: Wait . . . wait . . . I can't see a thing! My cockpit's fogging. They're all over me Anakin.,OBI-WAN, Wait . . . wait . . . I can't see a thing! My cockpit's fogging. They're all over me Anakin.,Revenge of the Sith,Male
79,88,ANAKIN: Move to the right.,ANAKIN, Move to the right.,Revenge of the Sith,Male
80,89,OBI-WAN: Hold on Anakin. You're going to get us both killed! Get out of here. There's nothing more you can do.,OBI-WAN, Hold on Anakin. You're going to get us both killed! Get out of here. There's nothing more you can do.,Revenge of the Sith,Male
81,90,ANAKIN: I'm not leaving without you Master.,ANAKIN, I'm not leaving without you Master.,Revenge of the Sith,Male
82,91,OBI-WAN: Blast it ... I can't see . . . my controls are gone.,OBI-WAN, Blast it ... I can't see . . . my controls are gone.,Revenge of the Sith,Male
83,92,ANAKIN: Get 'em Artoo. Watch out!,ANAKIN, Get 'em Artoo. Watch out!,Revenge of the Sith,Male
84,93,OBI-WAN: Artoo hit the buzz droid's center eye.,OBI-WAN, Artoo hit the buzz droid's center eye.,Revenge of the Sith,Male
85,94,ANAKIN: Yeah you got him!,ANAKIN, Yeah you got him!,Revenge of the Sith,Male
86,95,OBI-WAN: Great Artoo.,OBI-WAN, Great Artoo.,Revenge of the Sith,Male
87,96,ANAKIN: Stay on my wing . . . the General's Command Ship is dead ahead. Easy . . . pull up ... Head for the hangar.,ANAKIN, Stay on my wing . . . the General's Command Ship is dead ahead. Easy . . . pull up ... Head for the hangar.,Revenge of the Sith,Male
88,97,OBI-WAN: Have you noticed the shields are still up?,OBI-WAN, Have you noticed the shields are still up?,Revenge of the Sith,Male
89,98,ANAKIN: Oh?!? Sorry Master.,ANAKIN, Oh?!? Sorry Master.,Revenge of the Sith,Male
90,99,OBI-WAN: Oh I have a bad feeling about this.,OBI-WAN, Oh I have a bad feeling about this.,Revenge of the Sith,Male
91,100,OBI-WAN: Artoo locate the Chancellor.,OBI-WAN, Artoo locate the Chancellor.,Revenge of the Sith,Male
92,101,ANAKIN: Tap into the ship's computers.,ANAKIN, Tap into the ship's computers.,Revenge of the Sith,Male
93,102,OBI-WAN: The Chancellor's signal is coming from right there. The observation platform at the top of that spire.,OBI-WAN, The Chancellor's signal is coming from right there. The observation platform at the top of that spire.,Revenge of the Sith,Male
94,103,ANAKIN: I sense Count Dooku . . .,ANAKIN, I sense Count Dooku . . .,Revenge of the Sith,Male
95,104,OBI-WAN: I sense a trap.,OBI-WAN, I sense a trap.,Revenge of the Sith,Male
96,105,ANAKIN: Next move?,ANAKIN, Next move?,Revenge of the Sith,Male
97,106,OBI-WAN: Spring the trap.,OBI-WAN, Spring the trap.,Revenge of the Sith,Male
98,107,ANAKIN: Artoo go back. I need you to stay with the ship.,ANAKIN, Artoo go back. I need you to stay with the ship.,Revenge of the Sith,Male
99,108,OBI-WAN: Here take this and wait for orders.,OBI-WAN, Here take this and wait for orders.,Revenge of the Sith,Male
100,109,GENERAL GRIEVOUS: What's the situation Captain?,GENERAL GRIEVOUS, What's the situation Captain?,Revenge of the Sith,Droid
101,110,CAPTAIN: TWO Jedi have landed in the main hangar bay.,CAPTAIN, TWO Jedi have landed in the main hangar bay.,Revenge of the Sith,Male
102,111,GENERAL GRIEVOUS: Just as Count Dooku predicted.,GENERAL GRIEVOUS, Just as Count Dooku predicted.,Revenge of the Sith,Droid
103,112,BODYGUARD I: General Kenobi Anakin Skywalker. We've been waiting for you.,BODYGUARD I, General Kenobi Anakin Skywalker. We've been waiting for you.,Revenge of the Sith,Male
104,113,OBI-WAN: We are here to relieve you of Chancellor Palpatine not join him.,OBI-WAN, We are here to relieve you of Chancellor Palpatine not join him.,Revenge of the Sith,Male
105,114,OBI-WAN: Anakin. . .,OBI-WAN, Anakin. . .,Revenge of the Sith,Male
106,115,ANAKIN: Ready.,ANAKIN, Ready.,Revenge of the Sith,Male
107,116,OBI-WAN: . . . fuel. The slightest charge from our sabers will send this ship into oblivion. That's why they've stopped shooting.,OBI-WAN, . . . fuel. The slightest charge from our sabers will send this ship into oblivion. That's why they've stopped shooting.,Revenge of the Sith,Male
108,117,ANAKIN: Well then we're safe for the time being.,ANAKIN, Well then we're safe for the time being.,Revenge of the Sith,Male
109,118,OBI-WAN: Your idea of safe is not the same as mine.,OBI-WAN, Your idea of safe is not the same as mine.,Revenge of the Sith,Male
110,119,ANAKIN: They're sealing this section off.,ANAKIN, They're sealing this section off.,Revenge of the Sith,Male
111,120,OBI-WAN: Six droids coming our way!,OBI-WAN, Six droids coming our way!,Revenge of the Sith,Male
112,121,ANAKIN: Keep moving. There must be vents . . . This way.,ANAKIN, Keep moving. There must be vents . . . This way.,Revenge of the Sith,Male
113,122,OBI-WAN: We'll never get through that. It's too small!,OBI-WAN, We'll never get through that. It's too small!,Revenge of the Sith,Male
114,123,ANAKIN: I found our escape vent.,ANAKIN, I found our escape vent.,Revenge of the Sith,Male
115,124,OBI-WAN: Anakin this is no time for jokes. We're in serious trouble here.,OBI-WAN, Anakin this is no time for jokes. We're in serious trouble here.,Revenge of the Sith,Male
116,125,ANAKIN: Only in your mind. My Master. Look no structure. . . .,ANAKIN, Only in your mind. My Master. Look no structure. . . .,Revenge of the Sith,Male
117,126,ANAKIN: Here's a way out.,ANAKIN, Here's a way out.,Revenge of the Sith,Male
118,127,OBI-WAN: That won't hold when the fuel hits those power dischargers.,OBI-WAN, That won't hold when the fuel hits those power dischargers.,Revenge of the Sith,Male
119,128,ANAKIN: The blast will break the hull. This side's pressurized.,ANAKIN, The blast will break the hull. This side's pressurized.,Revenge of the Sith,Male
120,129,OBI-WAN: You still have much to learn Anakin.,OBI-WAN, You still have much to learn Anakin.,Revenge of the Sith,Male
121,130,SUPER BATTLE DROID R77: I have a bad feeling about this.,SUPER BATTLE DROID R77, I have a bad feeling about this.,Revenge of the Sith,Droid
122,131,OBI-WAN: All right you win. I have much to learn. Let's go!,OBI-WAN, All right you win. I have much to learn. Let's go!,Revenge of the Sith,Male
123,132,ANAKIN: Destroyers!!,ANAKIN, Destroyers!!,Revenge of the Sith,Male
124,133,BATTLE DROID: Drop your weapons! I said drop 'em.,BATTLE DROID, Drop your weapons! I said drop 'em.,Revenge of the Sith,Droid
125,134,OBI-WAN: Did you press the stop button?,OBI-WAN, Did you press the stop button?,Revenge of the Sith,Male
126,135,ANAKIN: No did you?,ANAKIN, No did you?,Revenge of the Sith,Male
127,136,OBI-WAN: No!,OBI-WAN, No!,Revenge of the Sith,Male
128,137,ANAKIN: Well there's more than one way out of here.,ANAKIN, Well there's more than one way out of here.,Revenge of the Sith,Male
129,138,OBI-WAN: We don't want to get out we want to get moving. Artoo . . . Artoo. Do you copy? Activate elevator . . . (looks at control panel) . . . 31174 . . .,OBI-WAN, We don't want to get out we want to get moving. Artoo . . . Artoo. Do you copy? Activate elevator . . .  . . . 31174 . . .,Revenge of the Sith,Male
130,139,SUPER BATTLE DROID 1: What's that?,SUPER BATTLE DROID 1, What's that?,Revenge of the Sith,Droid
131,140,SUPER BATTLE DROID 2: Get back to work. It's nothing.,SUPER BATTLE DROID 2, Get back to work. It's nothing.,Revenge of the Sith,Droid
132,141,OBI-WAN: Artoo?,OBI-WAN, Artoo?,Revenge of the Sith,Male
133,142,OBI-WAN: (continuing) Always on the move.,OBI-WAN,  Always on the move.,Revenge of the Sith,Male
134,143,OBI-WAN: (OS) Artoo switch on the comlink. Artoo do you hear me? Artoo we gave you a job to do! Artoo.,OBI-WAN,  Artoo switch on the comlink. Artoo do you hear me? Artoo we gave you a job to do! Artoo.,Revenge of the Sith,Male
135,144,OBI-WAN: Stop stop! Artoo we need to be going up.,OBI-WAN, Stop stop! Artoo we need to be going up.,Revenge of the Sith,Male
136,145,DROID 1: Hands up Jedi! Don't move.,DROID 1, Hands up Jedi! Don't move.,Revenge of the Sith,Droid
137,146,DROID 2: Roger roger.,DROID 2, Roger roger.,Revenge of the Sith,Droid
138,147,SUPER BATTLE DROID 1: There it is again.,SUPER BATTLE DROID 1, There it is again.,Revenge of the Sith,Droid
139,148,OBI-WAN: (OS) Artoo do you copy? Artoo do you hear me? Artoo we need to be going up not down.,OBI-WAN,  Artoo do you copy? Artoo do you hear me? Artoo we need to be going up not down.,Revenge of the Sith,Male
140,149,OBI-WAN: Stop. Artoo! We need to go up! Stop stop!,OBI-WAN, Stop. Artoo! We need to go up! Stop stop!,Revenge of the Sith,Male
141,150,SUPER BATTLE DROID 1: Hey you!,SUPER BATTLE DROID 1, Hey you!,Revenge of the Sith,Droid
142,151,OBI-WAN: Now that's better . . .,OBI-WAN, Now that's better . . .,Revenge of the Sith,Male
143,152,SUPER BATTLE DROID 1: You stupid little astro droid!,SUPER BATTLE DROID 1, You stupid little astro droid!,Revenge of the Sith,Droid
144,153,OBI-WAN: Oh it's you . . .,OBI-WAN, Oh it's you . . .,Revenge of the Sith,Male
145,154,ANAKIN: What was that all about?,ANAKIN, What was that all about?,Revenge of the Sith,Male
146,155,OBI-WAN: Well Artoo has been . . .,OBI-WAN, Well Artoo has been . . .,Revenge of the Sith,Male
147,156,ANAKIN: No loose wire jokes . . . He's doing the best he can.,ANAKIN, No loose wire jokes . . . He's doing the best he can.,Revenge of the Sith,Male
148,157,OBI-WAN: Did I say anything?,OBI-WAN, Did I say anything?,Revenge of the Sith,Male
149,158,ANAKIN: He's trying!,ANAKIN, He's trying!,Revenge of the Sith,Male
150,159,OBI-WAN: I didn't say anything!,OBI-WAN, I didn't say anything!,Revenge of the Sith,Male
151,160,OBI-WAN: (bows) Chancellor.,OBI-WAN,  Chancellor.,Revenge of the Sith,Male
152,161,ANAKIN: Are you all right?,ANAKIN, Are you all right?,Revenge of the Sith,Male
153,162,PALPATINE: (quietly) Count Dooku.,PALPATINE,  Count Dooku.,Revenge of the Sith,Male
154,163,OBI-WAN: (quietly to Anakin) This time we will do it together.,OBI-WAN,  This time we will do it together.,Revenge of the Sith,Male
155,164,ANAKIN: I was about to say that.,ANAKIN, I was about to say that.,Revenge of the Sith,Male
156,165,PALPATINE: Get help! You're no match for him. He's a Sith Lord.,PALPATINE, Get help! You're no match for him. He's a Sith Lord.,Revenge of the Sith,Male
157,166,OBI-WAN: Chancellor Palpatine Sith Lords are our specialty.,OBI-WAN, Chancellor Palpatine Sith Lords are our specialty.,Revenge of the Sith,Male
158,167,COUNT DOOKU: Your swords please Master Jedi. We don't want to make a mess of things in front of the Chancellor.,COUNT DOOKU, Your swords please Master Jedi. We don't want to make a mess of things in front of the Chancellor.,Revenge of the Sith,Male
159,168,OBI-WAN: You won't get away this time Dooku.,OBI-WAN, You won't get away this time Dooku.,Revenge of the Sith,Male
160,169,COUNT DOOKU: I've been looking forward to this.,COUNT DOOKU, I've been looking forward to this.,Revenge of the Sith,Male
161,170,ANAKIN: My powers have doubled since the last time we met Count.,ANAKIN, My powers have doubled since the last time we met Count.,Revenge of the Sith,Male
162,171,COUNT DOOKU: Good. Twice the pride double the fall.,COUNT DOOKU, Good. Twice the pride double the fall.,Revenge of the Sith,Male
163,172,COUNT DOOKU: (continuing) Your moves are clumsy Kenobi . . . too predictable. You'll have to do better.,COUNT DOOKU,  Your moves are clumsy Kenobi . . . too predictable. You'll have to do better.,Revenge of the Sith,Male
164,173,COUNT DOOKU: (continuing) I sense great fear in you Skywalker. You have hate you have anger but you dont use them.,COUNT DOOKU,  I sense great fear in you Skywalker. You have hate you have anger but you dont use them.,Revenge of the Sith,Male
165,174,PALPATINE: Good Anakin good. I knew you could do it. Kill him. Kill him now!,PALPATINE, Good Anakin good. I knew you could do it. Kill him. Kill him now!,Revenge of the Sith,Male
166,175,ANAKIN: I shouldn't . . .,ANAKIN, I shouldn't . . .,Revenge of the Sith,Male
167,176,PALPATINE: Do it!!,PALPATINE, Do it!!,Revenge of the Sith,Male
168,177,ANAKIN: ... I couldn't stop myself.,ANAKIN, ... I couldn't stop myself.,Revenge of the Sith,Male
169,178,PALPATINE: You did well Anakin. He was too dangerous to be kept alive.,PALPATINE, You did well Anakin. He was too dangerous to be kept alive.,Revenge of the Sith,Male
170,179,ANAKIN: Yes but he was an unarmed prisoner.,ANAKIN, Yes but he was an unarmed prisoner.,Revenge of the Sith,Male
171,180,ANAKIN: (continuing) I shouldn't have done that Chancellor. It's not the Jedi way.,ANAKIN,  I shouldn't have done that Chancellor. It's not the Jedi way.,Revenge of the Sith,Male
172,181,PALPATINE: It is only natural. He cut off your arm and you wanted revenge. It wasn't the first time Anakin. Remember what you told me about your mother and the Sand People. Now we must leave before more security droids arrive.,PALPATINE, It is only natural. He cut off your arm and you wanted revenge. It wasn't the first time Anakin. Remember what you told me about your mother and the Sand People. Now we must leave before more security droids arrive.,Revenge of the Sith,Male
173,182,PALPATINE: (continuing) Anakin there is no time. We must get off the ship before it's too late.,PALPATINE,  Anakin there is no time. We must get off the ship before it's too late.,Revenge of the Sith,Male
174,183,ANAKIN: He seems to be all right. No broken bones breathing's all right.,ANAKIN, He seems to be all right. No broken bones breathing's all right.,Revenge of the Sith,Male
175,184,PALPATINE: Leave him or we'll never make it.,PALPATINE, Leave him or we'll never make it.,Revenge of the Sith,Male
176,185,ANAKIN: His fate will be the same as ours.,ANAKIN, His fate will be the same as ours.,Revenge of the Sith,Male
177,186,GENERAL GRIEVOUS: Prepare for attack.,GENERAL GRIEVOUS, Prepare for attack.,Revenge of the Sith,Droid
178,187,PILOT: All batteries fire! Fire!,PILOT, All batteries fire! Fire!,Revenge of the Sith,Male
179,188,ANAKIN: The elevator's not working (into his comlink) Artoo . . .,ANAKIN, The elevator's not working  Artoo . . .,Revenge of the Sith,Male
180,189,ANAKIN: (continuing) . . . Activate Elevator 3224.,ANAKIN,  . . . Activate Elevator 3224.,Revenge of the Sith,Male
181,190,ANAKIN: (continuing) Artoo ... do you copy? Artoo come in!,ANAKIN,  Artoo ... do you copy? Artoo come in!,Revenge of the Sith,Male
182,191,PILOT: Reverse stabilizers.,PILOT, Reverse stabilizers.,Revenge of the Sith,Male
183,192,PILOT: Magnetize! Magnetize!,PILOT, Magnetize! Magnetize!,Revenge of the Sith,Male
184,193,ANAKIN: We can't wait. Come on we have to be fast.,ANAKIN, We can't wait. Come on we have to be fast.,Revenge of the Sith,Male
185,194,GENERAL GRIEVOUS: Fire the emergency booster engines.,GENERAL GRIEVOUS, Fire the emergency booster engines.,Revenge of the Sith,Droid
186,195,PILOT: Leveling out sir.,PILOT, Leveling out sir.,Revenge of the Sith,Male
187,196,ANAKIN: Easy. . . . We're in a bit of a situation.,ANAKIN, Easy. . . . We're in a bit of a situation.,Revenge of the Sith,Male
188,197,OBI-WAN: Did I miss something?,OBI-WAN, Did I miss something?,Revenge of the Sith,Male
189,198,ANAKINN: Hold on.,ANAKIN, Hold on.,Revenge of the Sith,Male
190,199,OBI-WAN: What is that?,OBI-WAN, What is that?,Revenge of the Sith,Male
191,200,OBI-WAN: (continuing) Oops.,OBI-WAN,  Oops.,Revenge of the Sith,Male
192,201,ANAKIN: Artoo Artoo shut down the elevator!,ANAKIN, Artoo Artoo shut down the elevator!,Revenge of the Sith,Male
193,202,OBI-WAN: Too late! Jump!,OBI-WAN, Too late! Jump!,Revenge of the Sith,Male
194,203,OBI-WAN: Let's see if we can find something in the hangar bay that's still flyable. Come on.,OBI-WAN, Let's see if we can find something in the hangar bay that's still flyable. Come on.,Revenge of the Sith,Male
195,204,ANAKIN: Artoo get down here. Artoo do you copy?,ANAKIN, Artoo get down here. Artoo do you copy?,Revenge of the Sith,Male
196,205,OBI-WAN:  of those ships will get us anywhere.,OBI-WAN,  of those ships will get us anywhere.,Revenge of the Sith,Male
197,206,ANAKIN: I agree.,ANAKIN, I agree.,Revenge of the Sith,Male
198,207,PALPATINE: What are we going to do?,PALPATINE, What are we going to do?,Revenge of the Sith,Male
199,208,ANAKIN: I don't know.,ANAKIN, I don't know.,Revenge of the Sith,Male
200,209,OBI-WAN: Don't look at me. I don't know.,OBI-WAN, Don't look at me. I don't know.,Revenge of the Sith,Male
201,210,ANAKIN: Here Chancellor lock this around your waist and hold on.,ANAKIN, Here Chancellor lock this around your waist and hold on.,Revenge of the Sith,Male
202,211,OBI-WAN: We'll head toward the bridge and see if we can find an escape pod.,OBI-WAN, We'll head toward the bridge and see if we can find an escape pod.,Revenge of the Sith,Male
203,212,ANAKIN/OBI-WAN: Well that was close.,ANAKIN/OBI-WAN, Well that was close.,Revenge of the Sith,Male
204,213,BODYGUARD: General we found the Jedi. They're in hallway 328.,BODYGUARD, General we found the Jedi. They're in hallway 328.,Revenge of the Sith,Male
205,213,BODYGUARD: General we found the Jedi. They're in hallway 328.,BODYGUARD, General we found the Jedi. They're in hallway 328.,Revenge of the Sith,Male
206,213,BODYGUARD: General we found the Jedi. They're in hallway 328.,BODYGUARD, General we found the Jedi. They're in hallway 328.,Revenge of the Sith,Male
207,213,BODYGUARD: General we found the Jedi. They're in hallway 328.,BODYGUARD, General we found the Jedi. They're in hallway 328.,Revenge of the Sith,Male
208,213,BODYGUARD: General we found the Jedi. They're in hallway 328.,BODYGUARD, General we found the Jedi. They're in hallway 328.,Revenge of the Sith,Male
209,213,BODYGUARD: General we found the Jedi. They're in hallway 328.,BODYGUARD, General we found the Jedi. They're in hallway 328.,Revenge of the Sith,Male
