,Movie,gender,tropes
85,Revenge of the Sith,he,stops
86,Revenge of the Sith,he,moves
87,Revenge of the Sith,he,can
88,Revenge of the Sith,he,watches
89,Revenge of the Sith,he,finds
90,Revenge of the Sith,he,exits
91,Revenge of the Sith,he,is
92,Revenge of the Sith,he,climbs
93,Revenge of the Sith,he,dives
94,Revenge of the Sith,he,finds
95,Revenge of the Sith,he,swims
96,Revenge of the Sith,he,starts
97,Revenge of the Sith,he,comes
98,Revenge of the Sith,he,is
99,Revenge of the Sith,he,runs
100,Revenge of the Sith,he,punches
101,Revenge of the Sith,he,raises
102,Revenge of the Sith,he,enters
103,Revenge of the Sith,he,is
104,Revenge of the Sith,he,sees
105,Revenge of the Sith,he,quickly
106,Revenge of the Sith,he,places
107,Revenge of the Sith,he,jumps
108,Revenge of the Sith,he,falls
109,Revenge of the Sith,he,gets
110,Revenge of the Sith,he,uses
111,Revenge of the Sith,he,rips
112,Revenge of the Sith,he,pushes
113,Revenge of the Sith,he,looks
114,Revenge of the Sith,he,talks
115,Revenge of the Sith,he,slows
116,Revenge of the Sith,he,is
117,Revenge of the Sith,he,grabs
118,Revenge of the Sith,he,immediately
119,Revenge of the Sith,he,is
120,Revenge of the Sith,he,sees
121,Revenge of the Sith,he,swings
122,Revenge of the Sith,he,catches
123,Revenge of the Sith,he,yells
124,Revenge of the Sith,he,keeps
125,Revenge of the Sith,he,stops
126,Revenge of the Sith,he,struggles
127,Revenge of the Sith,he,looks
128,Revenge of the Sith,he,brushes
129,Revenge of the Sith,he,sits
130,Revenge of the Sith,he,turns
131,Revenge of the Sith,he,takes
132,Revenge of the Sith,he,is
133,Revenge of the Sith,he,dismounts
0,Revenge of the Sith,she,steps
1,Revenge of the Sith,she,is
2,Revenge of the Sith,she,takes
3,Revenge of the Sith,she,senses
4,Revenge of the Sith,she,stands
5,Revenge of the Sith,she,walks
6,Revenge of the Sith,she,tries
7,Revenge of the Sith,she,hits
8,Revenge of the Sith,she,can
9,Revenge of the Sith,she,starts
10,Revenge of the Sith,she,reveals
11,Revenge of the Sith,she,is
12,Revenge of the Sith,she,studies
13,Revenge of the Sith,she,starts
14,Revenge of the Sith,she,crumples
15,Revenge of the Sith,she,struggles
16,Revenge of the Sith,she,is
17,Revenge of the Sith,she,dies
18,Revenge of the Sith,she,takes
0,Attack of the Clones,he, is
1,Attack of the Clones,he, moves
2,Attack of the Clones,he, looks
3,Attack of the Clones,he, is
4,Attack of the Clones,he, reaches
5,Attack of the Clones,he, has
6,Attack of the Clones,he, goes
7,Attack of the Clones,he, manages
8,Attack of the Clones,he, dives
9,Attack of the Clones,he, spots
10,Attack of the Clones,he, seems
11,Attack of the Clones,he, watches
12,Attack of the Clones,he, chases
13,Attack of the Clones,he, loses
14,Attack of the Clones,he, moves
15,Attack of the Clones,he, signals
16,Attack of the Clones,he, touches
17,Attack of the Clones,he, passes
18,Attack of the Clones,he, flashes
19,Attack of the Clones,he, grabs
20,Attack of the Clones,he, is
21,Attack of the Clones,he, wakes
22,Attack of the Clones,he, is
23,Attack of the Clones,he, stares
24,Attack of the Clones,he, has
25,Attack of the Clones,he, says
26,Attack of the Clones,he, watches
27,Attack of the Clones,he, looks
28,Attack of the Clones,he, touches
29,Attack of the Clones,he, looks
30,Attack of the Clones,he, manages
31,Attack of the Clones,he, loses
32,Attack of the Clones,he, is
33,Attack of the Clones,he, catches
34,Attack of the Clones,he, pulls
35,Attack of the Clones,he, takes
36,Attack of the Clones,he, is
37,Attack of the Clones,he, hasn
38,Attack of the Clones,he, is
39,Attack of the Clones,he, runs
40,Attack of the Clones,he, swoops
41,Attack of the Clones,he, shoots
42,Attack of the Clones,he, kicks
43,Attack of the Clones,he, falls
44,Attack of the Clones,he, drops
45,Attack of the Clones,he, clambers
46,Attack of the Clones,he, punches
47,Attack of the Clones,he, balances
48,Attack of the Clones,he, ship
49,Attack of the Clones,he, throws
50,Attack of the Clones,he, can
51,Attack of the Clones,he, stops
52,Attack of the Clones,he, starts
53,Attack of the Clones,he, arrives
54,Attack of the Clones,he, takes
55,Attack of the Clones,he, sits
56,Attack of the Clones,he, stop
57,Attack of the Clones,he, isn
58,Attack of the Clones,he, is
59,Attack of the Clones,he, is
60,Attack of the Clones,he, jumps
61,Attack of the Clones,he, is
62,Attack of the Clones,he, whirls
63,Attack of the Clones,he, hauls
64,Attack of the Clones,he, turns
65,Attack of the Clones,he, surveys
66,Attack of the Clones,he, picks
67,Attack of the Clones,he, drives
68,Attack of the Clones,he, forces
69,Attack of the Clones,he, tosses
70,Attack of the Clones,he, loses
71,Attack of the Clones,he, stops
72,Attack of the Clones,he, rains
73,Attack of the Clones,he, parries
74,Attack of the Clones,he, staggers
75,Attack of the Clones,he, uses
