,Characters,Dialogue,Movie,Gender,length
1100,JYN ERSO, Must be quite a surprise.,Rogue One,Female,5
1101,SAW GERRERA, Are we not still friends?,Rogue One,Male,5
1102,JYN ERSO, The last time I saw you you gave me a knife and loaded blaster and told me to wait in a bunker until daylight.,Rogue One,Female,24
1103,SAW GERRERA, I knew you were safe.,Rogue One,Male,5
1104,JYN ERSO, You left me behind.,Rogue One,Female,4
1105,SAW GERRERA, You were already the best soldier in my cadre.,Rogue One,Male,9
1106,JYN ERSO, I was sixteen.,Rogue One,Female,3
1107,SAW GERRERA, I was protecting you!,Rogue One,Male,4
1108,JYN ERSO, You dumped me!,Rogue One,Female,3
1109,SAW GERRERA, You were the daughter of an Imperial science officer! People were starting to figure that out. People who wanted to- to use you as a hostage. Not a day goes by that I don't think of you. But today of all days? It's a trap isn't it?,Rogue One,Male,47
1110,JYN ERSO, What?,Rogue One,Female,1
1111,SAW GERRERA, The pilot! The message. All of it. Did they... send you? Did you come here to kill me? There's not much of me left.,Rogue One,Male,24
1112,JYN ERSO, The Alliance wants my father.They think he's sent you a message about a weapon. I guess they think by sending me you might actually help them out.,Rogue One,Female,27
1113,SAW GERRERA, So what is it that you want Jyn?,Rogue One,Male,8
1114,JYN ERSO, They wanted an introduction they've got it. I'm out now. The rest of you can do what you want.,Rogue One,Female,19
1115,SAW GERRERA, You care not about the cause?,Rogue One,Male,6
1116,JYN ERSO, The cause? Seriously? The Alliance? The...The rebels? Whatever it is you're calling yourself these days?All it's ever brought me is pain.,Rogue One,Female,21
1117,SAW GERRERA, You can stand to see the Imperial flag reign across the galaxy?,Rogue One,Male,12
1118,JYN ERSO, It's not a problem if you don't look up.,Rogue One,Female,9
1119,SAW GERRERA, I have something to show you come.,Rogue One,Male,7
1120,TARKIN, The Emperor is awaiting my report.,Rogue One,Male,6
1121,KRENNIC, One had hoped that he and Lord Vader might have been here for such an occasion.,Rogue One,Male,16
1122,TARKIN, And I thought it prudent to save you from any potential embarrassment.,Rogue One,Male,12
1123,KRENNIC,Your concern is hardly warranted.,Rogue One,Male,5
1124,TARKIN, If saying it would only make it so.,Rogue One,Male,8
1125,KRENNIC,All Imperial forces have been evacuated and I stand ready to destroy the entire moon.,Rogue One,Male,15
1126,OFFICER, Sir we're in position ready to...,Rogue One,Male,6
1127,KRENNIC, Fire!,Rogue One,Male,1
1128,OFFICER, Commence primary ignition.,Rogue One,Male,3
1129,CHIRRUT, Who's the one in the next cell?,Rogue One,Male,7
1130,CASSIAN, What? Where?,Rogue One,Male,2
1131,BAZE, An Imperial pilot.,Rogue One,Male,3
1132,CASSIAN, Pilot?,Rogue One,Male,1
1133,BAZE, I'm going to kill him!,Rogue One,Male,5
1134,CASSIAN, No no No wait!,Rogue One,Male,4
1135,BAZE, Come here!,Rogue One,Male,2
1136,CASSIAN, NO!,Rogue One,Male,1
1137,BAZE, Back off. Back off.,Rogue One,Male,4
1138,CASSIAN, Okay.,Rogue One,Male,1
1139,CASSIAN, Are you the pilot? Hey heyare you the pilot? The shuttle pilot? Pilot?,Rogue One,Male,13
1140,CHIRRUT, What's wrong with him?,Rogue One,Male,4
1141,CASSIAN,Galen Erso. You know that name?,Rogue One,Male,6
1142,BODHI, I brought the message I'm the pilot.I'm the pilot. I'm the pilot.,Rogue One,Male,12
1143,CASSIAN, Okay good. Now where is Galen Erso?,Rogue One,Male,7
1144,OFFICER, Standby.,Rogue One,Male,1
1145,SAW GERRERA, This is the message I was sent.,Rogue One,Male,7
