,Characters,Dialogue,Movie,Gender,length
1367,DARTH VADER,I expect you to not rest until you can assure the Emperor that Galen Erso has not compromised this weapon in any way.,Rogue One,Male,23
1368,KRENNIC,So I'm still in command? You'll speak to the Emperor about…,Rogue One,Male,11
1369,DARTH VADER,Be careful not to choke on your aspirations Director.,Rogue One,Male,9
1370,PAMLO, We must scatter the fleet. We have no recourse but to surrender.,Rogue One,Female,12
1371,ORGANA, Are we really talking about disbanding something that we've worked so hard to create?,Rogue One,,14
1372,RADDUS, We can't just give in.,Rogue One,Male,5
1373,VASPAR, We joined an Alliance not a suicide pact!,Rogue One,Male,8
1374,ORGANA, We've only now managed to gather our forces.,Rogue One,,8
1375,JEBEL, Gather our forces? General Draven's already blown up an Imperial base!,Rogue One,Male,11
1376,GENERAL DRAVEN, A decision needed to be made.,Rogue One,,6
1377,PAMLO, If it's war you want you'll fight alone!,Rogue One,Female,8
1378,VASPAR, If that's the way it's going why have an Alliance at all?,Rogue One,Male,12
1379,RADDUS, If she's telling the truth we need to act now!,Rogue One,Male,10
1380,MON MOTHMA, Councilors please!,Rogue One,Female,2
1381,BLUE LEADER, It is simple the Empire has the means of mass destruction. The Rebellion does not.,Rogue One,Male,15
1382,JEBEL, A Death Star this is nonsense.,Rogue One,Male,6
1383,JYN ERSO, What reason would my father have to lie? What benefit would it bring him?,Rogue One,Female,14
1384,JEBEL, Don't forget the Imperial pilot.,Rogue One,Male,5
1385,JYN ERSO, My father gave his life so that we may have a chance to defeat this.,Rogue One,Female,15
1386,DODONNA, So you've told us.,Rogue One,Male,4
1387,PAMLO, If the Empire has this kind of power what chance do we have?,Rogue One,Female,13
1388,JYN ERSO, What chance do we have? The question is 'What choice?' Run? Hide? Plead for mercy? Scatter your forces? You give way to an enemy this evil with this much power and you condemn the galaxy to an eternity of submission. The time to fight is now!,Rogue One,Female,46
1389,REBEL, What is she proposing?,Rogue One,Male,4
1390,REBEL, Just let the girl speak!,Rogue One,Male,5
1391,JYN ERSO, Send your best troops to Scarif.Send the whole rebel fleet if you have to. We need to capture the Death Star plans if there is any hope of destroying it.,Rogue One,Female,30
1392,PAMLO, You're asking us to invade an Imperial installation based on nothing but hope?,Rogue One,Female,13
1393,JYN ERSO, Rebellions are built on hope.,Rogue One,Female,5
1394,VASPAR, There is no hope.,Rogue One,Male,4
1395,RADDUS, I say we fight.,Rogue One,Male,4
1396,JEBEL, I say the Rebellion is finished.,Rogue One,Male,6
1397,MON MOTHMA, I'm sorry Jyn. Without the full support of the council the odds are too great.,Rogue One,Female,15
1398,PA, General Syndulla please report to the briefing room.,Rogue One,,8
1399,BAZE,You don't look happy.,Rogue One,Male,4
1400,JYN ERSO, They prefer to surrender.,Rogue One,Female,4
1401,BAZE, And you?,Rogue One,Male,2
1402,CHIRRUT, She wants to fight.,Rogue One,Male,4
1403,BODHI, So do I. We all do.,Rogue One,Male,6
1404,CHIRRUT, The Force is strong.,Rogue One,Male,4
1405,JYN ERSO, I'm not sure four of us is quite enough.,Rogue One,Female,9
1406,BAZE, How many do we need?,Rogue One,Male,5
1407,JYN ERSO, What are you talking about?,Rogue One,Female,5
1408,CASSIAN,They were never going to believe you.,Rogue One,Male,7
1409,JYN ERSO, I appreciate the support.,Rogue One,Female,4
1410,CASSIAN, Okay. Gear up. Grab anything that's not nailed down. Go go go!,Rogue One,Male,12
1411,K-2SO, Jyn. I'll be there for you. Cassian said I had to.,Rogue One,Droid,11
1412,K-2SO, Jyn. I'll be there for you. Cassian said I had to.,Rogue One,Droid,11
1413,JYN ERSO, I'm not used to people sticking around when things go bad.,Rogue One,Female,11
1414,CASSIAN, Welcome home.,Rogue One,Male,2
1415,PA, Bravo team to the Intelligence office for extraction mission report.,Rogue One,,10
1416,JYN ERSO, May the Force be with us.,Rogue One,Female,6
1417,FLIGHT CONTROLLER, Cargo shuttle read back please. What's going on out there? That ship's off limits. No one is suppose to be on board until farther instructions.,Rogue One,,25
1418,BODHI, Yes yes we are. Affirmative.,Rogue One,Male,5
1419, FLIGHT CONTROLLER, That's an impounded Imperial ship. What's your call sign pilot?,Rogue One,,10
1420,BODHI, Um.,Rogue One,Male,1
1421,JYN ERSO, We have to go.,Rogue One,Female,4
1422,BODHI,It-It's um...,Rogue One,Male,2
1423,JYN ERSO, Say something. Come on.,Rogue One,Female,4
1424,BODHI, Rogue... Rogue One.,Rogue One,Male,3
1425,FLIGHT CONTROLLER, Rogue One? There is no Rogue One.,Rogue One,,7
1426,K-2SO, Well there is now.,Rogue One,Droid,4
1427,K-2SO, Well there is now.,Rogue One,Droid,4
1428,BODHI, Rogue One pulling away.,Rogue One,Male,4
1429,K-2SO, Pulling away.,Rogue One,Droid,2
1430,K-2SO, Pulling away.,Rogue One,Droid,2
1431,MON MOTHMA, Despite what the others say war is inevitable.,Rogue One,Female,8
1432,SENATOR ORGANA, Yes I agree. I must return to Alderaan to inform my people that there will be no peace. We will need every advantage.,Rogue One,Male,23
1433,MON MOTHMA, Your friend the Jedi.,Rogue One,Female,4
1434,SENATOR ORGANA, He served me well during the Clone Wars and has lived in hiding since the Emperor's purge. Yes I will send for him.,Rogue One,Male,23
1435,MON MOTHMA, You'll need someone you can trust.,Rogue One,Female,6
1436,SENATOR ORGANA, I would trust her with my life. Captain Antilles I have a mission for you.,Rogue One,Male,15
1437,CAPTAIN ANTILLES, Senator.,Rogue One,Male,1
1438,BODHI, Okay we're coming in. There's a planetwide defensive shield with a single main entry gate. This shuttle should be equipped with an access code that allows us through.,Rogue One,Male,28
1439,K-2SO, Assuming the Empire hasn't logged it as overdue.,Rogue One,Droid,8
1440,K-2SO, Assuming the Empire hasn't logged it as overdue.,Rogue One,Droid,8
1441,BODHI,Thenthey shut the gate and we're all annihilated in the cold dark vacuum of space.,Rogue One,Male,15
1442,K-2SO, Not me I can survive in space.,Rogue One,Droid,7
1443,K-2SO, Not me I can survive in space.,Rogue One,Droid,7
1444,BODHI, Okay. Here it goes. Cargo shuttle SW-0608 requesting a landing pad.,Rogue One,Male,11
1445,GATE GUARD, Cargo shuttle SW-0608 you're not listed on the arrival schedule.,Rogue One,,10
1446,BODHI, Acknowledged Gate Control. We were rerouted from Eadu Flight Station. Transmitting clearance code now.,Rogue One,Male,14
1447,K-2SO, Transmitting.,Rogue One,Droid,1
1448,K-2SO, Transmitting.,Rogue One,Droid,1
1449,GATE GUARD, Cargo shuttle SW-0608? You are cleared for entry.,Rogue One,,8
1450,BODHI,- Yes!,Rogue One,Male,2
1451,BODHI, Okay.,Rogue One,Male,1
1452,FLIGHT CONTROLLER, SW-0608 clear for landing pad 9. Acknowledge please.,Rogue One,,8
1453,BODHI, SW-0608 proceeding to LP9 as instructed.,Rogue One,Male,6
1454,CASSIAN, The main building down there what is it?,Rogue One,Male,8
1455,BODHI,That's the Citadel Tower. They keep all the Imperial structure archives in there. If the plans are anywhere they'll be there.,Rogue One,Male,21
1456,CASSIAN, The dish at the top? What's it for?,Rogue One,Male,8
1457,BODHI, I guess it takes a lot of signals to send those data files out.,Rogue One,Male,14
1458,K-2SO, Landing track engaged,Rogue One,Droid,3
1459,K-2SO, Landing track engaged,Rogue One,Droid,3
1460,BODHI, Landing track locked.,Rogue One,Male,3
1461,CASSIAN, We're landing. We're coming in!,Rogue One,Male,5
1462,JYN ERSO, Saw Gerrera used to say1 fighter with a sharp stick and nothing left to lose can take the day. They have no idea we're coming. They have no reason to expect us. If we can make it to the ground we'll take the next chance. And the next.On and on until we win... or the chances are spent. The Death Star plans are down there.CassianK2 and I will find them. We'll find a way to find them. ,Rogue One,Female,77
1463,CASSIAN, Melshi Pao Baze Chirrut you'll take main squad move east and get wide of the ship. Find a position between here and the tower.Once you get to the best spot light the place up. Make ten men feel like a hundred.,Rogue One,Male,41
1464,BAZE, All right.,Rogue One,Male,2
1465,CASSIAN, And get those troopers away from us.,Rogue One,Male,7
1466,BODHI, What should I do?,Rogue One,Male,4
1467,CASSIAN, Keep the engine running. You're our only way out of here.,Rogue One,Male,11
1468,STORMTROOPER, Cargo shuttle SW-0608 be prepared to receive inspection team.,Rogue One,Male,9
1469,JYN ERSO, Ready?,Rogue One,Female,1
1470,INSPECTOR, Hello.,Rogue One,,1
1471,BODHI, Hey you're probably looking for a manifest.,Rogue One,Male,7
1472,PILOT, Director Krennic we are entering the Scarif shield gate. General Ramda has been informed of your arrival.,Rogue One,,17
1473,BAZE, Good luck little sister.,Rogue One,Male,4
1474,BODHI, Go! Go now you're clear!,Rogue One,Male,5
1475,MELSHI, All right let's go. Come on. Move move move.,Rogue One,Male,9
1476,K-2SO, I have a bad feeling about…,Rogue One,Droid,6
1477,K-2SO, I have a bad feeling about…,Rogue One,Droid,6
1478,CASSIAN, Kay!,Rogue One,Male,1
1479,JYN ERSO, Quiet.,Rogue One,Female,1
1480,K-2SO, What?,Rogue One,Droid,1
1481,K-2SO, What?,Rogue One,Droid,1
1482,CASSIAN, We need a map.,Rogue One,Male,4
1483,K-2SO, Well I'm sure there's one just lying about.,Rogue One,Droid,8
1484,K-2SO, Well I'm sure there's one just lying about.,Rogue One,Droid,8
1485,CASSIAN, You know what you have to do.,Rogue One,Male,7
1486,MELSHI, One per pad. Pick your spot. We want to draw them out. I'll call the timing. Go!,Rogue One,Male,17
1487,STORMTROOPER, Hey did you hear the rumors?,Rogue One,Male,6
1488,STORMTROOPER,Yeah the T-15s have been marked obsolete.,Rogue One,Male,7
1489,STORMTROOPER,Oh boy it's about time for that.,Rogue One,Male,7
1490,STORMTROOPER, Hey.,Rogue One,Male,1
1491,STORMTROOPER, Watch out.,Rogue One,Male,2
1492,STORMTROOPER, What the...?,Rogue One,Male,2
1493,RAMDA, Director what brings you to Scarif?,Rogue One,,6
1494,KRENNIC, Galen Erso I want every dispatch every transmission he has ever sent called up for inspection.,Rogue One,Male,16
1495,RAMDA, All of them?,Rogue One,,3
1496,KRENNIC, Yes. All of them. Get started.,Rogue One,Male,6
1497,CASSIAN, Kay?,Rogue One,Male,1
1498,K-2SO, Our optimal route to the data vault places only 89 stormtroopers in our path. We will make it no more than 33% of the way before we are killed.,Rogue One,Droid,29
1499,K-2SO, Our optimal route to the data vault places only 89 stormtroopers in our path. We will make it no more than 33% of the way before we are killed.,Rogue One,Droid,29
1500,CASSIAN, Melshi talk to me.,Rogue One,Male,4
1501,MELSHI, Ready ready. Standing by.,Rogue One,Male,4
1502,CASSIAN, Light it up.,Rogue One,Male,3
1503,KRENNIC, Are we blind?Deploy the garrison! Move!,Rogue One,Male,6
1504,TONC, Troopers! Troopers. Troopers on the left!,Rogue One,Male,6
1505,ROMODI, Sir? Scarif base they're reporting a rebel incursion.,Rogue One,Male,8
1506,TARKIN, I want to speak to Director Krennic.,Rogue One,Male,7
1507,ROMODI, He's there sir. On Scarif.,Rogue One,Male,5
1508,TARKIN, The original plans for this station are kept there are they not?,Rogue One,Male,12
1509,ROMODI, They are.,Rogue One,Male,2
1510,TARKIN, Prepare for the jump to hyperspace and inform Lord Vader.,Rogue One,Male,10
1511,VAULT GUARD, Can I help you?,Rogue One,,4
1512,K-2SO, That won't be necessary.,Rogue One,Droid,4
1513,K-2SO, That won't be necessary.,Rogue One,Droid,4
1514,REBEL, Senator! Senator.,Rogue One,Male,2
1515,REBEL, He's returned to his ship.He's gone to fight.,Rogue One,Male,8
1516,REBEL, No!,Rogue One,Male,1
1517,PA, Attention all flight personnelplease report to your commanders immediately. Attention all flight personnel please report to your commanders immediately. We have been redirected to Scarif. Pilots you'll be briefed by your squadron leaders on route.May the Force be with you.,Rogue One,,40
1518,C-3PO, Scarif?They're going to Scarif? Why does nobody ever tell me anything Artoo? [R2 beeps] Yeah nobody tells us anything.,Rogue One,Droid,19
1519,C-3PO, Scarif?They're going to Scarif? Why does nobody ever tell me anything Artoo? [R2 beeps] Yeah nobody tells us anything.,Rogue One,Droid,19
1520,MELSHI, Fall back! Fall back!,Rogue One,Male,4
1521,CHIRRUT, Keep drawing them out!,Rogue One,Male,4
1522,MELSHI, Go. Go. Move. Move.Come on move up!,Rogue One,Male,7
1523,IMPERIAL, Pad 12 report to ground. Coming at our flank we're outnumbered.,Rogue One,Male,11
1524,IMPERIAL, Pad 12 team what's going on down there. Status please. All Pads report in immediately.,Rogue One,Male,15
1525,IMPERIAL,Unknown we have rebels everywhere.,Rogue One,Male,5
1526,IMPERIAL, We're taking fire Pad 12 Pad 14 request assistance.,Rogue One,Male,9
1527,BODHI, This is Pad 2 Pad 2. I spot 40 rebels heading west on Pad 2. Get on there tell him pinned down by rebels on Pad 5.,Rogue One,Male,27
1528,TONC, This is Pad 5 we're being overrun. Help us!,Rogue One,Male,9
1529,IMPERIAL, Pad 12 Pad 10 Pad 8 please confirm.Confirm and report. Get reinforcements down to Pad 5 immediately!,Rogue One,Male,17
1530,CASSIAN, This is not working Kay.,Rogue One,Male,5
1531,K-2SO, Right hand.,Rogue One,Droid,2
1532,K-2SO, Right hand.,Rogue One,Droid,2
1533,CHIRRUT, Baze! Baze!,Rogue One,Male,2
1534,BAZE, What?,Rogue One,Male,1
1535,RADDUS, This is Admiral Raddus of the Rebel Alliance. All Squadron leaders report in.,Rogue One,Male,13
1536,BLUE LEADER, Admiral this is Blue Leader standing by.,Rogue One,Male,7
1537,GOLD LEADER, This is Gold Leader standing by.,Rogue One,Male,6
1538,RED LEADER, This is Red Leader standing by.,Rogue One,Male,6
1539,KRENNIC, Lock down the base. Lock down.,Rogue One,Male,6
1540,KRENNIC, Do it!,Rogue One,Male,2
1541,RADDUS, Red and Gold squadron attack formations. Defend the fleet. Blue squadron get to the surface before they closed that gate.,Rogue One,Male,20
1542,BLUE LEADER, Copy your Admiral. Blue squadron on me.,Rogue One,Male,7
1543,BLUE FOUR, Copy Blue Leader.,Rogue One,,3
1544,BLUE FIVE, Copy Blue Leader.,Rogue One,,3
1545,BLUE SIX, Come on come on come on!,Rogue One,,6
1546,BLUE FOUR, Pull up!,Rogue One,,2
1547,K-2SO, Rebel fleet has arrived.,Rogue One,Droid,4
1548,K-2SO, Rebel fleet has arrived.,Rogue One,Droid,4
1549,JYN ERSO, What?,Rogue One,Female,1
1550,K-2SO, There's fighting on the beach they've locked down the base they've closed the shield gate.,Rogue One,Droid,15
1551,K-2SO, There's fighting on the beach they've locked down the base they've closed the shield gate.,Rogue One,Droid,15
1552,JYN ERSO, What does that mean? We're trapped?,Rogue One,Female,6
1553,K-2SO, We could transmit the plans to the rebel fleet. We'd have to get a signal out to tell them it's coming.It's the size of the data files. That's the problem.They'll never get through.Someone has to take that shield gate down.,Rogue One,Droid,40
1554,K-2SO, We could transmit the plans to the rebel fleet. We'd have to get a signal out to tell them it's coming.It's the size of the data files. That's the problem.They'll never get through.Someone has to take that shield gate down.,Rogue One,Droid,40
1555,CASSIAN, Bodhi.Bodhi can you hear me?Bodhi tell me you're out there. Bodhi!,Rogue One,Male,11
1556,BODHI, Hello I'm here. We're standing by. They've started fighting the base is on lockdown!,Rogue One,Male,14
1557,CASSIAN, I know listen to me!The rebel fleet is up there.You've got to tell them to blow a hole in the shield gate so we can transmit the plans.,Rogue One,Male,28
1558,BODHI, Wait I can't. I'm not hooked into the comm tower. We're not tied in.,Rogue One,Male,14
1559,CASSIAN, It's the only way we're getting them out of here. Find a way! Cover our backs.,Rogue One,Male,16
1560,JYN ERSO, You'll need this. You wanted one right?,Rogue One,Female,7
1561,K-2SO, Your behavior Jyn Erso is continually unexpected.,Rogue One,Droid,7
1562,K-2SO, Your behavior Jyn Erso is continually unexpected.,Rogue One,Droid,7
1563,CASSIAN, Jyn. Come on.,Rogue One,Male,3
1564,AT-AT PILOT, Fire on my command.,Rogue One,,4
1565,BAZE, Look!,Rogue One,Male,1
1566,BODHI, Get ready. We're going to have to go out there.,Rogue One,Male,10
1567,REBEL,What're you doing?,Rogue One,Male,3
1568,BODHI, Then go!,Rogue One,Male,2
1569,RADDUS,What's going on down there Lieutenant?,Rogue One,Male,6
1570,LIEUTENANT, Unknown sir. We can't raise them. All rebel frequencies are blocked.,Rogue One,Male,11
1571,RADDUS, Keep trying. Engage those Star Destroyers and let's start probing that shield.,Rogue One,Male,12
1572,LIEUTENANT, Yes sir. ,Rogue One,Male,2
1573,RED LEADER, We're going in.,Rogue One,Male,3
1574,RED LEADER,Stay with me.,Rogue One,Male,3
1575,K-2SO, Schematics bank Data tower two.,Rogue One,Droid,5
1576,K-2SO, Schematics bank Data tower two.,Rogue One,Droid,5
1577,CASSIAN, How do I find that?,Rogue One,Male,5
1578,K-2SO, Searching. I can locate the tape but you'll need the handles for extraction.,Rogue One,Droid,13
1579,K-2SO, Searching. I can locate the tape but you'll need the handles for extraction.,Rogue One,Droid,13
1580,CASSIAN, What are we supposed to do with these? Whoa.,Rogue One,Male,9
1581,K-2SO, Well finally.,Rogue One,Droid,2
1582,K-2SO, Well finally.,Rogue One,Droid,2
1583,STORMTROOPER, Wait stop.,Rogue One,Male,2
1584,K-2SO,The rebels! They went over there.,Rogue One,Droid,6
1585,K-2SO,The rebels! They went over there.,Rogue One,Droid,6
1586,CASSIAN, Kay. What's going on out there?,Rogue One,Male,6
1587,K-2SO, There's one. Oh well.,Rogue One,Droid,4
1588,K-2SO, There's one. Oh well.,Rogue One,Droid,4
1589,RED PILOT,Come on!,Rogue One,,2
1590,GOLD LEADER, Red Leader this is Gold Leaderwe're starting our attack run on the shield gate. Keep it tight and watch out for those towers.,Rogue One,Male,23
1591,GOLD PILOT, More fighters. Form up at 65.,Rogue One,,6
1592,LIEUTENANT, Sir enemy fighters coming in.,Rogue One,Male,5
1593,TONC, There's a master switch to the base of the Comm tower.,Rogue One,Male,11
1594,BLUE LEADER, Two wings reinforce those troops on the beach. All fighters on me. We have to shield them from air attack.,Rogue One,Male,20
1595,BLUE ELEVEN, Troop reinforcements.,Rogue One,,2
1596,REBEL MARINE, Here we go. For Jedha!,Rogue One,,5
1597,MARINE, Jedha!,Rogue One,,1
1598,RED PILOT, Stick close Red 5 where are you going?,Rogue One,,8
1599,RED 5, I'm trying to lose them. This is Red 5 I need help!,Rogue One,,12
1600,JYN ERSO, Hyperspace Tracking Navigational Systems.,Rogue One,Female,4
1601,K-2SO, Two screens down. Structural Engineering open that one!,Rogue One,Droid,8
1602,K-2SO, Two screens down. Structural Engineering open that one!,Rogue One,Droid,8
1603,BLUE LEADER, I got one on my tail.,Rogue One,Male,6
1604,BLUE,I'm on it.,Rogue One,,3
1605,JYN ERSO, Project code names: Stellarsphere. Mark Omega. Pax Aurora. War-Mantle. Cluster-Prism.,Rogue One,Female,10
1606,CASSIAN, What?,Rogue One,Male,1
1607,JYN ERSO, Stardust. That's it.,Rogue One,Female,3
1608,CASSIAN, How do you know that?,Rogue One,Male,5
1609,JYN ERSO, I know because it's me.,Rogue One,Female,5
1610,STORMTROOPER, Hey you. Identify yourself.,Rogue One,Male,4
1611,BODHI, I can explain.,Rogue One,Male,3
1612,STORMTROOPER, Incoming fire take cover!,Rogue One,Male,4
1613,CASSIAN, Kay we need the file for Stardust!,Rogue One,Male,7
1614,K-2SO, Stardust.,Rogue One,Droid,1
1615,K-2SO, Stardust.,Rogue One,Droid,1
1616,JYN ERSO, That's it.,Rogue One,Female,2
1617,CASSIAN, Kay.,Rogue One,Male,1
1618,K-2SO, Climb.Climb. You can still send the plans to the fleet. If they open the shield gate you can broadcast from the tower! Locking the vault door now.,Rogue One,Droid,27
1619,K-2SO, Climb.Climb. You can still send the plans to the fleet. If they open the shield gate you can broadcast from the tower! Locking the vault door now.,Rogue One,Droid,27
1620,CASSIAN, Kay.Kay!,Rogue One,Male,1
1621,K-2SO, Good bye.,Rogue One,Droid,2
1622,K-2SO, Good bye.,Rogue One,Droid,2
1623,CASSIAN, Kay!,Rogue One,Male,1
1624,SOLDIER, Sir unauthorized access at the data vault.,Rogue One,Male,7
1625,KRENNIC, What.,Rogue One,Male,1
1626,SOLDIER, It's just come in sir.,Rogue One,Male,5
1627,KRENNIC, Send my guard squadron into battle! Two men with me now! Get that beach under control!,Rogue One,Male,16
1628,CASSIAN, Bodhi?Are you there? Have you got the switch?,Rogue One,Male,8
1629,BODHI, I can't get to the shuttle I can't plug in!,Rogue One,Male,10
1630,CASSIAN, You have to! They have to hit that gate. If the shield's open we can send the plans!,Rogue One,Male,18
1631,BLUE , General behind you!,Rogue One,,3
1632,REBEL, Take them out.,Rogue One,Male,3
1633,JYN ERSO,Step back.,Rogue One,Female,2
1634,BLUE ELEVEN, We're going down!,Rogue One,,3
1635,REBEL, Come on! Look out.,Rogue One,Male,4
1636,BODHI, Melshi.Melshi come in please.,Rogue One,Male,4
1637,MELSHI, I'm tied in at my end I just need an open line. Hang on. The master switch it's over at that console. I'm going!,Rogue One,Male,24
1638, JYN ERSO, I've got it.,Rogue One,,3
1639,CASSIAN, Careful!You okay?,Rogue One,Male,2
1640,CASSIAN,Jyn!,Rogue One,Male,1
1641,CHIRRUT, I'm one with the Force and the Force is with me. I'm one with the Force and the Force is with me.,Rogue One,Male,22
1642,BAZE, Chirrut!,Rogue One,Male,1
1643,CHIRRUT, I'm one with the Force and the Force is with me. I'm one with the Force and the Force is with me. I'm one with the Force and the Force is with me. I'm one with the Force and the Force is with me. I'm one with the Force and the Force is with me. I'm one with the Force and the Force is with me.,Rogue One,Male,66
1644,BAZE, Chirrut come back!,Rogue One,Male,3
1645,BODHI, Yes!,Rogue One,Male,1
1646,CASSIAN, Keep going.Keep going!,Rogue One,Male,3
1647,JYN ERSO, Cassian.,Rogue One,Female,1
1648,BAZE, Chirrut come! Come with me!                    ,Rogue One,Male,5
1649,BAZE, Chirrut!Chirrut don't go. Don't go.,Rogue One,Male,5
1650,BAZE, I'm here.I'm here.It's okay.It's okay.,Rogue One,Male,5
1651,CHIRRUT, Look for the Force…,Rogue One,Male,4
1652,BAZE, Chirrut.,Rogue One,Male,1
1653,CHIRRUT, …and you will always find me. The Force is with me. I'm one with the Force. The Force is with me. I'm one with the Force. The Force is with me.                                                             ,Rogue One,Male,31
1654,BAZE, and I'm one with the Force.,Rogue One,Male,6
1655,RADDUS, There's no turning back now we have to press the attack.                                                 ,Rogue One,Male,11
1656,GOLD LEADER, Hit that opening.,Rogue One,Male,3
1657,GOLD NINE, We see it Gold Leader. Ion torpedoes away.,Rogue One,,8
1658,OFFICER,- What's happening?,Rogue One,Male,3
1659,IMPERIAL, We've lost engine power sir.,Rogue One,Male,5
1660,RADDUS, That Star Destroyer is disabled.,Rogue One,Male,5
1661,BODHI, This is Rogue One calling any Alliance ships that can hear me! Is there anybody up there? This is Rogue One! Come in over.,Rogue One,Male,24
1662,RADDUS, This is Admiral Raddus Rogue One we hear you!,Rogue One,Male,9
1663,BODHI, We have the plans! They found the Death Star plans. They have to transmit them from the communications tower! You have to take down the shield gate. It's the only way to going to get them through!,Rogue One,Male,37
1664,RADDUS, Call up a Hammerhead corvette. I have an idea. Standby Rogue One we're on it.,Rogue One,Male,15
1665,BODHI, This is for you Galen.,Rogue One,Male,5
1666,BAZE, The Force is with me. I'm one with the Force.,Rogue One,Male,10
1667,HAMMERHEAD CAPTAIN, Corvette 5 locked on target. Prepare for impact.,Rogue One,,8
1668,HAMMERHEAD CAPTAIN,Sublight thrusters full power!,Rogue One,,4
1669,COMPUTER, Reset antenna alignment.Reset antenna alignment.Reset antenna alignment. Reset antenna alignment.,Rogue One,,10
1670,IMPERIAL OFFICER, Reverse engines full power!,Rogue One,,4
1671,COMPUTER, Antenna alignment. Ready to transmit.,Rogue One,,5
1672,KRENNIC, Who are you?,Rogue One,Male,3
1673,JYN ERSO, You know who I am. I'm Jyn Erso. Daughter of Galen and Lyra. You've lost.,Rogue One,Female,15
1674,KRENNIC, Oh I have have I?,Rogue One,Male,5
1675,JYN ERSO, My father's revenge. He built a flaw in the Death Star. He put a fuse in the middle of your machine and I've just told the entire galaxy how to light it.                                                             ,Rogue One,Female,32
1676,KRENNIC, The shield is up your signal will never reach the rebel base. All you ships in here will be destroyed. I lose nothing but time. YOU on the other hand die with the Rebellion.,Rogue One,Male,34
1677,COMPUTER, Transmitting. Transmitting.,Rogue One,,2
1678,LIEUTENANT, Admiral receiving transmission from Scarif.,Rogue One,Male,5
1679,CASSIAN,Hey leave it. Leave it. That's it.That's it. Let's go.,Rogue One,Male,10
1680,COMPUTER, Transmission received.,Rogue One,,2
1681,LIEUTENANT, Admiral we have the plans!,Rogue One,Male,5
1682,RADDIS, She did it.,Rogue One,,3
1683,CASSIAN, Do you think anybody is listening?,Rogue One,Male,6
1684,JYN ERSO, I do. Someone's out there.,Rogue One,Female,5
1685,LIEUTENANT, Sir we're detecting a massive object emerging from hyperspace.,Rogue One,Male,9
1686,ROMODI, Sir shall I begin targeting their fleet?,Rogue One,Male,7
1687,TARKIN, You may fire when ready. ,Rogue One,Male,5
1688,ROMODI, Commence primary ignition.,Rogue One,Male,3
1689,RADDUS, Rogue One may the Force be with you. All ships prepare for jump to hyperspace!,Rogue One,Male,15
1690,JYN ERSO, I’m glad you came.              ,Rogue One,Female,4
1691,CASSIAN, You father would have been proud of you Jyn.,Rogue One,Male,9
1692,CAPTAIN CORSSIN, The rebel flag ship is disabled my lord but has received transmission from the surface.,Rogue One,,15
1693,DARTH VADER, Prepare a boarding party.,Rogue One,Male,4
1694,CAPTAIN CORSSIN, Yes my lord.,Rogue One,,3
1695,REBEL, Hurry!         ,Rogue One,Male,1
1696,REBEL 2, Let’s go!                        ,Rogue One,,2
1697,REBEL 1, We got to go now.            ,Rogue One,,5
1698,REBEL, Hurry let's go.,Rogue One,Male,3
1699,REBEL, It's stuck.,Rogue One,Male,2
1700,REBEL, Hey help!,Rogue One,Male,2
1701,REBEL, Open fire!,Rogue One,Male,2
1702,REBEL, Help us!,Rogue One,Male,2
1703,REBEL, It's jammed.,Rogue One,Male,2
1704,REBEL, Pull it!,Rogue One,Male,2
1705,REBEL, Here. Here. Take it! Take it.,Rogue One,Male,6
1706,REBEL, LAUNCH!,Rogue One,Male,1
1707,CAPTAIN ANTILLES, Make sure you secure the airlock. And prepare the escape pods.,Rogue One,Male,11
1708,CAPTAIN ANTILLES, Your Highness. The transmission we received. What is it they've sent us?,Rogue One,Male,12
1709,LEIA, Hope.,Rogue One,Female,1
