,index,Characters,Dialogue
471,569,Finn (FN-2187),You said poisonous gas.
473,571,Rey,I fixed that.
475,573,Finn (FN-2187),Can you unfix it?
477,575,Rey,Come on BB-8.
479,577,Finn (FN-2187),I got him. I'm okay. 
481,579,Rey,Do you think this will work on the stormtroopers?
483,581,Finn (FN-2187),Yeah. Their masks filter out smoke not toxins. Hurry. I'm hurrying.
485,583,Han Solo,Chewie... we're home. Where are the others? Where's the pilot?
487,585,Rey,I'm the pilot.
489,587,Han Solo,You?
491,589,Rey,No it's true. We're the only ones on board.
493,591,Finn (FN-2187),You can understand that thing?
495,593,Han Solo,"And ""that thing"" can understand you too... so watch it. Come on out of there. Where'd you get this ship?"
497,595,Rey,Niima Outpost.
499,597,Han Solo,Jakku? That junkyard?
501,599,Finn (FN-2187),Thank you! Junkyard.
503,601,Han Solo,Told you we should have double-checked the Western Reaches. Who had it? Ducain?
505,603,Rey,I stole it. From Unkar Plutt. He stole it from the Irving Boys who stole it from Ducain.
507,605,Han Solo,Who stole it from me! Well you tell him that Han Solo... just stole back the Millennium Falcon for good.
509,607,Rey,This is  the Millennium Falcon? You're Han Solo? 
511,609,Han Solo,I used to be.
513,611,Finn (FN-2187),Han Solo the Rebellion general?
515,613,Rey,No the smuggler.
517,615,Finn (FN-2187),Wasn't he a war hero?
519,617,Rey,This is the ship that made the Kessel Run in 14 parsecs?
521,619,Han Solo,Twelve! Fourteen. Hey! Some moof-milker put a compressor on the ignition line.
523,621,Rey,Unkar Plutt did.  I thought it was a mistake too. Puts too much...
525,623,Rey / Han,...stress on the hyperdrive.
527,625,Han Solo,Chewie throw them in a pod. We'll drop them at the nearest inhabited planet.
529,627,Rey,Wait no. We need your help.
531,629,Han Solo,My help?
533,631,Rey,This droid has to get to the Resistance base... as soon as possible.
535,633,Finn (FN-2187),He's carrying a map to Luke Skywalker. You are the Han Solo that fought with the Rebellion. You knew him.
537,635,Han Solo,Yeah. I knew him. I knew Luke. Don't tell me a Rathtar's gotten loose.
539,637,Finn (FN-2187),Wait what? Did you just say Rathtars? Hey! You're not hauling Rathtars on this freighter are you?
541,639,Han Solo,I'm hauling Rathtars. Oh great. It's the Guavian Death Gang. Must have tracked us from Nantoon.
543,641,Rey,What's a Rathtar?
545,643,Han Solo,They're big and they're dangerous.
547,645,Finn (FN-2187),You ever heard of the Trillia Massacre?
549,647,Rey,No.
551,649,Finn (FN-2187),Good.
553,651,Han Solo,I got three of them going to King Prana.
555,653,Finn (FN-2187),Three? How'd you get them on board?
557,655,Han Solo,I used to have a bigger crew. Get below and stay there until I say so... and don't even think about taking the Falcon.
559,657,Rey,What about BB-8?
561,659,Han Solo,He stays with me until I get rid of the gang... then you can have him back and be on your way.
563,661,Finn (FN-2187),What about the Rathtars? Where are you keeping them?
565,663,Han Solo,There's one.
567,665,Rey,What are you gonna do?
569,667,Han Solo,Same thing I always do. Talk my way out of it. Yes I do. Every time.
571,669,Bala-Tik,Han Solo. You're a dead man.
573,671,Han Solo,Bala-Tik. What's the problem?
575,673,Bala-Tik,The problem is we loaned you 5 for this job.
577,675,Rey,Can you see them?
579,677,Finn (FN-2187),No.
581,679,Bala-Tik,I heard you also borrowed 5 from Kanjiklub.
583,681,Han Solo,You know you can't trust those little freaks.
585,683,Bala-Tik,How long we known each other?
587,685,Rey,They have blasters.
589,687,Finn (FN-2187),A lot of them.
591,689,Bala-Tik,Not long. We want our money back now.
593,691,Han Solo,You think hunting Rathtars is cheap? I spent that money.
595,693,Bala-Tik,Kanjiklub wants their investment back too.
597,695,Han Solo,I never made a deal with Kanjiklub!
599,698,Bala-Tik,Tell that to Kanjiklub.
601,701,Han Solo,Tasu Leech. Good to see you.
603,703,Han Solo,Boys you're both gonna get what I promised. Have I ever not delivered for you before?
605,705,Bala-Tik,Yeah.
607,707,Han Solo,What was the second time?
609,709,Bala-Tik,Your game is old. There's no one in the galaxy left for you to swindle. That BB unit. The First Order is looking for one just like it. And two fugitives.
611,711,Han Solo,First I've heard of it.
613,713,Rey,Wait wait wait. If we close the blast doors in that corridor... we can trap both gangs!
615,715,Finn (FN-2187),We'll close the blast doors from here?
617,717,Rey,Resetting the fuses should do it.
619,719,Han Solo,I got a bad feeling about this.
621,721,Rey,Oh no.
623,723,Finn (FN-2187),Oh no what?
625,725,Rey,Wrong fuses.
627,727,Bala-Tik,Kill them! And take the droid!
629,729,Finn (FN-2187),This was a mistake!
631,731,Rey,Huge! What do they look like?
633,733,Finn (FN-2187),They look like that. This way.
635,735,Rey,Are you sure?
637,737,Finn (FN-2187),No no no!
639,739,Rey,Finn! Finn!
641,741,Finn (FN-2187),Rey!
643,743,Rey,Get Off! Get Off!
645,745,Finn (FN-2187),Rey!
647,747,Rey,Finn! Finn!
649,749,Finn (FN-2187),Get off me! Rey! Get off! Get off!
651,751,Rey,Finn!
653,753,Finn (FN-2187),It had me! But the door...
655,755,Rey,That was lucky.
657,757,Han Solo,I got the door. Cover us! Chewie! You okay? Wow. Come on! Come on!
659,759,Rey,Han.
661,761,Han Solo,You close the door behind us. You take care of Chewie! Hey where are you going?
663,763,Rey,Unkar Plutt installed a fuel pump too.  If we don't prime that we're not going anywhere.
665,765,Han Solo,I hate that guy.
667,767,Rey,And you could use a co-pilot.
669,769,Han Solo,I got one he's back there. Watch the thrust. We're going out of here at lightspeed.
671,771,Rey,From inside the hangar? Is that even possible?
673,773,Han Solo,I never ask that question till after I've done it. This is not how I thought this day was gonna go. Angle the shield. Hang on back there.
675,775,Finn (FN-2187),No problem!
677,777,Han Solo,Come on baby don't let me down. What?
679,779,Rey,Compressor.
681,781,Bala-Tik,Inform the First Order...  that Han Solo has the droid they want. And it's  aboard the Millennium Falcon.
683,789,Snoke,The droid will soon be delivered to the Resistance... leading them to the last Jedi. If Skywalker returns... the new Jedi will rise.
685,791,General Hux,Supreme Leader I take full responsibility...
687,793,Snoke,General! Our strategy must now change.
689,795,General Hux,The weapon. It is ready. I believe the time has come to use it.  We shall destroy the government... that supports the Resistance... the Republic.  Without their friends to protect them... the Resistance will be vulnerable. And we will stop them before they reach Skywalker.
691,797,Snoke,Go. Oversee preparations.
693,799,General Hux,Yes Supreme Leader.
695,801,Snoke,There has been an awakening. Have you felt it?
697,803,Kylo Ren,Yes.
699,805,Snoke,There's something more. The droid we seek is aboard the Millennium Falcon. In the hands of your father... Han Solo.
701,807,Kylo Ren,He means nothing to me.
703,809,Snoke,Even you master of the Knights of Ren... have never faced such a test.
705,811,Kylo Ren,By the grace of your training I will not be seduced.
707,813,Snoke,We shall see. We shall see.
709,823,Han Solo,Electrical overload.
711,825,Rey,I can fix that.
713,827,Han Solo,Coolant's leaking.
715,829,Rey,Try transferring auxiliary power...
717,831,Rey / Han,...to the secondary tank.
719,833,Han Solo,I got it.
721,835,Finn (FN-2187),Chewie come on! I need help with this giant hairy thing! Stop moving! Chewie!
723,837,Han Solo,You hurt Chewie you're gonna deal with me! 
725,840,Finn (FN-2187),Hurt him? He almost killed me six times! Which is fine!
727,843,Han Solo,This hyperdrive blows there are gonna be pieces of us in three different systems. What'd you do?
729,845,Rey,I bypassed the compressor.
731,847,Han Solo,Huh. Move ball. Ah don't say that. You did great. Just rest. Good job kid. Thanks.
733,849,Finn (FN-2187),You're welcome.
