,index,Characters,Dialogue
1117,1339,Snoke,If what you say about this girl is true... Bring her to me.
1119,1351,Rey,You will remove these restraints... and leave this cell with the door open.
1121,1353,Storm Trooper 6,What did you say?
1123,1355,Rey,You will remove these restraints and leave this cell with the door open.
1125,1357,Storm Trooper 6,I'll tighten those restraints... scavenger scum.
1127,1359,Rey,You will remove these restraints... and leave this cell with the door open.
1129,1361,Storm Trooper 6,I will remove these restraints and leave the cell with the door open.
1131,1363,Rey,And you'll drop your weapon.
1133,1365,Storm Trooper 6,And I'll drop my weapon
1135,1367,Kylo Ren,No. No. Guards! Guards!
1137,1369,General Hux,Begin charging the weapon.
1139,1371,Officer,Yes sir. Weapon charging.
1141,1393,Poe Dameron ,The scan data from Snap's reconnaissance flight confirms Finn's report.
1143,1395,Officer,They've somehow created a hyper-lightspeed weapon built within the planet itself.
1145,1397,Officer 2,A laser cannon?
1147,1399,Officer,We're not sure how to describe a weapon of this scale.
1149,1401,Emmat,It's another Death Star.
1151,1403,Poe Dameron ,I wish that were the case Major. This was the Death Star. And this is Starkiller Base.
1153,1405,Han Solo,So it's big.
1155,1407,Unknown Creature,How is it possible to power a weapon of that size?
1157,1409,Finn (FN-2187),It uses the power of the sun. As the weapon is charged the sun is drained until it disappears.
1159,1411,Officer,Ma'am.
1161,1413,Leia,The First Order they're charging the weapon again now. Our system is the next target.
1163,1415,C-3PO,Oh my. Without the Republic fleet we're doomed.
1165,1417,Han Solo,Okay. How do we blow it up? There's always a way to do that.
1167,1419,Leia,Han's right.
1169,1421,Statura,In order for that amount of power to be contained... that base has to have some kind of thermal oscillator.
1171,1423,Finn (FN-2187),There is one. Precinct 47. Here
1173,1425,Statura,If we can destroy that oscillator... it might destabilize the core and cripple the weapon. 
1175,1427,Officer,Maybe the planet.
1177,1429,Poe Dameron ,We'll go in there we'll hit that oscillator with everything we've got.
1179,1431,Unknown Creature,They have defensive shields that our ships cannot penetrate.
1181,1433,Han Solo,We disable the shields. Kid you worked there. What do you got?
1183,1435,Finn (FN-2187),I can do it.
1185,1437,Han Solo,I like this guy.
1187,1439,Finn (FN-2187),I can disable the shields but I have to be there. On the planet.
1189,1441,Han Solo,We'll get you there.
1191,1443,Leia,Han how?
1193,1445,Han Solo,If I told you you wouldn't like it.
1195,1447,Poe Dameron ,So we disable the shields we take out the oscillator and we blow up their big gun. All right. Let's go.
1197,1455,Han Solo,Chewie check that donal capitator. Come on. Let's go. Finn be careful with those. They're explosives.
1199,1457,Finn (FN-2187),Now you tell me?
1201,1459,Leia,You know no matter how much we fought I've always hated watching you leave.
1203,1461,Han Solo,That's why I did it.  So you'd miss me.
1205,1463,Leia,I did miss you.
1207,1465,Han Solo,It wasn't all bad was it? Huh? Some of it was... good.
1209,1467,Leia,Pretty good.
1211,1469,Han Solo,Some things never change.
1213,1471,Leia,True. You still drive me crazy. If you see our son... bring him home.
1215,1479,Storm Trooper 6,Sir sensors triggered in Hangar 718. We're searching the area.
1217,1481,Kylo Ren,She's just beginning to test her powers. The longer it takes to find her... the more dangerous she becomes.
1219,1483,Announcer,All sentry droids... all sentry droids... resynchronize to Galactic Standard Time. Offset 473.
1221,1489,Finn (FN-2187),How are we getting in?
1223,1491,Han Solo,Their shields have a fractional refresh rate. Keeps anything traveling slower than lightspeed from getting through.
1225,1493,Finn (FN-2187),We're making our landing approach at lightspeed?
1227,1495,Han Solo,Chewie get ready. And... Now! I am pulling up! I get any higher... they'll see us!
1229,1515,Officer,Sir she was not found in Hangar 718. But all troops are on alert.
1231,1517,Kylo Ren,Put every hangar on lockdown. She's going to try to steal a ship to esc... Han Solo.
1233,1519,Finn (FN-2187),The flooding tunnel is over that ridge. We'll get in that way.
1235,1521,Han Solo,What was your job when you were based here?
1237,1523,Finn (FN-2187),Sanitation. 
1239,1525,Han Solo,Sanitation? Then how do you know how to disable the shields?
1241,1527,Finn (FN-2187),I don't. I'm just here to get Rey.
1243,1529,Han Solo,People are counting on us. The galaxy is counting on us.
1245,1531,Finn (FN-2187),Solo we'll figure it out. We'll use the Force.
1247,1533,Han Solo,That's not how the Force works. Oh really? You're cold?
1249,1535,Finn (FN-2187),Come on.
1251,1537,General Hux,Report.
1253,1539,Officer,Weapon charged in 15 minutes sir.
1255,1541,Storm Trooper 6,Hey!
1257,1543,Han Solo,The longer we're here the less luck we're gonna have. The shields.
1259,1545,Finn (FN-2187),I have an idea about that. You remember me?
1261,1547,Phasma,FN-2187.
1263,1549,Finn (FN-2187),Not anymore. The name's Finn and I'm in charge. I'm in charge now Phasma. I'm in charge.
1265,1551,Han Solo,Bring it down. Bring it down.
1267,1553,Finn (FN-2187),Yeah. Follow me.
1269,1555,Storm Trooper 4,Have you checked out the new T-17s?
1271,1557,Storm Trooper 7,The T-17s as far as I can tell... are a great improvement.
1273,1559,Storm Trooper 4,Yeah. That's what they tell you. But believe me they don't hold up.
1275,1561,Storm Trooper 7,They don't?
1277,1563,Storm Trooper 4,No.
1279,1565,Finn (FN-2187),You want me to blast that bucket off your head? Lower the shields.
1281,1567,Phasma,You're making a big mistake.
1283,1569,Finn (FN-2187),Do it. Solo if this works... we're not gonna have a lot of time to find Rey.
1285,1571,Han Solo,Don't worry kid. We won't leave here without her.
1287,1573,Phasma,You can't be so stupid as to think this will be easy. My troops will storm this block and kill you all.
1289,1575,Han Solo,I disagree. 
1291,1577,Finn (FN-2187),What do we do with her? 
1293,1579,Han Solo,Is there a garbage chute? Trash compactor?
1295,1581,Finn (FN-2187),Yeah there is.
1297,1597,Officer,General their shields are down.
1299,1599,C-3PO,Thank the Maker!
1301,1601,Leia,Han did it. Send them in.
1303,1603,Statura,Give Poe full authorization for attack.
1305,1605,Officer 2,Black Leader go to sub-lights on your call.
1307,1607,Poe Dameron ,Roger base. Red squad Blue squad take my lead. Dropping out of lightspeed. Almost in range. Hit the target dead center. As many runs as we can get.
1309,1609,Pilot,Approaching target.
1311,1635,Officer,Fighters incoming!
1313,1637,Officer 2,Coming at 28.336.
1315,1639,Officer 3,Forty-five! Shields up! Shields up!
1317,1641,General Hux,Dispatch all squadrons.
1319,1643,Captain,Yes General.
1321,1645,Poe Dameron ,All right. Let's light it up.
1323,1647,Pilot 2,Ah direct hit.
1325,1649,Pilot 3 ,But no damage!
1327,1651,Poe Dameron ,Yeah we gotta keep hitting it. Another bombing run. Remember when the sun is gone that weapon will be ready to fire. But as long as there's light we got a chance. Guys we got a lot of company!
1329,1653,Storm Trooper 6,We think they may be splitting up. Heading to quadrants 4 and 5.
1331,1655,Finn (FN-2187),We'll use the charges to blow that blast door. I'll go in and draw fire but I'm gonna need cover.
1333,1657,Han Solo,You sure you're up for this?
1335,1659,Finn (FN-2187),Hell no. I'll go in and try to find Rey. The troopers will be on our tail. We have to be ready for that. There's an access tunnel that leads... Why are you doing that? Hmm? Why are you doing this? I'm trying to come up with a plan.
1337,1661,Han Solo,You all right?
1339,1663,Rey,Yeah.
1341,1665,Han Solo,Good.
1343,1667,Finn (FN-2187),What happened to you? Did he hurt you?
1345,1669,Rey,Finn what are you doing here?
1347,1671,Finn (FN-2187),We came back for you. What'd he say?
1349,1673,Rey,That it was your idea. Thank you.
1351,1675,Finn (FN-2187),How did you get away?
1353,1677,Rey,I can't explain it. And you wouldn't believe it.
1355,1679,Han Solo,Escape now hug later. 
1357,1709,Pilot,I got one behind me. You see it?
1359,1711,Jess,Yeah. I'm on it. Burillo's been hit.
1361,1713,Pilot,Watch out for ground fire.
1363,1715,Han Solo,They're in trouble. We can't leave. My friend's got a bag full of explosives. Let's use them.
1365,1717,Officer,General are you seeing this?
1367,1719,Controller,Two more X-wings down. That's half our fleet destroyed.
1369,1721,C-3PO,And their weapon will be fully charged in ten minutes. It would take a miracle to save us now.
1371,1723,Han Solo,Ah. Girl knows her stuff. We'll set the charges against every other column. You're right. That's a better idea. You take the top. I'll go down below. Detonator. We'll meet back here.
1373,1725,Kylo Ren,Find them.
1375,1727,Han Solo,Ben!
1377,1729,Kylo Ren,Han Solo. I've been waiting for this day for a long time.
1379,1731,Han Solo,Take off that mask. You don't need it.
1381,1733,Kylo Ren,What do you think you'll see if I do?
1383,1735,Han Solo,The face of my son.
1385,1737,Kylo Ren,Your son is gone. He was weak and foolish like his father. 
1387,1739,Han Solo,That's what Snoke wants you to believe. But it's not true. My son is alive.
1389,1741,Kylo Ren,No. The Supreme Leader is wise.
1391,1743,Han Solo,Snoke is using you for your power. When he gets what he wants he'll crush you. You know it's true.
1393,1745,Kylo Ren,It's too late. 
1395,1747,Han Solo,No it's not. Leave here with me. Come home. We miss you.
1397,1750,Kylo Ren,I'm being torn apart. I want to be free of this pain. I know what I have to do but I don't know if I have the strength to do it. Will you help me?
1399,1753,Han Solo,Yes. Anything.
1401,1755,Rey,No!
1403,1757,Kylo Ren,Thank you.
1405,1759,Rey,No.
1407,1761,Controller,The oscillator's been damaged... but is still functional.
1409,1763,Girl Officer,Admiral their weapon will fire in two minutes.
1411,1765,Finn (FN-2187),The Falcon's this way.
1413,1767,Kylo Ren,We're not done yet.
1415,1769,Rey,You're a monster.
1417,1771,Kylo Ren,It's just us now. Han Solo can't save you.
1419,1773,Finn (FN-2187),Rey! REY! Oh no. No no. REY! 
1421,1775,Kylo Ren,Traitor! That lightsaber. It belongs to me.
1423,1777,Finn (FN-2187),Come get it.
1425,1779,Pilot,We just lost R-1.
1427,1781,Jess,We're overwhelmed. What do we do? It isn't working.
1429,1783,Pilot 2,Black Leader there's a brand new hole in that oscillator. Looks like our friends got in.
1431,1785,Poe Dameron ,Red Four Red Six cover us.
1433,1787,Pilot 2,I'm on it.
1435,1789,Pilot 3 ,Roger.
1437,1791,Poe Dameron ,Everybody else hit the target hard. Give it everything you got. I need some help here. I need some help!
1439,1793,Pilot,Coming in!
1441,1795,Jess,Watch out!
1443,1797,Pilot,I'm hit!
1445,1799,Poe Dameron ,All teams I'm going in. Pull up and cover me.
1447,1801,Pilot 2,Copy that Black Leader. Good luck Poe.
1449,1803,Officer,Weapon fully charged in 3 seconds.
1451,1805,General Hux,Prepare to fire.
1453,1811,Kylo Ren,You need a teacher. I could show you the ways of the Force.
1455,1813,Rey,The Force?
1457,1827,Officer,All eyes on that TIE fighter.
1459,1829,Officer 2,We're losing power rapidly!
1461,1831,Captain,Lieutenant! Get back to your station!
1463,1833,Lieutenant,Just look! We won't survive. Even Hux is gone.
1465,1835,General Hux,Supreme Leader. The fuel cells have ruptured. The collapse of the planet has begun.
1467,1837,Snoke,Leave the base at once and come to me with Kylo Ren. It is time...to complete his training.
1469,1845,Rey,Finn! Finn!
1471,1847,Poe Dameron ,All teams I got eyes on them.
1473,1849,Pilot,Yes!
1475,1851,Poe Dameron ,Our job's done here. Let's go home.
1477,1863,Medic,Easy easy. He's hurt. We've got a heartbeat.
1479,1865,C-3PO,R2-D2! You've come back. You found what? How dare you call me that! Find Master Luke how? Come R2. We must go tell the others at once! General. Excuse me General. R2 may contain some much-needed good news.
1481,1867,Leia,Tell me.
1483,1869,Poe Dameron ,Yeah. All right buddy. Hold on.
1485,1871,C-3PO,The map it is complete.
1487,1873,Leia,Luke.
1489,1875,C-3PO,Oh my dear friend... how I've missed you.
1491,1877,Rey,We'll see each other again. I believe that. Thank you my friend.
1493,1879,Leia,Rey. May the Force be with you.
