,Country_Residence,Origin,Lat_Residence,Lon_Residence,Lat_Origin,Lon_Origin,Count
84,Australia,Mali,-25.274398,133.775136,17.570692,-3.9961660000000006,2
85,Australia,Malta,-25.274398,133.775136,35.937496,14.375416,3
86,Australia,Mauritania,-25.274398,133.775136,21.00789,-10.940835,80
87,Australia,Mauritius,-25.274398,133.775136,-20.348404000000002,57.552152,32
88,Australia,Mexico,-25.274398,133.775136,23.634501,-102.552784,9
89,Australia,Moldova,-25.274398,133.775136,47.411631,28.369884999999996,57
90,Australia,Mongolia,-25.274398,133.775136,46.862496,103.84665600000001,38
91,Australia,Morocco,-25.274398,133.775136,31.791702,-7.09262,16
92,Australia,Mozambique,-25.274398,133.775136,-18.665695,35.529562,31
93,Australia,Namibia,-25.274398,133.775136,-22.957639999999998,18.49041,9
94,Australia,Nepal,-25.274398,133.775136,28.394857000000002,84.12400799999999,2086
95,Australia,Netherlands,-25.274398,133.775136,52.132633,5.291266,5
96,Australia,New Zealand,-25.274398,133.775136,-40.900557,174.88597099999998,20
97,Australia,Nicaragua,-25.274398,133.775136,12.865416,-85.207229,26
98,Australia,Niger,-25.274398,133.775136,17.607789,8.081666,2
99,Australia,Nigeria,-25.274398,133.775136,9.081999,8.675277000000001,161
100,Australia,Norway,-25.274398,133.775136,60.472024,8.468946,0
101,Australia,Oman,-25.274398,133.775136,21.512583,55.923255000000005,9
102,Australia,Pakistan,-25.274398,133.775136,30.375321000000003,69.345116,3215
103,Australia,Papua New Guinea,-25.274398,133.775136,-6.314993,143.95555,178
104,Australia,Peru,-25.274398,133.775136,-9.189967,-75.015152,94
105,Australia,Philippines,-25.274398,133.775136,12.879721,121.77401699999999,123
106,Australia,Poland,-25.274398,133.775136,51.919438,19.145135999999997,18
107,Australia,Portugal,-25.274398,133.775136,39.399871999999995,-8.224454,9
108,Australia,Romania,-25.274398,133.775136,45.943160999999996,24.96676,30
109,Australia,Rwanda,-25.274398,133.775136,-1.940278,29.873888,809
110,Australia,Saint Vincent and the Grenadines,-25.274398,133.775136,12.984305,-61.287228000000006,0
111,Australia,Samoa,-25.274398,133.775136,-13.759029,-172.10462900000002,12
112,Australia,Saudi Arabia,-25.274398,133.775136,23.885942,45.079162,142
113,Australia,Senegal,-25.274398,133.775136,14.497401000000002,-14.452361999999999,22
114,Australia,Serbia,-25.274398,133.775136,44.016521000000004,21.005859,30742
115,Australia,Sierra Leone,-25.274398,133.775136,8.460555000000001,-11.779889,3773
116,Australia,Singapore,-25.274398,133.775136,1.352083,103.819836,15
117,Australia,Slovenia,-25.274398,133.775136,46.151241,14.995463,23
118,Australia,Solomon Islands,-25.274398,133.775136,-9.645710000000001,160.156194,63
119,Australia,Somalia,-25.274398,133.775136,5.152149,46.199616,6126
120,Australia,South Africa,-25.274398,133.775136,-30.559482,22.937506,67
121,Australia,South Korea,-25.274398,133.775136,35.907757000000004,127.766922,52
122,Australia,Sri Lanka,-25.274398,133.775136,7.873054,80.77179699999999,5109
123,Australia,Sudan,-25.274398,133.775136,12.862807,30.217636,30083
124,Australia,Swaziland,-25.274398,133.775136,-26.522503000000004,31.465866,1
125,Australia,Sweden,-25.274398,133.775136,60.128161,18.643501,0
126,Australia,Switzerland,-25.274398,133.775136,46.818188,8.227511999999999,5
127,Australia,Syria,-25.274398,133.775136,34.802075,38.996815000000005,3844
128,Australia,Tajikistan,-25.274398,133.775136,38.861034000000004,71.276093,8
129,Australia,Tanzania,-25.274398,133.775136,-6.369028,34.888822,933
130,Australia,Thailand,-25.274398,133.775136,15.870032,100.992541,3353
131,Australia,Timor-Leste,-25.274398,133.775136,-8.874217,125.727539,355
132,Australia,Togo,-25.274398,133.775136,8.619543,0.824782,384
133,Australia,Tonga,-25.274398,133.775136,-21.178986,-175.198242,62
134,Australia,Tunisia,-25.274398,133.775136,33.886917,9.537499,7
135,Australia,Turkey,-25.274398,133.775136,38.963745,35.243322,640
136,Australia,Uganda,-25.274398,133.775136,1.373333,32.290275,786
137,Australia,Ukraine,-25.274398,133.775136,48.379433,31.16558,591
138,Australia,United Arab Emirates,-25.274398,133.775136,23.424076,53.847818000000004,30
139,Australia,United Kingdom,-25.274398,133.775136,55.378051,-3.435973,37
140,Australia,United States,-25.274398,133.775136,37.09024,-95.712891,21
141,Australia,Uzbekistan,-25.274398,133.775136,41.377491,64.585262,111
142,Australia,Vanuatu,-25.274398,133.775136,-15.376706,166.959158,0
143,Australia,Venezuela,-25.274398,133.775136,6.42375,-66.58973,16
144,Australia,Vietnam,-25.274398,133.775136,14.058323999999999,108.277199,9939
145,Australia,Yemen,-25.274398,133.775136,15.552726999999999,48.516388,84
146,Australia,Zambia,-25.274398,133.775136,-13.133897,27.849332,186
147,Australia,Zimbabwe,-25.274398,133.775136,-19.015438,29.154857,210
148,Austria,Armenia,47.516231,14.550072,40.069099,45.038189,1
149,Austria,Syria,47.516231,14.550072,34.802075,38.996815000000005,1344
150,Belarus,Syria,53.709807,27.953389,34.802075,38.996815000000005,14
151,Belgium,Afghanistan,50.503887,4.469936,33.93911,67.709953,1
152,Belgium,Eritrea,50.503887,4.469936,15.179383999999999,39.782334000000006,21
153,Belgium,Iran,50.503887,4.469936,32.427908,53.68804599999999,1
154,Belgium,Iraq,50.503887,4.469936,33.223191,43.679291,40
155,Belgium,Liberia,50.503887,4.469936,6.4280550000000005,-9.429499,2
156,Belgium,Syria,50.503887,4.469936,34.802075,38.996815000000005,664
157,Belgium,Tanzania,50.503887,4.469936,-6.369028,34.888822,31
158,Benin,Algeria,9.30769,2.315834,28.033886,1.6596259999999998,1
159,Benin,Burundi,9.30769,2.315834,-3.3730559999999996,29.918885999999997,27
160,Benin,Chad,9.30769,2.315834,15.454166,18.732207,35
161,Benin,Equatorial Guinea,9.30769,2.315834,1.6508009999999997,10.267895,11
162,Benin,Rwanda,9.30769,2.315834,-1.940278,29.873888,27
163,Benin,Sierra Leone,9.30769,2.315834,8.460555000000001,-11.779889,2
164,Benin,Sudan,9.30769,2.315834,12.862807,30.217636,16
165,Benin,Uganda,9.30769,2.315834,1.373333,32.290275,2
166,Brazil,Afghanistan,-14.235004,-51.92528,33.93911,67.709953,23
167,Brazil,Colombia,-14.235004,-51.92528,4.570868,-74.297333,484
168,Brazil,Cuba,-14.235004,-51.92528,21.521757,-77.78116700000001,2
169,Brazil,Ecuador,-14.235004,-51.92528,-1.8312389999999998,-78.183406,25
170,Brazil,Guatemala,-14.235004,-51.92528,15.783470999999999,-90.23075899999999,2
171,Brazil,Liberia,-14.235004,-51.92528,6.4280550000000005,-9.429499,7
172,Brazil,Nigeria,-14.235004,-51.92528,9.081999,8.675277000000001,3
173,Brazil,Peru,-14.235004,-51.92528,-9.189967,-75.015152,1
174,Brazil,Sierra Leone,-14.235004,-51.92528,8.460555000000001,-11.779889,2
175,Brazil,Sri Lanka,-14.235004,-51.92528,7.873054,80.77179699999999,11
176,Brazil,Syria,-14.235004,-51.92528,34.802075,38.996815000000005,1
177,Brazil,Venezuela,-14.235004,-51.92528,6.42375,-66.58973,4
178,Burkina Faso,Burundi,12.238333,-1.561593,-3.3730559999999996,29.918885999999997,3
179,Burkina Faso,Chad,12.238333,-1.561593,15.454166,18.732207,1
180,Burkina Faso,Eritrea,12.238333,-1.561593,15.179383999999999,39.782334000000006,5
181,Burkina Faso,Rwanda,12.238333,-1.561593,-1.940278,29.873888,2
182,Burkina Faso,Somalia,12.238333,-1.561593,5.152149,46.199616,1
183,Burkina Faso,Sudan,12.238333,-1.561593,12.862807,30.217636,10
184,Burundi,Rwanda,-3.3730559999999996,29.918885999999997,-1.940278,29.873888,1
185,Cambodia,Iran,12.565679,104.990963,32.427908,53.68804599999999,3
186,Cambodia,Syria,12.565679,104.990963,34.802075,38.996815000000005,0
187,Cameroon,Burundi,7.369722,12.354722,-3.3730559999999996,29.918885999999997,4
188,Cameroon,Rwanda,7.369722,12.354722,-1.940278,29.873888,2
189,Canada,Afghanistan,56.130366,-106.34677099999999,33.93911,67.709953,43435
190,Canada,Albania,56.130366,-106.34677099999999,41.153332,20.168331,338
191,Canada,Algeria,56.130366,-106.34677099999999,28.033886,1.6596259999999998,172
192,Canada,Andorra,56.130366,-106.34677099999999,42.546245,1.6015540000000001,1
193,Canada,Angola,56.130366,-106.34677099999999,-11.202691999999999,17.873887,1374
194,Canada,Argentina,56.130366,-106.34677099999999,-38.416097,-63.616671999999994,290
195,Canada,Armenia,56.130366,-106.34677099999999,40.069099,45.038189,34
196,Canada,Australia,56.130366,-106.34677099999999,-25.274398,133.775136,3
197,Canada,Austria,56.130366,-106.34677099999999,47.516231,14.550072,131
198,Canada,Azerbaijan,56.130366,-106.34677099999999,40.143105,47.576927000000005,157
199,Canada,Bahrain,56.130366,-106.34677099999999,25.930414000000003,50.637772,15
