,Country_Residence,Origin,Year,Count,Lat_Residence,Lon_Residence,Lat_Origin,Lon_Origin
98,Australia,El Salvador,2016,18,-25.274398,133.775136,13.794185,-88.89653
99,Australia,Somalia,2016,84,-25.274398,133.775136,5.152149,46.199616
100,Australia,Serbia,2016,12,-25.274398,133.775136,44.016521000000004,21.005859
101,Australia,Sudan,2016,6,-25.274398,133.775136,12.862807,30.217636
105,Australia,Syria,2016,83,-25.274398,133.775136,34.802075,38.996815000000005
108,Australia,Thailand,2016,204,-25.274398,133.775136,15.870032,100.992541
110,Australia,Tonga,2016,55,-25.274398,133.775136,-21.178986,-175.198242
112,Australia,Turkey,2016,160,-25.274398,133.775136,38.963745,35.243322
113,Australia,Tanzania,2016,6,-25.274398,133.775136,-6.369028,34.888822
114,Australia,Uganda,2016,17,-25.274398,133.775136,1.373333,32.290275
115,Australia,Ukraine,2016,30,-25.274398,133.775136,48.379433,31.16558
116,Australia,United States,2016,21,-25.274398,133.775136,37.09024,-95.712891
120,Australia,Venezuela,2016,14,-25.274398,133.775136,6.42375,-66.58973
121,Australia,Vietnam,2016,772,-25.274398,133.775136,14.058323999999999,108.277199
123,Australia,Samoa,2016,12,-25.274398,133.775136,-13.759029,-172.10462900000002
124,Australia,Yemen,2016,21,-25.274398,133.775136,15.552726999999999,48.516388
125,Australia,South Africa,2016,30,-25.274398,133.775136,-30.559482,22.937506
126,Australia,Zambia,2016,24,-25.274398,133.775136,-13.133897,27.849332
127,Australia,Zimbabwe,2016,71,-25.274398,133.775136,-19.015438,29.154857
128,Austria,Syria,2016,200,47.516231,14.550072,34.802075,38.996815000000005
131,Belgium,Syria,2016,448,50.503887,4.469936,34.802075,38.996815000000005
132,Brazil,Colombia,2016,31,-14.235004,-51.92528,4.570868,-74.297333
133,Canada,Afghanistan,2016,1354,56.130366,-106.34677099999999,33.93911,67.709953
134,Canada,Angola,2016,6,56.130366,-106.34677099999999,-11.202691999999999,17.873887
136,Canada,Armenia,2016,7,56.130366,-106.34677099999999,40.069099,45.038189
138,Canada,Burundi,2016,218,56.130366,-106.34677099999999,-3.3730559999999996,29.918885999999997
142,Canada,Bhutan,2016,106,56.130366,-106.34677099999999,27.514162,90.433601
144,Canada,Central African Republic,2016,76,56.130366,-106.34677099999999,6.611111,20.939444
146,Canada,China,2016,22,56.130366,-106.34677099999999,35.86166,104.195397
