year,country_origin_id,country_destination_id,hs92_product_id,import_val,import_val_pct
1996,PRK,MEX,ALL,7265405,0.013%
1996,PRK,SLV,ALL,562038,0.0010%
1996,PRK,USA,ALL,25602,0.000047%
1996,PRK,NZL,ALL,32144,0.000059%
1996,PRK,BOL,ALL,20000,0.000037%
1996,PRK,BRA,ALL,21791860,0.040%
1996,PRK,CHL,ALL,246070,0.00045%
1996,PRK,COL,ALL,164277,0.00030%
1996,PRK,ECU,ALL,9835267,0.018%
1996,PRK,PER,ALL,1333776,0.0025%
1996,PRK,SUR,ALL,3704,0.0000068%
1996,PRK,URY,ALL,35830,0.000066%
1996,PRK,VEN,ALL,20322,0.000037%
1997,PRK,CIV,ALL,144766,0.00027%
1997,PRK,EGY,ALL,2999,0.0000055%
1997,PRK,ETH,ALL,3337,0.0000062%
1997,PRK,GAB,ALL,3734895,0.0069%
1997,PRK,GIN,ALL,30396,0.000056%
1997,PRK,GMB,ALL,68246,0.00013%
1997,PRK,TGO,ALL,13771,0.000025%
1997,PRK,BGD,ALL,422375,0.00078%
1997,PRK,BRN,ALL,2953,0.0000054%
1997,PRK,CHN,ALL,531954117,0.98%
1997,PRK,CYP,ALL,5200,0.0000096%
1997,PRK,HKG,ALL,17211513,0.032%
1997,PRK,IDN,ALL,977349,0.0018%
1997,PRK,IND,ALL,37465344,0.069%
1997,PRK,IRN,ALL,120193,0.00022%
1997,PRK,JPN,ALL,166513234,0.31%
1997,PRK,LBN,ALL,2474164,0.0046%
1997,PRK,MAC,ALL,60371,0.00011%
1997,PRK,MNG,ALL,78705,0.00015%
1997,PRK,MYS,ALL,95365,0.00018%
1997,PRK,SGP,ALL,30615611,0.056%
1997,PRK,THA,ALL,24268227,0.045%
1997,PRK,AUT,ALL,11330002,0.021%
1997,PRK,BGR,ALL,3842251,0.0071%
1997,PRK,BLX,ALL,6678728,0.012%
1997,PRK,CHE,ALL,3879502,0.0072%
1997,PRK,CZE,ALL,208152,0.00038%
1997,PRK,DEU,ALL,40150731,0.074%
1997,PRK,DNK,ALL,3740533,0.0069%
1997,PRK,ESP,ALL,8958848,0.017%
1997,PRK,EST,ALL,101177,0.00019%
1997,PRK,FIN,ALL,31000,0.000057%
1997,PRK,FRA,ALL,15499560,0.029%
1997,PRK,GBR,ALL,38599026,0.071%
1997,PRK,GRC,ALL,5023649,0.0093%
1997,PRK,HUN,ALL,609000,0.0011%
1997,PRK,IRL,ALL,33197351,0.061%
1997,PRK,ITA,ALL,22196908,0.041%
1997,PRK,LTU,ALL,9199,0.000017%
1997,PRK,LVA,ALL,1562698,0.0029%
1997,PRK,MKD,ALL,51968,0.000096%
1997,PRK,NLD,ALL,20677756,0.038%
1997,PRK,NOR,ALL,615701,0.0011%
1997,PRK,POL,ALL,3533749,0.0065%
1997,PRK,PRT,ALL,216192,0.00040%
1997,PRK,ROU,ALL,99000,0.00018%
1997,PRK,RUS,ALL,67636062,0.12%
1997,PRK,SVK,ALL,1640084,0.0030%
1997,PRK,SVN,ALL,636355,0.0012%
1997,PRK,SWE,ALL,4101130,0.0076%
1997,PRK,UKR,ALL,4328075,0.0080%
1997,PRK,YUG,ALL,14000,0.000026%
1997,PRK,CAN,ALL,4018502,0.0074%
1997,PRK,CRI,ALL,3684860,0.0068%
1997,PRK,GTM,ALL,1191895,0.0022%
1997,PRK,HND,ALL,9637932,0.018%
1997,PRK,JAM,ALL,64978,0.00012%
1997,PRK,LCA,ALL,107759,0.00020%
1997,PRK,MEX,ALL,10113928,0.019%
1997,PRK,NIC,ALL,2639,0.0000049%
1997,PRK,TTO,ALL,5002,0.0000092%
1997,PRK,USA,ALL,1608388,0.0030%
1997,PRK,AUS,ALL,19798,0.000037%
1997,PRK,BOL,ALL,82750,0.00015%
1997,PRK,BRA,ALL,92082803,0.17%
1997,PRK,CHL,ALL,11099739,0.020%
1997,PRK,COL,ALL,180048,0.00033%
1997,PRK,ECU,ALL,1385174,0.0026%
1997,PRK,GUY,ALL,6000,0.000011%
1997,PRK,PER,ALL,673567,0.0012%
1997,PRK,URY,ALL,75932,0.00014%
