,year,country_origin_id,country_destination_id,hs92_product_id,import_val,import_val_pct,id,id_3char,name,Total,Percent_imp,perc_diff
1305,2015,PRK,BEN,ALL,2579378,0.0048%,afben,BEN,Benin,3472362068,0.07428309460498346,99.92571690539502
1333,2015,PRK,TZA,ALL,83371,0.00015%,aftza,TZA,Tanzania,3472362068,0.0024009880988021437,99.9975990119012
1345,2015,PRK,PHL,ALL,53231731,0.098%,asphl,PHL,Philippines,3472362068,1.533012109841997,98.46698789015801
1363,2015,PRK,BLR,ALL,364900,0.00067%,eublr,BLR,Belarus,3472362068,0.010508696756101069,99.9894913032439
1395,2015,PRK,ZAF,ALL,1147991,0.0021%,afzaf,ZAF,South Africa,3472362068,0.033060809256599676,99.9669391907434
1410,2015,PRK,LKA,ALL,1368160,0.0025%,aslka,LKA,Sri Lanka,3472362068,0.03940142108475538,99.96059857891524
1429,2015,PRK,MOZ,ALL,226772,0.00042%,afmoz,MOZ,Mozambique,3472362068,0.006530770569401347,99.9934692294306
1459,2015,PRK,KAZ,ALL,1511580,0.0028%,askaz,KAZ,Kazakhstan,3472362068,0.04353175073331667,99.95646824926668
1474,2015,PRK,KHM,ALL,651436,0.0012%,askhm,KHM,Cambodia,3472362068,0.018760601205830243,99.98123939879417
1483,2015,PRK,QAT,ALL,4285954,0.0079%,asqat,QAT,Qatar,3472362068,0.12343050396436941,99.87656949603563
1541,2015,PRK,UGA,ALL,97805,0.00018%,afuga,UGA,Uganda,3472362068,0.002816670556948383,99.99718332944305
1563,2015,PRK,ISR,ALL,78000,0.00014%,asisr,ISR,Israel,3472362068,0.0022463095285718917,99.99775369047143
1598,2015,PRK,PAK,ALL,16217,0.000030%,aspak,PAK,Pakistan,3472362068,0.0004670307900621843,99.99953296920994
1602,2015,PRK,BLZ,ALL,3964,0.0000073%,nablz,BLZ,Belize,3472362068,0.00011415860219562794,99.9998858413978
1610,2015,PRK,RWA,ALL,87409,0.00016%,afrwa,RWA,Rwanda,3472362068,0.002517277815165904,99.99748272218483
1621,2015,PRK,SEN,ALL,7821784,0.014%,afsen,SEN,Senegal,3472362068,0.22525830679014316,99.77474169320986
1635,2015,PRK,SRB,ALL,7498,0.000014%,eusrb,SRB,Serbia,3472362068,0.00021593370314400062,99.99978406629685
1653,2015,PRK,NER,ALL,15674,0.000029%,afner,NER,Niger,3472362068,0.0004513930198825107,99.99954860698011
1658,2015,PRK,KWT,ALL,51309,0.000095%,askwt,KWT,Kuwait,3472362068,0.0014776396871986565,99.9985223603128
1667,2015,PRK,BRB,ALL,6690,0.000012%,nabrb,BRB,Barbados,3472362068,0.00019266424033520462,99.99980733575967
1674,2015,PRK,BHS,ALL,99750,0.00018%,nabhs,BHS,Bahamas,3472362068,0.002872684300962131,99.99712731569903
1682,2015,PRK,CMR,ALL,201306,0.00037%,afcmr,CMR,Cameroon,3472362068,0.0057973793071627346,99.99420262069283
1687,2015,PRK,MAR,ALL,205456,0.00038%,afmar,MAR,Morocco,3472362068,0.005916894493618804,99.99408310550638
1694,2015,PRK,BFA,ALL,636816,0.0012%,afbfa,BFA,Burkina Faso,3472362068,0.018339562163423563,99.98166043783658
1696,2015,PRK,SLE,ALL,52342,0.000097%,afsle,SLE,Sierra Leone,3472362068,0.0015073888890321792,99.99849261111096
1697,2015,PRK,SLB,ALL,379325,0.00070%,ocslb,SLB,Solomon Islands,3472362068,0.01092412002468632,99.98907587997532
