year,country_origin_id,country_destination_id,hs92_product_id,import_val,import_val_pct,id,id_3char,,Total,Percent_imp,perc_diff,name,Continent
2015,PRK,QAT,ALL,4285954,0.01%,asqat,QAT,,3472362068,0.123430504,99.8765695,Qatar,Asia
2015,PRK,RUS,ALL,78226112,0.14%,eurus,RUS,,3472362068,2.252821292,97.74717871,Russia,Asia
2015,PRK,RWA,ALL,87409,0.00%,afrwa,RWA,,3472362068,0.002517277815,99.99748272,Rwanda,Africa
2015,PRK,SAU,ALL,6680541,0.01%,assau,SAU,,3472362068,0.1923918321,99.80760817,Saudi Arabia,Asia
2015,PRK,SEN,ALL,7821784,0.01%,afsen,SEN,,3472362068,0.2252583068,99.77474169,Senegal,Africa
2015,PRK,SRB,ALL,7498,0.00%,eusrb,SRB,,3472362068,0.0002159337031,99.99978407,Serbia,Europe
2015,PRK,SLE,ALL,52342,0.00%,afsle,SLE,,3472362068,0.001507388889,99.99849261,Sierra Leone,Africa
2015,PRK,SGP,ALL,28177326,0.05%,assgp,SGP,,3472362068,0.8114743062,99.18852569,Singapore,Asia
2015,PRK,SVK,ALL,10116,0.00%,eusvk,SVK,,3472362068,0.0002913290666,99.99970867,Slovakia,Europe
2015,PRK,SLB,ALL,379325,0.00%,ocslb,SLB,,3472362068,0.01092412002,99.98907588,Solomon Islands,Oceania
2015,PRK,ZAF,ALL,1147991,0.00%,afzaf,ZAF,,3472362068,0.03306080926,99.96693919,South Africa,Africa
2015,PRK,ESP,ALL,276887,0.00%,euesp,ESP,,3472362068,0.007974024442,99.99202598,Spain,Europe
2015,PRK,LKA,ALL,1368160,0.00%,aslka,LKA,,3472362068,0.03940142108,99.96059858,Sri Lanka,Asia
2015,PRK,SWE,ALL,97604,0.00%,euswe,SWE,,3472362068,0.00281088199,99.99718912,Sweden,Europe
2015,PRK,CHE,ALL,5173138,0.01%,euche,CHE,,3472362068,0.1489803741,99.85101963,Switzerland,Europe
2015,PRK,TZA,ALL,83371,0.00%,aftza,TZA,,3472362068,0.002400988099,99.99759901,Tanzania,Africa
2015,PRK,THA,ALL,73797295,0.14%,astha,THA,,3472362068,2.125276499,97.8747235,Thailand,Asia
2015,PRK,TUN,ALL,154794,0.00%,aftun,TUN,,3472362068,0.004457887656,99.99554211,Tunisia,Africa
2015,PRK,TUR,ALL,4652842,0.01%,astur,TUR,,3472362068,0.1339964528,99.86600355,Turkey,Asia
2015,PRK,UGA,ALL,97805,0.00%,afuga,UGA,,3472362068,0.002816670557,99.99718333,Uganda,Africa
2015,PRK,UKR,ALL,33738277,0.06%,euukr,UKR,,3472362068,0.9716232449,99.02837676,Ukraine,Europe
2015,PRK,GBR,ALL,395958,0.00%,eugbr,GBR,,3472362068,0.01140313113,99.98859687,United Kingdom,Europe
2015,PRK,USA,ALL,804206,0.00%,nausa,USA,,3472362068,0.02316020001,99.9768398,United States,North America
2015,PRK,ZWE,ALL,3500,0.00%,afzwe,ZWE,,3472362068,0.0001007959404,99.9998992,Zimbabwe,Africa
