,AB,Age,BB,From,G,H,HR,OPS,PA,R,SB,SO,To,WAR,experience,names,Zero,Year_difference,index,experience_distribution
54,46,28.068,4,2001,17,14,1,0.7859999999999999,51,5,1,7,2001,0.2,1,Andy Barkett,0,0,1,487
55,46,27.094,3,2001,21,10,1,0.591,49,6,0,14,2001,-0.8,1,Cliff Brumbaugh,0,0,1,487
56,0,26.021,0,2001,1,0,0,,0,0,0,0,2001,0.0,1,Tim Christman,0,0,1,487
57,25,28.221999999999998,1,2001,23,5,0,0.511,26,0,0,7,2001,-0.1,1,Stubby Clapp,0,0,1,487
58,0,24.234,0,2001,4,0,0,,0,0,0,0,2001,0.0,1,Tony Cogan,0,0,1,487
59,33,25.035999999999998,0,2001,20,4,0,0.273,37,3,0,15,2001,-0.2,1,Lance Davis,0,0,1,487
60,0,27.035999999999998,0,2001,0,0,0,,0,0,0,0,2001,0.0,1,Kris Foster,0,0,1,487
61,0,30.078000000000003,0,2001,16,0,0,,0,0,0,0,2001,0.0,1,Gus Gandarillas,0,0,1,487
62,0,23.070999999999998,0,2001,0,0,0,,0,0,0,0,2001,0.0,1,Steve Green,0,0,1,487
63,12,23.025,0,2001,12,0,0,0.0,13,0,0,11,2001,-0.2,1,Junior Herndon,0,0,1,487
64,1,24.055,0,2001,3,0,0,0.0,1,0,0,0,2001,0.0,1,Chad Hutchinson,0,0,1,487
65,4,24.195999999999998,0,2001,7,0,0,0.0,4,0,0,2,2001,0.0,1,Brett Jodie,0,0,1,487
66,10,32.205999999999996,2,2001,8,1,0,0.35,12,0,0,3,2001,-0.2,1,Jalal Leach,0,0,1,487
67,26,27.213,1,2001,8,5,0,0.445,28,1,2,4,2001,-0.4,1,James Lofton,0,0,1,487
68,3,27.054000000000002,0,2001,24,0,0,0.0,3,0,0,1,2001,0.0,1,Scott MacRae,0,0,1,487
69,15,25.335,0,2001,8,7,0,1.0,16,4,0,2,2001,0.3,1,Troy Mattes,0,0,1,487
70,5,26.066,0,2001,5,1,0,0.4,5,0,0,1,2001,-0.1,1,Bill Ortega,0,0,1,487
71,0,25.276999999999997,0,2001,0,0,0,,0,0,0,0,2001,0.0,1,Christian Parker,0,0,1,487
72,0,24.011999999999997,0,2001,11,0,0,,0,0,0,0,2001,0.0,1,Chris Piersoll,0,0,1,487
