,Movies,count,mean
189,Hard to Be a God,2,3.0
190,Hazaaron Khwaishein Aisi,1,8.0
191,Head-On,1,9.0
192,Heart of a Dog,1,10.0
193,Heaven Knows What,1,7.0
194,Heaven's Story,1,8.0
195,Hedwig and the Angry Inch,1,6.0
196,Her,6,6.333333333333333
197,Hero,2,4.5
198,High Fidelity,1,9.0
199,Hijack Stories,1,9.0
200,Holy Motors,16,4.8125
201,Hooligan Sparrow,1,9.0
202,Horse Money,1,5.0
203,Hotel Rwanda,1,5.0
204,House of Flying Daggers,1,5.0
205,How to Survive a Plague,1,6.0
206,Hugo,1,2.0
207,Human,1,8.0
208,Hunger,1,7.0
209,I Am Love,2,7.5
210,I Don't Want to Sleep Alone,1,10.0
211,"I Travel Because I Have To, I Come Back Because I Love You",1,10.0
212,Ida,6,4.333333333333333
213,Idiocracy,2,8.0
214,Import Export,1,7.0
215,In Jackson Heights,1,6.0
216,In Praise of Love,1,1.0
217,In Vanda’s Room,1,10.0
218,In the Family,1,7.0
219,In the Mood for Love,49,4.081632653061225
220,Incendies,1,10.0
221,Inception,7,5.0
222,Infernal Affairs,2,8.5
223,Inglourious Basterds,10,7.3
224,Inherent Vice,4,3.5
225,Inland Empire,1,7.0
226,Inside Llewyn Davis,20,4.55
227,Inside Out,8,4.75
228,Instructions for a Light and Sound Machine,1,5.0
229,Into Great Silence,1,9.0
230,Irreversible,1,10.0
231,It's Such a Beautiful Day,3,7.333333333333333
232,I’m Going Home,1,10.0
233,I’m Not There,1,4.0
234,Jackass 3D,1,10.0
235,Japon,1,10.0
236,Jersey Boys,1,1.0
237,Journey to the West,1,6.0
238,Katyn,1,4.0
239,Kill Bill: Vol. 1,5,7.4
240,Kill Bill: Vol. 2,1,10.0
241,Kill List,1,7.0
242,Kings and Queen,1,2.0
243,Kiss Kiss Bang Bang,1,9.0
244,Knight of Cups,1,5.0
245,Kung Fu Hustle,1,4.0
246,"LSD: Love, Sex Aur Dhokha",1,3.0
247,La Ciénaga,1,5.0
248,La commune,1,1.0
249,Lagaan: Once Upon a Time in India,2,9.5
250,Le filmeur,1,5.0
251,Le quattro volte,1,3.0
252,Let the Right One In,3,3.3333333333333335
253,Letters From Iwo Jima,3,6.333333333333333
254,Leviathan,10,5.4
255,Life of Pi,1,5.0
256,Lifeline,1,2.0
257,Like Someone In Love,2,2.5
258,Lilya 4-Ever,2,7.5
259,Lincoln,1,4.0
260,Listen to Me Marlon,1,7.0
261,Locke,1,3.0
262,Longing,1,3.0
263,Los Angeles Plays Itself,1,1.0
264,Lost and Beautiful,1,10.0
265,Lost in Translation,12,5.0
266,Lourdes,1,7.0
267,Love & Basketball,2,7.0
268,Love & Friendship,1,9.0
269,Love Actually,1,5.0
