,Characters,Dialogue,Movie
199,HAN,A...Jedi Knight? I--I'm out of it for a little while everybody gets delusions of grandeur.,Return of the Jedi
201,HAN,I'm all right pal. I'm all right.,Return of the Jedi
206,LUKE,I must speak with Jabba.,Return of the Jedi
208,LUKE,You will take me to Jabba now!,Return of the Jedi
210,LUKE,You serve your master well.,Return of the Jedi
212,LUKE,And you will be rewarded.,Return of the Jedi
215,THREEPIO,At last! Master Luke's come to rescue me.,Return of the Jedi
216,BIB,Master.,Return of the Jedi
218,BIB,...Luke Skywalker Jedi Knight.,Return of the Jedi
220,LUKE,I must be allowed to speak.,Return of the Jedi
225,LUKE,You will bring Captain Solo and the Wookiee to me.,Return of the Jedi
227,LUKE,Nevertheless I'm taking Captain Solo and his friends. You can either profit by this... or be destroyed! It's your choice. But I warn you not to underestimate my powers.,Return of the Jedi
229,THREEPIO,Master Luke you're standing on...,Return of the Jedi
232,JABBA,Bascka!,Return of the Jedi
236,THREEPIO,Oh no! The Rancor!,Return of the Jedi
250,LUKE,Han!,Return of the Jedi
251,HAN,Luke!,Return of the Jedi
252,LUKE,Are you all right?,Return of the Jedi
253,HAN,Fine. Together again huh?,Return of the Jedi
254,LUKE,Wouldn't miss it.,Return of the Jedi
255,HAN,How are we doing?,Return of the Jedi
256,LUKE,The same as always.,Return of the Jedi
257,HAN,That bad huh? Where's Leia?,Return of the Jedi
259,LEIA,I'm here.,Return of the Jedi
262,THREEPIO,Oh dear. His High Exaltedness the great Jabba the Hutt has decreed that you are to be terminated immediately.,Return of the Jedi
263,HAN,Good I hate long waits.,Return of the Jedi
264,THREEPIO,You will therefore be taken to the Dune Sea and cast into the pit of Carkoon the nesting place of the all-powerful Sarlacc.,Return of the Jedi
266,THREEPIO,In his belly you will find a new definition of pain and suffering as you are slowly digested over a thousand years.,Return of the Jedi
267,HAN,On second thought let's pass on that huh?,Return of the Jedi
269,LUKE,You should have bargained Jabba. That's the last mistake you'll ever make.,Return of the Jedi
274,HAN,I think my eyes are getting better. Instead of a big dark blur I see a big light blur.,Return of the Jedi
275,LUKE,There's nothing to see. I used to live here you know.,Return of the Jedi
