,10,Script,test,Characters,Dialogue,test_2,Movie
2677,,ANAKIN: You're a Sith Lord!NoneNoneNoneNoneNoneNoneNoneNoneNone,True,ANAKIN, You're a Sith Lord!,True,Revenge of the Sith
2679,,PALPATINE: I know what has been troubling you . . . Listen to me. Don't continue to be a pawn of the Jedi Council! Ever since I've known you you've been searching for a life greater than that of an ordinary Jedi . . . a life of significance of conscience.NoneNoneNoneNoneNoneNoneNone,True,PALPATINE, I know what has been troubling you . . . Listen to me. Don't continue to be a pawn of the Jedi Council! Ever since I've known you you've been searching for a life greater than that of an ordinary Jedi . . . a life of significance of conscience.,True,Revenge of the Sith
2680,,ANAKIN: You're wrong!NoneNoneNoneNoneNoneNoneNoneNoneNone,True,ANAKIN, You're wrong!,True,Revenge of the Sith
2681,,PALPATINE: Are you going to kill me?NoneNoneNoneNoneNoneNoneNoneNoneNone,True,PALPATINE, Are you going to kill me?,True,Revenge of the Sith
2682,,ANAKIN: I would certainly like to.NoneNoneNoneNoneNoneNoneNoneNoneNone,True,ANAKIN, I would certainly like to.,True,Revenge of the Sith
2683,,PALPATINE: I know you would. I can feel your anger. It gives you focus makes you stronger.NoneNoneNoneNoneNoneNoneNoneNone,True,PALPATINE, I know you would. I can feel your anger. It gives you focus makes you stronger.,True,Revenge of the Sith
2685,,ANAKIN: I am going to turn you over to the Jedi Council.NoneNoneNoneNoneNoneNoneNoneNoneNone,True,ANAKIN, I am going to turn you over to the Jedi Council.,True,Revenge of the Sith
2686,,PALPATINE: Of course you should. But you're not sure of their intentions are you? What if I am right and they are plotting to take over the Republic?NoneNoneNoneNoneNoneNoneNoneNone,True,PALPATINE, Of course you should. But you're not sure of their intentions are you? What if I am right and they are plotting to take over the Republic?,True,Revenge of the Sith
2687,,ANAKIN: I will quickly discover the truth of all this.NoneNoneNoneNoneNoneNoneNoneNoneNone,True,ANAKIN, I will quickly discover the truth of all this.,True,Revenge of the Sith
2688,,PALPATINE: You have great wisdom Anakin. Know the power of the dark side. The power to save Padme.NoneNoneNoneNoneNoneNoneNoneNone,True,PALPATINE, You have great wisdom Anakin. Know the power of the dark side. The power to save Padme.,True,Revenge of the Sith
2690,,PALPATINE: (continuing) I am not going anywhere. You have time to decide my fate. Perhaps you'll reconsider and help me rule the galaxy for the good of all . . .NoneNoneNoneNoneNoneNoneNoneNoneNone,True,PALPATINE,  I am not going anywhere. You have time to decide my fate. Perhaps you'll reconsider and help me rule the galaxy for the good of all . . .,True,Revenge of the Sith
2700,,GENERAL GRIEVOUS: Prepare to move out of orbit. I will be up in a few moments.NoneNoneNoneNoneNoneNoneNoneNoneNone,True,GENERAL GRIEVOUS, Prepare to move out of orbit. I will be up in a few moments.,True,Revenge of the Sith
2711,,OBI-WAN: So uncivilized . . .NoneNoneNoneNoneNoneNoneNoneNoneNone,True,OBI-WAN, So uncivilized . . .,True,Revenge of the Sith
2715,,ANAKIN: Master Windu I must talk to you.NoneNoneNoneNoneNoneNoneNoneNone,True,ANAKIN, Master Windu I must talk to you.,True,Revenge of the Sith
2716,,MACE WiNDU: What is it Skywalker? We are in a hurry. We have just received word that Obi-Wan has destroyed General Grievous. We are on our way to make sure the Chancellor returns emergency powers back to the Senate.NoneNoneNoneNoneNoneNoneNoneNone,True,MACE WiNDU, What is it Skywalker? We are in a hurry. We have just received word that Obi-Wan has destroyed General Grievous. We are on our way to make sure the Chancellor returns emergency powers back to the Senate.,True,Revenge of the Sith
2717,,ANAKIN: He won't give up his power. I've just learned a terrible truth. I think Chancellor Palpatine is a Sith Lord.NoneNoneNoneNoneNoneNoneNoneNoneNone,True,ANAKIN, He won't give up his power. I've just learned a terrible truth. I think Chancellor Palpatine is a Sith Lord.,True,Revenge of the Sith
2718,,MACE WINDU: A Sith Lord?NoneNoneNoneNoneNoneNoneNoneNoneNone,True,MACE WINDU, A Sith Lord?,True,Revenge of the Sith
2719,,ANAKIN: Yes. The one we have been looking for.NoneNoneNoneNoneNoneNoneNoneNoneNone,True,ANAKIN, Yes. The one we have been looking for.,True,Revenge of the Sith
2720,,MACE WiNDU: How do you know this?NoneNoneNoneNoneNoneNoneNoneNoneNone,True,MACE WiNDU, How do you know this?,True,Revenge of the Sith
2721,,ANAKIN: He knows the ways of the Force. He has been trained to use the dark side.NoneNoneNoneNoneNoneNoneNoneNoneNone,True,ANAKIN, He knows the ways of the Force. He has been trained to use the dark side.,True,Revenge of the Sith
2722,,MACE WiNDU: Are you sure?NoneNoneNoneNoneNoneNoneNoneNoneNone,True,MACE WiNDU, Are you sure?,True,Revenge of the Sith
2723,,ANAKIN: Absolutely.NoneNoneNoneNoneNoneNoneNoneNoneNone,True,ANAKIN, Absolutely.,True,Revenge of the Sith
2724,,MACE WiNDU: Then our worst fears have been realized. We must move quickly if the Jedi Order is to survive.NoneNoneNoneNoneNoneNoneNoneNoneNone,True,MACE WiNDU, Then our worst fears have been realized. We must move quickly if the Jedi Order is to survive.,True,Revenge of the Sith
2725,,ANAKIN: Master the Chancellor is very powerful. You will need my help if you are going to arrest him.NoneNoneNoneNoneNoneNoneNoneNone,True,ANAKIN, Master the Chancellor is very powerful. You will need my help if you are going to arrest him.,True,Revenge of the Sith
2726,,MACE WiNDU: For your own good stay out of this affair. I sense a great deal of confusion in you young Skywalker. There is much fear that clouds your judgment.NoneNoneNoneNoneNoneNoneNone,True,MACE WiNDU, For your own good stay out of this affair. I sense a great deal of confusion in you young Skywalker. There is much fear that clouds your judgment.,True,Revenge of the Sith
2727,,ANAKIN: I must go Master.NoneNoneNoneNoneNoneNoneNoneNone,True,ANAKIN, I must go Master.,True,Revenge of the Sith
2728,,MACE WiNDU: No. If what you told me is true you will have gained my trust but for now remain here.NoneNoneNoneNoneNoneNoneNone,True,MACE WiNDU, No. If what you told me is true you will have gained my trust but for now remain here.,True,Revenge of the Sith
2729,,ANAKIN: Yes Master.NoneNoneNoneNoneNoneNoneNoneNone,True,ANAKIN, Yes Master.,True,Revenge of the Sith
2730,,MACE WiNDU: Wait for us in the Council Chamber until we return.NoneNoneNoneNoneNoneNoneNoneNoneNone,True,MACE WiNDU, Wait for us in the Council Chamber until we return.,True,Revenge of the Sith
2731,,ANAKIN: Yes Master.NoneNoneNoneNoneNoneNoneNoneNone,True,ANAKIN, Yes Master.,True,Revenge of the Sith
2736,,PALPATINE: (V.O.) You do know don't you if the Jedi destroy me any chance of saving her will be lost.NoneNoneNoneNoneNoneNone,True,PALPATINE,  You do know don't you if the Jedi destroy me any chance of saving her will be lost.,True,Revenge of the Sith
2737,,PADME: I truly deeply love you. Before I die. I want you to know.NoneNoneNoneNoneNoneNoneNoneNone,True,PADME, I truly deeply love you. Before I die. I want you to know.,True,Revenge of the Sith
2738,,C-3PO: My Lady are you. . . . Are you all right?NoneNoneNoneNoneNoneNoneNoneNone,True,C-3PO, My Lady are you. . . . Are you all right?,True,Revenge of the Sith
2739,,ANAKIN: I can't do this ... I can't let her die.NoneNoneNoneNoneNoneNoneNoneNoneNone,True,ANAKIN, I can't do this ... I can't let her die.,True,Revenge of the Sith
2747,,PALPATINE: Master Windu. I take it General Grievous has been destroyed then. I must say you're here sooner than expected.NoneNoneNoneNoneNoneNoneNoneNone,True,PALPATINE, Master Windu. I take it General Grievous has been destroyed then. I must say you're here sooner than expected.,True,Revenge of the Sith
2748,,MACE WINDU: In the name of the Galactic Senate of the Republic you are under arrest Chancellor.NoneNoneNoneNoneNoneNoneNone,True,MACE WINDU, In the name of the Galactic Senate of the Republic you are under arrest Chancellor.,True,Revenge of the Sith
2750,,PALPATINE: Are you threatening me Master Jedi?NoneNoneNoneNoneNoneNoneNoneNone,True,PALPATINE, Are you threatening me Master Jedi?,True,Revenge of the Sith
2751,,MACE: The Senate will decide your fate.NoneNoneNoneNoneNoneNoneNoneNoneNone,True,MACE, The Senate will decide your fate.,True,Revenge of the Sith
2752,,PALPATINE: (burst of anger) I am the Senate!NoneNoneNoneNoneNoneNoneNoneNoneNone,True,PALPATINE,  I am the Senate!,True,Revenge of the Sith
2753,,MACE: Not yet!NoneNoneNoneNoneNoneNoneNoneNoneNone,True,MACE, Not yet!,True,Revenge of the Sith
2755,,PALPATINE: It's treason then.NoneNoneNoneNoneNoneNoneNoneNone,True,PALPATINE, It's treason then.,True,Revenge of the Sith
2761,,MACE WINDU: You are under arrest My Lord.NoneNoneNoneNoneNoneNoneNoneNone,True,MACE WINDU, You are under arrest My Lord.,True,Revenge of the Sith
2762,,PALPATINE: Anakin! I told you it would come to this. I was right. The Jedi are taking over.NoneNoneNoneNoneNoneNoneNoneNoneNone,True,PALPATINE, Anakin! I told you it would come to this. I was right. The Jedi are taking over.,True,Revenge of the Sith
2763,,MACE WlNDU: You old fool. The oppression of the Sith will never return. Your plot to regain control of the Republic is over . . . you have lost . . .NoneNoneNoneNoneNoneNoneNoneNoneNone,True,MACE WlNDU, You old fool. The oppression of the Sith will never return. Your plot to regain control of the Republic is over . . . you have lost . . .,True,Revenge of the Sith
2764,,PALPATINE: No! No! You will die!NoneNoneNoneNoneNoneNoneNoneNoneNone,True,PALPATINE, No! No! You will die!,True,Revenge of the Sith
2766,,PALPATINE: He is a traitor Anakin.NoneNoneNoneNoneNoneNoneNoneNone,True,PALPATINE, He is a traitor Anakin.,True,Revenge of the Sith
2767,,MACE WlNDU: He's the traitor. Stop him!NoneNoneNoneNoneNoneNoneNoneNoneNone,True,MACE WlNDU, He's the traitor. Stop him!,True,Revenge of the Sith
2768,,PALPATINE: Come to your senses boy. The Jedi are in revolt. They will betray you just as they betrayed me.NoneNoneNoneNoneNoneNoneNone,True,PALPATINE, Come to your senses boy. The Jedi are in revolt. They will betray you just as they betrayed me.,True,Revenge of the Sith
2769,,MACE WlNDU: Aarrrrggghhhhh . . .NoneNoneNoneNoneNoneNoneNoneNoneNone,True,MACE WlNDU, Aarrrrggghhhhh . . .,True,Revenge of the Sith
2770,,PALPATINE: You are not one of them Anakin. Don't let him kill me.NoneNoneNoneNoneNoneNoneNoneNone,True,PALPATINE, You are not one of them Anakin. Don't let him kill me.,True,Revenge of the Sith
2771,,MACE WlNDU: Aarrrrggghhhhh . . .NoneNoneNoneNoneNoneNoneNoneNoneNone,True,MACE WlNDU, Aarrrrggghhhhh . . .,True,Revenge of the Sith
2772,,PALPATINE: I am your pathway to power. I have the power to save the one you love. You must choose. You must stop him.NoneNoneNoneNoneNoneNoneNoneNoneNone,True,PALPATINE, I am your pathway to power. I have the power to save the one you love. You must choose. You must stop him.,True,Revenge of the Sith
2773,,MACE WlNDU: Don't listen to him Anakin.NoneNoneNoneNoneNoneNoneNoneNone,True,MACE WlNDU, Don't listen to him Anakin.,True,Revenge of the Sith
2774,,PALPATINE: Help me! Don't let him kill me. I can't hold on any longer. Ahhhhhhh . . . ahhhhhhh . . . ahhhhhhh . . .NoneNoneNoneNoneNoneNoneNoneNoneNone,True,PALPATINE, Help me! Don't let him kill me. I can't hold on any longer. Ahhhhhhh . . . ahhhhhhh . . . ahhhhhhh . . .,True,Revenge of the Sith
2776,,PALPATINE: I can't ... I give up. Help me. I am weak ... I am too weak. Don't kill me. I give up. I'm dying. I can't hold on any longer.NoneNoneNoneNoneNoneNoneNoneNoneNone,True,PALPATINE, I can't ... I give up. Help me. I am weak ... I am too weak. Don't kill me. I give up. I'm dying. I can't hold on any longer.,True,Revenge of the Sith
2777,,MACE WlNDU: You Sith disease. I am going to end this once and for all.NoneNoneNoneNoneNoneNoneNoneNoneNone,True,MACE WlNDU, You Sith disease. I am going to end this once and for all.,True,Revenge of the Sith
2778,,ANAKIN: You can't kill him Master. He must stand trial.NoneNoneNoneNoneNoneNoneNoneNone,True,ANAKIN, You can't kill him Master. He must stand trial.,True,Revenge of the Sith
2779,,MACE WlNDU: He has too much control of the Senate and the Courts. He is too dangerous to be kept alive.NoneNoneNoneNoneNoneNoneNoneNoneNone,True,MACE WlNDU, He has too much control of the Senate and the Courts. He is too dangerous to be kept alive.,True,Revenge of the Sith
2780,,PALPATINE: I'm too weak. Don't kill me. Please.NoneNoneNoneNoneNoneNoneNoneNoneNone,True,PALPATINE, I'm too weak. Don't kill me. Please.,True,Revenge of the Sith
2781,,ANAKIN: It is not the Jedi way . . .NoneNoneNoneNoneNoneNoneNoneNoneNone,True,ANAKIN, It is not the Jedi way . . .,True,Revenge of the Sith
2783,,ANAKIN: (continuing) He must live . . .NoneNoneNoneNoneNoneNoneNoneNoneNone,True,ANAKIN,  He must live . . .,True,Revenge of the Sith
2784,,PALPATINE: Please don't please don't . . .NoneNoneNoneNoneNoneNoneNoneNone,True,PALPATINE, Please don't please don't . . .,True,Revenge of the Sith
2785,,ANAKIN: I need him . . .NoneNoneNoneNoneNoneNoneNoneNoneNone,True,ANAKIN, I need him . . .,True,Revenge of the Sith
2786,,PALPATINE: Please don't . . .NoneNoneNoneNoneNoneNoneNoneNoneNone,True,PALPATINE, Please don't . . .,True,Revenge of the Sith
2787,,ANAKIN: NO!!!NoneNoneNoneNoneNoneNoneNoneNoneNone,True,ANAKIN, NO!!!,True,Revenge of the Sith
2790,,PALPATINE: Power! Unlimited power!NoneNoneNoneNoneNoneNoneNoneNoneNone,True,PALPATINE, Power! Unlimited power!,True,Revenge of the Sith
2792,,ANAKIN: What have I done?NoneNoneNoneNoneNoneNoneNoneNoneNone,True,ANAKIN, What have I done?,True,Revenge of the Sith
2794,,PALPATINE: You are fulfilling your destin Anakin. Become my apprentice. Learn to use the dark side of the Force.NoneNoneNoneNoneNoneNoneNoneNone,True,PALPATINE, You are fulfilling your destin Anakin. Become my apprentice. Learn to use the dark side of the Force.,True,Revenge of the Sith
2795,,ANAKIN: I will do whatever you ask.NoneNoneNoneNoneNoneNoneNoneNoneNone,True,ANAKIN, I will do whatever you ask.,True,Revenge of the Sith
2796,,PALPATINE: Good.NoneNoneNoneNoneNoneNoneNoneNoneNone,True,PALPATINE, Good.,True,Revenge of the Sith
2797,,ANAKIN: Just help me save Padme's life. I can't live without her. I won't let her die. I want the power to stop death.NoneNoneNoneNoneNoneNoneNoneNoneNone,True,ANAKIN, Just help me save Padme's life. I can't live without her. I won't let her die. I want the power to stop death.,True,Revenge of the Sith
2798,,PALPATINE: To cheat death is a power only one has achieved but if we work together I know we can discover the secret.NoneNoneNoneNoneNoneNoneNone,True,PALPATINE, To cheat death is a power only one has achieved but if we work together I know we can discover the secret.,True,Revenge of the Sith
2800,,ANAKIN: I pledge myself to your teachings. To the ways of the Sith.NoneNoneNoneNoneNoneNoneNoneNoneNone,True,ANAKIN, I pledge myself to your teachings. To the ways of the Sith.,True,Revenge of the Sith
2801,,PALPATINE: Good. Good. The Force is strong with you. A powerful Sith you will become. Henceforth you shall be known as Darth . . . Vader.NoneNoneNoneNoneNoneNoneNoneNone,True,PALPATINE, Good. Good. The Force is strong with you. A powerful Sith you will become. Henceforth you shall be known as Darth . . . Vader.,True,Revenge of the Sith
2802,,ANAKIN: Thank you. my Master.NoneNoneNoneNoneNoneNoneNoneNoneNone,True,ANAKIN, Thank you. my Master.,True,Revenge of the Sith
2803,,PALPATINE: Rise Darth Vader.NoneNoneNoneNoneNoneNoneNoneNone,True,PALPATINE, Rise Darth Vader.,True,Revenge of the Sith
2809,,PALPATINE: Because the Council did not trust you my young apprentice I believe you are the only Jedi with no knowledge of this plot. When the Jedi learn what has transpired here they will kill us along with all the Senators.NoneNoneNoneNoneNone,True,PALPATINE, Because the Council did not trust you my young apprentice I believe you are the only Jedi with no knowledge of this plot. When the Jedi learn what has transpired here they will kill us along with all the Senators.,True,Revenge of the Sith
2810,,ANAKIN: I agree. The Jedi's next move will be against the Senate.NoneNoneNoneNoneNoneNoneNoneNoneNone,True,ANAKIN, I agree. The Jedi's next move will be against the Senate.,True,Revenge of the Sith
2811,,PALPATINE: Every single Jedi including your friend Obi-Wan Kenobi is now an enemy of the Republic. You understand that don't you?NoneNoneNoneNoneNoneNone,True,PALPATINE, Every single Jedi including your friend Obi-Wan Kenobi is now an enemy of the Republic. You understand that don't you?,True,Revenge of the Sith
2812,,ANAKIN: I understand Master.NoneNoneNoneNoneNoneNoneNoneNone,True,ANAKIN, I understand Master.,True,Revenge of the Sith
2813,,PALPATINE: We must move quickly. The Jedi are relentless; if they are not all destroyed it will be civil war without end. First I want you to go to the Jedi Temple. We will catch them off balance. Do what must be done Lord Vader. Do not hesitate. Show no mercy. Only then will you be strong enough with the dark side to save Padme.NoneNoneNoneNoneNoneNone,True,PALPATINE, We must move quickly. The Jedi are relentless; if they are not all destroyed it will be civil war without end. First I want you to go to the Jedi Temple. We will catch them off balance. Do what must be done Lord Vader. Do not hesitate. Show no mercy. Only then will you be strong enough with the dark side to save Padme.,True,Revenge of the Sith
2814,,ANAKIN: What about the other Jedi spread across the galaxy?NoneNoneNoneNoneNoneNoneNoneNoneNone,True,ANAKIN, What about the other Jedi spread across the galaxy?,True,Revenge of the Sith
2815,,PALPATINE: Their betrayal will be dealt with. After you have killed all the Jedi in the Temple go to the Mustafar system. Wipe out Viceroy Gunray and the other Separatist leaders. Once more the Sith will rule the galaxy and we shall have peace.NoneNoneNoneNoneNoneNone,True,PALPATINE, Their betrayal will be dealt with. After you have killed all the Jedi in the Temple go to the Mustafar system. Wipe out Viceroy Gunray and the other Separatist leaders. Once more the Sith will rule the galaxy and we shall have peace.,True,Revenge of the Sith
2820,,OBI-WAN: Commander contact your troops. Tell them to move to the higher levels.NoneNoneNoneNoneNoneNoneNoneNone,True,OBI-WAN, Commander contact your troops. Tell them to move to the higher levels.,True,Revenge of the Sith
2821,,CLONE COMMANDER CODY: Very good sir.NoneNoneNoneNoneNoneNoneNoneNone,True,CLONE COMMANDER CODY, Very good sir.,True,Revenge of the Sith
2823,,CLONE COMMANDER CODY: (continuing) Oh by the way I think you'll be needing this.NoneNoneNoneNoneNoneNoneNone,True,CLONE COMMANDER CODY,  Oh by the way I think you'll be needing this.,True,Revenge of the Sith
2825,,OBI-WAN: Thank you Cody (smiling) Now let's get a move on. We've got a battle to win here.NoneNoneNoneNoneNoneNoneNone,True,OBI-WAN, Thank you Cody  Now let's get a move on. We've got a battle to win here.,True,Revenge of the Sith
2826,,CLONE COMMANDER CODY: Yes sir!NoneNoneNoneNoneNoneNoneNoneNone,True,CLONE COMMANDER CODY, Yes sir!,True,Revenge of the Sith
2828,,DARTH SlDIOUS: Commander Cody the time has come. Execute Order Sixty-Six.NoneNoneNoneNoneNoneNoneNoneNone,True,DARTH SlDIOUS, Commander Cody the time has come. Execute Order Sixty-Six.,True,Revenge of the Sith
2829,,CLONE COMMANDER CODY: It will be done My Lord.NoneNoneNoneNoneNoneNoneNoneNone,True,CLONE COMMANDER CODY, It will be done My Lord.,True,Revenge of the Sith
2831,,CLONE COMMANDER CODY: Blast him!NoneNoneNoneNoneNoneNoneNoneNoneNone,True,CLONE COMMANDER CODY, Blast him!,True,Revenge of the Sith
2835,,DARTH SlDIOUS: Commander 1138 . . .NoneNoneNoneNoneNoneNoneNoneNoneNone,True,DARTH SlDIOUS, Commander 1138 . . .,True,Revenge of the Sith
2836,,CLONE COMMANDER BACARA: Yes sir.NoneNoneNoneNoneNoneNoneNoneNone,True,CLONE COMMANDER BACARA, Yes sir.,True,Revenge of the Sith
2837,,DARTH SlDIOUS: The time has come. Execute Order Sixty-Six.NoneNoneNoneNoneNoneNoneNoneNoneNone,True,DARTH SlDIOUS, The time has come. Execute Order Sixty-Six.,True,Revenge of the Sith
2838,,CLONE COMMANDER BACARA: It will be done My Lord.NoneNoneNoneNoneNoneNoneNoneNone,True,CLONE COMMANDER BACARA, It will be done My Lord.,True,Revenge of the Sith
2842,,AAYLA: Steady. . . . steady . . .NoneNoneNoneNoneNoneNoneNoneNoneNone,True,AAYLA, Steady. . . . steady . . .,True,Revenge of the Sith
2844,,AAYLA: (continuing) Bly do you think they're Droids?NoneNoneNoneNoneNoneNoneNoneNone,True,AAYLA,  Bly do you think they're Droids?,True,Revenge of the Sith
2845,,BLY: No.NoneNoneNoneNoneNoneNoneNoneNoneNone,True,BLY, No.,True,Revenge of the Sith
2855,,DARTH SIDIOUS: Execute Order Sixty-Six.NoneNoneNoneNoneNoneNoneNoneNoneNone,True,DARTH SIDIOUS, Execute Order Sixty-Six.,True,Revenge of the Sith
2856,,CLONE PILOT: It will be done My Lord.NoneNoneNoneNoneNoneNoneNoneNone,True,CLONE PILOT, It will be done My Lord.,True,Revenge of the Sith
2859,,PLO KOON: There they are. Land on the nearest platform.NoneNoneNoneNoneNoneNoneNoneNoneNone,True,PLO KOON, There they are. Land on the nearest platform.,True,Revenge of the Sith
2866,,CLONE COMMANDER GREE: Yes My Lord.NoneNoneNoneNoneNoneNoneNoneNone,True,CLONE COMMANDER GREE, Yes My Lord.,True,Revenge of the Sith
2867,,DABTH SIDIOUS: The time has come. Execute Order Sixty-Six.NoneNoneNoneNoneNoneNoneNoneNoneNone,True,DABTH SIDIOUS, The time has come. Execute Order Sixty-Six.,True,Revenge of the Sith
2870,,CLONE COMMANDER GREE: It will be done My Lord.NoneNoneNoneNoneNoneNoneNoneNone,True,CLONE COMMANDER GREE, It will be done My Lord.,True,Revenge of the Sith
2880,,YOUNGLINGS: Master Skywalker there are too many of them. What are we going to do?NoneNoneNoneNoneNoneNoneNoneNone,True,YOUNGLINGS, Master Skywalker there are too many of them. What are we going to do?,True,Revenge of the Sith
2884,,C-3PO: The Chancellor's office indicated Master Anakin returned to the Jedi Temple. Don't worry My Lady. I am sure he will be all right.NoneNoneNoneNoneNoneNoneNoneNone,True,C-3PO, The Chancellor's office indicated Master Anakin returned to the Jedi Temple. Don't worry My Lady. I am sure he will be all right.,True,Revenge of the Sith
2890,,BAIL ORGANA: What's going on here?!?NoneNoneNoneNoneNoneNoneNoneNoneNone,True,BAIL ORGANA, What's going on here?!?,True,Revenge of the Sith
2891,,CLONE SERGEANT: There's been a rebellion. Don't worry sir the situation is under control.NoneNoneNoneNoneNoneNoneNone,True,CLONE SERGEANT, There's been a rebellion. Don't worry sir the situation is under control.,True,Revenge of the Sith
2893,,CLONE SERGEANT: (continuing) I'm sorry sir. No one is allowed entry.NoneNoneNoneNoneNoneNoneNoneNone,True,CLONE SERGEANT,  I'm sorry sir. No one is allowed entry.,True,Revenge of the Sith
2895,,CLONE SERGEANT: (continuing) It's time for you to leave sir.NoneNoneNoneNoneNoneNoneNoneNone,True,CLONE SERGEANT,  It's time for you to leave sir.,True,Revenge of the Sith
2896,,BAIL ORGANA: And so it is.NoneNoneNoneNoneNoneNoneNoneNoneNone,True,BAIL ORGANA, And so it is.,True,Revenge of the Sith
2898,,CLONE COMMANDER APPO: Get him! Shoot him!NoneNoneNoneNoneNoneNoneNoneNoneNone,True,CLONE COMMANDER APPO, Get him! Shoot him!,True,Revenge of the Sith
2913,,AT-ST CLONE SERGEANT: Everyone out of there!NoneNoneNoneNoneNoneNoneNoneNoneNone,True,AT-ST CLONE SERGEANT, Everyone out of there!,True,Revenge of the Sith
2915,,CREATURE: Wookiee good . . . eat Wookiee. (crazy little laugh)NoneNoneNoneNoneNoneNoneNoneNoneNone,True,CREATURE, Wookiee good . . . eat Wookiee. ,True,Revenge of the Sith
2916,,CLONE SERGEANT: Did you find something?NoneNoneNoneNoneNoneNoneNoneNoneNone,True,CLONE SERGEANT, Did you find something?,True,Revenge of the Sith
2917,,CREATURE: It's nothing nothing. (laughs)NoneNoneNoneNoneNoneNoneNoneNone,True,CREATURE, It's nothing nothing. ,True,Revenge of the Sith
2918,,CLONE SERGEANT: It's nothing nothing. All these Wookiees are dead. Move to the east.NoneNoneNoneNoneNoneNoneNoneNone,True,CLONE SERGEANT, It's nothing nothing. All these Wookiees are dead. Move to the east.,True,Revenge of the Sith
2919,,CLONE TROOPER: Yes sir.NoneNoneNoneNoneNoneNoneNoneNone,True,CLONE TROOPER, Yes sir.,True,Revenge of the Sith
2921,,CREATURE: Right you are Chewbacca. Faster that will be.NoneNoneNoneNoneNoneNoneNoneNone,True,CREATURE, Right you are Chewbacca. Faster that will be.,True,Revenge of the Sith
2923,,YODA: Stink this mud does. A moment to bathe give me.NoneNoneNoneNoneNoneNoneNone,True,YODA, Stink this mud does. A moment to bathe give me.,True,Revenge of the Sith
2925,,YODA: (continuing) Not far are we from the emergency ship. Quickly . . .NoneNoneNoneNoneNoneNoneNone,True,YODA,  Not far are we from the emergency ship. Quickly . . .,True,Revenge of the Sith
2929,,YODA: Good-bye. Chewbacca and Tarfful miss you I will. Good friends you are. For your help much gratitude and respect I have.NoneNoneNoneNoneNoneNone,True,YODA, Good-bye. Chewbacca and Tarfful miss you I will. Good friends you are. For your help much gratitude and respect I have.,True,Revenge of the Sith
2933,,ROYAL GUARD: Identification . . .NoneNoneNoneNoneNoneNoneNoneNoneNone,True,ROYAL GUARD, Identification . . .,True,Revenge of the Sith
2934,,BAIL ORGANA: Senator Bail Organa of Alderaan.NoneNoneNoneNoneNoneNoneNoneNoneNone,True,BAIL ORGANA, Senator Bail Organa of Alderaan.,True,Revenge of the Sith
2940,,BAIL ORGANA: Were you able to get hold of a Jedi homing beacon?NoneNoneNoneNoneNoneNoneNoneNoneNone,True,BAIL ORGANA, Were you able to get hold of a Jedi homing beacon?,True,Revenge of the Sith
2941,,CAPTAIN ANTILLES: Yes sir. We've encountered no opposition. The clones are still a bit confused. It appears no one is in command.NoneNoneNoneNoneNoneNoneNoneNone,True,CAPTAIN ANTILLES, Yes sir. We've encountered no opposition. The clones are still a bit confused. It appears no one is in command.,True,Revenge of the Sith
2942,,BAIL ORGANA: That will change soon. Hopefully we will be able to intercept a few Jedi before they walk into this catastrophe.NoneNoneNoneNoneNoneNoneNoneNoneNone,True,BAIL ORGANA, That will change soon. Hopefully we will be able to intercept a few Jedi before they walk into this catastrophe.,True,Revenge of the Sith
2945,,CLONE CAPTAIN: Did you find Kenobi?NoneNoneNoneNoneNoneNoneNoneNoneNone,True,CLONE CAPTAIN, Did you find Kenobi?,True,Revenge of the Sith
2946,,CLONE TROOPER: No one could have survived that fall.NoneNoneNoneNoneNoneNoneNoneNoneNone,True,CLONE TROOPER, No one could have survived that fall.,True,Revenge of the Sith
2948,,CLONE CAPTAIN: Start loading your men on the ship.NoneNoneNoneNoneNoneNoneNoneNoneNone,True,CLONE CAPTAIN, Start loading your men on the ship.,True,Revenge of the Sith
2949,,CLONE TROOPER: Yes sir.NoneNoneNoneNoneNoneNoneNoneNone,True,CLONE TROOPER, Yes sir.,True,Revenge of the Sith
2957,,OBI-WAN: Emergency Code Nine Thirteen ... I have no contact on any frequency. Are there any Jedi out there? . . . anywhere . . .NoneNoneNoneNoneNoneNoneNoneNoneNone,True,OBI-WAN, Emergency Code Nine Thirteen ... I have no contact on any frequency. Are there any Jedi out there? . . . anywhere . . .,True,Revenge of the Sith
2959,,BAIL: (hologram) . . . Kenobi . . .NoneNoneNoneNoneNoneNoneNoneNoneNone,True,BAIL,  . . . Kenobi . . .,True,Revenge of the Sith
2960,,OBI-WAN: (continuing) I've locked on. Repeat.NoneNoneNoneNoneNoneNoneNoneNoneNone,True,OBI-WAN,  I've locked on. Repeat.,True,Revenge of the Sith
2962,,BAIL ORGANA: Master Kenobi??NoneNoneNoneNoneNoneNoneNoneNoneNone,True,BAIL ORGANA, Master Kenobi??,True,Revenge of the Sith
2963,,OBI-WAN: Senator Organa! My Clone Troops turned on me ... I need help.NoneNoneNoneNoneNoneNoneNoneNoneNone,True,OBI-WAN, Senator Organa! My Clone Troops turned on me ... I need help.,True,Revenge of the Sith
2964,,BAIL ORGANA: We have just rescued Master Yoda. It appears this ambush has happened everywhere. We're sending you our coordinates.NoneNoneNoneNoneNoneNoneNoneNoneNone,True,BAIL ORGANA, We have just rescued Master Yoda. It appears this ambush has happened everywhere. We're sending you our coordinates.,True,Revenge of the Sith
