,Characters,Script,Test,Movie
72,ANAKIN," But Mom I love it...and they need help...they're in trouble. The
prize money would more than pay for the parts they need. JAR JAR : Wesa ina
pitty bad goo",False,The Phantom Menace
73,ANAKIN," We have to help them Mom...you said that the biggest problem in
the universe is no one helps each other..",False,The Phantom Menace
74,ANAKIN," Ahhhh....it wasn't my fault really...Sebulba flashed me with his
vent ports. I actually saved the Pod...mostly",False,The Phantom Menace
75,ANAKIN," Padme and Jar Jar this is my friend Kitster and seek Amee and
Wald.",False,The Phantom Menace
76,ANAKIN,Hey! Jar Jar! Stay away from those energy binders..,False,The Phantom Menace
77,ANAKIN,What are you doing,False,The Phantom Menace
78,ANAKIN,You were in my dream...you were leading a huge army into battle,False,The Phantom Menace
79,ANAKIN,Hook 'em up Kitster.  I won't be long. Where's Qui-Gon?,False,The Phantom Menace
80,ANAKIN,What did he mean by that?,False,The Phantom Menace
81,ANAKIN,...but Kitster's right I will this time,False,The Phantom Menace
82,ANAKIN,Ah gee...enough of this..,False,The Phantom Menace
83,ANAKIN,Mom he sold the Pod. Look at all the money we have!,False,The Phantom Menace
84,ANAKIN," Did you hear that Mom?  Was that part of the prize
or what",False,The Phantom Menace
85,ANAKIN,I want to go,False,The Phantom Menace
86,ANAKIN,"  What about Mom? Is she free too? You're coming aren't
you Mom
QUI-GON : I tried to free your mother Annie but Watto wouldn't have it",False,The Phantom Menace
87,ANAKIN,I'm going to miss you so much Mom..,False,The Phantom Menace
88,ANAKIN,Well Threepio I'm free...and I'm going away...in a starship..,False,The Phantom Menace
89,ANAKIN,I can't do it Mom. I just can't.,False,The Phantom Menace
90,ANAKIN," I've been freed and I'm going away. Buy yourself a cooling unit
with this... Otherwise I'll worry about you.",False,The Phantom Menace
91,ANAKIN,What is it,False,The Phantom Menace
92,ANAKIN,Master Qui-Gonsir wait!,False,The Phantom Menace
93,ANAKIN,Qui-Gon's in trouble. He says to take off...now!,False,The Phantom Menace
94,ANAKIN,Are you all right,False,The Phantom Menace
95,ANAKIN,I'd like to speak with Padme if I could,False,The Phantom Menace
96,ANAKIN,"  I may not see her again...and... I just wanted to say
goodbye",False,The Phantom Menace
97,ANAKIN,Thank you Your Highness. I'm sorry to have disturbed you.,False,The Phantom Menace
98,ANAKIN,A ship...a cup...a speeder.,False,The Phantom Menace
99,ANAKIN,...and that one,False,The Phantom Menace
100,ANAKIN,Hi! Where have you been,False,The Phantom Menace
101,ANAKIN,Hey! Wait for me,False,The Phantom Menace
102,ANAKIN,Oh no...,False,The Phantom Menace
103,ANAKIN,We gotta do something Artoo.,False,The Phantom Menace
104,ANAKIN,"  All right thanks Artoo! Great idea! I'll take over.
Let's see...",False,The Phantom Menace
105,ANAKIN,Where's the trigger? Oops wrong one.. Maybe this one....,False,The Phantom Menace
106,ANAKIN,"  Yeah all right. ""Droid blaster."" Yeah!",False,The Phantom Menace
107,ANAKIN,"  Oops...shield up! Always on the right...shields always on
the right.",False,The Phantom Menace
108,ANAKIN,I know we're moving. I'll shut the energy drive down.,False,The Phantom Menace
109,ANAKIN,Oops!! Wrong one.,False,The Phantom Menace
110,ANAKIN,I'm not doing anything!,False,The Phantom Menace
111,ANAKIN,I know...I didn't push anything.,False,The Phantom Menace
112,ANAKIN,The Autopilot is searching for what other ships?,False,The Phantom Menace
113,ANAKIN,"  There is no manual override Artoo. You'll have to rewire
it or something.",False,The Phantom Menace
114,ANAKIN,"  Look! There they are! That's where the autopilot is
taking us.",False,The Phantom Menace
115,ANAKIN,Whoo boy! This is tense!,False,The Phantom Menace
116,ANAKIN,I've got control?,False,The Phantom Menace
117,ANAKIN,Okay let's go left!,False,The Phantom Menace
118,ANAKIN,Yes...I've got control. You did it Artoo!,False,The Phantom Menace
119,ANAKIN,"  Go back!?! Qui-Gon told me to stay in this cockpit and
that's what I'm gonna do. Now c'mon!",False,The Phantom Menace
120,ANAKIN,Oops! Whoa!,False,The Phantom Menace
121,ANAKIN,I'll try spinning that's a good trick.,False,The Phantom Menace
122,ANAKIN,"  I know we're in trouble! Hang on! The way out of this
mess is the way we got into it.",False,The Phantom Menace
123,ANAKIN,Which one? This one?,False,The Phantom Menace
124,ANAKIN,I know Artoo! This isn't Podracing!,False,The Phantom Menace
125,ANAKIN,We're hit!,False,The Phantom Menace
126,ANAKIN,Great gobs of bantha poo-doo!,False,The Phantom Menace
127,ANAKIN,I'm trying to stop! I'm trying to stop! Whoa!,False,The Phantom Menace
128,ANAKIN,All right! All right! Get the system started!,False,The Phantom Menace
129,ANAKIN,Everything's overheated. All the lights are red.,False,The Phantom Menace
130,ANAKIN,Uh oh. This is not good.,False,The Phantom Menace
131,ANAKIN,The systems are still overheated Artoo.,False,The Phantom Menace
132,ANAKIN,Yes...we have ignition.,False,The Phantom Menace
133,ANAKIN,This should stop them.,False,The Phantom Menace
134,ANAKIN,...and take this!,False,The Phantom Menace
135,ANAKIN,Darn...I missed!,False,The Phantom Menace
136,ANAKIN,Let's get out of here!,False,The Phantom Menace
137,ANAKIN,Now this is Podracing! Whoopee!,False,The Phantom Menace
138,ANAKIN,I'm not going to get into trouble am I?,False,The Phantom Menace
139,ANAKIN,"  Mel tassa cho-passa... (I was cleaning the bin like
you...",False,The Phantom Menace
140,ANAKIN,...Anakin,False,The Phantom Menace
141,ANAKIN,"  WATTO :
 Fweepa niaga. Tolpa da bunky dunko. (Clean the racks then you
can go home.)",False,The Phantom Menace
142,ANAKIN,Because you're afraid.,False,The Phantom Menace
143,ANAKIN,"  Oh da Hutt...cha porko ootman geesa...me teesa rodda
co pana pee choppa chawa. (As in Hutt...big time outlander this one... I'd
hate to see you diced before we race again.",False,The Phantom Menace
144,ANAKIN," Fear attracts the fearful. He was trying to overcome his fear by
squashing you...be less afraid",False,The Phantom Menace
145,ANAKIN,Do you have shelter,False,The Phantom Menace
146,ANAKIN," These are my friends Mom. This is Padme and...gee I don't know
any of your names",False,The Phantom Menace
147,ANAKIN,Come on! Let me show you Threepio!,False,The Phantom Menace
148,ANAKIN," I've been working on a scanner to try and locate them but no
luck",False,The Phantom Menace
149,ANAKIN,I'm the only human who can do it.,False,The Phantom Menace
150,ANAKIN,I don't think so... No one can kill a Jedi Knight,False,The Phantom Menace
151,ANAKIN,Coruscant...wow...how did you end up here in the outer rim,False,The Phantom Menace
152,ANAKIN," This isn't the half of it. I'm entered in the Boonta Race
tomorrow",False,The Phantom Menace
153,ANAKIN,There are so many! Do they all have a system of planets,False,The Phantom Menace
154,ANAKIN,I will Mom. I promise.,False,The Phantom Menace
155,ANAKIN,I won't let you down.,False,The Phantom Menace
