,Scripts,title,Character,negative,positive
68," But I was Dr. Drake Remoray. How can I go from bein' a neurosurgeon to drivin' a"", 'cab?",The One Where Eddie Won't Go,JOEY,0.0,0.6666666666666666
69," Things change, roll with em.",The One Where Eddie Won't Go,ESTELLE,0.0,0.0
70," But this is a two line part, it's like takin' a step backwards. I'm not gonna do"", 'this.",The One Where Eddie Won't Go,JOEY,0.0,0.0
71," Joey, I'm gonna tell you the same thing I told Al Minser and his pyramid of dogs."", ""Take any job you can get and don't make on the floor.",The One Where Eddie Won't Go,ESTELLE,0.0,1.0
72, I'm sorry. See ya.,The One Where Eddie Won't Go,JOEY,0.0,0.0
74," Oh, God, oh, God, I mean it's just so.",The One Where Eddie Won't Go,RACHEL,0.0,0.0
75, Isn't it.,The One Where Eddie Won't Go,MONICA,0.0,0.2
76," Uhh, I mean this is like reading about my own life. I mean', ""this book could have been called 'Be Your Own Windkeeper Rachel'.",The One Where Eddie Won't Go, RACHEL,0.3333333333333333,0.0
77," I don't think it would have sold a million copies but it would have made a nice"", 'gift for you.",The One Where Eddie Won't Go,PHOEBE,0.0,0.5
78, Hey you guys.,The One Where Eddie Won't Go,ROSS,0.5,0.0
79, Hey.,The One Where Eddie Won't Go,MONICA,0.0,0.6666666666666666
80," Uh, sweetie we've gotta go.",The One Where Eddie Won't Go,ROSS,0.5,0.5
81, NO!,The One Where Eddie Won't Go,RACHEL,0.0,0.0
82, No?,The One Where Eddie Won't Go,ROSS,0.0,0.0
83," No, why do we always have to do everything according to your', 'time table?",The One Where Eddie Won't Go, RACHEL,0.0,1.0
84," Actually it's the movie theatre that has the time schedule. So you don't miss the"", 'beginning.",The One Where Eddie Won't Go,ROSS,0.0,0.0
85," No, see this isn't about the movie theatre, this is about you stealing my wind.",The One Where Eddie Won't Go,RACHEL,0.1111111111111111,0.5555555555555556
86, You go girl. I can't pull that off can I?,The One Where Eddie Won't Go, MONICA,0.0,0.3333333333333333
87," Excuse me, your, your, your wind?",The One Where Eddie Won't Go,ROSS,0.0,0.0
88," Yes, my wind. How do you expect me to grow if you won't let"", 'me blow?",The One Where Eddie Won't Go, RACHEL,0.0,0.25
89," You, you know I, I don't, have a- have a problem with that.",The One Where Eddie Won't Go,ROSS,0.0,0.0
90," Ok, I just, I just really need to be with myself right now. I'm sorry.",The One Where Eddie Won't Go,RACHEL,0.0,1.0
91," Um-um, um-um.",The One Where Eddie Won't Go,PHOEBE,0.0,0.0
92," You're right, I don't have to apologize. Sorry. Damnit!",The One Where Eddie Won't Go,RACHEL,0.0,0.5
94, What is it?,The One Where Eddie Won't Go,JOEY,0.0,0.0
95," I, I don't know, it's got all this stuff about wind and trees"", ""and there's some kind of sacred pool in it. I mean, I don't really get it but she's, she's"", 'pretty upset about it.",The One Where Eddie Won't Go, ROSS,0.0,0.0
96," See, this is why I don't date women who read. Uh-oh.",The One Where Eddie Won't Go,JOEY,0.25,0.25
97," What, what's that?",The One Where Eddie Won't Go, ROSS,0.0,0.25
98, It's my VISA bill. Envelope one of two. That can't be good.,The One Where Eddie Won't Go,JOEY,0.0,0.0
99," Open it, open in.",The One Where Eddie Won't Go,ROSS,0.0,0.0
100, Oh my God.,The One Where Eddie Won't Go,JOEY,0.0,0.0
101, Woah.,The One Where Eddie Won't Go,ROSS,0.0,0.5
102," Look at this, how did I spend so much money?",The One Where Eddie Won't Go,JOEY,0.0,0.0
103," Uh Joey, that's just the minumum amount due, that's your total due.",The One Where Eddie Won't Go,ROSS,0.25,0.5
104, Ahh.,The One Where Eddie Won't Go,JOEY,0.3333333333333333,0.3333333333333333
105," What, woah, woah, $3500 at porcelain safari?",The One Where Eddie Won't Go, ROSS,0.5,0.0
106," My animals. Hey the guy said they suited me, he spoke with an accent, I was all', ""confused. I don't know what I'm gonna do.",The One Where Eddie Won't Go,JOEY,0.0,0.0
107, Well I guess you can start by drivin a cab on Another World.,The One Where Eddie Won't Go,ROSS,0.0,0.0
108, What?,The One Where Eddie Won't Go,JOEY,0.0,0.5
109, That audition.,The One Where Eddie Won't Go,ROSS,0.0,1.0
110, That's a two line part.,The One Where Eddie Won't Go,JOEY,0.0,0.0
111," Joey, you owe $1100 at I Love Lucite.",The One Where Eddie Won't Go, ROSS,0.0,0.5
112, So what.,The One Where Eddie Won't Go,JOEY,0.0,0.0
113," So suck it up man, it's a job, it's money.",The One Where Eddie Won't Go,ROSS,0.0,0.4
114," Hey, look, I don't need you getting all judgemental and condescending and pedantic.",The One Where Eddie Won't Go,JOEY,0.0,0.5
115, Toilet paper?,The One Where Eddie Won't Go,ROSS,0.0,0.0
116, Yeah.,The One Where Eddie Won't Go,JOEY,0.0,1.0
117," Look, I'm not being any of those things, ok, I'm just being realistic.",The One Where Eddie Won't Go,ROSS,0.0,0.0
