,Season,Character,lines
1184,9,sandy/grumpus,2
1185,9,second message,2
1186,9,stranger,2
1187,9,tv,2
1188,9,waiters,2
1189,9,"', ""  cut to",1
1190,9,1st customer,1
1191,9,2nd customer,1
1192,9,aired,1
1193,9,amy & rachel,1
1194,9,bitter woman,1
1195,9,boy,1
1196,9,chandlers,1
1197,9,chase lassiter,1
1198,9,everybody,1
1199,9,everyone almost simultaneously except ross,1
1200,9,everyone but monica,1
1201,9,hayley's roommate,1
1202,9,jane,1
1203,9,jeanette,1
1204,9,joey and phoebe,1
1205,9,joey/wigglemunch,1
1206,9,kyle lowder,1
1207,9,monica ,1
1208,9,monica and ross,1
1209,9,"monica, chandler, joey",1
1210,9,"monica, chandler, phoebe, joey",1
1211,9,ms. geller,1
1212,9,note 1,1
1213,9,phoebe & joey,1
1214,9,phoebecutting in,1
1215,9,prof. sherman,1
1216,9,professor sherman,1
1217,9,racel,1
1218,9,rache,1
1219,9,rachel cutting in,1
1220,9,"rachel, chandler and monica",1
1221,9,ross ,1
1222,9,ross & rachel,1
1223,9,ross & rachel ,1
1224,9,shop assistant,1
1225,9,strange man,1
1226,9,"this is only to be put up on friends - greatest sitcom ', '(http",1
1227,10,ross,776
1228,10,rachel,687
1229,10,monica,628
1230,10,joey,626
1231,10,chandler,622
1232,10,phoebe,615
1233,10,mike,115
1234,10,erica,76
1235,10,amy,65
1236,10,charlie,45
1237,10,benjamin,36
1238,10,laura,28
1239,10,gene,27
1240,10,roy,22
1241,10,charity guy,18
1242,10,scene,18
1243,10,mr zelner,17
1244,10,sarah,14
1245,10,[scene,13
1246,10,all,13
1247,10,doctor,13
1248,10,janice,12
1249,10,agency guy,11
1250,10,mackenzie,11
1251,10,precious,11
1252,10,missy,10
1253,10,mr campbell,10
1254,10,donny,8
1255,10,man,8
1256,10,mark,8
1257,10,passenger #1,8
1258,10,air stewardess,7
1259,10,gate attendant #2,6
1260,10,monica ,6
1261,10,phoebe ,6
1262,10,clerk,5
1263,10,director,5
1264,10,dr. green,5
1265,10,nurse,5
1266,10,rachel ,5
1267,10,commercial break  [scene,4
1268,10,gate attendant #1,4
1269,10,girl,4
1270,10,gunther,4
1271,10,lady,4
1272,10,opening credits  [scene,4
1273,10,phoebe-estelle,4
1274,10,waiter,4
1275,10,announcer,3
1276,10,both,3
1277,10,chandler ,3
1278,10,chandler and ross,3
1279,10,maitre d',3
1280,10,mr zellner,3
1281,10,passenger #2,3
1282,10,rita,3
1283,10,[flashback scene,2
1284,10,adrienne,2
1285,10,all ,2
1286,10,dr. biely,2
1287,10,dr. li,2
1288,10,erica ,2
1289,10,everybody,2
1290,10,joey ,2
1291,10,mike's father,2
1292,10,mike's mom,2
1293,10,phoebe and joey,2
1294,10,realtor,2
1295,10,  phoebe,1
1296,10,  rachel,1
1297,10,(the commercial,1
1298,10,(we see the screen where it says,1
1299,10,"<"">phoebe",1
1300,10,"<"">ross",1
1301,10,"[flashback, year 1987. chandler enters the school's   corridor. ross is hanging some flyers on the wall. both   have a funny 80s hair and clothes.]  ross",1
1302,10,"[we get back to the class of '91 reunion, where ross   and chandler are still looking at missy.]  chandler",1
1303,10,adoption agency guy,1
1304,10,casting assistant,1
1305,10,chandler and monica,1
1306,10,donny osmond,1
1307,10,henrietta,1
1308,10,host,1
1309,10,jennifer,1
1310,10,jennifer aniston ,1
1311,10,joey and chandler,1
1312,10,"joey's voice, but she sees ross",1
1313,10,joey's voice/ross,1
1314,10,mike ,1
1315,10,mike's dad,1
1316,10,mike's mother,1
1317,10,monica and chandler,1
1318,10,monica and rachel,1
1319,10,"monica, chandler and phoebe",1
1320,10,passenger #3,1
1321,10,phoebe and rachel,1
1322,10,"phoebe, ross, rachel",1
1323,10,pizza guy,1
1324,10,r zelner,1
1325,10,rachel and monica,1
1326,10,rachel/ross,1
1327,10,ross ,1
1328,10,"roy, the male stripper",1
1329,10,stage manager,1
1330,10,tape,1
1331,10,teleplay by,1
1332,10,the guys,1
1333,10,ticket agent,1
1334,10,time lapse  ross,1
1335,10,woman,1
