,Season,Character,lines
289,2,phoebe and ryan,1
290,2,rachel and phoebe,1
291,2,"rachel, monica, roy, and chip",1
292,2,ross and chandler,1
293,2,"ross, chandler & joey",1
294,2,story by,1
295,2,tattoo artist,1
296,2,together,1
297,2,tv doctor,1
298,2,waitress,1
299,2,wedding planner,1
300,2,woman's voice,1
301,2,writer,1
302,3,ross,1075
303,3,rachel,925
304,3,monica,847
305,3,chandler,825
306,3,phoebe,793
307,3,joey,775
308,3,pete,103
309,3,frank,79
310,3,janice,62
311,3,kate,61
312,3,all,55
313,3,mark,44
314,3,richard,43
315,3,gunther,32
316,3,bonnie,31
317,3,dr. green,31
318,3,chloe,28
319,3,carol,27
320,3,joanna,27
321,3,lauren,24
322,3,guy,23
323,3,robert,21
324,3,tommy,21
325,3,doug,18
326,3,phoebe sr,18
327,3,the director,17
328,3,ginger,16
329,3,vince,16
330,3,jason,15
331,3,woman,15
332,3,leslie,14
333,3,malcom,14
334,3,mischa,14
335,3,alice,13
336,3,guru saj,13
337,3,julio,13
338,3,director,12
339,3,issac,12
340,3,margha,11
341,3,mr. geller,11
342,3,sarah,11
343,3,billy,10
344,3,isabella,10
345,3,robin,10
346,3,chandler and joey,8
347,3,jasmine,8
348,3,man,8
349,3,sophie,8
350,3,mr. heckles,7
351,3,mr. kaplan,7
352,3,sergei,7
353,3,student,7
354,3,cailin,6
355,3,dr. rhodes,6
356,3,eric,6
357,3,girl,6
358,3,joeyâ€™s sister,6
359,3,the guys,6
360,3,ben,5
361,3,leader,5
362,3,machine,5
363,3,quartet,5
364,3,richardâ€™s date,5
365,3,whitfield,5
366,3,cookie,4
367,3,friend no. 1,4
368,3,friend no. 2,4
369,3,hold voice,4
370,3,hoshi,4
371,3,jester,4
372,3,joeyâ€™s grandmother,4
373,3,ross and rachel,4
374,3,singer,4
375,3,susan,4
376,3,chandler and phoebe,3
377,3,estelle,3
378,3,hypnosis tape,3
379,3,jeannine,3
380,3,joeyâ€™s sisters,3
381,3,mike,3
382,3,monica and phoebe,3
383,3,rachel and monica,3
384,3,stevens,3
385,3,[sequence 1,2
386,3,[sequence 2,2
387,3,[sequence 3,2
388,3,announcer,2
389,3,clerk,2
390,3,host,2
391,3,lecturer,2
392,3,mary-angela,2
393,3,matress king,2
394,3,monica and rachel,2
395,3,monica and ross,2
396,3,phil,2
397,3,phoebe and monica,2
398,3,ross and joey,2
399,3,spokeswoman,2
400,3,stage manager,2
401,3,story by,2
402,3,the bass barber,2
403,3,the girls,2
404,3,tv announcer,2
405,3,"(ross finds a clock, sees itâ€™s almost 8",1
406,3,"[cut to monica's bedroom, theyâ€™re all eating the wax, chandler and phoebe, donâ€™t like it. joey tries some and makes a face like",1
407,3,[scene,1
408,3,[sequence 4,1
409,3,[sequence 5,1
410,3,anchorwoman,1
411,3,bass singer,1
412,3,billy crystal,1
413,3,carol and susan,1
414,3,"chandler, monica, and joey",1
415,3,"chandler, phoebe, and joey",1
416,3,"chandler, phoebe, and rachel",1
417,3,commercial,1
418,3,dr green,1
419,3,dr. johnson,1
420,3,employee,1
421,3,fireman,1
422,3,her friends,1
423,3,joey and chandler,1
424,3,joey and monica,1
425,3,joey and ross,1
426,3,mary-theresa,1
427,3,michelle,1
428,3,monica and joey,1
429,3,"monica, ross, and joey",1
430,3,mrs. geller,1
431,3,pete's mom,1
432,3,phoebe and girl,1
433,3,phoebe and leslie,1
434,3,"rachel, chandler, and joey",1
435,3,rachelâ€™s boss,1
436,3,referee,1
437,3,robin williams,1
438,3,ross and bonnie,1
439,3,ross and chandler,1
440,3,secretary,1
441,3,sherman whitfield,1
442,3,sister 1,1
443,3,video,1
444,3,waitress,1
445,3,woman's voice,1
446,3,young monica,1
447,3,young ross,1
448,3,{transcriber's note,1
449,4,chandler,912
450,4,rachel,908
451,4,joey,816
452,4,ross,807
453,4,monica,766
454,4,phoebe,711
455,4,emily,138
456,4,joshua,98
457,4,kathy,89
458,4,joanna,46
459,4,all,39
460,4,mr. treeger,38
461,4,mrs. geller,31
462,4,frank,28
463,4,janice,27
464,4,tim,27
465,4,alice,25
466,4,gunther,22
467,4,mr. waltham,21
468,4,chip,18
469,4,phoebe sr.,18
470,4,cheryl,17
471,4,mr. geller,16
472,4,phoebe sr,15
473,4,the salesman,15
474,4,ticket agent,14
475,4,mrs. waltham,13
476,4,allesandro,11
477,4,carol,11
478,4,the stripper,11
479,4,rick,10
480,4,charlton heston,9
481,4,mr. burgin,9
482,4,mrs. burkart,9
483,4,the waiter,9
484,4,mrs. lynch,8
485,4,the doctor,8
486,4,amanda,7
487,4,liam,7
488,4,susan,7
489,4,the a.d,7
490,4,ursula,7
491,4,dr. zane,6
492,4,gym employee,6
493,4,passenger,6
494,4,sophie,6
495,4,the saleslady,6
496,4,the singing man,6
497,4,tour guide,6
498,4,both,5
499,4,chandler and ross,5
500,4,felicity,5
501,4,housekeeper,5
502,4,josh,5
503,4,mrs. burgin,5
504,4,ticket counter attendant,5
505,4,chandler and joey,4
506,4,devon,4
507,4,drew,4
508,4,kathy's co-star,4
509,4,mike,4
510,4,the vendor,4
511,4,woman,4
512,4,woman on train,4
513,4,bonnie,3
514,4,chloe,3
515,4,fergie,3
516,4,guy,3
517,4,joey and chandler,3
518,4,marjorie,3
519,4,minister,3
520,4,minster,3
521,4,mrs. potter,3
522,4,sleep clinic worker,3
523,4,teleplay by,3
524,4,tony,3
525,4,another scientist,2
526,4,bank officer,2
527,4,casey,2
528,4,drunk man,2
529,4,everyone,2
530,4,interviewer,2
531,4,joey and ross,2
532,4,kitchen worker,2
533,4,mr. posner,2
534,4,nurse,2
535,4,older scientist,2
536,4,phoebe and rachel,2
537,4,the conductor,2
538,4,voice,2
539,4,waiter,2
540,4,(the camera zooms in on the clock on the wall and it reads a quarter after one. time lapse. the clock now reads 3,1
541,4,a waiter,1
542,4,another tour guide,1
543,4,"chandler, joey, and phoebe",1
544,4,"chandler, monica, and joey",1
545,4,"chandler, monica, and rachel",1
546,4,"chandler, monica, joey, and rachel",1
547,4,doctor,1
548,4,dr. timothy burke,1
549,4,frank and alice,1
550,4,joey and monica,1
551,4,"joey, rachel, and ross",1
552,4,julie,1
553,4,monica and rachel,1
554,4,"monica, chandler, phoebe, and rachel",1
555,4,"monica, joey, and phoebe",1
556,4,"monica, rachel, and joey",1
557,4,mr. simon,1
558,4,mrs. chatracus,1
559,4,ms. lambert,1
560,4,oven,1
561,4,part i written by,1
562,4,peter,1
563,4,"phoebe, ross, and rachel",1
564,4,rachel and bonnie,1
565,4,"rachel, monica, roy, and chip",1
566,4,ross and monica,1
567,4,ross and rachel,1
568,4,smart kid,1
569,4,story by,1
570,4,story by mark j. kunerth  teleplay by richard goodman  transcribed by,1
571,4,teleplay by shana goldberg-meehan & scott silveri  story by alicia sky varinaitis transcribed by,1
572,4,the cigarette guy,1
573,4,the cigarette smoking guy,1
574,4,the girls,1
575,4,the guys,1
576,4,the woman from poughkeepsie,1
577,5,chandler,941
578,5,joey,932
579,5,rachel,906
580,5,monica,898
581,5,ross,870
582,5,phoebe,813
583,5,gary,91
584,5,danny,58
585,5,all,47
586,5,emily,29
587,5,caitlin,25
588,5,frank,25
589,5,frank sr.,24
590,5,kim,24
591,5,larry,21
592,5,dr. harad,18
593,5,the casting director,18
594,5,doug,16
595,5,katie,15
596,5,cop,14
597,5,dr. miller,14
598,5,fat monica,14
599,5,janice,14
600,5,steve,14
601,5,joey's hand twin,13
602,5,mrs. geller,13
603,5,dr. leedbetter,12
604,5,mr. geller,12
605,5,mr. zelner,12
606,5,big nosed rachel,11
607,5,the teacher,11
608,5,gunther,10
609,5,krista,9
610,5,minister,9
611,5,mr. waltham,9
612,5,nancy,9
613,5,the doctor,9
614,5,ursula,8
615,5,carol,7
616,5,dan,7
617,5,grandma tribbiani,7
618,5,mrs. waltham,7
