Name,Opening,Rank,Studio,Total Gross,Years
Larry the Cable Guy: Health Inspector,"$6,922,767",132,LGF,"$15,680,099",2017
Arthur and the Invisibles,N/A,133,MGM/W,"$15,132,763",2017
See No Evil,"$4,581,233",134,LGF,"$15,032,800",2017
Tristan and Isolde,"$6,583,135",135,Fox,"$14,734,633",2017
Everyone's Hero,"$6,061,762",136,Fox,"$14,523,101",2017
Hollywoodland,"$5,926,177",137,Focus,"$14,426,251",2017
Letters from Iwo Jima,"$89,097",138,WB,"$13,756,082",2017
One Night with the King,"$4,120,497",139,8X,"$13,395,961",2017
Friends with Money,"$589,332",140,SPC,"$13,368,437",2017
Flyboys,"$6,004,219",141,MGM,"$13,090,630",2017
How to Eat Fried Worms,"$4,003,537",142,NL,"$13,040,527",2017
Volver,"$197,703",143,SPC,"$12,899,867",2017
"Bon Cop, Bad Cop","$1,433,259",144,All.,"$12,665,721",2017
Idlewild,"$5,745,780",145,Uni.,"$12,571,185",2017
Freedomland,"$5,833,562",146,SonR,"$12,512,886",2017
The Protector (2006),"$5,034,180",147,W/DD,"$12,044,087",2017
Zoom,"$4,510,408",148,SonR,"$11,989,328",2017
End of the Spear,"$4,281,388",149,RM,"$11,967,000",2017
Dave Chappelle's Block Party,"$6,214,723",150,Rog.,"$11,718,595",2017
The Last Kiss (2006),"$4,627,989",151,P/DW,"$11,614,790",2017
Something New,"$4,879,736",152,Focus,"$11,468,568",2017
Material Girls,"$4,603,121",153,MGM,"$11,449,638",2017
Bobby,"$69,039",154,MGM/W,"$11,242,801",2017
Scoop,"$3,046,924",155,Focus,"$10,525,717",2017
Roving Mars (IMAX),"$412,337",156,BV,"$10,407,978",2017
Facing the Giants,"$1,343,537",157,IDP,"$10,178,331",2017
The Fountain,"$3,768,702",158,WB,"$10,144,010",2017
Tim Burton's The Nightmare Before Christmas in 3-D (2006),"$3,277,004",159,BV,"$8,700,869",2017
Tenacious D in: The Pick of Destiny,"$3,234,879",160,NL,"$8,334,575",2017
Hoot,"$3,368,197",161,NL,"$8,117,637",2017
The Painted Veil,"$51,086",162,WIP,"$8,060,487",2017
The Night Listener,"$3,554,134",163,Mira.,"$7,836,393",2017
Slither,"$3,880,270",164,Uni.,"$7,802,450",2017
The Return,"$4,479,621",165,Rog.,"$7,749,851",2017
A Good Year,"$3,721,526",166,Fox,"$7,459,300",2017
Doogal,"$3,605,899",167,Wein.,"$7,417,319",2017
All the King's Men,"$3,672,366",168,Sony,"$7,221,458",2017
American Dreamz,"$3,667,420",169,Uni.,"$7,191,830",2017
Phat Girlz,"$3,109,924",170,FoxS,"$7,061,128",2017
Turistas,"$3,582,554",171,FoxA,"$7,027,762",2017
Running with Scissors,"$226,108",172,Sony,"$7,022,827",2017
Crossover,"$3,767,567",173,Sony,"$7,009,668",2017
Running Scared,"$3,381,974",174,NL,"$6,855,137",2017
Curse of the Golden Flower,"$478,771",175,SPC,"$6,566,773",2017
Grandma's Boy,"$3,009,341",176,Fox,"$6,090,172",2017
Basic Instinct 2,"$3,201,420",177,Sony,"$5,971,336",2017
For Your Consideration,"$372,012",178,WIP,"$5,549,923",2017
A Scanner Darkly,"$391,672",179,WIP,"$5,501,616",2017
Little Children,"$97,953",180,NL,"$5,463,019",2017
The Science of Sleep,"$347,925",181,WIP,"$4,670,644",2017
Let's Go to Prison,"$2,220,050",182,Uni.,"$4,630,045",2017
Keeping Up with the Steins,"$653,723",183,Mira.,"$4,339,241",2017
National Lampoon's Van Wilder: The Rise of Taj,"$2,313,372",184,MGM,"$4,300,645",2017
Catch a Fire,"$2,026,997",185,Focus,"$4,299,773",2017
Goal! The Dream Begins,"$1,921,838",186,BV,"$4,283,255",2017
Trailer Park Boys: The Movie,"$1,200,000",187,All.,"$3,860,678",2017
Venus,"$35,604",188,Mira.,"$3,347,411",2017
Harsh Times,"$1,968,505",189,MGM,"$3,337,931",2017
Art School Confidential,"$135,733",190,SPC,"$3,297,137",2017
Water,"$56,280",191,FoxS,"$3,278,815",2017
Kabhi Alvida Naa Kehna,"$1,351,786",192,Yash,"$3,275,444",2017
Boynton Beach Club,"$63,422",193,WinD,"$3,127,472",2017
Wordplay,"$32,847",194,IFC,"$3,121,270",2017
Miss Potter,"$9,653",195,MGM/W,"$3,005,605",2017
The Polar Express (IMAX re-issue 2006),"$108,656",196,WB,"$2,940,722",2017
Tsotsi,"$76,324",197,Mira.,"$2,912,606",2017
La Mujer de Mi Hermano,"$1,018,750",198,LGF,"$2,808,241",2017
The History Boys,"$100,803",199,FoxS,"$2,706,659",2017
Half Nelson,"$53,983",200,Think,"$2,697,938",2017
Hot Fuzz,"$5,848,464",101,Rog.,"$23,637,265",2017
WAR,"$9,820,089",102,LGF,"$22,486,409",2017
The Last Mimzy,"$10,024,819",103,NL,"$21,471,047",2017
Amazing Grace,"$4,054,542",104,IDP,"$21,250,683",2017
The Hills Have Eyes 2,"$9,686,362",105,FoxA,"$20,804,166",2017
The Invisible,"$7,717,309",106,BV,"$20,578,909",2017
Reno 911!: Miami,"$10,273,477",107,Fox,"$20,342,161",2017
Gone Baby Gone,"$5,501,406",108,Mira.,"$20,300,218",2017
Reign Over Me,"$7,460,690",109,Sony,"$19,661,987",2017
Vacancy,"$7,603,376",110,SGem,"$19,363,565",2017
Georgia Rule,"$6,773,870",111,Uni.,"$19,103,072",2017
Waitress,"$92,034",112,FoxS,"$19,074,800",2017
Becoming Jane,"$972,066",113,Mira.,"$18,670,946",2017
Into the Wild,"$212,440",114,ParV,"$18,354,356",2017
Walk Hard: The Dewey Cox Story,"$4,174,383",115,Sony,"$18,317,151",2017
Next,"$7,133,049",116,Par.,"$18,211,013",2017
Hostel Part II,"$8,203,391",117,LGF,"$17,609,452",2017
Eastern Promises,"$547,092",118,Focus,"$17,266,000",2017
Dead Silence,"$7,842,725",119,Uni.,"$16,809,076",2017
The Hitcher (2007),"$7,818,239",120,Rog.,"$16,472,961",2017
Elizabeth: The Golden Age,"$6,153,075",121,Uni.,"$16,383,509",2017
The Kite Runner,"$471,713",122,ParV,"$15,800,078",2017
Happily N'Ever After,"$6,608,244",123,LGF,"$15,589,393",2017
Catch and Release,"$7,658,898",124,Sony,"$15,539,051",2017
Alpha Dog,"$6,412,775",125,Uni.,"$15,309,602",2017
The Invasion,"$5,951,409",126,WB,"$15,074,191",2017
Lions for Lambs,"$6,702,434",127,UA,"$15,002,854",2017
Tim Burton's The Nightmare Before Christmas in Disney Digital 3-D (2007 re-issue),"$5,330,101",128,BV,"$14,486,897",2017
Awake,"$5,856,872",129,MGM/W,"$14,377,198",2017
Hot Rod,"$5,310,711",130,Par.,"$13,938,332",2017
Firehouse Dog,"$3,838,916",131,Fox,"$13,932,383",2017
The Namesake,"$248,552",132,FoxS,"$13,569,248",2017
The Comebacks,"$5,554,594",133,FoxA,"$13,349,927",2017
Daddy Day Camp,"$3,402,678",134,SonR,"$13,235,267",2017
Shoot 'Em Up,"$5,716,554",135,NL,"$12,807,139",2017
I Think I Love My Wife,"$5,674,802",136,FoxS,"$12,550,605",2017
Evening,"$3,501,971",137,Focus,"$12,492,481",2017
The Darjeeling Limited,"$134,938",138,FoxS,"$11,902,715",2017
Sydney White,"$5,196,380",139,Uni.,"$11,892,415",2017
The Lives of Others,"$213,589",140,SPC,"$11,286,112",2017
In the Land of Women,"$4,712,341",141,WB,"$11,052,958",2017
The Astronaut Farmer,"$4,454,319",142,WB,"$11,003,643",2017
Dragon Wars,"$5,041,239",143,Free,"$10,977,721",2017
Primeval,"$6,048,315",144,BV,"$10,597,734",2017
La Vie en Rose,"$179,848",145,PicH,"$10,301,706",2017
Pathfinder: Legend of the Ghost Warrior,"$5,001,214",146,Fox,"$10,232,081",2017
BRATZ,"$4,208,455",147,LGF,"$10,010,209",2017
Rendition,"$4,060,012",148,NL,"$9,736,045",2017
Death Sentence,"$4,231,321",149,Fox,"$9,534,258",2017
Once,"$61,901",150,FoxS,"$9,439,923",2017
Black Snake Moan,"$4,143,199",151,ParV,"$9,396,870",2017
A Mighty Heart,"$3,948,863",152,ParV,"$9,176,787",2017
The Seeker: The Dark Is Rising,"$3,745,315",153,Fox,"$8,794,452",2017
Death at a Funeral (2007),"$1,282,973",154,MGM,"$8,580,428",2017
Code Name: The Cleaner,"$4,244,142",155,NL,"$8,135,024",2017
Delta Farce,"$3,420,645",156,LGF,"$8,130,530",2017
Bella,"$1,328,448",157,RAtt.,"$8,070,537",2017
El Cantante,"$3,202,035",158,PicH,"$7,556,712",2017
Martian Child,"$3,376,669",159,NL,"$7,500,310",2017
I Know Who Killed Me,"$3,506,291",160,Sony,"$7,498,716",2017
The Condemned,"$3,807,595",161,LGF,"$7,371,706",2017
The Hoax,"$1,449,320",162,Mira.,"$7,164,995",2017
The Orphanage,"$233,323",163,PicH,"$7,161,284",2017
Before the Devil Knows You're Dead,"$73,837",164,Think,"$7,084,227",2017
Pride,"$3,533,300",165,LGF,"$7,057,600",2017
Bug,"$3,245,556",166,LGF,"$7,025,810",2017
Redline,"$3,962,385",167,Chic.,"$6,881,022",2017
In the Valley of Elah,"$133,557",168,WIP,"$6,777,741",2017
The Savages,"$151,859",169,FoxS,"$6,623,082",2017
The Diving Bell and the Butterfly,"$75,721",170,Mira.,"$6,003,227",2017
Lars and the Real Girl,"$90,418",171,MGM,"$5,972,884",2017
The Last Legion,"$2,746,312",172,Wein.,"$5,933,494",2017
Feel the Noise,"$3,187,153",173,BMG,"$5,898,393",2017
The Perfect Holiday,"$2,283,360",174,YFG,"$5,812,781",2017
Lucky You,"$2,710,445",175,WB,"$5,758,950",2017
Who's Your Caddy?,"$2,756,661",176,MGM/W,"$5,713,425",2017
Aqua Teen Hunger Force Colon Movie Film for Theaters,"$3,005,175",177,First,"$5,520,368",2017
Rescue Dawn,"$110,326",178,MGM,"$5,490,423",2017
"Paris, je t'aime","$39,242",179,First,"$4,899,278",2017
Love in the Time of Cholera,"$1,924,860",180,NL,"$4,607,608",2017
"Lust, Caution","$63,918",181,Focus,"$4,604,982",2017
The Lookout,"$2,017,795",182,Mira.,"$4,600,585",2017
Away from Her,"$114,628",183,LGF,"$4,571,521",2017
Talk to Me,"$402,000",184,Focus,"$4,533,261",2017
Kickin' It Old Skool,"$2,484,624",185,YFG,"$4,502,604",2017
Persepolis,"$88,826",186,SPC,"$4,445,756",2017
2 Days in Paris,"$173,641",187,Gold.,"$4,433,994",2017
Black Book,"$112,521",188,SPC,"$4,398,532",2017
I'm Not There,"$730,819",189,Wein.,"$4,017,609",2017
Ladron Que Roba A Ladron,"$1,626,090",190,LGF,"$4,011,254",2017
P2,"$2,083,398",191,Sum.,"$3,995,018",2017
The Assassination of Jesse James by the Coward Robert Ford,"$147,812",192,WB,"$3,909,149",2017
Nitro,N/A,193,All.,"$3,768,878",2017
Sunshine,"$242,964",194,FoxS,"$3,675,753",2017
Om Shanti Om,"$1,764,131",195,Eros,"$3,597,372",2017
The Jane Austen Book Club,"$148,549",196,SPC,"$3,575,227",2017
Blood and Chocolate,"$2,074,300",197,MGM,"$3,526,847",2017
Feast of Love,"$1,707,967",198,MGM,"$3,511,074",2017
The Ultimate Gift,"$1,241,079",199,BPic,"$3,438,735",2017
Things We Lost in the Fire,"$1,561,949",200,P/DW,"$3,287,315",2017
The Women (2008),"$10,115,210",101,PicH,"$26,902,075",2017
One Missed Call,"$12,511,473",102,WB,"$26,890,041",2017
The Other Boleyn Girl,"$8,203,061",103,Sony,"$26,814,957",2017
Street Kings,"$12,469,631",104,FoxS,"$26,418,667",2017
The Wrestler,"$202,714",105,FoxS,"$26,238,243",2017
Shutter,"$10,447,559",106,Fox,"$25,928,550",2017
Superhero Movie,"$9,510,297",107,MGM/W,"$25,881,068",2017
W.,"$10,505,668",108,LGF,"$25,534,493",2017
Never Back Down,"$8,603,195",109,Sum.,"$24,850,922",2017
Traitor,"$7,868,465",110,Over.,"$23,530,831",2017
Vicky Cristina Barcelona,"$3,755,575",111,MGM/W,"$23,216,709",2017
Revolutionary Road,"$189,911",112,ParV,"$22,911,480",2017
Babylon A.D.,"$9,484,627",113,Fox,"$22,532,572",2017
The X-Files: I Want to Believe,"$10,021,753",114,Fox,"$20,982,478",2017
Mad Money,"$7,736,452",115,Over.,"$20,668,843",2017
Appaloosa,"$248,847",116,WB (NL),"$20,211,394",2017
The Spirit,"$6,463,278",117,LGF,"$19,806,188",2017
Igor,"$7,803,347",118,MGM,"$19,528,602",2017
My Best Friend's Girl,"$8,265,357",119,LGF,"$19,219,250",2017
Frost/Nixon,"$180,708",120,Uni.,"$18,622,031",2017
Kit Kittredge: An American Girl,"$220,297",121,PicH,"$17,657,973",2017
The Ruins,"$8,003,421",122,P/DW,"$17,432,844",2017
88 Minutes,"$6,957,216",123,Sony,"$17,213,467",2017
Swing Vote,"$6,230,669",124,BV,"$16,289,867",2017
Pride & Glory,"$6,262,396",125,WB (NL),"$15,740,721",2017
Bangkok Dangerous,"$7,783,266",126,LGF,"$15,298,133",2017
Last Chance Harvey,"$97,260",127,Over.,"$14,889,042",2017
Disaster Movie,"$5,836,973",128,LGF,"$14,190,901",2017
The Duchess,"$190,426",129,ParV,"$13,848,978",2017
Fly Me to the Moon,"$1,900,523",130,Sum.,"$13,816,982",2017
The Haunting of Molly Hartley,"$5,423,315",131,Free,"$13,559,812",2017
Ghost Town,"$5,012,315",132,P/DW,"$13,367,624",2017
Religulous,"$3,409,643",133,LGF,"$13,011,160",2017
The Pirates Who Don't Do Anything,"$4,251,320",134,Uni.,"$12,981,269",2017
Rachel Getting Married,"$293,369",135,SPC,"$12,796,841",2017
Under the Same Moon,"$2,769,655",136,Wein.,"$12,590,147",2017
Miss Pettigrew Lives for a Day,"$2,490,942",137,Focus,"$12,313,694",2017
Soul Men,"$5,401,605",138,MGM/W,"$12,082,391",2017
Meet Dave,"$5,251,918",139,Fox,"$11,803,254",2017
The Longshots,"$4,080,687",140,MGM/W,"$11,537,046",2017
"Be Kind, Rewind","$4,050,655",141,NL,"$11,175,164",2017
Doomsday,"$4,926,565",142,Rog.,"$11,008,770",2017
Stop-Loss,"$4,555,117",143,Par.,"$10,915,744",2017
U2 3D,"$964,315",144,NGE,"$10,363,341",2017
Penelope,"$3,802,144",145,Sum.,"$10,011,996",2017
The Express,"$4,562,675",146,Uni.,"$9,793,406",2017
Smart People,"$4,092,465",147,Mira.,"$9,511,289",2017
The Visitor,"$86,488",148,Over.,"$9,427,089",2017
The Boy in the Striped Pajamas,"$253,085",149,Mira.,"$9,046,156",2017
Sex Drive,"$3,607,164",150,Sum.,"$8,402,485",2017
Cadillac Records,"$3,445,559",151,Sony,"$8,195,551",2017
Punisher: War Zone,"$4,271,451",152,LGF,"$8,050,977",2017
Miracle at St. Anna,"$3,477,996",153,BV,"$7,919,117",2017
City of Ember,"$3,129,473",154,Fox,"$7,873,007",2017
In Bruges,"$459,575",155,Focus,"$7,800,824",2017
Expelled: No Intelligence Allowed,"$2,970,848",156,RM,"$7,720,487",2017
Dolphins and Whales: Tribes of the Ocean 3D,"$41,695",157,3D,"$7,714,996",2017
Over Her Dead Body,"$4,025,115",158,NL,"$7,563,670",2017
Nothing Like the Holidays,"$3,531,664",159,Over.,"$7,503,736",2017
How She Move,"$3,957,471",160,ParV,"$7,070,641",2017
An American Carol,"$3,656,000",161,Viv.,"$7,013,191",2017
Strange Wilderness,"$3,001,719",162,ParC,"$6,575,282",2017
Brideshead Revisited,"$339,616",163,Mira.,"$6,432,256",2017
The Rocker,"$2,636,048",164,Fox,"$6,409,528",2017
Tell No One,"$169,707",165,MBox,"$6,177,192",2017
Run Fat Boy Run,"$2,340,743",166,PicH,"$6,003,262",2017
Mongol,"$135,326",167,PicH,"$5,705,761",2017
RockNRolla,"$144,701",168,WB,"$5,700,626",2017
Shine a Light,"$1,488,081",169,ParV,"$5,505,267",2017
The Counterfeiters,"$87,514",170,SPC,"$5,488,570",2017
Hamlet 2,"$439,925",171,Focus,"$4,886,216",2017
In the Name of the King: A Dungeon Siege Tale,"$2,984,524",172,Free,"$4,775,656",2017
College,"$2,153,109",173,MGM,"$4,694,636",2017
Deception (2008),"$2,312,146",174,Fox,"$4,598,506",2017
Flash of Genius,"$2,251,075",175,Uni.,"$4,442,377",2017
Witless Protection,"$2,116,692",176,LGF,"$4,161,625",2017
Bottle Shock,"$278,075",177,Free,"$4,078,607",2017
Young@Heart,"$50,937",178,FoxS,"$3,992,189",2017
Charlie Bartlett,"$1,836,256",179,MGM,"$3,951,699",2017
The Class,N/A,180,SPC,"$3,766,810",2017
Then She Found Me,"$72,594",181,Think,"$3,735,717",2017
Elegy,"$104,168",182,Gold.,"$3,581,642",2017
Happy-Go-Lucky,"$73,867",183,Mira.,"$3,512,016",2017
Jodhaa Akbar,"$1,300,000",184,UTV,"$3,440,718",2017
Blindness,"$1,950,260",185,Mira.,"$3,351,751",2017
I've Loved You So Long,"$72,205",186,SPC,"$3,169,305",2017
"Synecdoche, New York","$172,194",187,SPC,"$3,083,538",2017
The Band's Visit,"$67,492",188,SPC,"$3,054,457",2017
Man on Wire,"$51,392",189,Magn.,"$2,962,242",2017
Choke,"$1,319,286",190,FoxS,"$2,926,565",2017
How to Lose Friends and Alienate People,"$1,430,294",191,MGM,"$2,778,752",2017
Frozen River,"$70,234",192,SPC,"$2,511,476",2017
Ghajini,"$766,859",193,AdL.,"$2,430,627",2017
Redbelt,"$63,361",194,SPC,"$2,345,941",2017
Waltz with Bashir,"$50,021",195,SPC,"$2,283,849",2017
The Fall,"$79,611",196,RAtt.,"$2,266,905",2017
Transsiberian,"$34,615",197,First,"$2,206,405",2017
Priceless,"$116,308",198,Gold.,"$2,165,188",2017
Singh Is Kinng,"$1,154,528",199,Stu18,"$2,159,376",2017
Let the Right One In (2008),"$49,295",200,Magn.,"$2,122,065",2017
The International,"$9,331,739",101,Sony,"$25,450,527",2017
Aliens in the Attic,"$8,008,423",102,Fox,"$25,200,412",2017
Observe and Report,"$11,017,334",103,WB,"$24,007,324",2017
Fighting,"$11,024,370",104,Uni.,"$23,091,010",2017
Love Happens,"$8,057,010",105,Uni.,"$22,965,110",2017
Fame (2009),"$10,011,682",106,MGM,"$22,455,510",2017
Fantastic Mr. Fox,"$265,900",107,Fox,"$21,002,919",2017
Shorts,"$6,410,339",108,WB,"$20,919,166",2017
Gamer,"$9,156,057",109,LGF,"$20,534,907",2017
Nine,"$257,232",110,Wein.,"$19,676,965",2017
Astro Boy,"$6,702,923",111,Sum.,"$19,551,067",2017
Jonas Brothers: The 3D Concert Experience,"$12,510,374",112,BV,"$19,162,740",2017
The Invention of Lying,"$7,027,472",113,WB,"$18,451,251",2017
Inkheart,"$7,601,379",114,WB (NL),"$17,303,424",2017
Fired Up,"$5,483,778",115,SGem,"$17,231,291",2017
The Hurt Locker,"$145,352",116,Sum.,"$17,017,811",2017
New in Town,"$6,741,530",117,LGF,"$16,734,283",2017
Jennifer's Body,"$6,868,397",118,Fox,"$16,204,793",2017
Imagine That,"$5,503,519",119,Par.,"$16,123,323",2017
Adventureland,"$5,722,039",120,Mira.,"$16,044,025",2017
Armored,"$6,511,128",121,SGem,"$15,988,876",2017
A Perfect Getaway,"$5,948,555",122,Uni.,"$15,515,460",2017
"The Goods: Live Hard, Sell Hard","$5,642,137",123,ParV,"$15,122,676",2017
Ponyo,"$3,585,852",124,BV,"$15,090,399",2017
The Box,"$7,571,417",125,WB,"$15,051,977",2017
I Love You Beth Cooper,"$4,919,433",126,Fox,"$14,800,725",2017
Capitalism: A Love Story,"$231,964",127,Over.,"$14,363,397",2017
Amelia,"$3,904,047",128,FoxS,"$14,245,415",2017
Cirque du Freak: The Vampire's Assistant,"$6,293,205",129,Uni.,"$13,869,515",2017
Crank: High Voltage,"$6,963,565",130,LGF,"$13,684,249",2017
Whip It,"$4,650,812",131,FoxS,"$13,043,363",2017
An Education,"$159,017",132,SPC,"$12,574,914",2017
12 Rounds,"$5,329,240",133,Fox,"$12,234,694",2017
Sunshine Cleaning,"$219,190",134,Over.,"$12,062,558",2017
Sorority Row,"$5,059,802",135,Sum.,"$11,965,282",2017
The Young Victoria,"$260,591",136,App.,"$11,001,272",2017
Extract,"$4,340,108",137,Mira.,"$10,823,158",2017
Not Easily Broken,"$5,314,278",138,SGem,"$10,572,742",2017
Pandorum,"$4,424,126",139,Over.,"$10,330,853",2017
Whiteout,"$4,915,104",140,WB,"$10,275,638",2017
The Boondock Saints II: All Saints Day,"$546,687",141,App.,"$10,273,188",2017
Next Day Air,"$4,111,043",142,Sum.,"$10,027,047",2017
Away We Go,"$130,411",143,Focus,"$9,451,946",2017
Dragonball Evolution,"$4,756,488",144,Fox,"$9,362,785",2017
A Serious Man,"$251,337",145,Focus,"$9,228,768",2017
Everybody's Fine,"$3,852,068",146,Mira.,"$9,208,876",2017
A Single Man,"$217,332",147,Wein.,"$9,176,000",2017
Street Fighter: The Legend of Chun-Li,"$4,721,110",148,Fox,"$8,742,261",2017
My Life in Ruins,"$3,223,161",149,FoxS,"$8,665,206",2017
The Road,"$1,502,231",150,W/Dim.,"$8,117,000",2017
Pirate Radio,"$2,904,380",151,Focus,"$8,017,917",2017
The Collector,"$3,576,296",152,Free,"$7,712,114",2017
The Imaginarium of Doctor Parnassus,"$415,233",153,SPC,"$7,689,607",2017
Taking Woodstock,"$3,457,760",154,Focus,"$7,460,204",2017
3 Idiots,"$1,645,502",155,Relbig.,"$6,532,874",2017
Post Grad,"$2,651,996",156,Fox,"$6,380,019",2017
Coco Before Chanel,"$406,768",157,SPC,"$6,113,834",2017
Whatever Works,"$266,162",158,SPC,"$5,306,706",2017
Bandslam,"$2,231,273",159,Sum.,"$5,210,988",2017
Broken Embraces,"$107,111",160,SPC,"$5,014,305",2017
Moon,"$136,046",161,SPC,"$5,010,163",2017
Miss March,"$2,409,156",162,FoxS,"$4,543,320",2017
Bright Star,"$189,703",163,App.,"$4,444,637",2017
"Food, Inc.","$60,513",164,Magn.,"$4,417,674",2017
Good Hair,"$1,039,220",165,RAtt.,"$4,157,223",2017
The September Issue,"$220,633",166,RAtt.,"$3,820,067",2017
The Brothers Bloom,"$90,400",167,Sum.,"$3,531,756",2017
Two Lovers,"$94,986",168,Magn.,"$3,149,034",2017
Cheri,"$405,701",169,Mira.,"$2,715,657",2017
Easy Virtue,"$110,443",170,SPC,"$2,656,784",2017
Sin Nombre,"$81,446",171,Focus,"$2,536,665",2017
My One and Only,"$58,692",172,Free,"$2,479,538",2017
Love Aaj Kal,"$1,241,762",173,Eros,"$2,430,083",2017
In the Loop,"$191,866",174,IFC,"$2,388,804",2017
Adam,"$68,377",175,FoxS,"$2,277,396",2017
The White Ribbon,"$59,848",176,SPC,"$2,222,862",2017
Is Anybody There?,"$46,209",177,StIs.,"$2,026,756",2017
Rudo Y Cursi,"$211,460",178,SPC,"$1,827,660",2017
Valentino: The Last Emperor,"$21,762",179,Truly,"$1,755,134",2017
Every Little Step,"$68,504",180,SPC,"$1,725,141",2017
Bad Lieutenant: Port of Call New Orleans,"$245,398",181,First,"$1,702,112",2017
Summer Hours,"$49,484",182,IFC,"$1,657,001",2017
Battle for Terra,"$1,082,064",183,LGF,"$1,647,083",2017
It Might Get Loud,"$92,679",184,SPC,"$1,610,163",2017
"New York, I Love You","$380,605",185,Viv.,"$1,588,015",2017
Departures,"$74,945",186,Reg.,"$1,498,210",2017
Kambakkht Ishq,"$768,542",187,Eros,"$1,445,739",2017
I Hope They Serve Beer in Hell,"$366,909",188,Free,"$1,429,299",2017
X Games 3D The Movie,"$837,216",189,BV,"$1,391,434",2017
The Secrets of Jonathan Sperry,"$258,400",190,5&2,"$1,355,079",2017
Kaminey,"$726,834",191,UTV,"$1,291,827",2017
Paper Heart,"$219,494",192,Over.,"$1,274,062",2017
Me and Orson Welles,"$63,638",193,Free,"$1,190,003",2017
The Wizard of Oz (NCM Fathom Events),N/A,194,WB,"$1,140,000",2017
"Yoo-Hoo, Mrs. Goldberg","$19,302",195,ICir,"$1,134,623",2017
The Messenger,"$44,523",196,Osci.,"$1,109,660",2017
Sugar,"$60,140",197,SPC,"$1,082,124",2017
Paris,"$46,518",198,IFC,"$1,010,194",2017
New York,"$467,694",199,Yash,"$997,437",2017
More Than a Game,"$182,943",200,LGF,"$950,675",2017
Ramona and Beezus,"$7,810,481",101,Fox,"$26,167,002",2017
Leap Year,"$9,202,815",102,Uni.,"$25,918,920",2017
You Again,"$8,407,513",103,BV,"$25,702,053",2017
Alpha and Omega,"$9,106,906",104,LGF,"$25,107,267",2017
Piranha 3D,"$10,106,872",105,W/Dim.,"$25,003,155",2017
Lottery Ticket,"$10,652,297",106,WB,"$24,719,879",2017
The Spy Next Door,"$9,726,056",107,LGF,"$24,307,086",2017
From Paris with Love,"$8,158,860",108,LGF,"$24,077,427",2017
The Losers,"$9,406,348",109,WB,"$23,591,432",2017
Faster,"$8,523,153",110,CBS,"$23,240,020",2017
Just Wright,"$8,284,989",111,FoxS,"$21,540,363",2017
Skyline,"$11,692,415",112,Uni.,"$21,393,620",2017
The Next Three Days,"$6,542,779",113,LGF,"$21,148,651",2017
The Kids Are All Right,"$491,971",114,Focus,"$20,811,365",2017
Our Family Wedding,"$7,629,862",115,FoxS,"$20,255,281",2017
Country Strong,"$30,452",116,SGem,"$20,218,921",2017
Oceans,"$6,058,958",117,BV,"$19,422,319",2017
Remember Me,"$8,089,139",118,Sum.,"$19,068,240",2017
127 Hours,"$264,851",119,FoxS,"$18,335,230",2017
Going the Distance,"$6,884,964",120,WB (NL),"$17,804,299",2017
Furry Vengeance,"$6,627,564",121,Sum.,"$17,630,465",2017
Splice,"$7,385,277",122,WB,"$17,010,170",2017
The Ghost Writer,"$183,009",123,Sum.,"$15,541,549",2017
Youth in Revolt,"$6,888,334",124,W/Dim.,"$15,281,286",2017
My Soul to Take,"$6,842,220",125,Uni.,"$14,744,435",2017
Repo Men,"$6,126,170",126,Uni.,"$13,794,835",2017
Case 39,"$5,350,570",127,ParV,"$13,261,851",2017
Let Me In,"$5,147,479",128,Over.,"$12,134,935",2017
Extraordinary Measures,"$6,012,594",129,CBS,"$12,068,313",2017
Avatar: Special Edition,"$4,007,750",130,Fox,"$10,741,486",2017
Jonah Hex,"$5,379,365",131,WB,"$10,547,117",2017
The Girl with the Dragon Tattoo,"$335,502",132,MBox,"$10,095,170",2017
Blue Valentine,"$193,728",133,Wein.,"$9,706,328",2017
Fair Game (2010),"$651,082",134,Sum.,"$9,540,691",2017
Get Low,"$88,182",135,SPC,"$9,176,933",2017
MacGruber,"$4,043,495",136,Uni.,"$8,525,600",2017
The Girl Who Played with Fire,"$904,998",137,MBox,"$7,638,241",2017
Cyrus,"$181,716",138,FoxS,"$7,468,936",2017
Babies,"$2,160,460",139,Focus,"$7,320,323",2017
Conviction,"$102,351",140,FoxS,"$6,783,129",2017
City Island,"$32,001",141,Anch.,"$6,671,036",2017
The Last Station,"$73,723",142,SPC,"$6,617,867",2017
Winter's Bone,"$84,797",143,RAtt.,"$6,531,503",2017
"Waiting for ""Superman""","$139,033",144,ParV,"$6,417,135",2017
The Secret in Their Eyes,"$167,866",145,SPC,"$6,391,436",2017
It's Kind of a Funny Story,"$2,013,406",146,Focus,"$6,363,628",2017
Sea Rex 3D: Journey to a Prehistoric World,N/A,147,3D,"$6,096,582",2017
The Warrior's Way,"$3,048,665",148,Rela.,"$5,666,340",2017
The Girl Who Kicked the Hornet's Nest,"$881,737",149,MBox,"$5,190,196",2017
I Am Love,"$121,504",150,Magn.,"$5,005,465",2017
Mao's Last Dancer,"$199,657",151,Gold.,"$4,817,770",2017
Solitary Man,"$94,936",152,Anch.,"$4,360,548",2017
Inside Job,"$39,649",153,SPC,"$4,312,735",2017
Greenberg,"$118,152",154,Focus,"$4,234,170",2017
