Name,Opening,Rank,Studio,Total Gross,Years
The Trigger Effect,"$1,887,791",165,Gram.,"$3,622,979",2017
Moll Flanders,"$955,606",166,MGM,"$3,486,957",2017
Angels and Insects,N/A,167,Gold.,"$3,414,301",2017
Carpool,"$1,628,482",168,WB,"$3,325,651",2017
Feeling Minnesota,"$1,598,051",169,NL,"$3,124,440",2017
Basquiat,"$83,863",170,Mira.,"$3,011,195",2017
Unforgettable,"$1,442,215",171,MGM,"$2,821,671",2017
When We Were Kings,"$12,479",172,Gram.,"$2,789,985",2017
Kids in the Hall: Brain Candy,"$770,280",173,Par.,"$2,654,308",2017
The Stupids,"$1,593,929",174,NL,"$2,491,989",2017
If Lucy Fell,"$1,308,088",175,Sony,"$2,420,162",2017
Lawnmower Man 2: Beyond Cyberspace,"$1,428,658",176,NL,"$2,409,225",2017
Once Upon a Time... When We Were Colored,"$75,675",177,Leg.,"$2,291,255",2017
Faithful,"$967,956",178,NL,"$2,104,439",2017
Snowriders,N/A,179,WM,"$2,068,490",2017
Big Bully,"$1,131,094",180,WB,"$2,042,530",2017
Crash (1996),"$738,339",181,FL,"$2,038,450",2017
Surviving Picasso,"$87,054",182,WB,"$2,021,348",2017
Ridicule,N/A,183,Mira.,"$1,979,768",2017
Vertigo (Restored 70mm) (re-issue),N/A,184,Uni.,"$1,967,552",2017
Race the Sun,"$1,116,504",185,Sony,"$1,945,552",2017
I Shot Andy Warhol,"$57,053",186,Orion,"$1,875,527",2017
Beautiful Thing,"$33,931",187,Sony,"$1,548,120",2017
Microcosmos,"$35,189",188,Mira.,"$1,433,210",2017
Looking for Richard,"$33,843",189,FoxS,"$1,408,575",2017
The Celluloid Closet,"$95,047",190,SPC,"$1,400,591",2017
Phat Beach,"$658,614",191,Orion,"$1,383,553",2017
Kansas City,N/A,192,FL,"$1,356,329",2017
Neuba Yol: Abajo La Nueva Ley,N/A,193,Prkr,"$1,354,652",2017
Anne Frank Remembered,"$26,697",194,SPC,"$1,310,200",2017
Walking and Talking,N/A,195,Mira.,"$1,287,480",2017
The Funeral,"$41,768",196,Oct.,"$1,227,324",2017
Two Much,"$592,871",197,BV,"$1,141,556",2017
Bad Moon,"$607,081",198,WB,"$1,055,525",2017
Dead Man,"$104,649",199,Mira.,"$1,037,847",2017
The Flower of My Secret,N/A,200,SPC,"$1,032,180",2017
Excess Baggage,"$6,309,583",101,Sony,"$14,515,490",2017
Fairy Tale: A True Story,"$3,515,323",102,Par.,"$14,059,077",2017
Def Jam's How to Be a Player,"$4,206,656",103,Gram.,"$14,009,368",2017
The Man Who Knew Too Little,"$4,604,819",104,WB,"$13,717,039",2017
The Wings of the Dove,"$183,610",105,Mira.,"$13,692,848",2017
Trial and Error,"$4,903,529",106,NL,"$13,602,831",2017
Rosewood,"$3,154,075",107,WB,"$13,130,349",2017
Gattaca,"$4,320,202",108,Sony,"$12,532,777",2017
Love Jones,"$3,908,725",109,NL,"$12,479,335",2017
Chasing Amy,"$52,446",110,Mira.,"$12,021,272",2017
Turbulence,"$4,464,008",111,MGM,"$11,538,235",2017
The Beautician and the Beast,"$4,080,222",112,Par.,"$11,486,880",2017
Double Team,"$5,034,914",113,Sony,"$11,438,337",2017
Leave It to Beaver,"$3,252,450",114,Uni.,"$10,925,060",2017
Deconstructing Harry,"$356,476",115,FL,"$10,686,841",2017
Mad City,"$4,649,742",116,WB,"$10,541,523",2017
Operation Condor,"$4,731,751",117,Mira.,"$10,405,394",2017
Buddy,"$3,504,671",118,Sony,"$10,113,400",2017
Night Falls on Manhattan,"$2,933,255",119,Par.,"$9,889,670",2017
Shall We Dance?,N/A,120,Mira.,"$9,499,091",2017
Fierce Creatures,"$3,759,480",121,Uni.,"$9,381,260",2017
Mrs. Brown,"$76,268",122,Mira.,"$9,229,808",2017
Ulee's Gold,"$89,563",123,MGM,"$9,161,691",2017
Turbo: A Power Rangers Movie,"$3,301,135",124,Fox,"$8,363,899",2017
A Simple Wish,"$2,732,880",125,Uni.,"$8,345,056",2017
The Ice Storm,"$75,183",126,FoxS,"$8,038,061",2017
A Thousand Acres,"$2,931,762",127,BV,"$7,936,780",2017
Sprung,"$2,487,702",128,Trim.,"$7,575,028",2017
Wild America,"$1,810,586",129,WB,"$7,342,923",2017
She's So Lovely,"$3,020,015",130,Mira.,"$7,281,450",2017
B.A.P.S.,"$2,742,679",131,NL,"$7,246,735",2017
Zeus and Roxanne,"$2,755,382",132,MGM,"$7,233,324",2017
U-Turn,"$2,730,440",133,Sony,"$6,682,098",2017
Warriors of Virtue,"$3,277,084",134,MGM,"$6,524,620",2017
Switchback,"$2,704,568",135,Par.,"$6,492,660",2017
Most Wanted,"$2,836,490",136,NL,"$6,391,946",2017
Kull the Conqueror,"$3,450,145",137,Uni.,"$6,112,613",2017
The Boxer,"$86,097",138,Uni.,"$5,980,578",2017
Inventing the Abbotts,"$2,301,138",139,Fox,"$5,936,344",2017
Gang Related,"$2,443,237",140,MGM,"$5,906,773",2017
Kolya,"$445,598",141,Mira.,"$5,770,254",2017
187,"$2,222,984",142,WB,"$5,727,130",2017
Kundun,"$72,095",143,BV,"$5,684,789",2017
Gridlock'd,"$2,678,372",144,Gram.,"$5,571,205",2017
Dangerous Ground,"$2,647,745",145,NL,"$5,303,931",2017
Les Boys,"$436,174",146,Lions,"$4,602,341",2017
McHale's Navy,"$2,128,565",147,Uni.,"$4,529,843",2017
A Life Less Ordinary,"$2,007,279",148,Fox,"$4,366,722",2017
Playing God,"$1,937,374",149,BV,"$4,166,918",2017
Kama Sutra: A Tale of Love,"$53,499",150,Trim.,"$4,109,095",2017
Meet Wally Sparks,"$2,131,001",151,Trim.,"$4,073,582",2017
Lost Highway,"$212,710",152,Oct.,"$3,675,201",2017
8 Heads in a Duffel Bag,"$2,024,516",153,Orion,"$3,602,884",2017
The Pest,"$1,817,278",154,Sony,"$3,600,616",2017
Cats Don't Dance,"$939,781",155,WB,"$3,566,637",2017
Til There Was You,"$1,315,445",156,Par.,"$3,525,125",2017
Free Willy 3: The Rescue,"$992,651",157,WB,"$3,446,539",2017
The Matchmaker,"$1,378,930",158,Gram.,"$3,392,080",2017
A Smile Like Yours,"$1,163,576",159,Par.,"$3,330,352",2017
The Sweet Hereafter,"$31,149",160,FL,"$3,263,585",2017
Love! Valour! Compassion!,N/A,161,FL,"$2,977,807",2017
Waiting for Guffman,"$37,990",162,SPC,"$2,923,982",2017
In the Company of Men,"$100,006",163,SPC,"$2,804,473",2017
One Night Stand,"$978,819",164,NL,"$2,642,983",2017
Brassed Off,"$52,534",165,Mira.,"$2,576,331",2017
Afterglow,"$50,052",166,SPC,"$2,465,960",2017
Career Girls,"$93,303",167,Oct.,"$2,416,734",2017
Smilla's Sense of Snow,"$107,108",168,FoxS,"$2,372,903",2017
The Pillow Book,N/A,169,Lions,"$2,372,744",2017
Shadow Conspiracy,"$1,370,831",170,BV,"$2,312,463",2017
Snowriders 2,N/A,171,WM,"$2,287,639",2017
Ma Vie En Rose,"$76,212",172,SPC,"$2,162,043",2017
The Daytrippers,"$35,988",173,Sony,"$2,099,677",2017
Paradise Road,N/A,174,FoxS,"$2,007,100",2017
Masterminds,"$1,014,606",175,Sony,"$1,935,539",2017
Kiss Me Guido,N/A,176,Par.,"$1,918,497",2017
Washington Square,"$14,352",177,BV,"$1,851,761",2017
Steel,"$870,068",178,WB,"$1,710,972",2017
Rhyme & Reason,"$853,589",179,Mira.,"$1,608,277",2017
City of Industry,"$803,811",180,Orion,"$1,568,258",2017
When the Cat's Away,N/A,181,SPC,"$1,474,628",2017
Ponette,N/A,182,Arro.,"$1,300,377",2017
The Godfather (Re-issue),"$229,932",183,Par.,"$1,267,490",2017
Temptress Moon,"$66,471",184,Mira.,"$1,100,788",2017
Blood and Wine,"$420,993",185,FoxS,"$1,094,668",2017
The Tango Lesson,"$19,752",186,SPC,"$1,080,192",2017
Shiloh,"$115,710",187,Leg.,"$1,007,822",2017
Female Perversions,N/A,188,Oct.,"$926,954",2017
When Night Is Falling,N/A,189,Oct.,"$919,671",2017
Guantanamera,"$8,851",190,Lions,"$903,840",2017
"Fast, Cheap and Out of Control","$23,665",191,SPC,"$878,960",2017
The Winter Guest,"$20,533",192,FL,"$870,290",2017
Anna Karenina (1997),"$75,268",193,WB,"$858,553",2017
Children of the Revolution,"$31,562",194,Mira.,"$838,368",2017
Kiss or Kill,N/A,195,Oct.,"$796,681",2017
Prisoner of the Mountains,"$17,205",196,OrionC,"$790,078",2017
Box of Moonlight,N/A,197,Trim.,"$782,641",2017
The Van,"$23,366",198,FoxS,"$712,095",2017
Contempt (1997 re-issue),N/A,199,Strand,"$706,604",2017
A Chef in Love,"$36,628",200,SPC,"$686,704",2017
Dead Man on Campus,"$4,704,688",101,Par.,"$15,064,946",2017
Twilight (1998),"$5,866,411",102,Par.,"$15,055,091",2017
The Wizard of Oz (1998 re-issue),"$5,354,311",103,WB,"$14,817,226",2017
Soldier,"$6,447,237",104,WB,"$14,594,226",2017
Dark City,"$5,576,953",105,NL,"$14,378,331",2017
Les Miserables (1998),"$5,011,840",106,Sony,"$14,096,321",2017
Blues Brothers 2000,"$6,129,615",107,Uni.,"$14,051,384",2017
Desperate Measures,"$5,833,412",108,Sony,"$13,806,137",2017
Hush,"$5,742,431",109,Sony,"$13,583,690",2017
Africa's Elephant Kingdom (IMAX),"$114,105",110,Imax,"$13,485,455",2017
Black Dog,"$4,809,375",111,Uni.,"$12,951,088",2017
Living Out Loud,"$169,747",112,NL,"$12,905,901",2017
Senseless,"$5,337,651",113,Dim.,"$12,874,899",2017
Mr. Nice Guy,"$5,250,704",114,NL,"$12,716,953",2017
