,Genre,Movies,Release_Date,WGross
715,Genre: Comedy,The Nutty Professor II:The Klumps,"Release Date: July 28, 2000"," $166,339,890"
716,Genre: Action Comedy,Big Momma's House 2,"Release Date: January 27, 2006"," $138,259,062"
717,Genre: Sports Drama,Remember the Titans,"Release Date: September 29, 2000"," $136,706,683"
718,Genre: Drama,Patriots Day,"Release Date: December 21, 2016"," $50,549,909"
719,Genre: Animation,Chicken Run,"Release Date: June 23, 2000"," $224,834,564"
720,Genre: Action Comedy,Miss Congeniality 2:Armed and Fabulous,"Release Date: March 24, 2005"," $101,393,569"
721,Genre: Action,Gone in 60 Seconds,"Release Date: June 9, 2000"," $237,202,299"
722,Genre: Thriller,Unbreakable,"Release Date: November 22, 2000"," $248,118,121"
724,Genre: Action Thriller,Space Cowboys,"Release Date: August 4, 2000"," $128,884,132"
725,Genre: Animation,The Emperor's New Groove,"Release Date: December 15, 2000"," $169,327,687"
726,Genre: Horror,Scream 4,"Release Date: April 15, 2011"," $97,138,686"
727,Genre: War,U-571,"Release Date: April 21, 2000"," $127,666,415"
728,Genre: Animation,Rugrats in Paris:The Movie,"Release Date: November 17, 2000"," $103,291,131"
730,Genre: Documentary,Steve McQueen:The Man & Le Mans,"Release Date: November 13, 2015"," $6,843"
733,Genre: Fantasy Comedy,Disney's The Kid,"Release Date: July 7, 2000"," $110,317,580"
734,Genre: Action,Vertical Limit,"Release Date: December 8, 2000"," $215,663,859"
735,Genre: Comedy,College Road Trip,"Release Date: March 7, 2008"," $51,549,674"
736,Genre: Sports Comedy,Bring It On,"Release Date: August 25, 2000"," $90,449,929"
737,Genre: Family Comedy,102 Dalmatians,"Release Date: November 22, 2000"," $183,611,771"
738,Genre: Drama / Thriller,Rules of Engagement,"Release Date: April 7, 2000"," $71,732,303"
740,Genre: Sci-Fi Adventure,Mission to Mars,"Release Date: March 10, 2000"," $110,983,407"
741,Genre: Music Drama,Coyote Ugly,"Release Date: August 4, 2000"," $113,916,474"
742,Genre: IMAX,Fantasia 2000 (35mm & IMAX),"Release Date: January 1, 2000"," $90,874,570"
743,Genre: Family Comedy,Snow Day,"Release Date: February 11, 2000"," $62,464,731"
744,Genre: Comedy,Friday After Next,"Release Date: November 22, 2002"," $33,526,835"
745,Genre: Crime Comedy,The Whole Nine Yards,"Release Date: February 18, 2000"," $106,371,651"
746,Genre: Western Comedy,Shanghai Noon,"Release Date: May 26, 2000"," $99,274,467"
747,Genre: Action,Romeo Must Die,"Release Date: March 22, 2000"," $91,036,760"
748,Genre: Horror,Final Destination 5,"Release Date: August 12, 2011"," $157,887,643"
749,Genre: IMAX,Fantasia 2000 (35mm & IMAX),"Release Date: January 1, 2000"," $90,874,570"
750,Genre: Drama,Finding Forrester,"Release Date: December 22, 2000"," $80,049,764"
751,Genre: Animation,The Road to El Dorado,"Release Date: March 31, 2000"," $76,432,727"
752,Genre: Period Drama,Men of Honor,"Release Date: November 10, 2000"," $82,343,495"
754,Genre: Animation,The Tigger Movie,"Release Date: February 11, 2000"," $96,159,800"
756,Genre: Sci-Fi Thriller,Frequency,"Release Date: April 28, 2000"," $68,106,245"
757,Genre: Sports Comedy,The Replacements,"Release Date: August 11, 2000"," $50,054,511"
758,Genre: Animation,Pokemon:The Movie 2000,"Release Date: July 21, 2000"," $133,949,270"
761,Genre: Comedy,Little Nicky,"Release Date: November 10, 2000"," $58,292,295"
762,Genre: Sci-Fi Horror,Pitch Black,"Release Date: February 18, 2000"," $53,187,659"
763,Genre: Concert,The Original Kings of Comedy,"Release Date: August 18, 2000",Writer:
764,Genre: Fantasy Comedy,Bedazzled (2000),"Release Date: October 20, 2000"," $90,383,208"
765,Genre: Romance,Autumn in New York,"Release Date: August 11, 2000"," $90,726,668"
766,Genre: Horror,28 Days Later,"Release Date: June 27, 2003"," $82,719,885"
767,Genre: Romantic Comedy,Keeping the Faith,"Release Date: April 14, 2000"," $59,945,183"
769,Genre: Comedy / Drama,Hanging Up,"Release Date: February 18, 2000"," $51,880,044"
770,Genre: Family Comedy,The Flintstones in Viva Rock Vegas,"Release Date: April 28, 2000"," $59,468,275"
771,Genre: Thriller,The Skulls,"Release Date: March 31, 2000"," $50,802,120"
772,Genre: Sci-Fi Action,The 6th Day,"Release Date: November 17, 2000"," $96,085,477"
773,Genre: Action Drama,Thirteen Days,"Release Date: December 22, 2000"," $66,579,890"
774,Genre: Family,My Dog Skip,"Release Date: January 14, 2000"," $35,547,761"
775,Genre: Comedy / Drama,Where the Heart Is,"Release Date: April 28, 2000"," $40,863,718"
776,Genre: Drama,Pay It Forward,"Release Date: October 20, 2000"," $55,707,411"
777,Genre: Horror,Dracula 2000,"Release Date: December 22, 2000"," $47,053,625"
778,Genre: Romantic Comedy,Return to Me,"Release Date: April 7, 2000"," $36,609,995"
779,Genre: Romantic Thriller,Proof of Life,"Release Date: December 8, 2000"," $62,761,005"
780,Genre: Music Drama,Almost Famous,"Release Date: September 15, 2000"," $47,383,689"
781,Genre: Sports Drama,The Legend of Bagger Vance,"Release Date: November 3, 2000"," $39,459,427"
782,Genre: Comedy,Snatched,"Release Date: May 12, 2017"," $60,845,711"
783,Genre: Action Thriller,The Art of War,"Release Date: August 25, 2000"," $40,400,425"
784,Genre: Horror Thriller,Bless the Child,"Release Date: August 11, 2000"," $40,443,010"
786,Genre: Sports Drama,Love & Basketball,"Release Date: April 21, 2000"," $27,728,118"
787,Genre: Romantic Comedy,High Fidelity,"Release Date: March 31, 2000"," $47,126,295"
788,Genre: Horror,Book of Shadows:Blair Witch 2,"Release Date: October 27, 2000"," $47,737,094"
789,Genre: Family Comedy,The Adventures of Rocky & Bullwinkle,"Release Date: June 30, 2000"," $35,134,820"
790,Genre: Comedy,Nurse Betty,"Release Date: September 8, 2000"," $29,360,400"
791,Genre: Action,Reindeer Games,"Release Date: February 25, 2000"," $32,168,970"
792,Genre: Animation,Titan A.E.,"Release Date: June 16, 2000"," $36,754,634"
793,Genre: Music Drama,Billy Elliot,"Release Date: October 13, 2000"," $109,280,263"
795,Genre: Sci-Fi Adventure,Battlefield Earth,"Release Date: May 12, 2000"," $29,725,663"
796,Genre: Horror,Urban Legends:Final Cut,"Release Date: September 22, 2000"," $38,574,362"
797,Genre: Romantic Comedy,Down to You,"Release Date: January 21, 2000"," $24,419,914"
798,Genre: Comedy / Drama,Wonder Boys,"Release Date: February 23, 2000"," $33,426,588"
799,Genre: Comedy,Best in Show,"Release Date: September 29, 2000"," $20,789,556"
800,Genre: Fantasy,Harry Potter and the Sorcerer's Stone,"Release Date: November 16, 2001"," $974,755,371"
801,Genre: Fantasy,The Lord of the Rings:The Fellowship of the Ring,"Release Date: December 19, 2001"," $871,530,324"
802,Genre: Animation,Shrek Forever After,"Release Date: May 21, 2010"," $752,600,867"
804,Genre: Action Comedy,Rush Hour 2,"Release Date: August 3, 2001"," $347,325,802"
805,Genre: Period Adventure,The Mummy Returns,"Release Date: May 4, 2001"," $433,013,274"
806,Genre: War,Pearl Harbor,"Release Date: May 25, 2001"," $449,220,945"
807,Genre: Crime Comedy,Ocean's Eleven,"Release Date: December 7, 2001"," $450,717,150"
808,Genre: Sci-Fi Horror,Jurassic Park III,"Release Date: July 18, 2001"," $368,780,809"
809,Genre: Sci-Fi Action,War for the Planet of the Apes,"Release Date: July 14, 2017"," $490,664,238"
810,Genre: Period Drama,A Beautiful Mind,"Release Date: December 21, 2001"," $313,542,341"
811,Genre: Thriller,Hannibal Rising,"Release Date: February 9, 2007"," $82,169,884"
812,Genre: Comedy,American Pie 2,"Release Date: August 10, 2001"," $287,553,595"
814,Genre: Action / Adventure,Lara Croft Tomb Raider:The Cradle of Life,"Release Date: July 25, 2003"," $156,505,388"
815,Genre: Family Comedy,Dr. Dolittle 2,"Release Date: June 22, 2001"," $176,104,344"
816,Genre: Family Adventure,Spy Kids:All the Time in the World,"Release Date: August 19, 2011"," $85,564,310"
817,Genre: War,Black Hawk Down,"Release Date: December 28, 2001"," $172,989,651"
818,Genre: Family Comedy,The Princess Diaries 2:Royal Engagement,"Release Date: August 11, 2004"," $134,734,481"
819,Genre: Thriller,Vanilla Sky,"Release Date: December 14, 2001"," $203,388,341"
821,Genre: Comedy,Blonde and Blonder,"Release Date: January 18, 2008"," $779,273"
822,Genre: Romantic Comedy,America's Sweethearts,"Release Date: July 20, 2001"," $138,191,428"
823,Genre: Family Comedy,Cats & Dogs:The Revenge of Kitty Galore,"Release Date: July 30, 2010"," $112,483,764"
824,Genre: Music Drama,Save the Last Dance,"Release Date: January 12, 2001"," $131,706,809"
825,Genre: Animation,Atlantis:The Lost Empire,"Release Date: June 8, 2001"," $186,053,725"
826,Genre: Animation,Jimmy Neutron:Boy Genius,"Release Date: December 21, 2001"," $102,992,536"
827,Genre: Sci-Fi,A.I. Artificial Intelligence,"Release Date: June 29, 2001"," $235,926,552"
828,Genre: Crime Drama,Training Day,"Release Date: October 5, 2001"," $104,876,233"
829,Genre: Thriller,Along Came a Spider,"Release Date: April 6, 2001"," $105,178,561"
830,Genre: Romantic Comedy,Bridget Jones's Diary,"Release Date: April 13, 2001"," $281,929,795"
831,Genre: Horror Comedy,Scary Movie 2,"Release Date: July 4, 2001"," $141,220,678"
832,Genre: Documentary,Score:A Film Music Documentary,"Release Date: June 16, 2017"," $101,382"
833,Genre: Fantasy Comedy,Shallow Hal,"Release Date: November 9, 2001"," $141,069,860"
834,Genre: Action,Swordfish,"Release Date: June 8, 2001"," $147,080,413"
835,Genre: Foreign,My Mexican Shivah,"Release Date: August 29, 2008"," $666,553"
836,Genre: Romantic Comedy,Down to Earth,"Release Date: February 16, 2001"," $71,186,502"
837,Genre: Family Adventure,Spy Kids 3D:Game Over,"Release Date: July 25, 2003"," $197,011,982"
838,Genre: Romantic Comedy,The Wedding Planner,"Release Date: January 26, 2001"," $94,728,529"
839,Genre: Action Thriller,Behind Enemy Lines,"Release Date: November 30, 2001"," $91,753,202"
841,Genre: Drama / Thriller,Nocturnal Animals,"Release Date: November 18, 2016"," $30,292,211"
842,Genre: Musical,Moulin Rouge!,"Release Date: May 18, 2001"," $179,213,434"
843,Genre: Comedy,Rat Race,"Release Date: August 17, 2001"," $85,498,534"
844,Genre: Period Action,A Knight's Tale,"Release Date: May 11, 2001"," $117,487,473"
845,Genre: Thriller,Don't Say a Word,"Release Date: September 28, 2001"," $100,020,092"
847,Genre: Comedy,The Royal Tenenbaums,"Release Date: December 14, 2001"," $71,441,250"
848,Genre: Action,Exit Wounds,"Release Date: March 16, 2001"," $79,958,599"
849,Genre: War,Enemy at the Gates,"Release Date: March 16, 2001"," $96,976,270"
850,Genre: Drama,K-PAX,"Release Date: October 26, 2001"," $65,001,485"
851,Genre: Romantic Comedy,Serendipity,"Release Date: October 5, 2001"," $77,516,304"
852,Genre: Romantic Comedy,Kate and Leopold,"Release Date: December 25, 2001"," $76,019,048"
853,Genre: Thriller,Domestic Disturbance,"Release Date: November 2, 2001"," $54,249,294"
854,Genre: Comedy,Zoolander 2,"Release Date: February 12, 2016"," $56,722,693"
855,Genre: Concert,One Direction:Where We Are,Release Date: TBD," $4,844,000"
856,Genre: Horror,Thirteen Ghosts,"Release Date: October 26, 2001"," $68,467,960"
858,Genre: Period Drama,Gosford Park,"Release Date: December 26, 2001"," $87,754,044"
859,Genre: Crime Comedy,Heartbreakers,"Release Date: March 23, 2001"," $57,756,408"
860,Genre: Drama,I Am Sam,"Release Date: December 28, 2001"," $97,818,139"
861,Genre: Sports Drama,Hardball,"Release Date: September 14, 2001"," $44,102,389"
863,Genre: Comedy,Not Another Teen Movie,"Release Date: December 14, 2001"," $66,468,332"
864,Genre: Horror,Jeepers Creepers 3,"Release Date: September 26, 2017"," $2,335,162"
865,Genre: Action,Kiss of the Dragon,"Release Date: July 6, 2001"," $64,437,847"
866,Genre: Animation,Recess:School's Out,"Release Date: February 16, 2001"," $44,460,850"
867,Genre: Drama,In the Bedroom,"Release Date: November 23, 2001"," $43,368,779"
868,Genre: Adventure Comedy,Black Knight,"Release Date: November 21, 2001"," $39,976,235"
869,Genre: Family Comedy,See Spot Run,"Release Date: March 2, 2001"," $43,057,552"
870,Genre: Foreign,Amelie,"Release Date: November 2, 2001"," $173,921,954"
871,Genre: Sports Drama,Driven,"Release Date: April 27, 2001"," $54,744,738"
872,Genre: Comedy,What's the Worst That Could Happen?,"Release Date: June 1, 2001"," $38,464,131"
873,Genre: Animation,Final Fantasy:The Spirits Within,"Release Date: July 11, 2001"," $85,131,830"
874,Genre: Period Horror,From Hell,"Release Date: October 19, 2001"," $74,558,115"
875,Genre: Drama,Monster's Ball,"Release Date: December 26, 2001"," $44,909,486"
876,Genre: Comedy,How High,"Release Date: December 21, 2001"," $31,283,740"
877,Genre: Comedy / Drama,Riding in Cars with Boys,"Release Date: October 19, 2001"," $35,743,308"
878,Genre: Comedy,Jay and Silent Bob Strike Back,"Release Date: August 24, 2001"," $33,788,161"
880,Genre: Drama,Baby Boy,"Release Date: June 27, 2001"," $29,381,649"
881,Genre: Period Drama,The Majestic,"Release Date: December 21, 2001"," $37,317,558"
883,Genre: Romantic Comedy,Someone Like You,"Release Date: March 30, 2001"," $38,689,940"
884,Genre: Comedy,Joe Dirt,"Release Date: April 11, 2001"," $30,987,695"
885,Genre: Period Action,The Three Musketeers (2011),"Release Date: October 21, 2011"," $132,274,484"
886,Genre: Comedy,Crocodile Dundee in Los Angeles,"Release Date: April 20, 2001"," $39,438,674"
887,Genre: Thriller,Memento,"Release Date: March 16, 2001"," $39,723,096"
888,Genre: War Romance,Captain Corelli's Mandolin,"Release Date: August 17, 2001"," $62,112,895"
889,Genre: Romance,Sweet November,"Release Date: February 16, 2001"," $65,754,228"
890,Genre: Thriller,15 Minutes,"Release Date: March 9, 2001"," $56,359,980"
891,Genre: Drama,Hearts in Atlantis,"Release Date: September 28, 2001"," $30,919,415"
892,Genre: Romance,Angel Eyes,"Release Date: May 18, 2001"," $29,715,606"
893,Genre: Crime Comedy,Corky Romano,"Release Date: October 12, 2001"," $25,272,752"
895,Genre: Comedy,The Comedians of Comedy,"Release Date: November 11, 2005", $549
896,Genre: Comedy,Joe Somebody,"Release Date: December 21, 2001"," $24,516,772"
897,Genre: Romantic Comedy,Two Can Play That Game,"Release Date: September 7, 2001"," $22,391,450"
898,Genre: Thriller,Joy Ride,"Release Date: October 5, 2001"," $36,642,838"
899,Genre: Drama,Blue Valentine,"Release Date: December 29, 2010"," $12,355,734"
901,Genre: Fantasy,The Lord of the Rings:The Two Towers,"Release Date: December 18, 2002"," $926,047,111"
902,Genre: Sci-Fi Fantasy,Star Wars:Episode II - Attack of the Clones,"Release Date: May 16, 2002"," $649,398,328"
903,Genre: Fantasy,Harry Potter and the Chamber of Secrets,"Release Date: November 15, 2002"," $878,979,634"
904,Genre: Comedy,My Big Fat Greek Wedding 2,"Release Date: March 25, 2016"," $88,923,251"
905,Genre: Sci-Fi Horror,Signs,"Release Date: August 2, 2002"," $408,247,917"
906,Genre: Comedy,Austin Powers in Goldmember,"Release Date: July 26, 2002"," $296,655,431"
908,Genre: Animation,Ice Age:Collision Course,"Release Date: July 22, 2016"," $408,579,038"
909,Genre: Documentary,Chicago 10,"Release Date: February 29, 2008",Producers:
910,Genre: Comedy / Drama,Catch Me If You Can,"Release Date: December 25, 2002"," $352,114,312"
911,Genre: Action,Die Another Day,"Release Date: November 22, 2002"," $431,971,116"
912,Genre: Family Adventure,Scooby-Doo 2:Monsters Unleashed,"Release Date: March 26, 2004"," $181,466,833"
913,Genre: Animation,Lilo & Stitch,"Release Date: June 21, 2002"," $273,144,151"
914,Genre: Action / Adventure,xXx:The Return of Xander Cage,"Release Date: January 20, 2017"," $346,147,658"
915,Genre: Family Comedy,The Santa Clause 2,"Release Date: November 1, 2002"," $172,855,065"
916,Genre: Sci-Fi Thriller,Minority Report,"Release Date: June 21, 2002"," $358,372,926"
917,Genre: Horror,Rings,"Release Date: February 3, 2017"," $83,080,890"
918,Genre: Romantic Comedy,Sweet Home Alabama,"Release Date: September 27, 2002"," $180,622,424"
919,Genre: Comedy,Mr. Deeds,"Release Date: June 28, 2002"," $171,269,535"
920,Genre: Action Thriller,The Bourne Identity,"Release Date: June 14, 2002"," $214,034,224"
921,Genre: Action Thriller,The Sum of All Fears,"Release Date: May 31, 2002"," $193,921,372"
922,Genre: Foreign,Eight Miles High,"Release Date: July 11, 2008"," $957,744"
923,Genre: Crime Drama,Road to Perdition,"Release Date: July 12, 2002"," $181,001,478"
924,Genre: Thriller,Panic Room,"Release Date: March 29, 2002"," $196,397,415"
925,Genre: Romantic Comedy,Maid in Manhattan,"Release Date: December 13, 2002"," $154,906,693"
926,Genre: Romantic Comedy,Two Weeks Notice,"Release Date: December 20, 2002"," $199,043,242"
927,Genre: IMAX,Space Station 3-D (IMAX),"Release Date: April 19, 2002"," $128,204,845"
928,Genre: Thriller,Red Dragon,"Release Date: October 4, 2002"," $209,196,298"
929,Genre: Action Fantasy,The Scorpion King,"Release Date: April 19, 2002"," $165,333,180"
930,Genre: Family Adventure,Spy Kids 2:The Island of Lost Dreams,"Release Date: August 7, 2002"," $119,723,358"
931,Genre: Action Horror,Blade II,"Release Date: March 22, 2002"," $155,010,032"
932,Genre: Family Comedy,Snow Dogs,"Release Date: January 18, 2002"," $115,035,090"
933,Genre: War,We Were Soldiers,"Release Date: March 1, 2002"," $114,660,784"
934,Genre: Crime Drama,Gangs of New York,"Release Date: December 20, 2002"," $193,772,504"
935,Genre: Comedy,Barbershop:The Next Cut,"Release Date: April 15, 2016"," $55,030,051"
936,Genre: Sports Drama,The Rookie,"Release Date: March 29, 2002"," $80,693,537"
937,Genre: Animation,Spirit:Stallion of the Cimarron,"Release Date: May 24, 2002"," $122,563,539"
938,Genre: Drama / Thriller,John Q.,"Release Date: February 15, 2002"," $102,244,770"
939,Genre: Comedy / Drama,Divine Secrets of the Ya-Ya Sisterhood,"Release Date: June 7, 2002"," $73,839,240"
940,Genre: Thriller,Insomnia,"Release Date: May 24, 2002"," $113,714,830"
941,Genre: Thriller,Changing Lanes,"Release Date: April 12, 2002"," $94,935,764"
942,Genre: Comedy / Drama,About Schmidt,"Release Date: December 13, 2002"," $105,834,556"
943,Genre: Family Adventure,Stuart Little 2,"Release Date: July 19, 2002"," $169,956,806"
944,Genre: Comedy,Jackass:The Movie,"Release Date: October 25, 2002"," $79,493,831"
945,Genre: Comedy,Hot Tub Time Machine 2,"Release Date: February 20, 2015"," $13,081,651"
946,Genre: Music Drama,Drumline,"Release Date: December 13, 2002"," $57,588,485"
947,Genre: Period Adventure,The Count of Monte Cristo,"Release Date: January 25, 2002"," $75,395,048"
948,Genre: Romantic Thriller,Unfaithful,"Release Date: May 8, 2002"," $119,137,784"
950,Genre: Action Comedy,The Tuxedo,"Release Date: September 27, 2002"," $104,391,623"
951,Genre: Animation,Return to Never Land,"Release Date: February 15, 2002"," $109,862,682"
952,Genre: Family Comedy,Big Fat Liar,"Release Date: February 8, 2002"," $52,970,014"
953,Genre: Sci-Fi Adventure,Star Trek:Nemesis,"Release Date: December 13, 2002"," $67,312,826"
954,Genre: Action Horror,Reign of Fire,"Release Date: July 12, 2002"," $82,150,183"
956,Genre: Thriller,High Crimes,"Release Date: April 5, 2002"," $63,781,810"
957,Genre: Comedy / Drama,About a Boy,"Release Date: May 17, 2002"," $130,549,455"
958,Genre: Romance,A Walk to Remember,"Release Date: January 25, 2002"," $47,494,916"
959,Genre: Comedy,Orange County,"Release Date: January 11, 2002"," $43,325,009"
960,Genre: War,Windtalkers,"Release Date: June 14, 2002"," $77,628,265"
961,Genre: Sports Drama,Blue Crush,"Release Date: August 16, 2002"," $51,843,679"
962,Genre: Comedy,The Master of Disguise,"Release Date: August 2, 2002"," $43,411,001"
963,Genre: Animation,Resident Evil:Damnation,Release Date: TBD," $2,325,035"
964,Genre: Animation,The Wild Thornberrys,"Release Date: December 20, 2002"," $60,694,737"
965,Genre: Action,Collateral Damage,"Release Date: February 8, 2002"," $78,382,433"
967,Genre: Comedy,Undercover Brother,"Release Date: May 31, 2002"," $41,604,473"
968,Genre: Animation,Treasure Planet,"Release Date: November 27, 2002"," $109,578,115"
969,Genre: Action Comedy,Showtime,"Release Date: March 15, 2002"," $77,741,732"
972,Genre: Sci-Fi Adventure,Clockstoppers,"Release Date: March 29, 2002"," $38,793,283"
973,Genre: Horror,The Mothman Prophecies,"Release Date: January 25, 2002"," $55,157,539"
974,Genre: Family Adventure,E.T.:The Extra-Terrestrial,"Release Date: June 11, 1982"," $792,910,554"
975,Genre: Action Thriller,K-19:The Widowmaker,"Release Date: July 19, 2002"," $65,716,126"
976,Genre: Fantasy Comedy,The Hot Chick,"Release Date: December 13, 2002"," $54,639,553"
977,Genre: Action Comedy,I Spy,"Release Date: November 1, 2002"," $50,732,945"
978,Genre: Comedy,Friday After Next,"Release Date: November 22, 2002"," $33,526,835"
979,Genre: War Drama,The Pianist,"Release Date: December 25, 2002"," $120,072,577"
980,Genre: Crime Comedy,Analyze That,"Release Date: December 6, 2002"," $55,003,135"
981,Genre: Thriller,Murder by Numbers,"Release Date: April 19, 2002"," $56,714,147"
982,Genre: Thriller,One Hour Photo,"Release Date: August 21, 2002"," $52,223,306"
983,Genre: Horror,Halloween:Resurrection,"Release Date: July 12, 2002"," $37,664,855"
984,Genre: Horror,Queen of the Damned,"Release Date: February 22, 2002"," $45,479,110"
985,Genre: Romantic Thriller,Dragonfly,"Release Date: February 22, 2002"," $52,323,400"
986,Genre: Comedy,The Banger Sisters,"Release Date: September 20, 2002"," $38,068,353"
987,Genre: Drama,Badmaash Company,"Release Date: May 7, 2010"," $64,398"
988,Genre: Horror,Ghost Ship,"Release Date: October 25, 2002"," $68,349,884"
989,Genre: Comedy,The New Guy,"Release Date: May 10, 2002"," $31,167,388"
990,Genre: Thriller,SwimFan,"Release Date: September 6, 2002"," $34,411,240"
991,Genre: Family Adventure,The Crocodile Hunter:Collision Course,"Release Date: July 12, 2002"," $33,082,548"
992,Genre: Romantic Comedy,Brown Sugar,"Release Date: October 11, 2002"," $28,316,451"
993,Genre: Thriller,Blood Work,"Release Date: August 9, 2002"," $31,794,718"
994,Genre: Action Comedy,All About the Benjamins,"Release Date: March 8, 2002"," $26,306,533"
996,Genre: Animation,Jonah:A VeggieTales Movie,"Release Date: October 4, 2002"," $25,615,231"
997,Genre: Fantasy,Beauty and the Beast (2017),"Release Date: March 17, 2017"," $1,263,521,126"
998,Genre: Action,The Transporter Refueled,"Release Date: September 4, 2015"," $72,629,670"
999,Genre: Romantic Comedy,The Sweetest Thing,"Release Date: April 12, 2002"," $68,696,770"
1000,Genre: Fantasy,The Lord of the Rings:The Return of the King,"Release Date: December 17, 2003"," $1,119,929,521"
1001,Genre: Animation,Finding Nemo,"Release Date: May 30, 2003"," $940,335,536"
1002,Genre: Period Adventure,Pirates of the Caribbean:The Curse of the Black Pearl,"Release Date: July 9, 2003"," $654,264,015"
1003,Genre: Sci-Fi Action,The Matrix Reloaded,"Release Date: May 15, 2003"," $742,128,461"
1004,Genre: Fantasy Comedy,Bruce Almighty,"Release Date: May 23, 2003"," $484,592,874"
1005,Genre: Action / Adventure,X2:X-Men United,"Release Date: May 2, 2003"," $407,711,549"
1006,Genre: Comedy,Elf,"Release Date: November 7, 2003"," $220,443,451"
1007,Genre: Sci-Fi Action,Terminator 3:Rise of the Machines,"Release Date: July 2, 2003"," $433,371,112"
1008,Genre: Sci-Fi Action,The Matrix Revolutions,"Release Date: November 5, 2003"," $427,343,298"
1009,Genre: Family Comedy,Cheaper by the Dozen 2,"Release Date: December 21, 2005"," $129,181,830"
1010,Genre: Action Comedy,Bad Boys II,"Release Date: July 18, 2003"," $273,339,556"
1011,Genre: Comedy,Anger Management,"Release Date: April 11, 2003"," $195,745,823"
1012,Genre: Comedy,Bringing Down the House,"Release Date: March 7, 2003"," $164,729,679"
1013,Genre: Action / Adventure,The Incredible Hulk,"Release Date: June 13, 2008"," $263,427,551"
1014,Genre: Action,2 Fast 2 Furious,"Release Date: June 6, 2003"," $236,350,661"
1015,Genre: Romantic Comedy,Something's Gotta Give,"Release Date: December 12, 2003"," $266,728,738"
1016,Genre: Sports Drama,Seabiscuit,"Release Date: July 25, 2003"," $148,336,445"
1017,Genre: Action Thriller,S.W.A.T.,"Release Date: August 8, 2003"," $207,725,639"
1020,Genre: Fantasy Comedy,Freaky Friday,"Release Date: August 6, 2003"," $160,846,332"
1021,Genre: Comedy,Scary Movie 5,"Release Date: April 12, 2013"," $78,378,744"
1023,Genre: Romantic Comedy,How to Lose a Guy in 10 Days,"Release Date: February 7, 2003"," $177,371,441"
1024,Genre: Comedy,American Wedding,"Release Date: August 1, 2003"," $231,449,203"
1025,Genre: Comedy,Daddy Day Care,"Release Date: May 9, 2003"," $164,433,867"
1026,Genre: Action / Adventure,Daredevil,"Release Date: February 14, 2003"," $179,179,718"
1027,Genre: Family Comedy,The Cat in the Hat,"Release Date: November 21, 2003"," $133,960,541"
1028,Genre: Action Comedy,Charlie's Angels:Full Throttle,"Release Date: June 27, 2003"," $259,175,788"
1029,Genre: War Romance,Cold Mountain,"Release Date: December 25, 2003"," $173,013,509"
1030,Genre: War,Master and Commander:The Far Side of the World,"Release Date: November 14, 2003"," $212,011,111"
1032,Genre: Crime Drama,Mystic River,"Release Date: October 8, 2003"," $156,822,020"
1033,Genre: Animation,Brother Bear,"Release Date: October 24, 2003"," $250,397,798"
1034,Genre: Horror Comedy,Freddy Vs. Jason,"Release Date: August 15, 2003"," $114,908,830"
1035,Genre: Comedy,School of Rock,"Release Date: October 3, 2003"," $131,282,949"
1036,Genre: Horror,The Texas Chainsaw Massacre:The Beginning,"Release Date: October 6, 2006"," $51,764,406"
1037,Genre: Family Adventure,The Haunted Mansion,"Release Date: November 26, 2003"," $182,290,266"
1038,Genre: Comedy,Old School,"Release Date: February 21, 2003"," $87,055,349"
1039,Genre: Action,Kill Bill Vol. 1,"Release Date: October 10, 2003"," $180,949,045"
1040,Genre: Family Adventure,Holes,"Release Date: April 18, 2003"," $71,406,573"
1041,Genre: Family Comedy,Kangaroo Jack,"Release Date: January 17, 2003"," $88,929,111"
1042,Genre: Fantasy Drama,Big Fish,"Release Date: December 10, 2003"," $122,919,055"
1043,Genre: Period Adventure,The League of Extraordinary Gentlemen,"Release Date: July 11, 2003"," $179,265,204"
1044,Genre: Action / Adventure,Lara Croft Tomb Raider:The Cradle of Life,"Release Date: July 25, 2003"," $156,505,388"
1045,Genre: Period Drama,Mona Lisa Smile,"Release Date: December 19, 2003"," $141,337,989"
1046,Genre: Western Comedy,Shanghai Knights,"Release Date: February 7, 2003"," $88,323,487"
1047,Genre: Comedy,Bad Santa 2,"Release Date: November 23, 2016"," $17,782,178"
1048,Genre: Romantic Comedy,Love Actually,"Release Date: November 7, 2003"," $246,942,017"
1049,Genre: Horror,Gothika,"Release Date: November 21, 2003"," $141,591,324"
1050,Genre: Western,Open Range,"Release Date: August 15, 2003"," $68,296,293"
1051,Genre: Action,Once Upon a Time in Mexico,"Release Date: September 12, 2003"," $98,185,582"
1052,Genre: Romantic Comedy,Just Married,"Release Date: January 10, 2003"," $101,564,935"
1053,Genre: Sci-Fi Action,Paycheck,"Release Date: December 25, 2003"," $96,269,812"
1054,Genre: Action Thriller,Jack Ryan:Shadow Recruit,"Release Date: January 17, 2014"," $135,511,030"
1056,Genre: Drama,A Borrowed Identity,"Release Date: June 26, 2015"," $281,540"
1057,Genre: Action Horror,Underworld:Blood Wars,"Release Date: January 6, 2017"," $81,093,313"
1058,Genre: Thriller,Runaway Jury,"Release Date: October 17, 2003"," $80,154,140"
1059,Genre: Family Adventure,Peter Pan,"Release Date: December 25, 2003"," $121,975,011"
