,Genre,Movies,Release_Date,WGross
86,Genre: Horror,Needful Things,"Release Date: August 27, 1993",Composer:
87,Genre: Comedy / Drama,Indian Summer,"Release Date: April 23, 1993",Writer:
88,Genre: Fantasy,Vanishing Time:A Boy Who Returned,"Release Date: November 18, 2016"," $57,759"
89,Genre: Sports Drama,Blue Crush,"Release Date: August 16, 2002"," $51,843,679"
90,Genre: Romantic Thriller,Body of Evidence,"Release Date: January 15, 1993",Producer:
92,Genre: Family Adventure,A Far Off Place,"Release Date: March 12, 1993",Actor:
94,Genre: Action Thriller,Judgment Night,"Release Date: October 15, 1993",Writer:
95,Genre: Comedy,Life with Mikey,"Release Date: June 4, 1993",Composer:
96,Genre: Action Comedy,Undercover Blues,"Release Date: September 10, 1993",* Denotes minor role
97,Genre: Crime,True Romance,"Release Date: September 10, 1993",Writer:
98,Genre: Music Drama,Strictly Ballroom,"Release Date: February 12, 1993"," $11,738,022"
99,Genre: Romantic Comedy,So I Married an Axe Murderer,"Release Date: July 30, 1993",Actor:
100,Genre: Comedy / Drama,Forrest Gump,"Release Date: July 6, 1994"," $677,945,399"
102,Genre: Action Comedy,True Lies,"Release Date: July 15, 1994"," $378,882,411"
103,Genre: Family Comedy,The Santa Clause 3:The Escape Clause,"Release Date: November 3, 2006"," $110,768,122"
104,Genre: Family Comedy,The Flintstones in Viva Rock Vegas,"Release Date: April 28, 2000"," $59,468,275"
105,Genre: Comedy,Dumb and Dumber To,"Release Date: November 14, 2014"," $169,837,010"
106,Genre: Action Thriller,Clear and Present Danger,"Release Date: August 5, 1994"," $215,887,717"
109,Genre: Crime,Pulp Fiction,"Release Date: October 14, 1994"," $213,928,762"
110,Genre: Period Horror,Interview with the Vampire,"Release Date: November 11, 1994"," $223,664,608"
111,Genre: Sports Drama,Chasing Mavericks,"Release Date: October 26, 2012"," $6,003,386"
112,Genre: Foreign,French Gigolo (Cliente),"Release Date: March 21, 2014"," $6,006,729"
113,Genre: Drama / Thriller,Disclosure,"Release Date: December 9, 1994"," $214,015,089"
114,Genre: Sci-Fi Adventure,Star Trek:Generations,"Release Date: November 18, 1994"," $118,071,125"
115,Genre: Comedy,Ace Ventura:Pet Detective,"Release Date: February 4, 1994"," $107,217,396"
116,Genre: Sci-Fi Adventure,Stargate,"Release Date: October 28, 1994"," $196,567,262"
117,Genre: Period Drama,Legends of the Fall,"Release Date: December 23, 1994"," $160,638,883"
120,Genre: Romantic Comedy,Four Weddings and a Funeral,"Release Date: March 11, 1994"," $245,700,832"
121,Genre: Family Comedy,The Little Rascals,"Release Date: August 5, 1994"," $67,308,282"
124,Genre: Crime,Natural Born Killers,"Release Date: August 26, 1994",Writer:
125,Genre: Family Comedy,Angels in the Outfield (1994),"Release Date: July 15, 1994",Producers:
126,Genre: Period Drama,Little Women (1994),"Release Date: December 21, 1994",Writer:
128,Genre: Action Thriller,The River Wild,"Release Date: September 30, 1994"," $94,216,343"
130,Genre: Sci-Fi Action,Timecop,"Release Date: September 16, 1994"," $101,646,581"
131,Genre: Comedy,City Slickers II:The Legend of Curly's Gold,"Release Date: June 10, 1994",Composer:
132,Genre: Adventure,The Jungle Book (2016),"Release Date: April 15, 2016"," $966,550,600"
133,Genre: Action Comedy,Beverly Hills Cop III,"Release Date: May 25, 1994"," $119,208,989"
134,Genre: Comedy / Drama,Nobody's Fool,"Release Date: December 23, 1994",Writer:
135,Genre: Drama,Paper Towns,"Release Date: July 24, 2015"," $85,512,300"
136,Genre: Action,On Deadly Ground,"Release Date: February 18, 1994",* Denotes minor role
137,Genre: Family Comedy,Richie Rich,"Release Date: December 21, 1994",Producers:
138,Genre: Romantic Comedy,It Could Happen to You,"Release Date: July 29, 1994",Actors:
141,Genre: Action,Street Fighter:The Legend of Chun-Li,"Release Date: February 27, 2009"," $12,764,201"
143,Genre: Romantic Comedy,I Love Trouble,"Release Date: July 1, 1994",Writers:
144,Genre: Sports Comedy,Major League II,"Release Date: April 1, 1994",Actors:
145,Genre: Family Comedy,Blank Check,"Release Date: February 11, 1994",Cinematographer:
146,Genre: Action Thriller,Blown Away,"Release Date: July 1, 1994",Actors:
147,Genre: Action Comedy,A Low Down Dirty Shame,"Release Date: November 25, 1994",Writer:
148,Genre: Action Comedy,In the Army Now,"Release Date: August 12, 1994",* Denotes minor role
