,Age,Athlete,Country,Medal,NOC,Rank,Time,Year,Type,Gender,test
3164,25.0,Lars Myhre,Norway,,NOR,,,2010,Slalom,Male,False
3191,22.0,Leif Kristian Haugen,Norway,,NOR,,,2010,Slalom,Male,False
3190,32.0,Kentaro Minagawa,Japan,,JPN,,,2010,Slalom,Male,False
4663,30.0,Massimiliano Blardone,Italy,,ITA,11.0,2:39.35,2010,Giant Slalom,Male,False
4653,23.0,Carlo Janka,Switzerland,Gold,SUI,1.0,2:37.83,2010,Giant Slalom,Male,False
1082,24.0,Kjetil Jansrud,Norway,,NOR,31,1:56.69,2010,DownHill,Male,False
3207,23.0,KryÅ¡tof KrÃ½zl,Czech Republic,,CZE,,,2010,Slalom,Male,False
3208,16.0,Ghassan Achi,Lebanon,,LIB,,,2010,Slalom,Male,False
999,26.0,Tina Maze,Slovenia,,SLO,5.0,2:10.53,2010,Combine,Women,False
998,23.0,Kathrin Zettel,Austria,,AUT,4.0,2:10.50,2010,Combine,Women,False
997,28.0,Anja PÃ¤rson,Sweden,Bronze,SWE,3.0,2:10.19,2010,Combine,Women,False
996,25.0,Julia Mancuso,United States,Silver,USA,2.0,2:10.08,2010,Combine,Women,False
995,25.0,Maria HÃ¶fl-Riesch,Germany,Gold,GER,1.0,2:09.14,2010,Combine,Women,False
4654,24.0,Kjetil Jansrud,Norway,Silver,NOR,2.0,2:38.22,2010,Giant Slalom,Male,False
3189,32.0,Bode Miller,United States,,USA,,,2010,Slalom,Male,False
4655,27.0,Aksel Lund Svindal,Norway,Bronze,NOR,3.0,2:38.44,2010,Giant Slalom,Male,False
4656,20.0,Marcel Hirscher,Austria,,AUT,4.0,2:38.52,2010,Giant Slalom,Male,False
4657,24.0,Romed Baumann,Austria,,AUT,5.0,2:38.80,2010,Giant Slalom,Male,False
4658,31.0,Benjamin Raich,Austria,,AUT,6.0,2:38.83,2010,Giant Slalom,Male,False
4659,30.0,Ivica KosteliÄ,Croatia,,CRO,7.0,2:38.88,2010,Giant Slalom,Male,False
4660,25.0,Felix Neureuther,Germany,,GER,8.0,2:39.06,2010,Giant Slalom,Male,False
4661,25.0,Ted Ligety,United States,,USA,9.0,2:39.11,2010,Giant Slalom,Male,False
4662,29.0,AleÅ¡ Gorza,Slovenia,,SLO,10.0,2:39.21,2010,Giant Slalom,Male,False
3205,35.0,Jedrij Notz,Azerbaijan,,AZE,,,2010,Slalom,Male,False
3169,25.0,Felix Neureuther,Germany,,GER,,,2010,Slalom,Male,False
3170,34.0,Truls Ove Karlsen,Norway,,NOR,,,2010,Slalom,Male,False
3171,35.0,Urs Imboden,Moldova,,MDA,,,2010,Slalom,Male,False
3188,28.0,Leyti Seck,Senegal,,SEN,,,2010,Slalom,Male,False
3187,22.0,Pouria Saveh Shemshaki,Iran,,IRI,,,2010,Slalom,Male,False
3186,32.0,Andrey Drygin,Tajikistan,,TJK,,,2010,Slalom,Male,False
3185,16.0,Jaba Gelashvili,Georgia,,GEO,,,2010,Slalom,Male,False
3184,22.0,Jhonatan Longhi,Brazil,,BRA,,,2010,Slalom,Male,False
3183,29.0,Ioan Gabriel Nan,Romania,,ROU,,,2010,Slalom,Male,False
3182,27.0,Martin VrÃ¡blÃ­k,Czech Republic,,CZE,,,2010,Slalom,Male,False
3181,20.0,Antonio Ristevski,Macedonia,,MKD,,,2010,Slalom,Male,False
3179,29.0,Bernard VajdiÄ,Slovenia,,SLO,,,2010,Slalom,Male,False
3206,26.0,Dmitry Trelevsky,Kyrgyzstan,,KGZ,,,2010,Slalom,Male,False
3178,30.0,BjÃ¶rgvin BjÃ¶rgvinsson,Iceland,,ISL,,,2010,Slalom,Male,False
3177,25.0,Brad Spence,Canada,,CAN,,,2010,Slalom,Male,False
3176,21.0,Matic Skube,Slovenia,,SLO,,,2010,Slalom,Male,False
3175,24.0,Dalibor Å amÅ¡al,Croatia,,CRO,,,2010,Slalom,Male,False
3174,25.0,Filip Trejbal,Czech Republic,,CZE,,,2010,Slalom,Male,False
3173,29.0,Cristian Deville,Italy,,ITA,,,2010,Slalom,Male,False
3172,20.0,Andreas Romar,Finland,,FIN,,,2010,Slalom,Male,False
1664,20.0,Sergey Maytakov,Russia,,RUS,,,2010,Super G,Male,False
3163,21.0,Iason Abramashvili,Georgia,,GEO,,,2010,Slalom,Male,False
1666,25.0,Hans Olsson,Sweden,,SWE,,,2010,Super G,Male,False
3289,23.0,Andrea Dettling,Switzerland,,SUI,,,2010,Giant Slalom,Women,False
3281,21.0,Mireia GutiÃ©rrez,Andorra,,AND,,,2010,Giant Slalom,Women,False
3282,19.0,Noelle Barahona,Chile,,CHI,,,2010,Giant Slalom,Women,False
3283,18.0,Ornella Oettl,Peru,,PER,,,2010,Giant Slalom,Women,False
3284,25.0,Å Ã¡rka ZÃ¡hrobskÃ¡-StrachovÃ¡,Czech Republic,,CZE,,,2010,Giant Slalom,Women,False
3285,25.0,Veronika ZuzulovÃ¡,Slovakia,,SVK,,,2010,Giant Slalom,Women,False
3286,25.0,Nika Fleiss,Croatia,,CRO,,,2010,Giant Slalom,Women,False
3287,23.0,Ana JeluÅ¡iÄ,Croatia,,CRO,,,2010,Giant Slalom,Women,False
3288,25.0,Lindsey Kildow-Vonn,United States,,USA,,,2010,Giant Slalom,Women,False
3290,26.0,Alexandra Coletti,Monaco,,MON,,,2010,Giant Slalom,Women,False
4751,23.0,Kim U-Seong,South Korea,,KOR,,,2010,Giant Slalom,Male,False
3291,17.0,ZsÃ³fia DÃ¶me,Hungary,,HUN,,,2010,Giant Slalom,Women,False
3292,24.0,Mariya Kirkova,Bulgaria,,BUL,,,2010,Giant Slalom,Women,False
3263,20.0,Bohdana Matsotska,Ukraine,,UKR,44.0,2:41.98,2010,Giant Slalom,Women,False
3262,25.0,Chirine Njeim,Lebanon,,LIB,43.0,2:41.61,2010,Giant Slalom,Women,False
3261,21.0,Anna Berecz,Hungary,,HUN,42.0,2:40.87,2010,Giant Slalom,Women,False
3245,21.0,Kajsa Kling,Sweden,,SWE,26.0,2:29.93,2010,Giant Slalom,Women,False
4748,24.0,Thomas Mermillod-Blondin,France,,FRA,,,2010,Giant Slalom,Male,False
4749,24.0,ErdinÃ§ TÃ¼rksever,Turkey,,TUR,,,2010,Giant Slalom,Male,False
3280,19.0,Andrea Jardi,Spain,,ESP,,,2010,Giant Slalom,Women,False
3279,21.0,Marjan Kalhor,Iran,,IRI,60.0,3:05.39,2010,Giant Slalom,Women,False
3278,22.0,Xia Lina,China,,CHN,59.0,2:58.89,2010,Giant Slalom,Women,False
3277,22.0,Kseniya Grigoryeva,Uzbekistan,,UZB,58.0,2:57.22,2010,Giant Slalom,Women,False
4677,28.0,Andrej Å porn,Slovenia,,SLO,25.0,2:41.05,2010,Giant Slalom,Male,False
4722,24.0,Hossein Saveh Shemshaki,Iran,,IRI,70.0,3:05.87,2010,Giant Slalom,Male,False
4679,31.0,Markus Larsson,Sweden,,SWE,27.0,2:41.43,2010,Giant Slalom,Male,False
3294,19.0,Yelena Prosteva,Russia,,RUS,,,2010,Giant Slalom,Women,False
3264,25.0,Macarena Simari Birkner,Argentina,,ARG,45.0,2:42.02,2010,Giant Slalom,Women,False
3265,27.0,MarÃ­a BelÃ©n Simari Birkner,Argentina,,ARG,46.0,2:42.38,2010,Giant Slalom,Women,False
3266,16.0,Yina Moe-Lange,Denmark,,DEN,47.0,2:43.67,2010,Giant Slalom,Women,False
3267,19.0,Nicol Gastaldi,Argentina,,ARG,48.0,2:43.78,2010,Giant Slalom,Women,False
3268,24.0,Kim Seon-Ju,South Korea,,KOR,49.0,2:44.58,2010,Giant Slalom,Women,False
3269,24.0,Kirsty McGarry,Ireland,,IRL,50.0,2:45.20,2010,Giant Slalom,Women,False
3270,21.0,Liene Fimbauere,Latvia,,LAT,51.0,2:46.93,2010,Giant Slalom,Women,False
3271,21.0,Maja KlepiÄ,Bosnia and Herzegovina,,BIH,52.0,2:50.34,2010,Giant Slalom,Women,False
3272,21.0,Sophia Ralli,Greece,,GRE,53.0,2:50.61,2010,Giant Slalom,Women,False
3273,22.0,Yelizaveta Kuzmenko,Belarus,,BLR,54.0,2:50.89,2010,Giant Slalom,Women,False
3274,19.0,Sophia Papamichalopoulou,Cyprus,,CYP,55.0,2:51.86,2010,Giant Slalom,Women,False
3275,24.0,TuÄba DaÅdemir-KocaaÄa,Turkey,,TUR,56.0,2:53.47,2010,Giant Slalom,Women,False
3276,31.0,Gaia Bassani Antivari,Azerbaijan,,AZE,57.0,2:56.87,2010,Giant Slalom,Women,False
4750,19.0,Peter Scott,South Africa,,RSA,,,2010,Giant Slalom,Male,False
4752,22.0,Danko Marinelli,Croatia,,CRO,,,2010,Giant Slalom,Male,False
1867,29.0,Tanja Poutiainen,Finland,,FIN,6.0,1:44.93,2010,Slalom,Women,False
5355,25.0,Filip Trejbal,Czech Republic,,CZE,28.0,2:50.85,2010,Combined,Male,False
3259,20.0,Mariya Shkanova,Belarus,,BLR,40.0,2:40.38,2010,Giant Slalom,Women,False
3293,22.0,Agnieszka GÄsienica-Daniel,Poland,,POL,,,2010,Giant Slalom,Women,False
3295,16.0,Nino Tsiklauri,Georgia,,GEO,,,2010,Giant Slalom,Women,False
4680,22.0,Leif Kristian Haugen,Norway,,NOR,28.0,2:41.78,2010,Giant Slalom,Male,False
3296,18.0,Mona LÃ¸seth,Norway,,NOR,,,2010,Giant Slalom,Women,False
5351,27.0,Stephan Keppler,Germany,,GER,24.0,2:49.79,2010,Combined,Male,False
5352,25.0,Roger Vidosa,Andorra,,AND,25.0,2:50.33,2010,Combined,Male,False
5353,27.0,Mike Janyk,Canada,,CAN,26.0,2:50.77,2010,Combined,Male,False
5356,24.0,Ed Drake,Great Britain,,GBR,29.0,2:50.91,2010,Combined,Male,False
4753,17.0,Markus Kilsgaard,Denmark,,DEN,,,2010,Giant Slalom,Male,False
5357,24.0,Louis-Pierre HÃ©lie,Canada,,CAN,30.0,2:51.58,2010,Combined,Male,False
5358,27.0,Martin VrÃ¡blÃ­k,Czech Republic,,CZE,31.0,2:52.46,2010,Combined,Male,False
5359,21.0,Tyler Nella,Canada,,CAN,32.0,2:52.65,2010,Combined,Male,False
5360,23.0,Igor Zakurdayev,Kazakhstan,,KAZ,33.0,2:56.20,2010,Combined,Male,False
5361,32.0,Stefan Georgiev,Bulgaria,,BUL,34.0,2:57.41,2010,Combined,Male,False
5362,27.0,Aksel Lund Svindal,Norway,,NOR,,,2010,Combined,Male,False
5363,32.0,Didier DÃ©fago,Switzerland,,SUI,,,2010,Combined,Male,False
1667,27.0,Peter Fill,Italy,,ITA,,,2010,Super G,Male,False
3258,19.0,Nevena IgnjatoviÄ,Serbia,,SRB,39.0,2:37.51,2010,Giant Slalom,Women,False
3257,34.0,MarÃ­a JosÃ© Rienda,Spain,,ESP,38.0,2:37.45,2010,Giant Slalom,Women,False
3256,21.0,Lyaysan Rayanova,Russia,,RUS,37.0,2:36.95,2010,Giant Slalom,Women,False
3255,18.0,Tea PaliÄ,Croatia,,CRO,36.0,2:36.12,2010,Giant Slalom,Women,False
3238,24.0,Ana Drev,Slovenia,,SLO,19.0,2:28.83,2010,Giant Slalom,Women,False
3239,29.0,Nicole Gius,Italy,,ITA,20.0,2:28.87,2010,Giant Slalom,Women,False
3240,20.0,Marie-MichÃ¨le Gagnon,Canada,,CAN,21.0,2:28.89,2010,Giant Slalom,Women,False
3241,28.0,Anja PÃ¤rson,Sweden,,SWE,22.0,2:28.90,2010,Giant Slalom,Women,False
3242,29.0,Denise Karbon,Italy,,ITA,23.0,2:29.37,2010,Giant Slalom,Women,False
3243,23.0,Maria PietilÃ¤-Holmner,Sweden,,SWE,24.0,2:29.63,2010,Giant Slalom,Women,False
3244,29.0,Britt Janyk,Canada,,CAN,25.0,2:29.79,2010,Giant Slalom,Women,False
3246,27.0,Chemmy Alcott,Great Britain,,GBR,27.0,2:29.94,2010,Giant Slalom,Women,False
3260,24.0,Å½ana NovakoviÄ,Bosnia and Herzegovina,,BIH,41.0,2:40.79,2010,Giant Slalom,Women,False
3247,23.0,Shona Rubens,Canada,,CAN,28.0,2:30.25,2010,Giant Slalom,Women,False
3248,21.0,Marie-Pier PrÃ©fontaine,Canada,,CAN,29.0,2:30.51,2010,Giant Slalom,Women,False
3249,20.0,Sanni Leinonen,Finland,,FIN,30.0,2:32.44,2010,Giant Slalom,Women,False
3250,26.0,Jessica Lindell-Vikarby,Sweden,,SWE,31.0,2:32.71,2010,Giant Slalom,Women,False
3251,22.0,Megan McJames,United States,,USA,32.0,2:32.98,2010,Giant Slalom,Women,False
3252,28.0,Jelena LoloviÄ,Serbia,,SRB,33.0,2:34.54,2010,Giant Slalom,Women,False
3253,28.0,Carolina Ruiz,Spain,,ESP,34.0,2:35.07,2010,Giant Slalom,Women,False
3254,20.0,Jana GantnerovÃ¡,Slovakia,,SVK,35.0,2:35.73,2010,Giant Slalom,Women,False
1866,27.0,Sandrine Aubert,France,,FRA,5.0,1:44.46,2010,Slalom,Women,False
5354,31.0,Andrej Jerman,Slovenia,,SLO,27.0,2:50.84,2010,Combined,Male,False
1868,28.0,Elisabeth GÃ¶rgl,Austria,,AUT,7.0,1:44.97,2010,Slalom,Women,False
3115,32.0,Mitja ValenÄiÄ,Slovenia,,SLO,6,1:40.35,2010,Slalom,Male,False
1895,22.0,Matea Ferk,Croatia,,CRO,34.0,1:50.93,2010,Slalom,Women,False
3139,25.0,Jaroslav BabuÅ¡iak,Slovakia,,SVK,30,1:46.86,2010,Slalom,Male,False
1894,21.0,Lyaysan Rayanova,Russia,,RUS,33.0,1:50.82,2010,Slalom,Women,False
3110,25.0,Giuliano Razzoli,Italy,Gold,ITA,1,1:39.32,2010,Slalom,Male,False
3111,30.0,Ivica KosteliÄ,Croatia,Silver,CRO,2,1:39.48,2010,Slalom,Male,False
3112,27.0,AndrÃ© Myhrer,Sweden,Bronze,SWE,3,1:39.76,2010,Slalom,Male,False
3113,31.0,Benjamin Raich,Austria,,AUT,4,1:39.81,2010,Slalom,Male,False
3114,20.0,Marcel Hirscher,Austria,,AUT,5,1:40.20,2010,Slalom,Male,False
3116,27.0,Manfred MÃ¶lgg,Italy,,ITA,7,1:40.45,2010,Slalom,Male,False
3126,24.0,Kjetil Jansrud,Norway,,NOR,17,1:41.57,2010,Slalom,Male,False
3117,29.0,Julien Cousineau,Canada,,CAN,8,1:40.66,2010,Slalom,Male,False
3118,30.0,Julien Lizeroux,France,,FRA,9,1:40.72,2010,Slalom,Male,False
3119,31.0,Reinfried Herbst,Austria,,AUT,10,1:40.78,2010,Slalom,Male,False
3120,29.0,OndÅej Bank,Czech Republic,,CZE,11,1:40.81,2010,Slalom,Male,False
3121,28.0,Silvan Zurbriggen,Switzerland,,SUI,12,1:40.83,2010,Slalom,Male,False
3122,27.0,Mike Janyk,Canada,,CAN,13,1:41.09,2010,Slalom,Male,False
3123,24.0,Mattias Hargin,Sweden,,SWE,14,1:41.25,2010,Slalom,Male,False
3124,25.0,Marc Gini,Switzerland,,SUI,15,1:41.35,2010,Slalom,Male,False
1897,25.0,Macarena Simari Birkner,Argentina,,ARG,36.0,1:52.35,2010,Slalom,Women,False
1931,22.0,Xia Lina,China,,CHN,,,2010,Slalom,Women,False
1932,20.0,Sanni Leinonen,Finland,,FIN,,,2010,Slalom,Women,False
1933,27.0,Claire Dautherives,France,,FRA,,,2010,Slalom,Women,False
1668,23.0,Andrej KriÅ¾aj,Slovenia,,SLO,,[1:33.16],2010,Super G,Male,False
1869,29.0,Nicole Gius,Italy,,ITA,8.0,1:45.01,2010,Slalom,Women,False
1669,27.0,Martin VrÃ¡blÃ­k,Czech Republic,,CZE,,,2010,Super G,Male,False
1948,24.0,Kirsty McGarry,Ireland,,IRL,,,2010,Slalom,Women,False
1947,21.0,Ani-Matilda Serebrakyan,Armenia,,ARM,,,2010,Slalom,Women,False
1946,22.0,Kseniya Grigoryeva,Uzbekistan,,UZB,,,2010,Slalom,Women,False
1944,31.0,Gaia Bassani Antivari,Azerbaijan,,AZE,,,2010,Slalom,Women,False
1943,24.0,TuÄba DaÅdemir-KocaaÄa,Turkey,,TUR,,,2010,Slalom,Women,False
1942,31.0,Petra ZakouÅilovÃ¡,Czech Republic,,CZE,,,2010,Slalom,Women,False
1941,24.0,Ana Drev,Slovenia,,SLO,,,2010,Slalom,Women,False
1940,18.0,Sofie JuÃ¡rez,Andorra,,AND,,,2010,Slalom,Women,False
1939,19.0,Ãris GuÃ°mundsdÃ³ttir,Iceland,,ISL,,,2010,Slalom,Women,False
1938,24.0,Mariya Kirkova,Bulgaria,,BUL,,,2010,Slalom,Women,False
1937,25.0,Lindsey Kildow-Vonn,United States,,USA,,,2010,Slalom,Women,False
1936,27.0,Chemmy Alcott,Great Britain,,GBR,,,2010,Slalom,Women,False
1935,23.0,Marija TrmÄiÄ,Serbia,,SRB,,,2010,Slalom,Women,False
1934,19.0,Andrea Jardi,Spain,,ESP,,,2010,Slalom,Women,False
3125,23.0,Maxime Tissot,France,,FRA,16,1:41.54,2010,Slalom,Male,False
1930,28.0,Jelena LoloviÄ,Serbia,,SRB,,,2010,Slalom,Women,False
3127,28.0,Akira Sasaki,Japan,,JPN,18,1:41.76,2010,Slalom,Male,False
1888,26.0,Karen Persyn,Belgium,,BEL,27.0,1:47.96,2010,Slalom,Women,False
1886,25.0,Nika Fleiss,Croatia,,CRO,25.0,1:47.59,2010,Slalom,Women,False
1885,20.0,Jana GantnerovÃ¡,Slovakia,,SVK,24.0,1:47.46,2010,Slalom,Women,False
1884,21.0,MaruÅ¡a Ferk,Slovenia,,SLO,23.0,1:47.03,2010,Slalom,Women,False
1883,25.0,Marina Nigg,Liechtenstein,,LIE,22.0,1:46.83,2010,Slalom,Women,False
1882,25.0,Therese BorssÃ©n,Sweden,,SWE,21.0,1:46.71,2010,Slalom,Women,False
1881,19.0,Erin Mielzynski,Canada,,CAN,20.0,1:46.09,2010,Slalom,Women,False
1879,29.0,Denise Karbon,Italy,,ITA,18.0,1:45.94,2010,Slalom,Women,False
1865,23.0,Maria PietilÃ¤-Holmner,Sweden,,SWE,4.0,1:44.22,2010,Slalom,Women,False
1878,24.0,Brigitte Acton,Canada,,CAN,17.0,1:45.93,2010,Slalom,Women,False
1877,30.0,Sarah Schleper,United States,,USA,16.0,1:45.88,2010,Slalom,Women,False
1876,24.0,Frida Hansdotter,Sweden,,SWE,15.0,1:45.67,2010,Slalom,Women,False
4678,20.0,Tommy Ford,United States,,USA,26.0,2:41.15,2010,Giant Slalom,Male,False
1873,23.0,Ana JeluÅ¡iÄ,Croatia,,CRO,12.0,1:45.43,2010,Slalom,Women,False
1870,26.0,Tina Maze,Slovenia,,SLO,9.0,1:45.09,2010,Slalom,Women,False
3128,23.0,Natko ZrnÄiÄ-Dim,Croatia,,CRO,19,1:41.99,2010,Slalom,Male,False
1872,26.0,Manuela MÃ¶lgg,Italy,,ITA,11.0,1:45.31,2010,Slalom,Women,False
1871,25.0,Veronika ZuzulovÃ¡,Slovakia,,SVK,10.0,1:45.14,2010,Slalom,Women,False
1887,21.0,Anne-Sophie Barthet,France,,FRA,26.0,1:47.83,2010,Slalom,Women,False
1875,20.0,Christina Geiger,Germany,,GER,14.0,1:45.62,2010,Slalom,Women,False
1889,19.0,Yelena Prosteva,Russia,,RUS,28.0,1:48.34,2010,Slalom,Women,False
1862,25.0,Maria HÃ¶fl-Riesch,Germany,Gold,GER,1.0,1:42.89,2010,Slalom,Women,False
3130,24.0,Thomas Mermillod-Blondin,France,,FRA,21,1:42.48,2010,Slalom,Male,False
3132,25.0,Aleksandr Khoroshilov,Russia,,RUS,23,1:42.82,2010,Slalom,Male,False
3133,20.0,Nolan Kasper,United States,,USA,24,1:43.17,2010,Slalom,Male,False
3134,32.0,Stefan Georgiev,Bulgaria,,BUL,25,1:43.92,2010,Slalom,Male,False
3135,29.0,Cristian Simari Birkner,Argentina,,ARG,26,1:44.72,2010,Slalom,Male,False
3136,23.0,Dave Ryding,Great Britain,,GBR,27,1:45.13,2010,Slalom,Male,False
1083,23.0,Natko ZrnÄiÄ-Dim,Croatia,,CRO,33,1:57.02,2010,DownHill,Male,False
3138,25.0,Andy Noble,Great Britain,,GBR,29,1:46.13,2010,Slalom,Male,False
3131,24.0,Jens Byggmark,Sweden,,SWE,22,1:42.53,2010,Slalom,Male,False
1890,21.0,Nastasia Noens,France,,FRA,29.0,1:48.57,2010,Slalom,Women,False
1864,25.0,Å Ã¡rka ZÃ¡hrobskÃ¡-StrachovÃ¡,Czech Republic,Bronze,CZE,3.0,1:43.90,2010,Slalom,Women,False
1880,24.0,Anna Goodman,Canada,,CAN,19.0,1:46.04,2010,Slalom,Women,False
1893,19.0,Nevena IgnjatoviÄ,Serbia,,SRB,32.0,1:50.48,2010,Slalom,Women,False
1892,20.0,Marie-MichÃ¨le Gagnon,Canada,,CAN,31.0,1:49.51,2010,Slalom,Women,False
1891,24.0,Hailey Duke,United States,,USA,30.0,1:48.69,2010,Slalom,Women,False
3129,36.0,Kilian Albrecht,Bulgaria,,BUL,20,1:42.36,2010,Slalom,Male,False
1863,28.0,Marlies Schild,Austria,Silver,AUT,2.0,1:43.32,2010,Slalom,Women,False
1835,20.0,Mami Sekizuka,Japan,,JPN,38.0,1:37.72,2006,Slalom,Women,False
1841,24.0,Tiiu Nurmberg,Estonia,,EST,44.0,1:42.98,2006,Slalom,Women,False
1840,24.0,Jelena LoloviÄ,Serbia and Montenegro,,SCG,43.0,1:42.80,2006,Slalom,Women,False
1839,20.0,Kirsty McGarry,Ireland,,IRL,42.0,1:42.43,2006,Slalom,Women,False
1837,24.0,Erika McLeod,New Zealand,,NZL,40.0,1:40.57,2006,Slalom,Women,False
1830,22.0,Alexandra Coletti,Monaco,,MON,33.0,1:35.96,2006,Slalom,Women,False
1836,21.0,Chirine Njeim,Lebanon,,LIB,39.0,1:39.14,2006,Slalom,Women,False
5293,25.0,Ivan Heimschild,Slovakia,,SVK,25.0,3:18.41,2006,Combined,Male,False
1834,23.0,MarÃ­a BelÃ©n Simari Birkner,Argentina,,ARG,37.0,1:37.61,2006,Slalom,Women,False
1833,21.0,Macarena Simari Birkner,Argentina,,ARG,36.0,1:37.07,2006,Slalom,Women,False
1832,20.0,Nicola Campbell,New Zealand,,NZL,35.0,1:36.82,2006,Slalom,Women,False
1831,17.0,Anne-Sophie Barthet,France,,FRA,34.0,1:36.66,2006,Slalom,Women,False
610,24.0,Daniela Merighetti,Italy,,ITA,32.0,2:01.76,2006,Downhill,Women,False
1842,25.0,Yuliya Siparenko,Ukraine,,UKR,45.0,1:43.26,2006,Slalom,Women,False
608,24.0,Carolina Ruiz,Spain,,ESP,30.0,2:01.09,2006,Downhill,Women,False
609,22.0,Alexandra Coletti,Monaco,,MON,31.0,2:01.34,2006,Downhill,Women,False
1814,20.0,Brigitte Acton,Canada,,CAN,17.0,1:31.90,2006,Slalom,Women,False
1843,19.0,Marija TrmÄiÄ,Serbia and Montenegro,,SCG,46.0,1:43.46,2006,Slalom,Women,False
1844,22.0,Vera Yeremenko,Kazakhstan,,KAZ,47.0,1:46.00,2006,Slalom,Women,False
1824,20.0,Mizue Hoshi,Japan,,JPN,27.0,1:33.38,2006,Slalom,Women,False
1823,31.0,Vanessa Vidal,France,,FRA,26.0,1:32.97,2006,Slalom,Women,False
1822,22.0,Ana Kobal,Slovenia,,SLO,25.0,1:32.89,2006,Slalom,Women,False
5288,19.0,KryÅ¡tof KrÃ½zl,Czech Republic,,CZE,20.0,3:14.18,2006,Combined,Male,False
1821,27.0,Annalisa Ceresa,Italy,,ITA,24.0,1:32.77,2006,Slalom,Women,False
1819,21.0,Veronika ZuzulovÃ¡,Slovakia,,SVK,22.0,1:32.53,2006,Slalom,Women,False
1828,26.0,Mojca Rataj,Bosnia and Herzegovina,,BIH,31.0,1:34.37,2006,Slalom,Women,False
1818,19.0,Maria PietilÃ¤-Holmner,Sweden,,SWE,21.0,1:32.47,2006,Slalom,Women,False
1817,31.0,Henna Raita,Finland,,FIN,20.0,1:32.33,2006,Slalom,Women,False
1816,22.0,Manuela MÃ¶lgg,Italy,,ITA,19.0,1:32.17,2006,Slalom,Women,False
1815,29.0,Anna Ottosson,Sweden,,SWE,18.0,1:32.08,2006,Slalom,Women,False
1825,28.0,Eva KurfÃ¼rstovÃ¡,Czech Republic,,CZE,28.0,1:33.47,2006,Slalom,Women,False
1813,27.0,Monika Bergmann-Schmuderer,Germany,,GER,16.0,1:31.84,2006,Slalom,Women,False
1827,23.0,Katarzyna KarasiÅska,Poland,,POL,30.0,1:34.30,2006,Slalom,Women,False
1829,21.0,Jessica Walter,Liechtenstein,,LIE,32.0,1:35.10,2006,Slalom,Women,False
1845,17.0,Ivana Ivchevska,Macedonia,,MKD,48.0,1:50.13,2006,Slalom,Women,False
1838,22.0,O Jae-Eun,South Korea,,KOR,41.0,1:41.84,2006,Slalom,Women,False
5287,27.0,Andrej Jerman,Slovenia,,SLO,19.0,3:13.80,2006,Combined,Male,False
5269,21.0,Ted Ligety,United States,Gold,USA,1.0,3:09.35,2006,Combined,Male,False
5289,21.0,FranÃ§ois Bourque,Canada,,CAN,21.0,3:14.25,2006,Combined,Male,False
5282,24.0,Noel Baxter,Great Britain,,GBR,14.0,3:12.79,2006,Combined,Male,False
5276,30.0,Pierrick Bourgeat,France,,FRA,8.0,3:11.29,2006,Combined,Male,False
5283,25.0,AleÅ¡ Gorza,Slovenia,,SLO,15.0,3:12.91,2006,Combined,Male,False
5277,23.0,Peter Fill,Italy,,ITA,9.0,3:12.21,2006,Combined,Male,False
5278,20.0,Kjetil Jansrud,Norway,,NOR,10.0,3:12.32,2006,Combined,Male,False
5279,27.0,Markus Larsson,Sweden,,SWE,11.0,3:12.34,2006,Combined,Male,False
5280,23.0,Martin VrÃ¡blÃ­k,Czech Republic,,CZE,12.0,3:12.41,2006,Combined,Male,False
5281,21.0,Jean-Baptiste Grange,France,,FRA,13.0,3:12.51,2006,Combined,Male,False
5301,19.0,Natko ZrnÄiÄ-Dim,Croatia,,CRO,33.0,3:24.15,2006,Combined,Male,False
5290,21.0,Aleksandr Khoroshilov,Russia,,RUS,22.0,3:15.46,2006,Combined,Male,False
5303,24.0,Florentin Nicolae,Romania,,ROU,35.0,3:31.89,2006,Combined,Male,False
607,20.0,Elena Fanchini,Italy,,ITA,29.0,2:01.06,2006,Downhill,Women,False
599,28.0,Kirsten Clark,United States,,USA,21.0,1:59.07,2006,Downhill,Women,False
1820,21.0,Nika Fleiss,Croatia,,CRO,23.0,1:32.61,2006,Slalom,Women,False
593,20.0,Marie Marchand-Arvier,France,,FRA,15.0,1:58.39,2006,Downhill,Women,False
594,27.0,Ingrid Jacquemod,France,,FRA,16.0,1:58.46,2006,Downhill,Women,False
595,28.0,Janette Hargin,Sweden,,SWE,17.0,1:58.53,2006,Downhill,Women,False
5274,25.0,OndÅej Bank,Czech Republic,,CZE,6.0,3:11.00,2006,Combined,Male,False
5273,30.0,Giorgio Rocca,Italy,,ITA,5.0,3:10.74,2006,Combined,Male,False
5272,22.0,Daniel Albrecht,Switzerland,,SUI,4.0,3:10.73,2006,Combined,Male,False
5271,28.0,Rainer SchÃ¶nfelder,Austria,Bronze,AUT,3.0,3:10.67,2006,Combined,Male,False
5291,25.0,Cristian Simari Birkner,Argentina,,ARG,23.0,3:16.54,2006,Combined,Male,False
5292,25.0,Pavel Shestakov,Russia,,RUS,24.0,3:16.84,2006,Combined,Male,False
5294,18.0,Tin Å iroki,Croatia,,CRO,26.0,3:20.16,2006,Combined,Male,False
5285,21.0,John Kucera,Canada,,CAN,17.0,3:13.26,2006,Combined,Male,False
