,Age,Athlete,Country,Medal,NOC,Rank,Time,Year,Type,Gender,test
1065,26.0,Leanne Smith,United States,,USA,,,2014,Combine,Women,False
1066,23.0,Ilka Å tuhec,Slovenia,,SLO,,,2014,Combine,Women,False
1067,22.0,KristÃ­na SaalovÃ¡,Slovakia,,SVK,,,2014,Combine,Women,False
3393,17.0,Florence Bell,Ireland,,IRL,,,2014,Giant Slalom,Women,False
3325,21.0,Kanet Sucharitakul,Thailand,,THA,,,2014,Slalom,Male,False
3324,28.0,Alisher Qudratov,Tajikistan,,TJK,,,2014,Slalom,Male,False
3323,55.0,Hubertus von FÃ¼rstenberg-von Hohenlohe,Mexico,,MEX,,,2014,Slalom,Male,False
3322,20.0,Luke Henri Steyn,Zimbabwe,,ZIM,,,2014,Slalom,Male,False
3302,23.0,Gyeong Seong-Hyeon,South Korea,,KOR,,,2014,Slalom,Male,False
3301,33.0,Cristian Simari Birkner,Argentina,,ARG,,,2014,Slalom,Male,False
3300,25.0,Stepan Zuyev,Russia,,RUS,,,2014,Slalom,Male,False
3299,21.0,Å½an Kranjec,Slovenia,,SLO,,,2014,Slalom,Male,False
3280,20.0,Dominic Demschar,Australia,,AUS,,,2014,Slalom,Male,False
4853,25.0,Roberto Nani,Italy,,ITA,,,2014,Giant Slalom,Male,False
4839,23.0,Jorge Birkner,Argentina,,ARG,,,2014,Giant Slalom,Male,False
3291,29.0,Steve Missillier,France,,FRA,,,2014,Slalom,Male,False
4836,18.0,Joan VerdÃº,Andorra,,AND,,,2014,Giant Slalom,Male,False
4781,25.0,Mauro Caviezel,Switzerland,,SUI,28.0,2:49.75,2014,Giant Slalom,Male,False
4787,21.0,Sebastian BrigoviÄ,Croatia,,CRO,34.0,2:52.25,2014,Giant Slalom,Male,False
4786,23.0,Morgan Pridy,Canada,,CAN,33.0,2:51.96,2014,Giant Slalom,Male,False
4785,20.0,Andreas Å½ampa,Slovakia,,SVK,32.0,2:51.62,2014,Giant Slalom,Male,False
4784,31.0,Martin VrÃ¡blÃ­k,Czech Republic,,CZE,31.0,2:50.84,2014,Giant Slalom,Male,False
4783,21.0,Gino Caviezel,Switzerland,,SUI,30.0,2:50.40,2014,Giant Slalom,Male,False
4782,22.0,Phil Brown,Canada,,CAN,29.0,2:49.91,2014,Giant Slalom,Male,False
4834,30.0,Eugenio Claro,Chile,,CHI,,,2014,Giant Slalom,Male,False
3265,27.0,KryÅ¡tof KrÃ½zl,Czech Republic,,CZE,,,2014,Slalom,Male,False
5400,22.0,Otmar Striedinger,Austria,,AUT,21.0,2:50.46,2014,Combined,Male,False
5410,22.0,Marc Oliveras,Andorra,,AND,31.0,2:58.54,2014,Combined,Male,False
5408,33.0,Cristian Simari Birkner,Argentina,,ARG,29.0,2:56.09,2014,Combined,Male,False
5407,25.0,Olivier Jenot,Monaco,,MON,28.0,2:55.82,2014,Combined,Male,False
