,Age,Athlete,Country,Medal,NOC,Rank,Time,Year
88,25,Thomas de Morawitz,Spain,,ESP,89,4:24.0,1948
89,16,Theodor Sele,Liechtenstein,,LIE,90,4:24.1,1948
90,21,Gino de PellegrÃ­n,Argentina,,ARG,91T,4:25.2,1948
91,24,Ian Appleyard,Great Britain,,GBR,91T,4:25.2,1948
92,17,Pablo Rosenkjer,Argentina,,ARG,93,4:36.2,1948
93,22,Dursun Bozkurt,Turkey,,TUR,94,4:37.3,1948
94,27,Julio Cernuda,Argentina,,ARG,95,4:46.4,1948
95,21,ÃÃ³rir JÃ³nsson,Iceland,,ISL,96,4:47.0,1948
96,18,Osman YÃ¼ce,Turkey,,TUR,97,4:49.2,1948
97,27,GuÃ°mundur GuÃ°mundsson,Iceland,,ISL,98,4:57.0,1948
98,35,"Konstantin, Prince von Padua",Liechtenstein,,LIE,99,5:04.1,1948
99,21,JosÃ© VilÃ,Spain,,ESP,100,5:13.0,1948
100,27,Fotis Mavriplis,Greece,,GRE,101,5:39.1,1948
101,20,Fernando ArmiÃ±Ã¡n,Spain,,ESP,102,5:41.2,1948
102,27,Zeno ColÃ²,Italy,,ITA,AC,,1948
103,28,Roberto Lacedelli,Italy,,ITA,AC,,1948
104,23,Alfred StÃ¤ger,Switzerland,,SUI,AC,,1948
105,24,Jan Pawlica,Poland,,POL,AC,,1948
106,24,Johnny Lunde,Norway,,NOR,AC,,1948
107,,SaÅ¡a Molnar,Yugoslavia,,YUG,AC,,1948
108,28,Peter Boumphrey,Great Britain,,GBR,AC,,1948
109,23,Ibrahim Geagea,Lebanon,,LIB,AC,,1948
110,15,Muzaffer Demirhan,Turkey,,TUR,AC,,1948
111,31,Zeno ColÃ²,Italy,Gold,ITA,1,2:30.8,1952
112,23,Othmar Schneider,Austria,Silver,AUT,2,2:32.0,1952
113,24,Christian Pravda,Austria,Bronze,AUT,3,2:32.4,1952
114,25,Fred Rubi,Switzerland,,SUI,4,2:32.5,1952
115,22,Bill Beck,United States,,USA,5,2:33.3,1952
116,24,Stein Eriksen,Norway,,NOR,6,2:33.8,1952
117,29,Gunnar Hjeltnes,Norway,,NOR,7,2:35.9,1952
118,29,Carlo Gartner,Italy,,ITA,8,2:36.5,1952
119,26,Georges Schneider,Switzerland,,SUI,9,2:37.0,1952
120,25,Gottlieb Perren,Switzerland,,SUI,10,2:37.1,1952
121,30,James Couttet,France,,FRA,11,2:38.7,1952
122,22,Dick Buek,United States,,USA,12,2:39.1,1952
123,29,Janko Å tefe,Yugoslavia,,YUG,13,2:40.6,1952
124,25,Jack Reddish,United States,,USA,14T,2:41.5,1952
125,26,Henri Oreiller,France,,FRA,14T,2:41.5,1952
126,24,Willi Klein,Germany,,GER,16,2:42.8,1952
