,Age,Athlete,Country,Medal,NOC,Rank,Time,Year
396,24,Fayzollah Band Ali,Iran,,IRI,66,2:52.44,1964
397,22,Nazih Geagea,Lebanon,,LIB,67,2:55.34,1964
398,20,Peter Wenzel,Australia,,AUS,68,2:55.58,1964
399,,Ovaness Meguerdonian,Iran,,IRI,69,2:57.10,1964
400,34,Osman YÃ¼ce,Turkey,,TUR,70,3:03.66,1964
401,26,Zeki ÅamiloÄlu,Turkey,,TUR,71,3:05.71,1964
402,21,Abdurrahman KÃ¼Ã§Ã¼k,Turkey,,TUR,72,3:09.99,1964
403,21,Kostas Karydas,Greece,,GRE,73,3:10.09,1964
404,,Jean Keyrouz,Lebanon,,LIB,74,3:40.44,1964
405,,Michel Rahme,Lebanon,,LIB,75,3:55.15,1964
406,21,Jorge Abelardo Eiras,Argentina,,ARG,76,4:34.51,1964
407,20,Juan Holz,Chile,,CHI,77,4:51.18,1964
408,21,Claudio Wernli,Chile,,CHI,AC,,1964
409,19,Rune LindstrÃ¶m,Sweden,,SWE,AC,,1964
410,24,Jeremy Bujakowski,India,,IND,AC,,1964
411,19,Lars Olsson,Sweden,,SWE,AC,,1964
412,18,Jorge RodrÃ­guez,Spain,,ESP,AC,,1964
413,20,Jonathan Taylor,Great Britain,,GBR,AC,,1964
414,,Sami Beyroun,Lebanon,,LIB,AC,,1964
415,24,Jean-Claude Killy,France,Gold,FRA,1,1:59.85,1968
416,27,Guy PÃ©rillat,France,Silver,FRA,2,1:59.93,1968
417,22,Jean-Daniel DÃ¤twyler,Switzerland,Bronze,SUI,3,2:00.32,1968
418,28,Heini Messner,Austria,,AUT,4,2:01.03,1968
419,29,Karl Schranz,Austria,,AUT,5,2:01.89,1968
420,28,Ivo Mahlknecht,Italy,,ITA,6,2:02.00,1968
421,24,Gerhard Prinzing,West Germany,,FRG,7,2:02.10,1968
422,22,Bernard Orcel,France,,FRA,8,2:02.22,1968
423,27,Gerhard Nenning,Austria,,AUT,9,2:02.31,1968
424,24,Edy Bruggmann,Switzerland,,SUI,10,2:02.36,1968
425,24,Gerhard Mussner,Italy,,ITA,11,2:02.50,1968
426,27,Luggi Leitner,West Germany,,FRG,12,2:02.54,1968
427,28,Egon Zimmermann,Austria,,AUT,13,2:02.55,1968
428,26,Jos Minsch,Switzerland,,SUI,14,2:02.76,1968
429,23,Franz Vogler,West Germany,,FRG,15,2:02.94,1968
430,27,Dumeng Giovanoli,Switzerland,,SUI,16,2:02.98,1968
431,21,Bjarne Strand,Norway,,NOR,17,2:03.20,1968
432,24,Billy Kidd,United States,,USA,18,2:03.40,1968
433,22,Dieter Fersch,West Germany,,FRG,19,2:03.41,1968
434,30,LÃ©o Lacroix,France,,FRA,20,2:03.86,1968
435,22,Dennis McCoy,United States,,USA,21,2:04.82,1968
436,21,Teresio Vachet,Italy,,ITA,22,2:04.90,1968
437,23,Jon Terje Ãverland,Norway,,NOR,23,2:05.34,1968
438,19,Malcolm Milne,Australia,,AUS,24,2:05.36,1968
439,24,Jeremy Palmer-Tomkinson,Great Britain,,GBR,25,2:05.43,1968
440,21,Andrzej Bachleda-CuruÅ,Poland,,POL,26,2:05.48,1968
441,23,Wayne Henderson,Canada,,CAN,27,2:05.56,1968
442,21,Renato Valentini,Italy,,ITA,28,2:05.61,1968
443,23,Rune LindstrÃ¶m,Sweden,,SWE,29,2:05.69,1968
444,26,Ulf Ekstam,Finland,,FIN,30,2:06.14,1968
445,22,Gerry Rinaldi,Canada,,CAN,31,2:06.30,1968
446,20,Aurelio GarcÃ­a,Spain,,ESP,32,2:06.84,1968
447,23,Josef Gassner,Liechtenstein,,LIE,33,2:06.91,1968
448,23,Lasse Hamre,Norway,,NOR,34,2:06.93,1968
449,19,Milan PaÅ¾out,Czechoslovakia,,TCH,35,2:07.45,1968
450,25,Jaroslav Janda,Czechoslovakia,,TCH,36,2:07.71,1968
451,21,Wolfgang Ender,Liechtenstein,,LIE,37,2:08.08,1968
452,17,Francisco FernÃ¡ndez Ochoa,Spain,,ESP,38,2:08.67,1968
453,20,Luciano del Cacho,Spain,,ESP,39,2:08.85,1968
454,21,Viktor Belyakov,Soviet Union,,URS,40,2:09.32,1968
455,25,Andrej Klinar,Yugoslavia,,YUG,41,2:09.61,1968
456,20,Robert Palmer,New Zealand,,NZL,42,2:09.79,1968
457,26,Per-Olov Richardsson,Sweden,,SWE,43,2:09.83,1968
458,20,Ian Todd,Great Britain,,GBR,44,2:10.00,1968
459,23,Tsuneo Noto,Japan,,JPN,45,2:10.32,1968
460,28,Mario Vera,Chile,,CHI,46,2:10.44,1968
461,19,JoÅ¾e Gazvoda,Yugoslavia,,YUG,47,2:10.51,1968
462,22,Ryszard ÄwikÅa,Poland,,POL,48,2:10.63,1968
463,21,Andrey Belokrinkin,Soviet Union,,URS,49,2:10.98,1968
464,19,Luke O'Reilly,Great Britain,,GBR,50,2:10.99,1968
465,22,BlaÅ¾ JakopiÄ,Yugoslavia,,YUG,51,2:11.00,1968
466,21,Antonio CampaÃ±a,Spain,,ESP,52,2:11.11,1968
467,28,Jeremy Bujakowski,India,,IND,53,2:11.82,1968
468,25,Yoshiharu Fukuhara,Japan,,JPN,54,2:14.09,1968
469,19,Gustavo Ezquerra,Argentina,,ARG,55,2:17.11,1968
470,22,David Borradaile,Great Britain,,GBR,56,2:17.31,1968
471,25,Roberto Thostrup,Argentina,,ARG,57,2:17.35,1968
472,18,Richard Leatherbee,Chile,,CHI,58,2:17.86,1968
473,25,Hitonari Maruyama,Japan,,JPN,59,2:18.04,1968
474,17,FÃ©lipe Briones,Chile,,CHI,60,2:18.07,1968
475,25,Thomas Huppert,New Zealand,,NZL,61,2:18.29,1968
476,19,Dan Cristea,Romania,,ROU,62,2:18.52,1968
477,24,Petar Angelov,Bulgaria,,BUL,63,2:18.71,1968
478,22,Juichi Maruyama,Japan,,JPN,64,2:19.33,1968
479,21,Dorin Munteanu,Romania,,ROU,65,2:22.53,1968
480,29,Lotfollah Kia Shemshaki,Iran,,IRI,66,2:23.60,1968
481,25,Ãzer AteÅÃ§i,Turkey,,TUR,67,2:25.18,1968
482,28,Fayzollah Band Ali,Iran,,IRI,68,2:27.07,1968
483,,Ovaness Meguerdonian,Iran,,IRI,69,2:30.25,1968
484,21,Athanasios Tsimikalis,Greece,,GRE,70,2:36.93,1968
485,19,Mehmet YÄ±ldÄ±rÄ±m,Turkey,,TUR,71,2:40.79,1968
486,28,Dimitrios Pappos,Greece,,GRE,72,2:44.10,1968
487,,Ali Saveh,Iran,,IRI,73,2:47.88,1968
488,21,Jere Elliott,United States,,USA,AC,,1968
489,25,Rod Hebron,Canada,,CAN,AC,,1968
490,23,Jim Barrows,United States,,USA,AC,,1968
491,29,Eberhard Riedel,East Germany,,GDR,AC,,1968
492,19,Otto Tschudi,Norway,,NOR,AC,,1968
493,22,Hans-Walter SchÃ¤dler,Liechtenstein,,LIE,AC,,1968
494,19,Arnold Beck,Liechtenstein,,LIE,AC,,1968
495,25,Bahattin Topal,Turkey,,TUR,AC,,1968
496,18,Mehmet GÃ¶kcan,Turkey,,TUR,AC,,1968
497,23,Peter Duncan,Canada,,CAN,AC,,1968
498,27,Raimo Manninen,Finland,,FIN,AC,,1968
499,24,Vasily Melnikov,Soviet Union,,URS,AC,,1968
500,21,Murray Gardner,New Zealand,,NZL,AC,,1968
501,23,Bernhard Russi,Switzerland,Gold,SUI,1,1:51.43,1972
502,20,Roland Collombin,Switzerland,Silver,SUI,2,1:52.07,1972
503,32,Heini Messner,Austria,Bronze,AUT,3,1:52.40,1972
504,27,Andreas Sprecher,Switzerland,,SUI,4,1:53.11,1972
505,19,Erik HÃ¥ker,Norway,,NOR,5,1:53.16,1972
506,23,Walter Tresch,Switzerland,,SUI,6,1:53.19,1972
507,23,Karl Cordin,Austria,,AUT,7,1:53.32,1972
508,20,Bob Cochran,United States,,USA,8,1:53.39,1972
509,25,Josef Loidl,Austria,,AUT,9,1:53.71,1972
510,24,Marcello Varallo,Italy,,ITA,10,1:53.85,1972
511,22,Giuliano Besson,Italy,,ITA,11T,1:54.15,1972
512,22,Stefano Anzi,Italy,,ITA,11T,1:54.15,1972
513,20,Gustavo Thoeni,Italy,,ITA,13,1:54.37,1972
514,23,Mike Lafferty,United States,,USA,14,1:54.38,1972
515,25,Roger Rossat-Mignod,France,,FRA,15,1:54.72,1972
516,26,Bernard Orcel,France,,FRA,16,1:54.81,1972
517,19,David Currier,United States,,USA,17,1:54.96,1972
518,23,HansjÃ¶rg Schlager,West Germany,,FRG,18,1:55.05,1972
519,24,Henri Duvillard,France,,FRA,19,1:55.13,1972
520,18,Jim Hunter,Canada,,CAN,20,1:55.16,1972
521,24,Bernard Charvin,France,,FRA,21,1:55.33,1972
522,22,Sumihiro Tomii,Japan,,JPN,22,1:55.34,1972
523,23,Malcolm Milne,Australia,,AUS,23,1:55.48,1972
524,27,Franz Vogler,West Germany,,FRG,24,1:55.50,1972
525,22,Hank Kashiwa,United States,,USA,25,1:55.60,1972
526,19,Herbert Marxer,Liechtenstein,,LIE,26,1:55.90,1972
527,23,Alfred Hagn,West Germany,,FRG,27,1:56.04,1972
528,18,Manni Thofte,Sweden,,SWE,28,1:56.66,1972
529,29,Willi Lesch,West Germany,,FRG,29,1:56.67,1972
530,19,Willi Frommelt,Liechtenstein,,LIE,30,1:57.58,1972
531,25,Reinhard Tritscher,Austria,,AUT,31,1:58.05,1972
532,19,Reto Barrington,Canada,,CAN,32,1:58.29,1972
533,20,Royston Varley,Great Britain,,GBR,33,1:58.53,1972
534,27,Olle RolÃ©n,Sweden,,SWE,34,1:59.28,1972
535,25,Masahiko Otsue,Japan,,JPN,35,1:59.55,1972
536,19,Peik Christensen,Norway,,NOR,36,1:59.71,1972
537,20,Alex Mapelli-Mozzi,Great Britain,,GBR,37,2:00.28,1972
538,20,Derek Robbins,Canada,,CAN,38,2:00.38,1972
539,23,Dan Cristea,Romania,,ROU,39,2:01.26,1972
540,22,Ivan Penev,Bulgaria,,BUL,40,2:02.16,1972
541,23,Chris Womersley,New Zealand,,NZL,41,2:02.24,1972
542,19,Robert Blanchaer,Belgium,,BEL,42,2:02.45,1972
543,17,Konrad Bartelski,Great Britain,,GBR,43,2:02.71,1972
544,16,Steven Clifford,Australia,,AUS,44,2:02.90,1972
545,24,Resmi Resmiev,Bulgaria,,BUL,45,2:03.01,1972
546,24,Sergey Grishchenko,Soviet Union,,URS,46,2:03.19,1972
547,24,Carlos Perner,Argentina,,ARG,47,2:03.69,1972
548,25,Virgil Brenci,Romania,,ROU,48,2:04.33,1972
549,24,Ross Ewington,New Zealand,,NZL,49,2:04.75,1972
550,20,Iain Finlayson,Great Britain,,GBR,50,2:06.50,1972
551,16,Jorge-Emilio Lazzarini,Argentina,,ARG,51,2:08.29,1972
552,,Ali Saveh,Iran,,IRI,52,2:11.29,1972
553,33,Lotfollah Kia Shemshaki,Iran,,IRI,53,2:16.14,1972
554,32,Fayzollah Band Ali,Iran,,IRI,54,2:18.19,1972
555,19,Gorban Ali Kalhor,Iran,,IRI,55,2:20.98,1972
556,22,Franz Klammer,Austria,Gold,AUT,1,1:45.73,1976
557,27,Bernhard Russi,Switzerland,Silver,SUI,2,1:46.06,1976
558,21,Herbert Plank,Italy,Bronze,ITA,3,1:46.59,1976
559,23,Philippe Roux,Switzerland,,SUI,4,1:46.69,1976
560,20,Ken Read,Canada,,CAN,5,1:46.83,1976
561,22,Andy Mill,United States,,USA,6,1:47.06,1976
562,27,Walter Tresch,Switzerland,,SUI,7,1:47.29,1976
563,21,Dave Irwin,Canada,,CAN,8,1:47.41,1976
564,21,Sepp Walcher,Austria,,AUT,9,1:47.45,1976
565,22,Jim Hunter,Canada,,CAN,10,1:47.52,1976
566,22,Greg Jones,United States,,USA,11,1:47.84,1976
567,27,RenÃ© Berthod,Switzerland,,SUI,12,1:47.89,1976
568,19,Pete Patterson,United States,,USA,13,1:47.94,1976
569,25,Rolando Thoeni,Italy,,ITA,14,1:48.13,1976
570,21,Peter Fischer,West Germany,,FRG,15,1:48.18,1976
571,23,Patrice Pellat-Finet,France,,FRA,16,1:48.34,1976
572,21,Sepp Ferstl,West Germany,,FRG,17,1:48.41,1976
573,22,Dave Murray,Canada,,CAN,18,1:48.43,1976
574,19,Klaus Eberhard,Austria,,AUT,19,1:48.45,1976
575,26,Sumihiro Tomii,Japan,,JPN,20,1:48.88,1976
576,23,Willi Frommelt,Liechtenstein,,LIE,21,1:48.92,1976
577,19,David Griff,Australia,,AUS,22T,1:49.02,1976
578,19,Michael Veith,West Germany,,FRG,22T,1:49.02,1976
579,22,Karl Anderson,United States,,USA,24,1:49.08,1976
580,23,Erik HÃ¥ker,Norway,,NOR,25,1:49.19,1976
581,24,Gustavo Thoeni,Italy,,ITA,26,1:49.25,1976
582,21,Mikio Katagiri,Japan,,JPN,27,1:50.03,1976
583,17,Andi Wenzel,Liechtenstein,,LIE,28,1:50.08,1976
584,24,Wolfgang Junginger,West Germany,,FRG,29,1:50.48,1976
585,20,Alan Stewart,Great Britain,,GBR,30,1:50.56,1976
586,20,Luis Rosenkjer,Argentina,,ARG,31,1:50.87,1976
587,19,Stuart Fitzsimmons,Great Britain,,GBR,32,1:50.89,1976
588,18,BohumÃ­r Zeman,Czechoslovakia,,TCH,33,1:51.27,1976
589,19,Kim Clifford,Australia,,AUS,34,1:51.64,1976
590,25,Francisco FernÃ¡ndez Ochoa,Spain,,ESP,35,1:51.91,1976
591,24,Juan Manuel FernÃ¡ndez Ochoa,Spain,,ESP,36,1:52.40,1976
592,20,Andrej KoÅ¾elj,Yugoslavia,,YUG,37T,1:52.75,1976
593,20,Peter Fuchs,Great Britain,,GBR,37T,1:52.75,1976
594,18,Juan Angel Olivieri,Argentina,,ARG,39,1:52.76,1976
595,24,Miloslav Sochor,Czechoslovakia,,TCH,40,1:53.48,1976
596,23,Jaime Ros,Spain,,ESP,41,1:53.50,1976
597,19,Jorge GarcÃ­a,Spain,,ESP,42,1:53.55,1976
598,20,Didier Xhaet,Belgium,,BEL,43,1:53.56,1976
599,17,Vladimir Andreyev,Soviet Union,,URS,44,1:53.61,1976
600,23,Robert Blanchaer,Belgium,,BEL,45,1:54.30,1976
601,19,Adjin PaÅ¡oviÄ,Yugoslavia,,YUG,46,1:54.57,1976
602,18,Carlos Alberto MartÃ­nez,Argentina,,ARG,47,1:54.62,1976
603,26,Ivan Penev,Bulgaria,,BUL,48,1:55.56,1976
604,27,Dan Cristea,Romania,,ROU,49,1:55.63,1976
605,20,Georgi Kochov,Bulgaria,,BUL,50,1:55.82,1976
606,21,JosÃ© Luis Koifman,Chile,,CHI,51,1:56.30,1976
607,24,Roman DereziÅski,Poland,,POL,52,1:56.33,1976
608,19,Stuart Blakely,New Zealand,,NZL,53,1:57.91,1976
609,20,Antoine Crespo,Andorra,,AND,54,1:58.72,1976
610,23,Gorban Ali Kalhor,Iran,,IRI,55,1:59.15,1976
611,,Mohammad Hadj Kia Shemshaki,Iran,,IRI,56,1:59.44,1976
612,22,Ion CavaÈi,Romania,,ROU,57,2:00.19,1976
613,,Akbar Kalili,Iran,,IRI,58,2:00.32,1976
614,22,Rafael CaÃ±as,Chile,,CHI,59,2:00.39,1976
615,18,Brett Kendall,New Zealand,,NZL,60,2:00.57,1976
616,17,Fernando Reutter,Chile,,CHI,61,2:01.19,1976
617,16,Carlos Font,Andorra,,AND,62,2:01.75,1976
618,23,Ahmet KÄ±bÄ±l,Turkey,,TUR,63,2:03.74,1976
619,23,MÃ¼mtaz Demirhan,Turkey,,TUR,64,2:06.01,1976
620,22,Thomas Karadimas,Greece,,GRE,65,2:14.69,1976
621,23,Spyros Theodorou,Greece,,GRE,66,2:17.08,1976
622,22,Robin Armstrong,New Zealand,,NZL,AC,,1976
623,,Mohammad Kalhor,Iran,,IRI,AC,,1976
624,18,Xavier Areny,Andorra,,AND,AC,,1976
625,17,AdriÃ¡n Roncallo,Argentina,,ARG,AC,,1976
626,21,Konrad Bartelski,Great Britain,,GBR,AC,,1976
627,19,Rob McIntyre,Australia,,AUS,AC,,1976
628,17,Anton Steiner,Austria,,AUT,AC,,1976
629,25,Erwin Stricker,Italy,,ITA,AC,,1976
630,21,Leonhard Stock,Austria,Gold,AUT,1,1:45.50,1980
631,21,Peter Wirnsberger,Austria,Silver,AUT,2,1:46.12,1980
632,22,Steve Podborski,Canada,Bronze,CAN,3,1:46.62,1980
633,22,Peter MÃ¼ller,Switzerland,,SUI,4,1:46.75,1980
634,23,Pete Patterson,United States,,USA,5,1:47.04,1980
635,25,Herbert Plank,Italy,,ITA,6,1:47.13,1980
636,28,Werner Grissmann,Austria,,AUT,7,1:47.21,1980
637,23,Valery Tsyganov,Soviet Union,,URS,8,1:47.34,1980
638,22,Harti Weirather,Austria,,AUT,9,1:47.70,1980
639,26,Dave Murray,Canada,,CAN,10,1:47.95,1980
640,25,Dave Irwin,Canada,,CAN,11,1:48.12,1980
641,25,Konrad Bartelski,Great Britain,,GBR,12,1:48.53,1980
642,22,BohumÃ­r Zeman,Czechoslovakia,,TCH,13,1:48.65,1980
643,22,Phil Mahre,United States,,USA,14,1:48.88,1980
644,20,Giuliano Giardini,Italy,,ITA,15,1:48.98,1980
645,27,Andy Mill,United States,,USA,16,1:49.07,1980
646,27,Erik HÃ¥ker,Norway,,NOR,17,1:49.09,1980
647,21,Urs RÃ¤ber,Switzerland,,SUI,18,1:49.16,1980
648,19,Arnt Erik Dale,Norway,,NOR,19,1:49.26,1980
649,21,Andi Wenzel,Liechtenstein,,LIE,20,1:49.71,1980
650,25,Mikio Katagiri,Japan,,JPN,21,1:49.77,1980
651,22,Vladimir Makeyev,Soviet Union,,URS,22,1:49.87,1980
652,23,Michael Veith,West Germany,,FRG,23,1:50.00,1980
653,24,Erwin Josi,Switzerland,,SUI,24,1:50.03,1980
654,20,Philippe Pugnat,France,,FRA,25,1:50.13,1980
655,21,Antony Guss,Australia,,AUS,26,1:50.22,1980
656,29,Francisco FernÃ¡ndez Ochoa,Spain,,ESP,27,1:50.69,1980
657,18,Ross Blyth,Great Britain,,GBR,28,1:51.12,1980
658,22,David Cargill,Great Britain,,GBR,29,1:52.02,1980
659,24,Alan Stewart,Great Britain,,GBR,30,1:53.41,1980
660,20,Norberto Quiroga,Argentina,,ARG,31,1:54.31,1980
661,23,Stuart Blakely,New Zealand,,NZL,32,1:55.41,1980
662,21,Henri Mollin,Belgium,,BEL,33,1:55.83,1980
663,23,Didier Lamont,Belgium,,BEL,34,1:57.57,1980
664,20,Carlos Font,Andorra,,AND,35,1:57.81,1980
665,19,Marcelo MartÃ­nez,Argentina,,ARG,36,1:58.04,1980
666,20,Janez Flere,Argentina,,ARG,37,1:59.01,1980
667,17,Guillermo Giumelli,Argentina,,ARG,38,2:00.10,1980
668,16,Miguel Font,Andorra,,AND,39,2:02.01,1980
669,18,Hong In-Gi,South Korea,,KOR,40,2:03.08,1980
670,23,Arturo Kinch,Costa Rica,,CRC,41,2:12.24,1980
671,22,Billy Farwig,Bolivia,,BOL,42,2:12.66,1980
672,20,Patrick Toussaint,Andorra,,AND,AC,,1980
673,26,Karl Anderson,United States,,USA,AC,,1980
674,24,Ken Read,Canada,,CAN,AC,,1980
675,22,Toni BÃ¼rgler,Switzerland,,SUI,AC,,1980
676,21,Scott Alan SÃ¡nchez,Bolivia,,BOL,AC,,1980
677,23,Bill Johnson,United States,Gold,USA,1,1:45.59,1984
678,26,Peter MÃ¼ller,Switzerland,Silver,SUI,2,1:45.86,1984
679,25,Anton Steiner,Austria,Bronze,AUT,3,1:45.95,1984
680,21,Pirmin Zurbriggen,Switzerland,,SUI,4,1:46.05,1984
681,25,Urs RÃ¤ber,Switzerland,,SUI,5T,1:46.32,1984
682,24,Helmut HÃ¶flehner,Austria,,AUT,5T,1:46.32,1984
683,25,Sepp Wildgruber,West Germany,,FRG,7,1:46.53,1984
684,26,Steve Podborski,Canada,,CAN,8,1:46.59,1984
685,24,Todd Brooker,Canada,,CAN,9,1:46.64,1984
686,30,Franz Klammer,Austria,,AUT,10,1:47.04,1984
687,22,Erwin Resch,Austria,,AUT,11,1:47.06,1984
688,23,Klaus Gattermann,West Germany,,FRG,12,1:47.12,1984
689,19,GÃ¼nther Marxer,Liechtenstein,,LIE,13,1:47.43,1984
690,24,Conradin Cathomen,Switzerland,,SUI,14,1:47.63,1984
691,21,Michael Mair,Italy,,ITA,15,1:47.70,1984
692,26,Vladimir Makeyev,Soviet Union,,URS,16T,1:47.87,1984
693,21,Alberto Ghidoni,Italy,,ITA,16T,1:47.87,1984
694,19,Martin Bell,Great Britain,,GBR,18,1:48.00,1984
695,21,Steven Lee,Australia,,AUS,19,1:48.02,1984
696,19,Franck Piccard,France,,FRA,20T,1:48.06,1984
697,23,Danilo Sbardellotto,Italy,,ITA,20T,1:48.06,1984
698,22,Herbert Renoth,West Germany,,FRG,22,1:48.39,1984
699,27,Valery Tsyganov,Soviet Union,,URS,23,1:48.46,1984
700,20,Doug Lewis,United States,,USA,24,1:48.49,1984
701,24,Michel Vion,France,,FRA,25,1:48.68,1984
702,22,Gary Athans,Canada,,CAN,26,1:48.79,1984
703,23,JaneÅ¾ PleterÅ¡ek,Yugoslavia,,YUG,27,1:48.97,1984
704,22,Shinya Chiba,Japan,,JPN,28,1:49.02,1984
705,21,Philippe Verneret,France,,FRA,29,1:49.30,1984
706,19,TomaÅ¾ Jemc,Yugoslavia,,YUG,30,1:49.68,1984
707,20,Bruce Grant,New Zealand,,NZL,31,1:49.94,1984
708,18,Graham Bell,Great Britain,,GBR,32,1:50.06,1984
709,23,Connor O'Brien,Great Britain,,GBR,33,1:50.36,1984
710,18,Alistair Guss,Australia,,AUS,34,1:50.57,1984
711,21,Markus Hubrich,New Zealand,,NZL,35,1:50.77,1984
712,20,Hubert Hilti,Liechtenstein,,LIE,36,1:50.94,1984
713,24,Frederick Burton,Great Britain,,GBR,37,1:51.15,1984
714,25,Hubertus von FÃ¼rstenberg-von Hohenlohe,Mexico,,MEX,38,1:51.57,1984
715,18,Dieter Linneberg,Chile,,CHI,39,1:51.68,1984
716,19,Pierre Couquelet,Belgium,,BEL,40,1:52.40,1984
717,20,Andres Figueroa,Chile,,CHI,41,1:52.97,1984
718,19,Hans Kossmann,Chile,,CHI,42,1:54.36,1984
719,25,Scott Alan SÃ¡nchez,Bolivia,,BOL,43,1:54.75,1984
720,21,Miguel Purcell,Chile,,CHI,44,1:54.91,1984
721,19,Jorge Birkner,Argentina,,ARG,45,1:54.92,1984
722,25,Henri Mollin,Belgium,,BEL,46,1:55.72,1984
723,17,David Lajoux,Monaco,,MON,47,1:56.95,1984
724,17,Albert Llovera,Andorra,,AND,48,1:57.88,1984
725,18,Nicolas van Ditmar,Argentina,,ARG,49,1:58.86,1984
726,19,Jordi Torres,Andorra,,AND,50,1:59.06,1984
727,23,Lamine GuÃ¨ye,Senegal,,SEN,51,1:59.64,1984
728,21,Park Byung-Ro,South Korea,,KOR,52,1:59.74,1984
729,25,Enrique de Ridder,Argentina,,ARG,53,1:59.76,1984
730,16,AmÃ©rico Astete,Argentina,,ARG,54,2:01.60,1984
731,21,Giannis Stamatiou,Greece,,GRE,55,2:01.79,1984
732,21,Andreas Pantelidis,Greece,,GRE,56,2:01.88,1984
733,21,Kim Jin-Hae,South Korea,,KOR,57,2:01.96,1984
734,17,Eu Woo-Youn,South Korea,,KOR,58,2:02.67,1984
735,25,Lazaros Arkhontopoulos,Greece,,GRE,59,2:03.93,1984
736,18,Jamil El-Reedy,Egypt,,EGY,60,3:13.86,1984
737,23,Peter DÃ¼rr,West Germany,,FRG,AC,,1984
738,25,Pirmin Zurbriggen,Switzerland,Gold,SUI,1,1:59.63,1988
739,30,Peter MÃ¼ller,Switzerland,Silver,SUI,2,2:00.14,1988
740,23,Franck Piccard,France,Bronze,FRA,3,2:01.24,1988
741,29,Leonhard Stock,Austria,,AUT,4,2:01.56,1988
742,26,Gerhard Pfaffenbichler,Austria,,AUT,5,2:02.02,1988
743,24,Markus Wasmeier,West Germany,,FRG,6,2:02.03,1988
744,29,Anton Steiner,Austria,,AUT,7,2:02.19,1988
745,23,Martin Bell,Great Britain,,GBR,8,2:02.49,1988
746,24,Marc Girardelli,Luxembourg,,LUX,9,2:02.59,1988
747,27,Danilo Sbardellotto,Italy,,ITA,10,2:02.69,1988
748,26,Shinya Chiba,Japan,,JPN,11,2:03.16,1988
749,26,Daniel Mahrer,Switzerland,,SUI,12,2:03.18,1988
750,22,Hannes Zehentner,West Germany,,FRG,13,2:03.23,1988
751,21,Mike Carney,Canada,,CAN,14,2:03.25,1988
752,21,Atle SkÃ¥rdal,Norway,,NOR,15,2:03.26,1988
753,21,Rob Boyd,Canada,,CAN,16,2:03.27,1988
754,25,Franz Heinzer,Switzerland,,SUI,17,2:03.36,1988
755,26,Felix Belczyk,Canada,,CAN,18,2:03.59,1988
756,23,GÃ¼nther Mader,Austria,,AUT,19,2:03.96,1988
757,20,HansjÃ¶rg Tauscher,West Germany,,FRG,20,2:04.31,1988
758,28,Peter DÃ¼rr,West Germany,,FRG,21,2:04.32,1988
759,25,Steven Lee,Australia,,AUS,22,2:04.46,1988
760,22,Graham Bell,Great Britain,,GBR,23,2:04.56,1988
761,21,Jan Einar Thorsen,Norway,,NOR,24,2:04.77,1988
762,21,Christophe PlÃ©,France,,FRA,25,2:04.78,1988
763,19,A J Kitt,United States,,USA,26,2:04.94,1988
764,21,Lars-BÃ¶rje Eriksson,Sweden,,SWE,27,2:05.02,1988
765,22,Jeff Olson,United States,,USA,28,2:05.09,1988
766,20,Peter Jurko,Czechoslovakia,,TCH,29,2:05.32,1988
767,23,Niklas Henning,Sweden,,SWE,30,2:05.52,1988
768,24,Igor Cigolla,Italy,,ITA,31,2:05.85,1988
769,24,Doug Lewis,United States,,USA,32,2:06.25,1988
770,18,AdriÃ¡n BÃ­reÅ¡,Czechoslovakia,,TCH,33,2:06.34,1988
771,23,Katsuhito Kumagai,Japan,,JPN,34,2:07.17,1988
772,21,Finn Christian Jagge,Norway,,NOR,35,2:07.64,1988
773,21,Silvio Wille,Liechtenstein,,LIE,36,2:07.77,1988
774,25,Boris Duncan,Great Britain,,GBR,37,2:07.88,1988
775,23,Gregor Hoop,Liechtenstein,,LIE,38,2:08.50,1988
776,19,Robert BÃ¼chel,Liechtenstein,,LIE,39,2:08.66,1988
777,23,Niklas Lindqvist,Sweden,,SWE,40,2:09.41,1988
778,20,Nils Linneberg,Chile,,CHI,41,2:09.83,1988
779,22,Dieter Linneberg,Chile,,CHI,42,2:11.16,1988
780,29,Hubertus von FÃ¼rstenberg-von Hohenlohe,Mexico,,MEX,43,2:12.58,1988
781,23,Jorge Birkner,Argentina,,ARG,44,2:14.20,1988
782,17,Javier Rivara,Argentina,,ARG,45,2:16.79,1988
783,24,Peter Forras,Australia,,AUS,AC,,1988
784,21,Bill Hudson,United States,,USA,AC,,1988
785,22,Luc Alphand,France,,FRA,AC,,1988
786,26,Michael Mair,Italy,,ITA,AC,,1988
787,25,Philippe Verneret,France,,FRA,AC,,1988
788,21,Brian Stemmle,Canada,,CAN,AC,,1988
789,24,Patrick Ortlieb,Austria,Gold,AUT,1,1:50.37,1992
790,27,Franck Piccard,France,Silver,FRA,2,1:50.42,1992
791,27,GÃ¼nther Mader,Austria,Bronze,AUT,3,1:50.47,1992
792,28,Markus Wasmeier,Germany,,GER,4,1:50.62,1992
793,25,Jan Einar Thorsen,Norway,,NOR,5,1:50.79,1992
794,29,Franz Heinzer,Switzerland,,SUI,6,1:51.39,1992
795,24,HansjÃ¶rg Tauscher,Germany,,GER,7,1:51.49,1992
796,27,Lasse Arnesen,Norway,,NOR,8,1:51.63,1992
