,Age,Athlete,Country,Medal,NOC,Rank,Time
160,30,Paul Frommelt,Liechtenstein,,LIE,16,122.12
161,28,Peter DÃ¼rr,West Germany,,FRG,17,123.92
162,24,Oswald TÃ¶tsch,Italy,,ITA,18,134.14
163,24,Don Stevens,Canada,,CAN,19,135.81
164,19,Robert BÃ¼chel,Liechtenstein,,LIE,20,136.70
165,23,Katsuhito Kumagai,Japan,,JPN,21,144.65
166,22,Hannes Zehentner,West Germany,,FRG,22,197.87
167,19,Juan Pablo Santiagos,Chile,,CHI,23,224.20
168,23,Jorge Birkner,Argentina,,ARG,24,243.99
169,25,Giannis Stamatiou,Greece,,GRE,25,347.41
170,23,Martin Bell,Great Britain,,GBR,26,422.79
171,25,Pirmin Zurbriggen,Switzerland,,SUI,,
172,23,Niklas Lindqvist,Sweden,,SWE,,
173,19,A J Kitt,United States,,USA,,
174,16,Paulo Oppliger,Chile,,CHI,,
175,23,Franck Piccard,France,,FRA,,
176,26,Felix Belczyk,Canada,,CAN,,
177,21,Lars-BÃ¶rje Eriksson,Sweden,,SWE,,
178,23,GÃ¼nther Mader,Austria,,AUT,,
179,22,Graham Bell,Great Britain,,GBR,,
180,25,Martin Hangl,Switzerland,,SUI,,
181,24,Felix McGrath,United States,,USA,,
182,20,Sergey Petrik,Soviet Union,,URS,,
183,17,Konstantin Chistyakov,Soviet Union,,URS,,
184,29,Hubertus von FÃ¼rstenberg-von Hohenlohe,Mexico,,MEX,,
185,17,Javier Rivara,Argentina,,ARG,,
186,21,Silvio Wille,Liechtenstein,,LIE,,
187,21,Simon Wi Rutene,New Zealand,,NZL,,
188,20,Nils Linneberg,Chile,,CHI,,
189,21,Mike Carney,Canada,,CAN,,
190,21,Bill Hudson,United States,,USA,,
191,22,Jeff Olson,United States,,USA,,
192,21,Rob Boyd,Canada,,CAN,,
193,24,Peter Forras,Australia,,AUS,,
194,25,Steven Lee,Australia,,AUS,,
195,27,Danilo Sbardellotto,Italy,,ITA,,
196,21,Atle SkÃ¥rdal,Norway,,NOR,,
197,24,Igor Cigolla,Italy,,ITA,,
198,21,Jan Einar Thorsen,Norway,,NOR,,
199,25,Boris Duncan,Great Britain,,GBR,,
200,22,Dieter Linneberg,Chile,,CHI,,
201,23,Josef Polig,Italy,Gold,ITA,1,14.58
202,21,Gianfranco Martin,Italy,Silver,ITA,2,14.90
203,24,Steve Locher,Switzerland,Bronze,SUI,3,18.16
