,Age,Athlete,Country,Medal,NOC,Rank,Time
250,17,Marie-Theres Nadig,Switzerland,Gold,SUI,1,1:36.68
251,18,Annemarie Moser-PrÃ¶ll,Austria,Silver,AUT,2,1:37.00
252,20,Susie Corrock,United States,Bronze,USA,3,1:37.68
253,22,Isabelle Mir,France,,FRA,4,1:38.62
254,20,Rosi Speiser,West Germany,,FRG,5,1:39.10
255,21,Rosi Mittermaier,West Germany,,FRG,6,1:39.32
256,15,Bernadette Zurbriggen,Switzerland,,SUI,7,1:39.49
257,27,Annie Famose,France,,FRA,8,1:39.70
258,22,Bernadette Rauter,Austria,,AUT,9,1:39.84
259,20,Marta BÃ¼hler,Liechtenstein,,LIE,10,1:40.06
260,17,Toril FÃ¸rland,Norway,,NOR,11,1:40.25
261,18,Marianne Hefti,Switzerland,,SUI,12,1:40.38
262,21,Traudl Treichl,West Germany,,FRG,13,1:40.62
263,22,Karen Budge,United States,,USA,14,1:40.68
264,17,Brigitte Totschnig,Austria,,AUT,15,1:40.73
265,20,MichÃ¨le Jacot,France,,FRA,15,1:40.73
266,20,Gyri SÃ¸rensen,Norway,,NOR,17,1:40.77
267,18,Silvia Stump,Switzerland,,SUI,18,1:40.92
268,19,Carolyne Oughton,Canada,,CAN,18,1:40.92
269,17,Laurie Kreiner,Canada,,CAN,20,1:41.00
270,19,Sandy Poulsen,United States,,USA,21,1:41.25
271,22,Karianne Christiansen,Norway,,NOR,21,1:41.25
272,22,Florence Steurer,France,,FRA,23,1:41.36
273,15,Valentina Iliffe,Great Britain,,GBR,23,1:41.36
274,25,Gina Hathorn,Great Britain,,GBR,25,1:41.42
275,27,Divina Galica,Great Britain,,GBR,26,1:41.58
276,20,Judy Crawford,Canada,,CAN,27,1:41.75
277,21,Marilyn Cochran,United States,,USA,28,1:41.96
278,19,Conchita Puig,Spain,,ESP,29,1:42.37
279,19,Monika Kaserer,Austria,,AUT,30,1:42.59
280,18,Lotta Sollander,Sweden,,SWE,31,1:42.97
281,20,Mitsuyo Nagumo,Japan,,JPN,32,1:43.07
282,14,Kathy Kreiner,Canada,,CAN,33,1:43.68
283,31,Galina Shikhova,Soviet Union,,URS,34,1:43.88
284,23,Miyuki Katagiri,Japan,,JPN,35,1:44.10
285,15,Pamela Behr,West Germany,,FRG,36,1:44.22
286,26,Nina Merkulova,Soviet Union,,URS,37,1:44.48
287,18,Carol Blackwood,Great Britain,,GBR,38,1:44.61
288,19,Svetlana Isakova,Soviet Union,,URS,39,1:44.83
289,22,Harue Okitsu,Japan,,JPN,40,1:45.37
290,22,Emiko Okazaki,Japan,,JPN,41,1:48.85
291,25,Rosi Mittermaier,West Germany,Gold,FRG,1,1:46.16
292,21,Brigitte Totschnig,Austria,Silver,AUT,2,1:46.68
293,20,Cindy Nelson,United States,Bronze,USA,3,1:47.50
294,17,Nicola SpieÃ,Austria,,AUT,4,1:47.71
295,21,DaniÃ¨le Debernard,France,,FRA,5,1:48.48
296,26,Jacqueline Rouvier,France,,FRA,6,1:48.58
297,19,Bernadette Zurbriggen,Switzerland,,SUI,7,1:48.62
298,17,Marlies Oberholzer,Switzerland,,SUI,8,1:48.68
299,23,Monika Kaserer,Austria,,AUT,9,1:48.81
300,18,Irene Epple,West Germany,,FRG,10,1:48.91
301,19,Hanni Wenzel,Liechtenstein,,LIE,11,1:49.17
302,22,Irmgard Lukasser,Austria,,AUT,12,1:49.18
303,22,Evi Mittermaier,West Germany,,FRG,13,1:49.23
304,20,Susan Patterson,United States,,USA,14,1:49.37
305,22,Paola Hofer,Italy,,ITA,15,1:49.60
306,21,Laurie Kreiner,Canada,,CAN,16,1:49.97
307,24,MichÃ¨le Jacot,France,,FRA,17,1:49.98
308,17,Doris de Agostini,Switzerland,,SUI,18,1:50.46
309,18,Kathy Kreiner,Canada,,CAN,19,1:50.48
310,16,Wanda Bieler,Italy,,ITA,20,1:50.58
311,19,Fabienne Serrat,France,,FRA,21,1:51.34
312,22,Betsy Clifford,Canada,,CAN,22,1:51.40
313,16,Maria Epple,West Germany,,FRG,23,1:51.41
314,16,Ursula Konzett,Liechtenstein,,LIE,24,1:51.53
315,17,Jolanda Plank,Italy,,ITA,25,1:52.50
316,17,Leslie Smith,United States,,USA,26,1:52.98
317,17,Torill Fjeldstad,Norway,,NOR,27,1:52.99
318,21,Alla Askarova,Soviet Union,,URS,28,1:53.19
319,19,Valentina Iliffe,Great Britain,,GBR,29,1:53.31
320,19,Riitta Ollikka,Finland,,FIN,30,1:53.85
321,19,Sally Rodd,Australia,,AUS,31,1:54.82
322,19,Dagmar KuzmanovÃ¡,Czechoslovakia,,TCH,32,1:54.81
323,16,Jana GantnerovÃ¡-Å oltÃ½sovÃ¡,Czechoslovakia,,TCH,33,1:55.02
324,16,Fiona Easdale,Great Britain,,GBR,34,1:57.66
325,15,Hazel Hutcheon,Great Britain,,GBR,35,1:58.33
326,17,Joanne Henke,Australia,,AUS,36,1:59.59
327,18,Theresa Wallis,Great Britain,,GBR,37,1:59.77
328,20,Sue Gibson,New Zealand,,NZL,38,2:03.49
329,26,Annemarie Moser-PrÃ¶ll,Austria,Gold,AUT,1,1:37.52
330,23,Hanni Wenzel,Liechtenstein,Silver,LIE,2,1:38.22
331,25,Marie-Theres Nadig,Switzerland,Bronze,SUI,3,1:38.36
332,18,Heidi Preuss,United States,,USA,4,1:39.51
333,22,Kathy Kreiner,Canada,,CAN,5,1:39.53
334,22,Ingrid Eberle,Austria,,AUT,6,1:39.63
335,21,Torill Fjeldstad,Norway,,NOR,7,1:39.69
336,24,Cindy Nelson,United States,,USA,7,1:39.69
337,19,Marianne Zechmeister,West Germany,,FRG,9,1:39.96
338,20,Jana GantnerovÃ¡-Å oltÃ½sovÃ¡,Czechoslovakia,,TCH,10,1:40.71
339,19,Laurie Graham,Canada,,CAN,11,1:40.74
340,23,Bernadette Zurbriggen,Switzerland,,SUI,11,1:40.74
341,20,Loni Klettl,Canada,,CAN,13,1:40.95
342,22,Holly Flanders,United States,,USA,14,1:40.96
343,20,Cristina Gravina,Italy,,ITA,15,1:40.99
344,19,Marie-Luce Waldmeier,France,,FRA,16,1:41.05
345,26,Evi Mittermaier,West Germany,,FRG,17,1:41.26
346,21,Doris de Agostini,Switzerland,,SUI,17,1:41.26
347,22,Irene Epple,West Germany,,FRG,19,1:41.68
348,20,Annemarie Bischofberger,Switzerland,,SUI,20,1:41.93
349,20,Monika Bader,West Germany,,FRG,21,1:41.96
350,19,Cornelia PrÃ¶ll,Austria,,AUT,22,1:42.44
351,18,Petra Wenzel,Liechtenstein,,LIE,23,1:42.50
352,21,Moira Cargill,Great Britain,,GBR,24,1:42.82
353,23,Valentina Iliffe,Great Britain,,GBR,25,1:43.28
354,20,Anna Archibald,New Zealand,,NZL,26,1:46.68
355,26,Farida Rahmeh,Lebanon,,LIB,27,2:42.88
356,19,Caroline Attia,France,,FRA,,
357,17,Michela Figini,Switzerland,Gold,SUI,1,1:13.36
358,20,Maria Walliser,Switzerland,Silver,SUI,2,1:13.41
359,21,Olga CharvÃ¡tovÃ¡,Czechoslovakia,Bronze,TCH,3,1:13.53
360,22,Ariane Ehrat,Switzerland,,SUI,4,1:13.95
361,24,Jana GantnerovÃ¡-Å oltÃ½sovÃ¡,Czechoslovakia,,TCH,5,1:14.14
362,19,Marina Kiehl,West Germany,,FRG,6,1:14.30
363,25,Gerry Sorensen,Canada,,CAN,6,1:14.30
364,25,Lea SÃ¶lkner,Austria,,AUT,8,1:14.39
365,20,Lisi Kirchler,Austria,,AUT,9,1:14.55
366,17,Veronika Wallinger-Stallmaier,Austria,,AUT,10,1:14.76
367,23,Laurie Graham,Canada,,CAN,11,1:14.92
368,21,Brigitte Oertli,Switzerland,,SUI,12,1:14.93
369,18,Sylvia Eder,Austria,,AUT,13,1:14.97
370,23,Heidi Wiesler,West Germany,,FRG,14,1:14.98
371,23,Caroline Attia,France,,FRA,15,1:15.04
372,26,Holly Flanders,United States,,USA,16,1:15.11
373,22,Regine MÃ¶senlechner,West Germany,,FRG,17,1:15.16
374,20,Liisa Savijarvi,Canada,,CAN,18,1:15.32
375,22,Maria Maricich,United States,,USA,19,1:15.55
376,23,Marie-Luce Waldmeier,France,,FRA,20,1:15.56
377,20,Debbie Armstrong,United States,,USA,21,1:15.57
378,20,Karen Stemmle,Canada,,CAN,22,1:15.64
379,26,Irene Epple,West Germany,,FRG,23,1:15.65
