,Age,Athlete,Country,Medal,NOC,Rank,Time_end,Year,Type,Gender,test,Time_start,test_time
4890,23.0,Imre CsÃ­k,Hungary,,HUN,30.0,72.24,1936,Combine,Male,False,0:00.0,False
4891,21.0,Bertil Persson,Sweden,,SWE,31.0,70.95,1936,Combine,Male,False,0:00.0,False
4892,20.0,Fedor Weinschenk,Poland,,POL,32.0,65.67,1936,Combine,Male,False,0:00.0,False
4893,21.0,Emil Å½nidar,Yugoslavia,,YUG,33.0,61.84,1936,Combine,Male,False,0:00.0,False
735,27.0,Diana Gordon-Lennox,Canada,,CAN,29.0,57.68,1936,Combine,Women,False,0:00.0,False
744,20.0,Trude Jochum-Beiser,Austria,Gold,AUT,1.0,6.58,1948,Combine,Women,False,0:00.0,False
745,28.0,Gretchen Fraser,United States,Silver,USA,2.0,6.95,1948,Combine,Women,False,0:00.0,False
746,23.0,Erika Mahringer,Austria,Bronze,AUT,3.0,7.04,1948,Combine,Women,False,0:00.0,False
747,27.0,Celina Seghi,Italy,,ITA,4.0,7.46,1948,Combine,Women,False,0:00.0,False
748,24.0,FranÃ§oise Gignoux,France,,FRA,5.0,8.14,1948,Combine,Women,False,0:00.0,False
749,21.0,Rosmarie Bleuer,Switzerland,,SUI,6.0,8.8,1948,Combine,Women,False,0:00.0,False
0,22.0,Henri Oreiller,France,Gold,FRA,1,2:55.0,1948,Downhill,Male,False,0:00.0,True
4927,22.0,Henri Oreiller,France,Gold,FRA,1.0,3.27,1948,Combine,Male,False,0:00.0,False
4928,27.0,Karl Molitor,Switzerland,Silver,SUI,2.0,6.44,1948,Combine,Male,False,0:00.0,False
4929,26.0,James Couttet,France,Bronze,FRA,3.0,6.95,1948,Combine,Male,False,0:00.0,False
4930,23.0,Edi Mall,Austria,,AUT,4.0,8.54,1948,Combine,Male,False,0:00.0,False
4931,26.0,Silvio AlverÃ,Italy,,ITA,5.0,8.71,1948,Combine,Male,False,0:00.0,False
4932,28.0,Hans Hansson,Sweden,,SWE,6.0,9.31,1948,Combine,Male,False,0:00.0,False
4933,30.0,Vittorio Chierroni,Italy,,ITA,7.0,9.69,1948,Combine,Male,False,0:00.0,False
4934,28.0,Hans Nogler,Austria,,AUT,8.0,9.96,1948,Combine,Male,False,0:00.0,False
4935,27.0,AntonÃ­n Å ponar,Czechoslovakia,,TCH,9.0,11.19,1948,Combine,Male,False,0:00.0,False
