,Age,Athlete,Country,Medal,NOC,Rank,Time
105,24,Anita Wachter,Austria,Silver,AUT,2,19.39
106,23,Florence Masnada,France,Bronze,FRA,3,21.38
107,24,Chantal Bournissen,Switzerland,,SUI,4,24.98
108,26,Anne Berge,Norway,,NOR,5,35.28
109,24,Michelle McKendry-Ruthven,Canada,,CAN,6,39.02
110,24,NataÅ¡a Bokal,Slovenia,,SLO,7,42.60
111,23,Lucia MedzihradskÃ¡,Czechoslovakia,,TCH,8,47.43
112,24,Miriam Vogt,Germany,,GER,9,48.52
113,21,RÃ©gine Cavagnoud,France,,FRA,10,51.13
114,21,Krista Schmidinger,United States,,USA,11,51.56
115,20,Svetlana Gladysheva,Unified Team,,EUN,12,61.25
116,21,Emi Kawabata,Japan,,JPN,13,66.10
117,24,Heidi Zeller-BÃ¤hler,Switzerland,,SUI,14,69.07
118,24,Ä½udmila MilanovÃ¡,Czechoslovakia,,TCH,15,76.28
119,18,Morena Gallizio,Italy,,ITA,16,93.21
120,16,Emma Carrick-Anderson,Great Britain,,GBR,17,107.61
121,18,Tetiana Lebedeva,Unified Team,,EUN,18,111.34
122,17,Svetlana Novikova,Unified Team,,EUN,19,122.48
123,19,Birgit Heeb-Batliner,Liechtenstein,,LIE,20,164.25
124,22,Carolina Eiras,Argentina,,ARG,21,184.96
125,20,Astrid LÃ¸demel,Norway,,NOR,22,210.94
126,19,Katja Seizinger,Germany,,GER,,
127,24,Ulrike Maier,Austria,,AUT,,
128,22,BÃ©atrice Filliol,France,,FRA,,
129,21,Sachiko Yamamoto,Japan,,JPN,,
130,21,Mihaela Fera,Romania,,ROU,,
131,23,Astrid Steverlynck,Argentina,,ARG,,
132,24,Valerie Scott,Great Britain,,GBR,,
133,17,Zali Steggall,Australia,,AUS,,
134,22,Claire de Pourtales,Great Britain,,GBR,,
135,18,Marina VidoviÄ,Yugoslavia,,YUG,,
136,23,Kristin Krone,United States,,USA,,
137,19,Varvara Zelenskaya,Unified Team,,EUN,,
138,15,Arijana Boras,Yugoslavia,,YUG,,
139,23,Merete Fjeldavlie,Norway,,NOR,,
140,25,Kerrin Lee-Gartner,Canada,,CAN,,
141,26,Michaela Gerg-Leitner,Germany,,GER,,
142,18,Regina HÃ¤usl,Germany,,GER,,
143,24,Heidi Zurbriggen,Switzerland,,SUI,,
144,23,Pernilla Wiberg,Sweden,Gold,SWE,1,3:05.16
145,29,Vreni Schneider,Switzerland,Silver,SUI,2,3:05.29
146,18,Alenka DovÅ¾an,Slovenia,Bronze,SLO,3,3:06.64
147,20,Morena Gallizio,Italy,,ITA,4,3:06.71
148,20,Martina Ertl-Renz,Germany,,GER,5,3:08.78
149,18,Katja Koren,Slovenia,,SLO,6,3:09.59
150,25,Florence Masnada,France,,FRA,7,3:10.02
151,18,Hilde Gerg,Germany,,GER,8,3:10.10
152,26,Miriam Vogt,Germany,,GER,9,3:10.14
153,22,Picabo Street,United States,,USA,10,3:10.15
154,20,Erika Hansson,Sweden,,SWE,11,3:10.17
155,23,Bibiana Perez,Italy,,ITA,12,3:10.64
156,25,Lucia MedzihradskÃ¡,Slovakia,,SVK,13,3:12.37
157,19,UrÅ¡ka Hrovat,Slovenia,,SLO,14,3:14.75
158,21,Jeanette Lunde,Norway,,NOR,15,3:15.97
159,22,Barbara Merlin,Italy,,ITA,16,3:17.31
160,23,Emi Kawabata,Japan,,JPN,17,3:18.22
161,28,Olha Lohinova,Ukraine,,UKR,18,3:19.43
162,23,Olga Vedyacheva,Kazakhstan,,KAZ,19,3:20.87
163,23,Mihaela Fera,Romania,,ROU,20,3:26.10
164,19,Francisca Steverlynck,Argentina,,ARG,21,3:32.64
165,18,Gabriela Quijano,Argentina,,ARG,22,3:33.51
166,26,VÃ©ronique Dugailly,Belgium,,BEL,23,3:38.09
167,24,Monique Pelletier,United States,,USA,24,3:38.79
168,18,Jennifer Taylor,Argentina,,ARG,25,3:44.27
169,18,Isolde Kostner,Italy,,ITA,,
170,19,Zali Steggall,Australia,,AUS,,
171,21,Katja Seizinger,Germany,,GER,,
172,22,Svetlana Gladysheva,Russia,,RUS,,
173,21,Varvara Zelenskaya,Russia,,RUS,,
174,20,Å pela Pretnar,Slovenia,,SLO,,
175,26,Michelle McKendry-Ruthven,Canada,,CAN,,
176,22,Anja Haas,Austria,,AUT,,
177,22,Nataliya Buga,Russia,,RUS,,
178,22,Szvetlana Keszthelyi,Hungary,,HUN,,
179,18,Mira Golub,Russia,,RUS,,
180,17,OphÃ©lie David,Hungary,,HUN,,
181,16,Khrystyna Podrushna,Ukraine,,UKR,,
