,Episodes_First,Characters,Episodes_deaths,Deaths,Difference
310,9,Lady Joyeuse Erenford,9,Unknown fate,0
311,9,Arwaya Frey,9,Unknown fate,0
484,9,Walder Frey,60,Dead,-51
309,9,Leo Lefford,9,Unknown fate,0
218,9,Shae,40,Dead,-31
20,10,Hot Pie,64,Alive,-54
206,10,Rickard Karstark,25,Dead,-15
133,10,Jaqen H'ghar,58,Last seen,-48
22,10,Viserion,64,Alive,-54
312,10,Jonos Bracken,10,Unknown fate,0
23,10,Rhaegal,64,Alive,-54
314,10,Harys Swyft,10,Unknown fate,0
21,10,Drogon,64,Alive,-54
149,10,Lommy Greenhands,13,Dead,-3
313,10,Addam Marbrand,10,Unknown fate,0
27,11,Davos Seaworth,64,Alive,-53
25,11,Gilly,64,Alive,-53
319,11,Aggo,11,Unknown fate,0
24,11,Eddison Tollett,64,Alive,-53
77,11,Dontos Hollard,33,Dead,-22
73,11,Craster,24,Dead,-13
167,11,Matthos Seaworth,19,Dead,-8
318,11,Kovarro,11,Unknown fate,0
315,11,Lothor Brune,11,Unknown fate,0
26,11,Melisandre,64,Alive,-53
322,11,Stark Officer 2,11,Unknown fate,0
316,11,Septa Eglantine,11,Unknown fate,0
317,11,Portan,11,Unknown fate,0
215,11,Selyse Baratheon,50,Dead,-39
224,11,Stannis Baratheon,50,Dead,-39
321,11,Stark Officer 1,11,Unknown fate,0
323,11,Daisy,11,Unknown fate,0
320,11,Night's Watch Officer,11,Unknown fate,0
157,11,Maester Cressen,11,Dead,0
53,11,Alton Lannister,17,Dead,-6
135,12,Salladhor Saan,26,Last seen,-14
63,12,Biter ,37,Dead,-25
28,12,Podrick Payne,64,Alive,-52
56,12,Balon Greyjoy,52,Dead,-40
29,12,Yara Greyjoy,64,Alive,-52
324,12,Rorge (as played by Andy Beckwith),12,Unknown fate,0
325,12,Captain's daughter,12,Unknown fate,0
134,12,Jaqen H'ghar ,58,Last seen,-46
327,13,Gerald,13,Unknown fate,0
163,13,Margaery Tyrell,60,Dead,-47
