,Unnamed: 0,Episodes_First,Characters,Episodes_deaths,Deaths,Difference
142,103,17,Jack,17,Dead,0
143,243,17,Torrhen Karstark,17,Dead,0
144,57,19,Baratheon Officer,19,Dead,0
145,241,20,Tom,20,Dead,0
146,31,21,Tormund Giantsbane,64,Alive,-43
147,33,21,Missandei,64,Alive,-43
148,106,21,Jaremy Mallister,21,Dead,0
149,161,21,Mance Rayder,41,Dead,-20
150,75,21,Dongo,39,Dead,-18
151,121,21,Kraznys mo Nakloz,24,Dead,-3
152,32,21,Qyburn,64,Alive,-43
153,185,22,Olenna Tyrell,63,Dead,-41
154,201,22,Ramsay Bolton,59,Dead,-37
155,188,22,Orell,29,Dead,-7
156,166,22,Master Torturer,23,Dead,-1
157,85,22,Anguy,22,Dead,0
158,109,22,Jojen Reed,40,Dead,-18
159,34,22,Meera Reed,64,Alive,-42
160,148,22,Locke,35,Dead,-13
161,35,22,Thoros of Myr,64,Alive,-42
162,137,23,Edmure Tully,58,Last seen,-35
163,91,23,Greizhen mo Ullhor,24,Dead,-1
164,496,23,Willem Lannister,25,Dead,-2
165,350,23,Karl Tanner,35,Dead,-12
166,70,23,"Brynden ""The Blackfish"" Tully",58,Dead,-35
167,164,23,Martyn Lannister,25,Dead,-2
168,36,25,Grey Worm,64,Alive,-39
169,220,25,Shireen Baratheon,49,Dead,-24
170,138,25,Olyvar,56,Last seen,-31
171,112,25,Karstark lookout,25,Dead,0
172,83,25,Edric Baratheon,25,Dead,0
173,151,26,Lothar Frey,60,Dead,-34
174,178,27,Myranda,50,Dead,-23
175,203,27,Razdal mo Eraz,59,Dead,-32
176,139,28,Daario Naharis,60,Last seen,-32
177,170,28,Mero,28,Dead,0
178,140,28,High Septon,43,Last seen,-15
179,194,28,Prendahl na Ghezn,28,Dead,0
180,184,29,Old man,29,Dead,0
181,487,29,Wendel Manderly,29,Dead,0
182,37,31,Ellaria Sand,64,Alive,-33
183,183,31,Oberyn Martell,38,Dead,-7
184,152,31,Lowell,31,Dead,0
185,228,31,Styr,39,Dead,-8
186,174,31,Morgan,58,Dead,-27
187,55,32,Axell Florent,32,Dead,0
188,232,32,Tansy,32,Dead,0
189,483,32,Walda Bolton,52,Dead,-20
190,154,32,Mace Tyrell,60,Dead,-28
191,98,33,Hizdahr zo Loraq,49,Dead,-16
192,94,33,Guymon,33,Dead,0
193,192,33,Oznak zo Pahl,33,Dead,0
194,173,33,Mole's Town whore,38,Dead,-5
195,187,33,Olly's mother,33,Dead,0
196,186,33,Olly,53,Dead,-20
198,489,34,White Walker,55,Dead,-21
199,491,34,White Walker,48,Dead,-14
200,141,36,Lhara,49,Last seen,-13
201,38,36,Tycho Nestoris,64,Alive,-28
202,81,37,Dying man,37,Dead,0
203,39,38,Yohn Royce,64,Alive,-26
204,0,38,Adrack Humble,38,Dead,0
205,113,38,Kegs,38,Dead,0
206,64,38,Black Jack Bulwer,38,Dead,0
207,200,38,Ralf Kenning,38,Dead,0
208,176,38,Mully,38,Dead,0
209,159,39,Mag Mar Tun Doh Weg,39,Dead,0
210,76,39,Donnel Hill,39,Dead,0
211,223,39,Smitty,39,Dead,0
212,72,39,Cooper,39,Dead,0
213,502,40,Zalla,40,Dead,0
214,142,40,Ternesio Terys,52,Last seen,-12
215,240,40,Three-eyed raven,55,Dead,-15
216,146,40,Leaf,55,Dead,-15
217,488,41,White Rat,41,Dead,0
218,67,41,Bowen Marsh,53,Dead,-12
