,index,Episodes_deaths
0,64,50
1,60,14
2,39,9
3,58,9
4,17,8
5,54,8
6,50,8
7,38,7
8,29,7
9,55,7
10,25,6
11,20,6
12,52,6
13,8,6
14,59,6
15,6,5
16,53,5
17,19,4
18,24,4
19,40,4
20,33,4
21,48,4
22,16,4
23,15,4
24,14,4
25,10,4
26,51,4
27,5,4
28,28,4
29,18,3
30,1,3
31,49,3
32,43,3
33,32,3
34,35,3
35,37,3
36,44,3
37,11,2
38,13,2
39,7,2
40,63,2
41,31,2
42,9,2
43,41,2
44,2,2
45,26,2
46,62,2
47,57,1
48,4,1
49,3,1
50,56,1
51,30,1
52,12,1
53,47,1
54,45,1
55,42,1
56,21,1
57,22,1
58,23,1
59,46,1
