,Episodes_First,Characters,Episodes_deaths,Deaths
455,53,High Priestess of the Dosh Khaleen,53,Unknown fate
140,28,High Septon,43,Last seen
98,33,Hizdahr zo Loraq,49,Dead
404,33,Hizdahr zo Loraq's manservant,33,Unknown fate
99,1,Hodor,55,Dead
375,29,Hog farmer,29,Unknown fate
20,10,Hot Pie,64,Alive
100,4,Hugh of the Vale,4,Dead
101,54,Iggo,54,Dead
129,2,Ilyn Payne,19,Last seen
339,19,Imry Florent,19,Unknown fate
102,2,Irri,16,Dead
459,55,Izembaro,55,Unknown fate
103,17,Jack,17,Dead
336,16,Jacks,16,Unknown fate
104,8,Jafer Flowers,8,Dead
8,1,Jaime Lannister,64,Alive
367,29,Janeya Frey,29,Unknown fate
105,4,Janos Slynt,43,Dead
133,10,Jaqen H'ghar,58,Last seen
134,12,Jaqen H'ghar ,58,Last seen
106,21,Jaremy Mallister,21,Dead
299,7,Jaremy Rykker,7,Unknown fate
107,3,Jeor Mormont,24,Dead
251,1,Jeyne Poole,1,Unknown fate
260,2,Jhiqui,2,Unknown fate
289,7,Joby,7,Unknown fate
108,1,Joffrey Baratheon,32,Dead
443,48,Johnna,48,Unknown fate
109,22,Jojen Reed,40,Dead
275,6,Jon Lynderly,6,Unknown fate
110,1,Jon Snow,50,Dead
312,10,Jonos Bracken,10,Unknown fate
13,1,Jorah Mormont,64,Alive
253,1,Jory Cassel,1,Unknown fate
278,6,Joss,6,Unknown fate
431,46,Joss,46,Unknown fate
272,5,Joss Stilwood,5,Unknown fate
350,23,Karl Tanner,35,Unknown fate
111,48,Karsi,48,Dead
112,25,Karstark lookout,25,Dead
355,23,Kayla,23,Unknown fate
113,38,Kegs,38,Dead
458,54,Kesh,54,Unknown fate
114,8,Kevan Lannister,60,Dead
115,54,Khal Brozho,54,Dead
116,1,Khal Drogo,10,Dead
117,54,Khal Forzho,54,Dead
118,51,Khal Moro,54,Dead
452,51,Khal Moro's 1st wife,51,Unknown fate
453,51,Khal Moro's 2nd wife,51,Unknown fate
119,54,Khal Qorro,54,Dead
120,54,Khal Rhalko,54,Dead
465,55,Kinvara,55,Unknown fate
271,4,Knight of House Frey,4,Unknown fate
318,11,Kovarro,11,Unknown fate
121,21,Kraznys mo Nakloz,24,Dead
418,40,Kullback,40,Unknown fate
122,4,Kurleket,5,Dead
123,1,Lady,2,Dead
415,38,Lady Anya Waynwood,38,Unknown fate
461,55,Lady Crane,55,Unknown fate
310,9,Lady Joyeuse Erenford,9,Unknown fate
469,56,Lady Kitty Frey,56,Unknown fate
45,57,Lady Lyanna Mormont,64,Alive
307,8,Lady Maege Mormont,8,Unknown fate
466,56,Lady Melessa Tarly,56,Unknown fate
124,3,Lancel Lannister,60,Dead
125,2,Lannister guardsman,14,Dead
126,14,Lannister guardsman,14,Dead
474,58,Lannister soldier,58,Unknown fate
145,44,Lead Dornish Guard,44,Dead
146,40,Leaf,55,Dead
471,57,Lem,57,Unknown fate
309,9,Leo Lefford,9,Unknown fate
141,36,Lhara,49,Last seen
281,7,Little Bird,7,Unknown fate
147,48,Loboda,48,Dead
148,22,Locke,35,Dead
143,42,Lollys Stokeworth,42,Last seen
149,10,Lommy Greenhands,13,Dead
150,5,Loras Tyrell,60,Dead
331,15,Lorren,15,Unknown fate
151,26,Lothar Frey,60,Dead
315,11,Lothor Brune,11,Unknown fate
152,31,Lowell,31,Dead
291,7,Luke,7,Unknown fate
153,5,Lysa Arryn,37,Dead
154,32,Mace Tyrell,60,Dead
155,3,Maester Aemon,47,Dead
156,51,Maester Caleotte,51,Dead
157,11,Maester Cressen,11,Dead
158,1,Maester Luwin,20,Dead
41,51,Maester Wolkan,64,Alive
159,39,Mag Mar Tun Doh Weg,39,Dead
422,41,Maggy,41,Unknown fate
127,1,Magister Illyrio Mopatis,3,Last seen
393,31,Magnar of Thenn,31,Unknown fate
160,1,Mago,8,Dead
333,15,Malakho,15,Unknown fate
432,46,Malko,46,Unknown fate
161,21,Mance Rayder,41,Dead
162,7,Mandon Moore,19,Dead
163,13,Margaery Tyrell,60,Dead
344,21,Margaery's handmaiden,21,Unknown fate
370,29,Marianne Frey,29,Unknown fate
269,4,Marillion,4,Unknown fate
164,23,Martyn Lannister,25,Dead
270,4,Masha Heddle,4,Unknown fate
165,45,Master Eaton,45,Dead
166,22,Master Torturer,23,Dead
292,7,Matthar,7,Unknown fate
167,11,Matthos Seaworth,19,Dead
168,43,Medger Cerwyn,43,Dead
34,22,Meera Reed,64,Alive
421,41,Melara Hetherspoon,41,Unknown fate
26,11,Melisandre,64,Alive
169,44,Merchant captain,44,Dead
170,28,Mero,28,Dead
372,29,Merry Frey,29,Unknown fate
171,8,Meryn Trant,50,Dead
273,5,Mhaegen,5,Unknown fate
256,1,Mikken,1,Unknown fate
293,7,Mink,7,Unknown fate
342,21,Mirelle,21,Unknown fate
172,8,Mirri Maz Duur,10,Dead
33,21,Missandei,64,Alive
439,47,Moelle,47,Unknown fate
402,33,Mole's Town madam,33,Unknown fate
173,33,Mole's Town whore,38,Dead
410,34,Morag,34,Unknown fate
131,5,Mord,6,Last seen
175,57,Morgan,58,Dead
174,31,Morgan,58,Dead
412,34,Mossador,34,Unknown fate
176,38,Mully,38,Dead
177,2,Mycah,2,Dead
178,27,Myranda,50,Dead
179,1,Myrcella Baratheon,50,Dead
49,61,Ned Umber,64,Alive
294,7,Nelugo,7,Unknown fate
180,52,Newborn Bolton,52,Dead
368,29,Neyela Frey,29,Unknown fate
320,11,Night's Watch Officer,11,Unknown fate
300,7,Night's Watch Officer 2,7,Unknown fate
382,30,Night's Watchman,30,Unknown fate
295,7,Niko,7,Unknown fate
6,1,Nymeria,64,Alive
181,44,Nymeria Sand,62,Dead
182,44,Obara Sand,62,Dead
183,31,Oberyn Martell,38,Dead
263,3,Old Nan,3,Unknown fate
184,29,Old man,29,Dead
185,22,Olenna Tyrell,63,Dead
186,33,Olly,53,Dead
187,33,Olly's mother,33,Dead
138,25,Olyvar,56,Last seen
188,22,Orell,29,Dead
456,53,Ornela,53,Unknown fate
345,21,Orphan kid,21,Unknown fate
189,6,Osha,54,Dead
190,7,Othell Yarwyck,53,Dead
191,8,Othor,8,Dead
192,33,Oznak zo Pahl,33,Dead
335,16,Palla,16,Unknown fate
257,1,Pentoshi servant,1,Unknown fate
14,3,Petyr Baelish,64,Alive
28,12,Podrick Payne,64,Alive
193,13,Polliver,31,Dead
317,11,Portan,11,Unknown fate
409,34,Pounce,34,Unknown fate
194,28,Prendahl na Ghezn,28,Dead
255,1,Preston Greenfield,1,Unknown fate
195,14,Pyat Pree,20,Dead
196,3,Pypar,39,Dead
451,51,Qhono,51,Unknown fate
197,15,Qhorin Halfhand,20,Dead
198,1,Qotho,9,Dead
136,15,Quaithe,17,Last seen
337,16,Quent,16,Unknown fate
32,21,Qyburn,64,Alive
199,3,Rakharo,12,Dead
200,38,Ralf Kenning,38,Dead
201,22,Ramsay Bolton,59,Dead
296,7,Rancer,7,Unknown fate
44,56,Randyll Tarly,64,Alive
202,2,Rast,35,Dead
203,27,Razdal mo Eraz,59,Dead
427,43,Red Priestess,43,Unknown fate
473,58,Red Priestess,58,Unknown fate
329,15,Reginald Lannister,15,Unknown fate
204,3,Renly Baratheon,15,Dead
205,14,Rennick,14,Dead
23,10,Rhaegal,64,Alive
206,10,Rickard Karstark,25,Dead
207,1,Rickon Stark,59,Dead
208,58,Riddell,58,Dead
347,22,Riverrun traveller,22,Unknown fate
209,15,Robar Royce,15,Dead
210,1,Robb Stark,29,Dead
211,1,Robert Baratheon,7,Dead
46,57,Robett Glover,64,Alive
19,5,Robin Arryn,64,Alive
252,1,Rodrik Cassel,1,Unknown fate
212,14,Roose Bolton,52,Dead
324,12,Rorge (as played by Andy Beckwith),12,Unknown fate
213,1,Ros,26,Dead
376,29,Roslin Frey,29,Unknown fate
262,3,Royal Steward,3,Unknown fate
135,12,Salladhor Saan,26,Last seen
401,33,Sally,33,Unknown fate
424,41,Samwell Stone,41,Unknown fate
16,4,Samwell Tarly,64,Alive
10,1,Sandor Clegane,64,Alive
3,1,Sansa Stark,64,Alive
369,29,Sarra Frey,29,Unknown fate
440,47,Scolera,47,Unknown fate
215,11,Selyse Baratheon,50,Dead
316,11,Septa Eglantine,11,Unknown fate
216,1,Septa Mordane,8,Dead
217,47,Septa Unella,60,Dead
218,9,Shae,40,Dead
304,8,Shagga,8,Unknown fate
219,1,Shaggydog,53,Dead
220,25,Shireen Baratheon,49,Dead
373,29,Shirei Frey,29,Unknown fate
221,50,Simpson,50,Dead
407,33,Slave,33,Unknown fate
408,33,Slave master,33,Unknown fate
406,33,Slave master,33,Unknown fate
405,33,Slave master,33,Unknown fate
222,53,Smalljon Umber,59,Dead
223,39,Smitty,39,Dead
356,24,Sorcerer,24,Unknown fate
224,11,Stannis Baratheon,50,Dead
321,11,Stark Officer 1,11,Unknown fate
322,11,Stark Officer 2,11,Unknown fate
361,27,Steelshanks,27,Unknown fate
277,6,Steffon,6,Unknown fate
225,58,Steve,58,Dead
226,6,Stiv,6,Dead
429,45,Stone men,45,Unknown fate
227,15,Stonesnake,18,Dead
341,20,Stygg (first identified),20,Unknown fate
228,31,Styr,39,Dead
229,1,Summer,55,Dead
230,3,Syrio Forel,8,Dead
231,14,Talisa Maegyr,29,Dead
467,56,Talla Tarly,56,Unknown fate
232,32,Tansy,32,Dead
142,40,Ternesio Terys,52,Last seen
233,14,The Copper,17,Dead
234,16,The High Septon,16,Dead
235,43,The High Sparrow,60,Dead
236,14,The Silk,17,Dead
237,14,The Spice,17,Dead
441,48,The Thin Man,48,Unknown fate
238,14,The Tickler,15,Dead
239,43,The Waif,58,Dead
5,1,Theon Greyjoy,64,Alive
35,22,Thoros of Myr,64,Alive
240,40,Three-eyed raven,55,Dead
305,8,Timett,8,Unknown fate
297,7,Toad,7,Unknown fate
267,4,Tobho Mott,4,Unknown fate
241,20,Tom,20,Dead
280,7,Tomard,7,Unknown fate
242,1,Tommen Baratheon,60,Dead
254,1,Tommy,1,Unknown fate
31,21,Tormund Giantsbane,64,Alive
243,17,Torrhen Karstark,17,Dead
244,14,Tortured prisoner,14,Dead
353,23,Tortured slave,23,Unknown fate
245,42,Trystane Martell,51,Dead
475,58,Tully Bannerman,58,Unknown fate
38,36,Tycho Nestoris,64,Alive
246,44,Tyene Sand,63,Dead
468,56,Tyrell bannerman,56,Unknown fate
358,24,Tyrell lady,24,Unknown fate
348,22,Tyrell server,22,Unknown fate
11,1,Tyrion Lannister,64,Alive
247,7,Tywin Lannister,40,Dead
346,21,Unsullied,21,Unknown fate
423,41,Vala,41,Unknown fate
416,38,Vance Corbray,38,Unknown fate
479,5,Vardis Egen,6,Dead
480,7,Varly,7,Dead
15,3,Varys,64,Alive
481,8,Vayon Poole,8,Dead
360,27,Violet,27,Unknown fate
22,10,Viserion,64,Alive
482,1,Viserys Targaryen,6,Dead
298,7,Vorkoy,7,Unknown fate
483,32,Walda Bolton,52,Dead
363,29,Walda Frey,29,Unknown fate
484,9,Walder Frey,60,Dead
366,29,Waldra Frey,29,Unknown fate
485,6,Wallen,6,Dead
486,1,Waymar Royce,1,Dead
328,14,Weasel,14,Unknown fate
487,29,Wendel Manderly,29,Dead
488,41,White Rat,41,Dead
494,48,White Walker,48,Dead
493,48,White Walker,28,Dead
492,48,White Walker,55,Dead
491,34,White Walker,48,Dead
490,34,White Walker,28,Dead
489,34,White Walker,55,Dead
249,1,White Walker 1,1,Unknown fate
250,1,White Walker 2,1,Unknown fate
403,33,Whore,33,Unknown fate
248,1,Wildling girl,1,Unknown fate
495,1,Will,1,Dead
444,48,Willa,48,Unknown fate
496,23,Willem Lannister,25,Dead
497,4,Willis Wode,5,Dead
282,7,Wineseller,7,Unknown fate
330,15,Wisdom Hallyne,15,Unknown fate
40,48,Wun Wun,64,Alive
498,5,Wyl,5,Dead
48,60,Wyman Manderly,64,Alive
499,14,Xaro Xhoan Daxos,20,Dead
29,12,Yara Greyjoy,64,Alive
437,47,Yezzan zo Qaggaz,47,Unknown fate
500,16,Ygritte,39,Dead
39,38,Yohn Royce,64,Alive
501,3,Yoren,13,Dead
384,30,Yunkai'i slave #1,30,Unknown fate
385,30,Yunkai'i slave #2,30,Unknown fate
386,30,Yunkai'i slave #3,30,Unknown fate
387,30,Yunkai'i slave #4,30,Unknown fate
388,30,Yunkai'i slave #5,30,Unknown fate
502,40,Zalla,40,Dead
454,51,Zanrush,51,Unknown fate
214,52,s Landing boaster,52,Dead
