,Unnamed: 0,Episodes_First,Characters,Episodes_deaths,Deaths,Difference
185,228,31,Styr,39,Dead,-8
140,500,16,Ygritte,39,Dead,-23
150,75,21,Dongo,39,Dead,-18
44,92,3,Grenn,39,Dead,-36
55,196,3,Pypar,39,Dead,-36
158,109,22,Jojen Reed,40,Dead,-18
213,502,40,Zalla,40,Dead,0
79,247,7,Tywin Lannister,40,Dead,-33
90,218,9,Shae,40,Dead,-31
149,161,21,Mance Rayder,41,Dead,-20
217,488,41,White Rat,41,Dead,0
223,168,43,Medger Cerwyn,43,Dead,0
58,105,4,Janos Slynt,43,Dead,-39
227,169,44,Merchant captain,44,Dead,0
225,145,44,Lead Dornish Guard,44,Dead,0
49,59,3,Barristan Selmy,44,Dead,-41
231,165,45,Master Eaton,45,Dead,0
232,87,46,Ghita,46,Dead,0
45,155,3,Maester Aemon,47,Dead,-44
239,147,48,Loboda,48,Dead,0
199,491,34,White Walker,48,Dead,-14
235,494,48,White Walker,48,Dead,0
238,111,48,Karsi,48,Dead,0
191,98,33,Hizdahr zo Loraq,49,Dead,-16
169,220,25,Shireen Baratheon,49,Dead,-24
15,110,1,Jon Snow,50,Dead,-49
26,179,1,Myrcella Baratheon,50,Dead,-49
240,88,50,Gordy,50,Dead,0
103,215,11,Selyse Baratheon,50,Dead,-39
174,178,27,Myranda,50,Dead,-23
85,171,8,Meryn Trant,50,Dead,-42
109,224,11,Stannis Baratheon,50,Dead,-39
241,221,50,Simpson,50,Dead,0
220,78,42,Doran Martell,51,Dead,-9
243,65,51,Bolton Officer,51,Dead,0
221,245,42,Trystane Martell,51,Dead,-9
242,156,51,Maester Caleotte,51,Dead,0
120,212,14,Roose Bolton,52,Dead,-38
115,56,12,Balon Greyjoy,52,Dead,-40
189,483,32,Walda Bolton,52,Dead,-20
248,214,52,s Landing boaster,52,Dead,0
250,180,52,Newborn Bolton,52,Dead,0
6,219,1,Shaggydog,53,Dead,-52
80,190,7,Othell Yarwyck,53,Dead,-46
218,67,41,Bowen Marsh,53,Dead,-12
47,52,3,Alliser Thorne,53,Dead,-50
196,186,33,Olly,53,Dead,-20
257,120,54,Khal Rhalko,54,Dead,0
253,101,54,Iggo,54,Dead,0
255,117,54,Khal Forzho,54,Dead,0
244,118,51,Khal Moro,54,Dead,-3
245,1,51,Akho,54,Dead,-3
75,189,6,Osha,54,Dead,-48
254,115,54,Khal Brozho,54,Dead,0
256,119,54,Khal Qorro,54,Dead,0
215,240,40,Three-eyed raven,55,Dead,-15
12,99,1,Hodor,55,Dead,-54
27,229,1,Summer,55,Dead,-54
198,489,34,White Walker,55,Dead,-21
234,492,48,White Walker,55,Dead,-7
216,146,40,Leaf,55,Dead,-15
262,69,57,Brother Ray,57,Dead,0
264,175,57,Morgan,58,Dead,-1
266,208,58,Riddell,58,Dead,0
186,174,31,Morgan,58,Dead,-27
265,225,58,Steve,58,Dead,0
166,70,23,"Brynden ""The Blackfish"" Tully",58,Dead,-35
222,239,43,The Waif,58,Dead,-15
258,60,54,Belicho Paenymion,59,Dead,-5
175,203,27,Razdal mo Eraz,59,Dead,-32
252,222,53,Smalljon Umber,59,Dead,-6
249,95,52,Harald Karstark,59,Dead,-7
7,207,1,Rickon Stark,59,Dead,-58
154,201,22,Ramsay Bolton,59,Dead,-37
56,89,3,Grand Maester Pycelle,60,Dead,-57
118,163,13,Margaery Tyrell,60,Dead,-47
173,151,26,Lothar Frey,60,Dead,-34
46,124,3,Lancel Lannister,60,Dead,-57
91,484,9,Walder Frey,60,Dead,-51
224,235,43,The High Sparrow,60,Dead,-17
20,242,1,Tommen Baratheon,60,Dead,-59
230,68,44,Brother Boake,60,Dead,-16
190,154,32,Mace Tyrell,60,Dead,-28
66,150,5,Loras Tyrell,60,Dead,-55
82,114,8,Kevan Lannister,60,Dead,-52
233,217,47,Septa Unella,60,Dead,-13
228,181,44,Nymeria Sand,62,Dead,-18
229,182,44,Obara Sand,62,Dead,-18
226,246,44,Tyene Sand,63,Dead,-19
153,185,22,Olenna Tyrell,63,Dead,-41
