Episodes_First,Characters,Episodes_deaths,Deaths
3,Rakharo,12,Dead
38,Ralf Kenning,38,Dead
22,Ramsay Bolton,59,Dead
2,Rast,35,Dead
27,Razdal mo Eraz,59,Dead
3,Renly Baratheon,15,Dead
14,Rennick,14,Dead
10,Rickard Karstark,25,Dead
1,Rickon Stark,59,Dead
58,Riddell,58,Dead
15,Robar Royce,15,Dead
1,Robb Stark,29,Dead
1,Robert Baratheon,7,Dead
14,Roose Bolton,52,Dead
1,Ros,26,Dead
52,s Landing boaster,52,Dead
11,Selyse Baratheon,50,Dead
1,Septa Mordane,8,Dead
47,Septa Unella,60,Dead
9,Shae,40,Dead
1,Shaggydog,53,Dead
25,Shireen Baratheon,49,Dead
50,Simpson,50,Dead
53,Smalljon Umber,59,Dead
39,Smitty,39,Dead
11,Stannis Baratheon,50,Dead
58,Steve,58,Dead
6,Stiv,6,Dead
15,Stonesnake,18,Dead
31,Styr,39,Dead
1,Summer,55,Dead
3,Syrio Forel,8,Dead
14,Talisa Maegyr,29,Dead
32,Tansy,32,Dead
14,The Copper,17,Dead
16,The High Septon,16,Dead
43,The High Sparrow,60,Dead
14,The Silk,17,Dead
14,The Spice,17,Dead
14,The Tickler,15,Dead
43,The Waif,58,Dead
40,Three-eyed raven,55,Dead
20,Tom,20,Dead
1,Tommen Baratheon,60,Dead
17,Torrhen Karstark,17,Dead
14,Tortured prisoner,14,Dead
42,Trystane Martell,51,Dead
44,Tyene Sand,63,Dead
7,Tywin Lannister,40,Dead
1,Wildling girl,1,Unknown fate
1,White Walker 1,1,Unknown fate
1,White Walker 2,1,Unknown fate
1,Jeyne Poole,1,Unknown fate
1,Rodrik Cassel,1,Unknown fate
1,Jory Cassel,1,Unknown fate
1,Tommy,1,Unknown fate
1,Preston Greenfield,1,Unknown fate
1,Mikken,1,Unknown fate
1,Pentoshi servant,1,Unknown fate
1,Cohollo,1,Unknown fate
1,Haggo,1,Unknown fate
2,Jhiqui,2,Unknown fate
2,Catspaw assassin,2,Unknown fate
3,Royal Steward,3,Unknown fate
3,Old Nan,3,Unknown fate
3,Goldcloak 1,3,Unknown fate
3,Goldcloak 2,3,Unknown fate
3,Drunk man,3,Unknown fate
4,Tobho Mott,4,Unknown fate
4,Gyles Rosby,4,Unknown fate
4,Marillion,4,Unknown fate
4,Masha Heddle,4,Unknown fate
4,Knight of House Frey,4,Unknown fate
5,Joss Stilwood,5,Unknown fate
5,Mhaegen,5,Unknown fate
6,Dothraki crone,6,Unknown fate
6,Jon Lynderly,6,Unknown fate
6,Eon Hunter,6,Unknown fate
6,Steffon,6,Unknown fate
6,Joss,6,Unknown fate
7,Armeca,7,Unknown fate
7,Tomard,7,Unknown fate
7,Little Bird,7,Unknown fate
7,Wineseller,7,Unknown fate
7,Dareon,7,Unknown fate
7,Allo,7,Unknown fate
7,Balian,7,Unknown fate
7,Echiel,7,Unknown fate
7,Escan,7,Unknown fate
7,Gordo,7,Unknown fate
7,Joby,7,Unknown fate
7,Halder,7,Unknown fate
7,Luke,7,Unknown fate
7,Matthar,7,Unknown fate
7,Mink,7,Unknown fate
7,Nelugo,7,Unknown fate
7,Niko,7,Unknown fate
7,Rancer,7,Unknown fate
7,Toad,7,Unknown fate
7,Vorkoy,7,Unknown fate
7,Jaremy Rykker,7,Unknown fate
7,Night's Watch Officer 2,7,Unknown fate
7,Boros Blount,7,Unknown fate
7,Arys Oakheart,7,Unknown fate
7,Clydas,7,Unknown fate
