,Exporter,Importer,Latitude_exp,Longitude_exp,Latitude_imp,Longitude_imp,Millions,Millions_Total
649,United States,Burkina Faso,37.09024,-95.712891,12.238333,-1.561593,0.0,43021.0
705,United States,Lebanon,37.09024,-95.712891,33.854721000000005,35.862285,118.0,43021.0
685,United States,Guinea,37.09024,-95.712891,9.945587,-9.696645,0.0,43021.0
707,United States,Liberia,37.09024,-95.712891,6.4280550000000005,-9.429499,0.0,43021.0
755,United States,Somalia,37.09024,-95.712891,5.152149,46.199616,1.0,43021.0
762,United States,Sweden,37.09024,-95.712891,60.128161,18.643501,216.0,43021.0
761,United States,Suriname,37.09024,-95.712891,3.919305000000001,-56.02778299999999,0.0,43021.0
760,United States,Sudan,37.09024,-95.712891,12.862807,30.217636,2.0,43021.0
759,United States,Sri Lanka,37.09024,-95.712891,7.873054,80.77179699999998,0.0,43021.0
758,United States,Spain,37.09024,-95.712891,40.463667,-3.74922,272.0,43021.0
757,United States,South Korea,37.09024,-95.712891,35.90775700000001,127.766922,2135.0,43021.0
756,United States,South Africa,37.09024,-95.712891,-30.559482,22.937506,9.0,43021.0
754,United States,Slovenia,37.09024,-95.712891,46.151241,14.995463,1.0,43021.0
745,United States,Rwanda,37.09024,-95.712891,-1.940278,29.873888,0.0,43021.0
753,United States,Singapore,37.09024,-95.712891,1.352083,103.819836,1924.0,43021.0
752,United States,Sierra Leone,37.09024,-95.712891,8.460555000000001,-11.779889,0.0,43021.0
751,United States,Seychelles,37.09024,-95.712891,-4.679574,55.491977,1.0,43021.0
750,United States,Serbia,37.09024,-95.712891,44.016521,21.005859,0.0,43021.0
749,United States,Senegal,37.09024,-95.712891,14.497401000000002,-14.452362,2.0,43021.0
748,United States,Saudi Arabia,37.09024,-95.712891,23.885942,45.079162,6083.0,43021.0
747,United States,Saint Vincent and the Grenadines,37.09024,-95.712891,12.984305,-61.287228000000006,0.0,43021.0
763,United States,Switzerland,37.09024,-95.712891,46.818188,8.227511999999999,10.0,43021.0
708,United States,Libya,37.09024,-95.712891,26.3351,17.228331,8.0,43021.0
765,United States,Taiwan,37.09024,-95.712891,23.69781,120.960515,2817.0,43021.0
766,United States,Tanzania,37.09024,-95.712891,-6.369028,34.888822,0.0,43021.0
781,United States,Zimbabwe,37.09024,-95.712891,-19.015438,29.154857,0.0,43021.0
780,United States,Yemen,37.09024,-95.712891,15.552727,48.516388,15.0,43021.0
779,United States,Vietnam,37.09024,-95.712891,14.058324,108.277199,0.0,43021.0
778,United States,Venezuela,37.09024,-95.712891,6.42375,-66.58973,6.0,43021.0
777,United States,Uzbekistan,37.09024,-95.712891,41.377491,64.585262,35.0,43021.0
776,United States,Uruguay,37.09024,-95.712891,-32.522779,-55.765835,0.0,43021.0
775,United States,United Kingdom,37.09024,-95.712891,55.378051,-3.435973,1502.0,43021.0
774,United States,Ukraine,37.09024,-95.712891,48.379433,31.16558,4.0,43021.0
773,United States,Uganda,37.09024,-95.712891,1.373333,32.290275,4.0,43021.0
772,United States,Turkey,37.09024,-95.712891,38.963745,35.243322,2990.0,43021.0
771,United States,Tunisia,37.09024,-95.712891,33.886917,9.537499,104.0,43021.0
770,United States,Trinidad and Tobago,37.09024,-95.712891,10.691803,-61.222503,12.0,43021.0
769,United States,Tonga,37.09024,-95.712891,-21.178986,-175.198242,0.0,43021.0
768,United States,Togo,37.09024,-95.712891,8.619543,0.824782,0.0,43021.0
767,United States,Thailand,37.09024,-95.712891,15.870032,100.992541,180.0,43021.0
746,United States,Saint Kitts and Nevis,37.09024,-95.712891,17.357822,-62.782998,0.0,43021.0
764,United States,Syria,37.09024,-95.712891,34.802075,38.99681500000001,0.0,43021.0
744,United States,Romania,37.09024,-95.712891,45.943161,24.96676,23.0,43021.0
716,United States,Malta,37.09024,-95.712891,35.937496,14.375416,8.0,43021.0
724,United States,Namibia,37.09024,-95.712891,-22.95764,18.49041,5.0,43021.0
723,United States,Myanmar,37.09024,-95.712891,21.913965,95.956223,0.0,43021.0
722,United States,Morocco,37.09024,-95.712891,31.791702,-7.09262,774.0,43021.0
721,United States,Micronesia,37.09024,-95.712891,7.425553999999999,150.550812,0.0,43021.0
720,United States,Mexico,37.09024,-95.712891,23.634501,-102.552784,671.0,43021.0
719,United States,Mauritius,37.09024,-95.712891,-20.348404,57.552152,1.0,43021.0
717,United States,Marshall Islands,37.09024,-95.712891,7.131474000000001,171.184478,0.0,43021.0
715,United States,Mali,37.09024,-95.712891,17.570692,-3.996166000000001,0.0,43021.0
726,United States,Netherlands,37.09024,-95.712891,52.132633,5.291266,333.0,43021.0
714,United States,Malaysia,37.09024,-95.712891,4.210483999999999,101.975766,20.0,43021.0
713,United States,Malawi,37.09024,-95.712891,-13.254307999999998,34.301525,0.0,43021.0
712,United States,Madagascar,37.09024,-95.712891,-18.766947,46.869107,0.0,43021.0
711,United States,Macedonia,37.09024,-95.712891,41.608635,21.745275,0.0,43021.0
710,United States,Luxembourg,37.09024,-95.712891,49.815273,6.129583,0.0,43021.0
709,United States,Lithuania,37.09024,-95.712891,55.169438,23.881275,1.0,43021.0
743,United States,Qatar,37.09024,-95.712891,25.354826,51.183884,1260.0,43021.0
725,United States,Nepal,37.09024,-95.712891,28.394857,84.12400799999998,0.0,43021.0
718,United States,Mauritania,37.09024,-95.712891,21.00789,-10.940835,2.0,43021.0
738,United States,Paraguay,37.09024,-95.712891,-23.442503,-58.44383199999999,1.0,43021.0
